WHo,who,s,Future_Question,0
would,would,s,Future_Question,1
think,think,s,PrivateThinking,0
that,that,s,PrivateThinking,1
a,a,s,,0
God,god,s,CommonAuthorities,0
lay,lay,s,ReportingEvents,0
lurking,lurking,s,Motions,0
under,under,s,SpaceRelation,0
a,a,s,SpaceRelation,1
gray,gray,s,SenseProperty,0
cloak,cloak,c,SenseObject,0
",",",",n,,0
Silly,silly,s,SubjectivePercept,0
Shepherds,shepherds,s,PersonProperty,0
gray,gray,s,SenseProperty,0
cloak,cloak,c,SenseObject,0
",",",",s,,0
and,and,s,,0
armed,armed,s,SenseProperty,0
with,with,s,SenseProperty,1
a,a,s,SenseProperty,2
paltery,paltery,s,UNRECOGNIZED,0
sheephooke,sheephooke,c,UNRECOGNIZED,0
?,?,n,Question,0
And,and,s,Resistance,0
yet,yet,s,Resistance,1
no,no,s,DenyDisclaim,0
pety,pety,s,UNRECOGNIZED,0
God,god,c,CommonAuthorities,0
",",",",s,,0
no,no,s,DenyDisclaim,0
God,god,s,CommonAuthorities,0
that,that,s,,0
gads,gads,s,Positivity,0
by,by,s,,0
the,the,s,SenseObject,0
mountains,mountains,c,SenseObject,1
",",",",n,Resistance,0
But,but,s,Resistance,1
the,the,s,,0
triumphantst,triumphantst,s,UNRECOGNIZED,0
God,god,s,CommonAuthorities,0
that,that,s,,0
bears,bears,s,SenseObject,0
any,any,s,,0
sway,sway,s,Motions,0
in,in,s,,0
Olympus,olympus,c,UNRECOGNIZED,0
:,:,n,,0
Which,which,s,,0
many,many,s,RecurringEvents,0
times,times,s,RecurringEvents,1
has,has,s,,0
made,made,s,ReportingEvents,0
man-murdring,man-murdring,s,UNRECOGNIZED,0
Mars,mars,s,SenseObject,0
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
cursing,cursing,n,Negativity,0
His,his,s,Negativity,1
blood-sucking,blood-sucking,s,Negativity,0
blade,blade,c,SenseObject,0
;,;,s,,0
and,and,s,,0
prince,prince,s,CommonAuthorities,0
of,of,s,CommonAuthorities,1
watery,watery,s,SenseProperty,0
empire,empire,n,CommonAuthorities,0
Earth-shaking,earth-shaking,s,Intensity,0
Neptune,neptune,c,,0
",",",",s,,0
his,his,s,PersonPronoun,0
threeforckt,threeforckt,s,UNRECOGNIZED,0
mace,mace,s,SenseObject,0
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
leaving,leaving,c,,0
",",",",n,,0
And,and,s,,0
Jove,jove,s,,0
omnipotent,omnipotent,c,CommonAuthorities,0
",",",",s,,0
as,as,s,,0
a,a,s,StandardsNeg,0
poor,poor,s,StandardsNeg,1
and,and,s,,0
humble,humble,s,SubjectivePercept,0
obeissant,obeissant,c,UNRECOGNIZED,0
",",",",n,,0
His,his,s,PersonPronoun,0
three-flak't,three-flak't,s,UNRECOGNIZED,0
lightnings,lightnings,s,,0
and,and,s,,0
thunderbolts,thunderbolts,s,SenseObject,0
to,to,s,,0
abandon,abandon,c,Negativity,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
I,i,s,SelfDisclosure,0
believe,believe,c,SelfDisclosure,1
",",",",s,,0
thus,thus,s,ReasonForward,0
shaped,shaped,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
thus,thus,s,ReasonForward,0
with,with,s,Specifiers,0
a,a,s,Specifiers,1
mantle,mantle,s,SenseObject,0
adorned,adorned,n,Positivity,0
Lady,lady,s,PersonProperty,0
Venus,venus,s,UNRECOGNIZED,0
will,will,s,PredictedFuture,0
scarce,scarce,s,Negativity,0
find,find,s,Confidence,0
out,out,s,Confidence,1
her,her,s,PersonPronoun,0
wily,wily,s,Negativity,0
Cupido,cupido,c,,0
",",",",n,,0
Mine,mine,s,FirstPer,0
own,own,s,ReportingEvents,0
mother,mother,c,PersonProperty,0
",",",",s,,0
I,i,s,SelfDisclosure,0
hope,hope,c,SelfDisclosure,1
",",",",s,,0
will,will,s,PredictedFuture,0
skarce,skarce,s,UNRECOGNIZED,0
take,take,s,ReportingEvents,0
me,me,s,FirstPer,0
for,for,s,Exceptions,0
her,her,s,Exceptions,1
own,own,s,Exceptions,2
son,son,c,PersonProperty,0
.,.,n,,0
She,she,s,Neutral_Attribution,0
makes,makes,s,Neutral_Attribution,1
me,me,s,FirstPer,0
run,run,s,SceneShift,0
away,away,c,SceneShift,1
",",",",s,,0
and,and,s,,0
thus,thus,s,ReasonForward,0
compells,compells,s,UNRECOGNIZED,0
me,me,s,FirstPer,0
to,to,s,ProjectAhead,0
hide,hide,s,ProjectAhead,1
me,me,c,FirstPer,0
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
that,that,s,,0
still,still,s,Updates,0
she,she,s,PersonPronoun,0
byds,byds,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,Updates,0
still,still,s,Updates,1
commands,commands,s,CommonAuthorities,0
as,as,s,CommonAuthorities,0
a,a,s,CommonAuthorities,1
mother,mother,n,CommonAuthorities,2
Boy,boy,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
bow,bow,c,SenseObject,0
",",",",s,,0
and,and,s,Generalization,0
all,all,c,Generalization,1
