CIcero,cicero,s,AbstractConcepts,0
in,in,s,Citations,0
his,his,s,Citations,1
book,book,s,Citations,2
de,de,s,AbstractConcepts,0
amicitia,amicitia,s,UNRECOGNIZED,0
these,these,s,Immediacy,0
words,words,s,LangRef,0
does,does,s,ReportingEvents,0
express,express,c,Citations,0
",",",",n,,0
Saying,saying,s,DenyDisclaim,0
nothing,nothing,s,DenyDisclaim,1
is,is,s,ReportingStates,0
more,more,s,Comparison,0
desirous,desirous,s,Positivity,0
then,then,s,,0
like,like,s,SubjectivePercept,0
is,is,s,ReportingStates,0
unto,unto,s,CommonAuthorities,0
like,like,c,SubjectivePercept,0
:,:,n,,0
Whose,whose,s,PersonPronoun,0
words,words,s,LangRef,0
are,are,s,ReportingStates,0
most,most,s,Comparison,0
true,true,s,StandardsPos,0
and,and,s,,0
of,of,s,Confidence,0
a,a,s,Confidence,1
certainty,certainty,s,Confidence,2
doubtless,doubtless,c,Confidence,0
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
the,the,s,,0
virtuous,virtuous,s,StandardsPos,0
do,do,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
the,the,s,,0
virtuous,virtuous,s,StandardsPos,0
company,company,s,AbstractConcepts,0
mislike,mislike,c,Negativity,0
.,.,n,Resistance,0
But,but,s,Resistance,1
the,the,s,,0
vicious,vicious,s,Anger,0
does,does,s,ReportingEvents,0
the,the,s,,0
virtuous,virtuous,s,StandardsPos,0
company,company,s,AbstractConcepts,0
eschew,eschew,c,Resistance,0
:,:,n,,0
And,and,s,,0
like,like,s,SubjectivePercept,0
will,will,s,PredictedFuture,0
unto,unto,s,CommonAuthorities,0
like,like,s,Resemblances,0
this,this,s,Resemblances,1
is,is,s,ReportingStates,0
most,most,s,Comparison,0
true,true,c,StandardsPos,0
.,.,n,Resistance,0
It,it,s,Resistance,1
is,is,s,Resistance,2
not,not,s,Resistance,3
my,my,s,FirstPer,0
meaning,meaning,s,LangRef,0
your,your,s,DirectAddress,0
ears,ears,s,SenseObject,0
for,for,s,ProjectAhead,0
to,to,s,ProjectAhead,1
weary,weary,c,Negativity,0
",",",",n,,0
with,with,s,,0
harkning,harkning,s,UNRECOGNIZED,0
what,what,s,Question,0
is,is,s,Question,1
the,the,s,Question,2
effect,effect,s,Consequence,0
of,of,s,Consequence,1
our,our,s,Inclusive,0
matter,matter,c,AbstractConcepts,0
:,:,n,,0
But,but,s,Resistance,0
our,our,s,Inclusive,0
pretense,pretense,s,SubjectivePercept,0
is,is,s,ProjectAhead,0
