BOnum,bonum,s,,0
opus,opus,s,GenericEvents,0
laudabila,laudabila,c,UNRECOGNIZED,0
",",",",s,Aside,0
which,which,s,Aside,1
is,is,s,ReportingStates,0
as,as,s,Comparison,0
much,much,s,Comparison,1
to,to,s,,0
say,say,c,Citations,0
",",",",n,,0
Good,good,s,StandardsPos,0
works,works,s,StandardsPos,1
though,though,s,Concessive,0
plain,plain,s,SenseProperty,0
are,are,s,ReportingStates,0
worthy,worthy,s,StandardsPos,0
praise,praise,c,StandardsPos,0
",",",",s,ReasonForward,0
and,and,s,ReasonForward,1
so,so,s,ReasonForward,2
have,have,s,ProjectBack,0
been,been,s,ProjectBack,1
always,always,c,SubjectiveTime,0
.,.,n,Sequence,0
Then,then,s,Sequence,1
though,though,s,Concessive,0
with,with,s,,0
Bullus,bullus,s,UNRECOGNIZED,0
Tully,tully,s,AbstractConcepts,0
style,style,c,LangRef,0
",",",",s,,0
our,our,s,Inclusive,0
Author,author,s,CommunicatorRole,0
do,do,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
frame,frame,c,SenseObject,0
",",",",n,,0
This,this,s,,0
his,his,s,PersonPronoun,0
first,first,s,Sequence,0
work,work,s,GenericEvents,0
which,which,s,,0
you,you,s,Insist,0
shall,shall,s,Insist,1
hear,hear,c,SpaceRelation,0
",",",",s,Resistance,0
yet,yet,s,Resistance,1
do,do,s,Intensity,0
accept,accept,s,ReportingEvents,0
the,the,s,ReportingEvents,1
same,same,c,Comparison,0
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
why,why,s,Question,0
the,the,s,LangRef,0
Story,story,s,LangRef,1
being,being,s,ReportingStates,0
good,good,c,,0
",",",",s,,0
the,the,s,,0
matter,matter,s,AbstractConcepts,0
also,also,s,,0
true,true,c,Concessive,0
",",",",n,Concessive,1
Does,does,s,ReportingEvents,0
but,but,s,Resistance,0
declare,declare,s,Citations,0
a,a,s,,0
matter,matter,s,AbstractConcepts,0
old,old,c,SenseProperty,0
",",",",s,,0
as,as,s,Metadiscourse,0
it,it,s,Metadiscourse,1
were,were,s,Metadiscourse,2
done,done,s,ReportingStates,0
anew,anew,c,Sequence,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
shows,shows,s,SenseProperty,0
forth,forth,s,SenseProperty,1
how,how,s,,0
prone,prone,s,SubjectivePercept,0
God,god,s,CommonAuthorities,0
is,is,c,ReportingStates,0
",",",",s,,0
to,to,s,StandardsPos,0
help,help,s,StandardsPos,1
such,such,s,Specifiers,0
as,as,s,Specifiers,1
are,are,s,ReportingStates,0
just,just,c,Intensity,0
",",",",n,,0
And,and,s,,0
in,in,s,Specifiers,0
that,that,s,Specifiers,1
God,god,s,CommonAuthorities,0
before,before,s,Sequence,0
all,all,s,Sequence,1
men,men,c,PersonProperty,0
",",",",s,,0
do,do,s,Intensity,0
put,put,s,ReportingEvents,0
assured,assured,s,Confidence,0
trust,trust,c,Confidence,0
",",",",n,,0
Of,of,s,,0
Susans,susans,s,,0
life,life,s,AbstractConcepts,0
the,the,s,LangRef,0
story,story,s,LangRef,1
is,is,c,ReportingStates,0
",",",",s,,0
what,what,s,,0
trouble,trouble,s,Negativity,0
she,she,s,PersonPronoun,0
was,was,s,ProjectBack,0
in,in,c,,0
",",",",n,,0
How,how,s,,0
narrowly,narrowly,s,SubjectivePercept,0
she,she,s,PersonPronoun,0
escaped,escaped,s,ReportingEvents,0
death,death,s,Negativity,0
because,because,s,ReasonBackward,0
she,she,s,Biographical_Time,0
would,would,s,Biographical_Time,1
not,not,s,DenyDisclaim,0
sin,sin,c,StandardsNeg,0
",",",",n,,0
How,how,s,,0
wonderously,wonderously,s,UNRECOGNIZED,0
she,she,s,PersonPronoun,0
was,was,s,ProjectBack,0
provoked,provoked,c,ReportingStates,0
",",",",s,ReportingStates,1
how,how,s,,0
virtuously,virtuously,s,StandardsPos,0
she,she,s,PersonPronoun,0
fled,fled,c,ReportingStates,0
",",",",n,ReportingStates,1
The,the,s,Intensity,0
strong,strong,s,Intensity,1
assaults,assaults,s,Negative_Relation,0
of,of,s,,0
wicked,wicked,s,StandardsNeg,0
men,men,c,StandardsNeg,1
",",",",s,,0
that,that,s,,0
lecherous,lecherous,s,Negativity,0
lusts,lusts,s,Intensity,0
had,had,s,ProjectBack,0
led,led,c,ReportingStates,0
",",",",n,ReportingStates,1
To,to,s,,0
ravish,ravish,s,Intensity,0
her,her,c,PersonPronoun,0
",",",",s,,0
and,and,s,,0
to,to,s,,0
pollute,pollute,c,StandardsNeg,0
",",",",s,,0
her,her,s,PersonPronoun,0
chaste,chaste,s,StandardsPos,0
and,and,s,,0
wifely,wifely,s,PersonProperty,0
view,view,c,SenseProperty,0
",",",",n,,0
This,this,s,ReportingStates,0
is,is,s,ReportingStates,1
the,the,s,,0
sum,sum,s,AbstractConcepts,0
of,of,s,Specifiers,0
all,all,s,Specifiers,1
that,that,s,,0
shall,shall,s,ProjectAhead,0
be,be,s,ProjectAhead,1
showed,showed,s,ReportingEvents,0
unto,unto,s,CommonAuthorities,0
you,you,c,DirectAddress,0
",",",",n,,0
And,and,s,,0
though,though,s,Concessive,0
perchance,perchance,s,Contingency,0
some,some,s,Uncertainty,0
wanton,wanton,s,StandardsNeg,0
word,word,c,LangRef,0
",",",",s,,0
do,do,s,Intensity,0
pass,pass,s,ReportingEvents,0
which,which,s,Uncertainty,0
may,may,s,Uncertainty,1
not,not,s,DenyDisclaim,0
seem,seem,n,Uncertainty,0
Or,or,s,,0
gestures,gestures,s,Motions,0
light,light,s,SenseProperty,0
not,not,s,DenyDisclaim,0
meet,meet,s,ReportingEvents,0
for,for,s,,0
