VIctorious,victorious,s,Positivity,0
Princes,princes,s,PersonProperty,0
summond,summond,s,UNRECOGNIZED,0
to,to,s,,0
appear,appear,n,SubjectivePercept,0
Within,within,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Continent,continent,s,SpaceRelation,2
of,of,s,,0
Africa,africa,c,,0
",",",",n,,0
From,from,s,,0
seauenfold,seauenfold,s,UNRECOGNIZED,0
Nylus,nylus,s,UNRECOGNIZED,0
to,to,s,,0
Taprobany,taprobany,c,UNRECOGNIZED,0
",",",",n,SpaceRelation,0
Where,where,s,SpaceRelation,1
fair,fair,s,StandardsPos,0
Apollo,apollo,s,UNRECOGNIZED,0
darting,darting,s,Motions,0
forth,forth,s,SpaceRelation,0
his,his,s,PersonPronoun,0
light,light,n,SenseProperty,0
Plays,plays,s,ReportingEvents,0
on,on,s,ReportingEvents,1
the,the,s,,0
Seas,seas,c,SenseObject,0
.,.,n,,0
From,from,s,,0
Gadis,gadis,s,UNRECOGNIZED,0
Islands,islands,s,SenseObject,0
where,where,s,,0
stowt,stowt,s,UNRECOGNIZED,0
Hercules,hercules,c,AbstractConcepts,0
",",",",n,,0
Imblasde,imblasde,s,UNRECOGNIZED,0
his,his,s,PersonPronoun,0
trophies,trophies,s,StandardsPos,0
on,on,s,,0
two,two,s,Numbers,0
posts,posts,s,AbstractConcepts,0
of,of,s,,0
brass,brass,c,SenseObject,0
",",",",n,,0
To,to,s,,0
Tanais,tanais,s,UNRECOGNIZED,0
whose,whose,s,PersonPronoun,0
swift,swift,s,SenseProperty,0
declining,declining,s,Negativity,0
floods,floods,c,SenseObject,0
",",",",n,,0
Inuirons,inuirons,s,UNRECOGNIZED,0
rich,rich,s,Positivity,0
Europa,europa,s,UNRECOGNIZED,0
to,to,s,SpaceRelation,0
the,the,s,SpaceRelation,1
North,north,c,SpaceRelation,2
",",",",n,Generalization,0
All,all,s,Generalization,1
fetched,fetched,s,SceneShift,0
from,from,s,SceneShift,1
out,out,s,DirectAddress,0
your,your,s,DirectAddress,1
Courts,courts,s,,0
by,by,s,,0
beauty,beauty,s,StandardsPos,0
