Our,our,s,Inclusive,0
heavenly,heavenly,s,Positivity,0
blessing,blessing,c,StandardsPos,0
",",",",s,,0
be,be,s,SpaceRelation,0
with,with,s,SpaceRelation,1
you,you,s,DirectAddress,0
euerychone,euerychone,nn,UNRECOGNIZED,0
All,all,s,,0
praise,praise,s,StandardsPos,0
and,and,s,,0
glory,glory,c,StandardsPos,0
",",",",s,,0
to,to,s,DirectAddress,0
your,your,s,DirectAddress,1
majesty,majesty,s,CommonAuthorities,0
alone,alone,c,SpaceRelation,0
.,.,nnn,SpaceRelation,0
Here,here,s,SpaceRelation,1
still,still,s,ProjectAhead,0
to,to,s,ProjectAhead,1
tarry,tarry,c,SubjectiveTime,0
",",",",s,,0
I,i,s,SelfDisclosure,0
think,think,s,SelfDisclosure,1
it,it,s,Contingency,0
be,be,s,Contingency,1
your,your,s,DirectAddress,0
mind,mind,c,DirectAddress,1
.,.,nnn,,0
My,my,s,FirstPer,0
office,office,s,SenseObject,0
ye,ye,s,OralCues,0
know,know,c,Confidence,0
",",",",s,,0
is,is,s,ProjectAhead,0
to,to,s,ProjectAhead,1
instruct,instruct,s,ReportingEvents,0
Mankind,mankind,c,AbstractConcepts,0
.,.,nnn,,0
Than,than,s,Comparison,0
God,god,s,CommonAuthorities,0
be,be,s,SpaceRelation,0
with,with,s,SpaceRelation,1
you,you,c,DirectAddress,0
",",",",s,,0
we,we,s,,0
leave,leave,s,,0
you,you,s,DirectAddress,0
here,here,s,SpaceRelation,0
behind,behind,c,,0
.,.,nnn,,0
THe,the,s,CommonAuthorities,0
law,law,s,CommonAuthorities,1
in,in,s,,0
effect^,effect^,c,UNRECOGNIZED,0
",",",",s,ReportingStates,0
is,is,s,ReportingStates,1
a,a,s,ReportingStates,2
teacher,teacher,s,PersonProperty,0
general,general,n,AbstractConcepts,0
What,what,s,ProjectAhead,0
is,is,s,ProjectAhead,1
to,to,s,ProjectAhead,2
be,be,s,ProjectAhead,3
done,done,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
what,what,s,Curiosity,0
to,to,s,Curiosity,1
be,be,s,ReportingStates,0
laid,laid,s,ReportingEvents,0
aside,aside,n,SpaceRelation,0
But,but,s,Resistance,0
as,as,s,,0
touching,touching,s,Motions,0
me,me,c,FirstPer,0
*,*,s,,0
the,the,s,,0
first,first,s,CommonAuthorities,0
law,law,s,CommonAuthorities,1
natural,natural,n,AbstractConcepts,0
A,a,s,,0
knowledge,knowledge,s,CommonAuthorities,0
I,i,s,SelfDisclosure,0
am,am,c,SelfDisclosure,1
",",",",s,,0
whom,whom,s,PersonPronoun,0
God,god,s,CommonAuthorities,0
in,in,s,TimeDuration,0
Man,man,s,TimeDuration,1
does,does,s,ReportingEvents,0
hyde,hyde,n,,0
In,in,s,Specifiers,0
his,his,s,Specifiers,1
whole,whole,s,,0
workynge,workynge,c,UNRECOGNIZED,0
",",",",s,,0
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
