SI,si,s,SenseProperty,0
quisquam,quisquam,s,UNRECOGNIZED,0
est,est,c,AbstractConcepts,0
",",",",s,,0
qui,qui,s,AbstractConcepts,0
placere,placere,s,UNRECOGNIZED,0
se,se,s,AbstractConcepts,0
stu^at,stu^at,s,UNRECOGNIZED,0
bonis,bonis,s,,0
Quam,quam,s,,0
plurim^s,plurim^s,c,UNRECOGNIZED,0
",",",",s,,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
mini^e,mini^e,n,UNRECOGNIZED,0
multos,multos,s,UNRECOGNIZED,0
laedere,laedere,c,UNRECOGNIZED,0
",",",",s,,0
In,in,s,Specifiers,0
his,his,s,Specifiers,1
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
hic,hic,s,SenseProperty,0
nomen,nomen,s,AbstractConcepts,0
profite^ur,profite^ur,s,UNRECOGNIZED,0
suum,suum,c,SenseProperty,0
.,.,nnn,Question,0
What,what,c,Question,1
?,?,s,Question,0
shall,shall,s,Future_Question,0
we,we,s,Future_Question,1
have,have,s,,0
Latin,latin,s,AbstractConcepts,0
again,again,c,RecurringEvents,0
?,?,s,Question,0
Master,master,s,PersonProperty,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
yongster,yongster,c,UNRECOGNIZED,0
.,.,s,,0
I,i,s,FirstPer,0
pRay,pray,s,Intensity,0
you,you,s,DirectAddress,0
go,go,s,ReportingEvents,0
to,to,n,ReportingEvents,1
the,the,s,ReportingEvents,2
University,university,c,CommonAuthorities,0
",",",",s,,0
and,and,s,,0
set,set,s,Sequence,0
up,up,s,Sequence,1
your,your,s,DirectAddress,0
Stage,stage,s,SenseObject,0
there,there,nnn,,0
What,what,c,,0
",",",",s,,0
Mist^esse,mist^esse,s,UNRECOGNIZED,0
Lala,lala,s,UNRECOGNIZED,0
Spinster,spinster,c,PersonProperty,0
?,?,s,Question,0
content,content,s,AbstractConcepts,0
yourselfe,yourselfe,c,UNRECOGNIZED,0
",",",",s,,0
I,i,s,FirstPer,0
now,now,s,Immediacy,0
repeat,repeat,s,RecurringEvents,0
that,that,s,Specifiers,0
which,which,s,Specifiers,1
is,is,n,ReportingStates,0
past,past,c,AbstractConcepts,0
",",",",s,,0
I,i,s,FirstPer,0
do,do,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
represent,represent,s,ReportingEvents,0
that,that,s,Specifiers,0
which,which,s,Specifiers,1
is,is,s,Immediacy,0
present,present,nnn,Immediacy,1
I,i,s,FirstPer,0
pray,pray,s,Intensity,0
you,you,s,Sequence,0
then,then,s,Sequence,1
tell,tell,s,Citations,0
us,us,s,Citations,1
so,so,s,Intensity,0
much,much,s,Intensity,1
in,in,s,,0
honest,honest,s,StandardsPos,0
English,english,c,AbstractConcepts,0
.,.,nnn,,0
I,i,s,FirstPer,0
will,will,c,PredictedFuture,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
your,your,s,DirectAddress,0
sake,sake,c,SenseObject,0
.,.,nnn,,0
For,for,s,,0
mine,mine,c,FirstPer,0
?,?,s,Question,0
nay,nay,c,OralCues,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
every,every,s,Generalization,0
she,she,c,PersonPronoun,0
",",",",n,,0
Whom,whom,s,PersonPronoun,0
here,here,s,DirectAddress,0
you,you,s,DirectAddress,1
see,see,c,,0
:,:,n,,0
And,and,s,,0
for,for,s,Inclusive,0
our,our,s,Inclusive,1
honest,honest,s,StandardsPos,0
neig^bours,neig^bours,c,UNRECOGNIZED,0
",",",",s,,0
many,many,s,,0
a,a,s,Positivity,0
good,good,s,Positivity,1
man,man,s,PersonProperty,0
that,that,s,DenyDisclaim,0
never,never,n,DenyDisclaim,1
Was,was,s,ProjectBack,0
infected,infected,s,StandardsNeg,0
with,with,s,Specifiers,0
this,this,s,Specifiers,1
rauing,rauing,s,UNRECOGNIZED,0
latin^,latin^,s,UNRECOGNIZED,0
ever,ever,c,Biographical_Time,0
.,.,nn,Imperative,0
Keep,keep,s,Imperative,1
silence,silence,c,SenseProperty,0
",",",",s,,0
thou,thou,s,DirectAddress,0
party-col^ured,party-col^ured,s,UNRECOGNIZED,0
chattering,chattering,s,SenseProperty,0
Mappy,mappy,c,UNRECOGNIZED,0
.,.,nnn,,0
^,^,c,UNRECOGNIZED,0
en,en,s,SpaceRelation,0
speak,speak,s,ReportingEvents,0
sense,sense,c,AbstractConcepts,0
",",",",s,,0
thou,thou,s,DirectAddress,0
iabbe^ing,iabbe^ing,s,UNRECOGNIZED,0
al,al,c,,0
*,*,s,,0
black,black,s,SenseProperty,0
Iackdaw,iackdaw,c,UNRECOGNIZED,0
",",",",s,,0
with,with,s,Specifiers,0
a,a,s,Specifiers,1
green,green,s,SenseProperty,0
coxcom^e,coxcom^e,c,UNRECOGNIZED,0
.,.,nnn,,0
Good,good,s,StandardsPos,0
men,men,c,StandardsPos,1
",",",",s,,0
good,good,s,,0
wives,wives,c,PersonProperty,0
",",",",s,,0
good,good,s,,0
^,^,c,UNRECOGNIZED,0
nds,nds,c,UNRECOGNIZED,0
",",",",s,,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
^,^,c,UNRECOGNIZED,0
ds,ds,c,UNRECOGNIZED,0
",",",",s,,0
good,good,s,,0
boys,boys,c,PersonProperty,0
.,.,nnn,,0
I,i,s,FirstPer,0
many,many,c,,0
",",",",s,,0
this,this,s,,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
for,for,s,,0
my,my,s,FirstPer,0
stomach,stomach,c,SenseObject,0
",",",",s,,0
^,^,c,UNRECOGNIZED,0
me,me,s,FirstPer,0
in,in,s,,0
the,the,s,,0
^,^,c,UNRECOGNIZED,0
ber,ber,s,UNRECOGNIZED,0
of,of,s,,0
the,the,s,,0
fourth,fourth,s,Sequence,0
rank,rank,c,,0
.,.,nnn,Question,0
Who,who,s,Question,1
meet,meet,c,ReportingEvents,0
",",",",s,,0
to,to,s,ProjectAhead,0
see,see,c,ProjectAhead,1
",",",",s,,0
and,and,s,,0
hear,hear,s,SpaceRelation,0
our,our,s,Inclusive,0
childish,childish,s,Anger,0
t^yes,t^yes,c,UNRECOGNIZED,0
.,.,nnn,OralCues,0
Well,well,s,OralCues,1
said,said,c,Citations,0
",",",",s,,0
such,such,s,Intensity,0
easy,easy,s,Positivity,0
drops,drops,s,,0
sink,sink,s,Motions,0
well,well,s,MatureProcess,0
into,into,s,MatureProcess,1
our,our,s,Inclusive,0
br^ines,br^ines,c,UNRECOGNIZED,0
.,.,nnn,,0
Of,of,s,Immediacy,0
late,late,s,Immediacy,1
ye,ye,s,OralCues,0
know,know,c,Confidence,0
",",",",s,,0
if,if,s,Contingency,0
ye,ye,s,OralCues,0
have,have,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
mistook,mistook,s,StandardsNeg,0
us,us,c,Inclusive,0
.,.,nnn,Intensity,0
I,i,s,Intensity,1
do,do,s,Intensity,2
not,not,s,DenyDisclaim,0
^,^,c,UNRECOGNIZED,0
istake,istake,s,UNRECOGNIZED,0
you,you,s,DirectAddress,0
now,now,c,Updates,0
",",",",s,Updates,1
you,you,s,DirectAddress,0
take,take,s,ReportingEvents,0
us,us,s,Inclusive,0
very,very,s,StandardsPos,0
well,well,s,StandardsPos,1
with,with,s,DirectAddress,0
your,your,s,DirectAddress,1
pl^ne,pl^ne,s,UNRECOGNIZED,0
dealing,dealing,n,ReportingEvents,0
English,english,s,AbstractConcepts,0
Poetry,poetry,nnn,LangRef,0
We,we,s,,0
acted,acted,s,ReportingEvents,0
Comicke,comicke,s,UNRECOGNIZED,0
Terence,terence,s,UNRECOGNIZED,0
his,his,s,PersonPronoun,0
Eunuebus,eunuebus,c,UNRECOGNIZED,0
.,.,nnn,,0
Eunuchus,eunuchus,c,UNRECOGNIZED,0
!,!,s,,0
Out,out,s,,0
upon,upon,s,Immediacy,0
him,him,c,Immediacy,1
",",",",s,,0
and,and,s,,0
thee,thee,s,DirectAddress,0
too,too,c,Metadiscourse,0
",",",",s,Metadiscourse,1
and,and,s,Generalization,0
all,all,s,Generalization,1
of,of,s,,0
his,his,s,PersonPronoun,0
kin,kin,c,PersonProperty,0
.,.,s,,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
heard,heard,s,Updates,0
my,my,n,FirstPer,0
brother,brother,s,PersonProperty,0
say,say,c,Citations,0
",",",",s,,0
that,that,s,,0
this,this,s,,0
same,same,s,Comparison,0
Eunuchus,eunuchus,s,UNRECOGNIZED,0
is,is,s,ReportingStates,0
a,a,s,ReportingStates,1
man,man,s,PersonProperty,0
and,and,s,,0
no,no,s,DenyDisclaim,0
man,man,nn,DenyDisclaim,1
The,the,s,Intensity,0
very,very,s,Intensity,1
scorn,scorn,s,Negative_Relation,0
and,and,s,,0
hate,hate,s,Negativity,0
of,of,s,,0
w^men,w^men,c,UNRECOGNIZED,0
.,.,nn,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
be,be,s,PredictedFuture,1
sure,sure,c,ConfirmedThght,0
",",",",s,ConfirmedThght,1
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),c,,0
",",",",s,,0
d^aw,d^aw,s,UNRECOGNIZED,0
and,and,s,Negativity,0
quarter,quarter,s,Negativity,1
him,him,c,PersonPronoun,0
;,;,s,,0
and,and,s,,0
for,for,s,SelfDisclosure,0
my,my,s,SelfDisclosure,1
part,part,c,SelfDisclosure,2
",",",",s,,0
si^,si^,n,UNRECOGNIZED,0
Prologue,prologue,c,Sequence,0
",",",",nn,,0
I,i,s,FirstPer,0
^,^,c,UNRECOGNIZED,0
ad,ad,s,SenseObject,0
rather,rather,s,Resistance,0
ye,ye,s,OralCues,0
should,should,s,Insist,0
^,^,c,UNRECOGNIZED,0
at,at,s,Motions,0
us,us,c,Motions,1
",",",",nn,,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
thus,thus,s,ReasonForward,0
defeat,defeat,s,Negativity,0
us,us,c,Inclusive,0
",",",",nn,,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
us,us,c,Inclusive,0
",",",",nn,,0
Then,then,s,,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
v^,v^,nnn,UNRECOGNIZED,0
For,for,s,,0
my,my,s,FirstPer,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
dame,dame,s,SenseObject,0
Lall,lall,c,UNRECOGNIZED,0
",",",",s,,0
I,i,s,FirstPer,0
do,do,s,Intensity,0
but,but,s,Resistance,0
act,act,s,,0
my,my,s,FirstPer,0
part,part,c,,0
",",",",s,,0
you,you,s,Insist,0
must,must,s,Insist,1
not,not,s,DenyDisclaim,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),c,,0
.,.,nnn,,0
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
you,you,c,DirectAddress,0
",",",",s,,0
unless,unless,s,DirectAddress,0
you,you,s,DirectAddress,1
name,name,s,LangRef,0
that,that,s,,0
h^tefull,h^tefull,s,UNRECOGNIZED,0
bilding,bilding,s,UNRECOGNIZED,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),c,,0
.,.,s,,0
O,o,n,LangRef,0
what,what,s,,0
a,a,s,,0
queame,queame,s,UNRECOGNIZED,0
he,he,s,Neutral_Attribution,0
has,has,s,Neutral_Attribution,1
