DVke,dvke,s,UNRECOGNIZED,0
Rodorick,rodorick,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
my,my,s,FirstPer,0
noble,noble,s,StandardsPos,0
cozen,cozen,s,Negativity,0
Flaunders,flaunders,c,UNRECOGNIZED,0
",",",",n,,0
Are,are,s,DirectAddress,0
your,your,s,DirectAddress,1
Battalions,battalions,s,PersonProperty,0
ready,ready,s,ProjectAhead,0
for,for,s,ProjectAhead,1
the,the,s,,0
charge,charge,c,AbstractConcepts,0
?,?,n,Question,0
Ten,ten,s,Numbers,0
thousand,thousand,s,Numbers,1
men,men,s,PersonProperty,0
of,of,s,PersonProperty,1
Orleance,orleance,s,UNRECOGNIZED,0
I,i,s,FirstPer,0
command,command,c,CommonAuthorities,0
",",",",n,,0
And,and,s,,0
those,those,s,ReportingStates,0
are,are,s,ReportingStates,1
bravely,bravely,s,StandardsPos,0
marshald,marshald,s,UNRECOGNIZED,0
on,on,s,,0
the,the,s,SenseProperty,0
plain,plain,c,SenseProperty,1
",",",",n,,0
Ready,ready,s,ProjectAhead,0
to,to,s,ProjectAhead,1
be,be,s,ReportingStates,0
commanded,commanded,s,ReportingEvents,0
by,by,s,DirectAddress,0
your,your,s,DirectAddress,1
Highness,highness,c,CommonAuthorities,0
",",",",nn,,0
As,as,s,,0
many,many,s,Specifiers,0
of,of,s,Specifiers,1
the,the,s,Specifiers,2
warlike,warlike,s,SubjectivePercept,0
brood,brood,s,SenseObject,0
of,of,s,SenseObject,1
Mar^,mar^,n,UNRECOGNIZED,0
Do,do,s,Intensity,0
call,call,s,Request,0
me,me,s,Request,1
General,general,c,AbstractConcepts,0
:,:,s,,0
those,those,c,,0
",",",",s,,0
my,my,s,FirstPer,0
gracious,gracious,s,StandardsPos,0
Lord,lord,c,CommonAuthorities,0
",",",",n,,0
Together,together,s,Inclusive,0
with,with,s,Inclusive,1
my,my,s,FirstPer,0
self,self,s,SubjectivePercept,0
I,i,s,Insist,0
recommend,recommend,c,Insist,1
",",",",n,,0
To,to,s,GenericEvents,0
be,be,s,GenericEvents,1
commanded,commanded,s,ReportingEvents,0
by,by,s,DirectAddress,0
your,your,s,DirectAddress,1
Majesty,majesty,c,CommonAuthorities,0
.,.,nn,,0
Thanks,thanks,c,Acknowledge,0
",",",",s,,0
Earl,earl,s,PersonProperty,0
of,of,s,,0
Flaunders,flaunders,c,UNRECOGNIZED,0
",",",",s,,0
Duke,duke,s,CommonAuthorities,0
of,of,s,,0
Orleance,orleance,c,UNRECOGNIZED,0
",",",",s,,0
thanks,thanks,c,Acknowledge,0
",",",",n,,0
What,what,s,,0
lets,lets,s,DirectAddress,0
us,us,s,DirectAddress,1
that,that,s,Inclusive,0
we,we,s,Inclusive,1
charge,charge,s,AbstractConcepts,0
not,not,s,DenyDisclaim,0
on,on,s,,0
the,the,s,,0
Foe,foe,c,Negative_Relation,0
?,?,nn,Question,0
My,my,s,DirectAddress,0
Lord,lord,s,DirectAddress,1
of,of,s,,0
Pembrooke,pembrooke,c,UNRECOGNIZED,0
",",",",s,,0
are,are,s,DirectAddress,0
your,your,s,DirectAddress,1
Englishmen,englishmen,n,UNRECOGNIZED,0
Squadron'd,squadron'd,s,UNRECOGNIZED,0
with,with,s,,0
ours,ours,c,Inclusive,0
",",",",s,,0
and,and,s,,0
ready,ready,s,ProjectAhead,0
for,for,s,ProjectAhead,1
the,the,s,,0
charge,charge,c,AbstractConcepts,0
?,?,nn,Question,0
The,the,s,,0
French,french,s,AbstractConcepts,0
and,and,s,AbstractConcepts,1
English,english,s,AbstractConcepts,2
make,make,s,ReportingEvents,0
one,one,s,ReportingEvents,1
warlike,warlike,s,SubjectivePercept,0
body,body,c,SenseObject,0
",",",",n,,0
Whereof,whereof,s,CommonAuthorities,0
your,your,s,DirectAddress,0
Highness,highness,s,CommonAuthorities,0
is,is,s,ReportingStates,0
the,the,s,ReportingStates,1
moving,moving,s,,0
head,head,c,SenseObject,0
:,:,n,,0
Or,or,s,,0
peace,peace,s,StandardsPos,0
or,or,s,,0
war,war,c,GenericEvents,0
",",",",s,,0
as,as,s,,0
pleases,pleases,s,Positivity,0
you,you,c,DirectAddress,0
",",",",s,,0
direct,direct,c,ReportingEvents,0
.,.,nn,Sequence,0
Then,then,s,Sequence,1
war,war,c,GenericEvents,0
;,;,s,,0
and,and,s,,0
give,give,s,ReportingEvents,0
the,the,s,ReportingEvents,1
signal,signal,s,ReportingEvents,2
through,through,s,,0
the,the,s,,0
Host,host,c,PersonProperty,0
.,.,nn,,0
Nauar,nauar,c,UNRECOGNIZED,0
",",",",s,,0
Nauar,nauar,c,UNRECOGNIZED,0
",",",",s,,0
submission,submission,s,AbstractConcepts,0
were,were,s,ProjectBack,0
more,more,s,Comparison,0
meet,meet,c,ReportingEvents,0
",",",",n,,0
Then,then,s,TimeShift,0
to,to,s,TimeShift,1
add,add,s,ReportingEvents,0
blood,blood,s,SenseObject,0
to,to,s,,0
wrong,wrong,c,StandardsNeg,0
.,.,nn,Question,0
What,what,s,Question,1
wrong,wrong,c,StandardsNeg,0
",",",",s,,0
King,king,s,PersonProperty,0
Jews,jews,c,PersonProperty,0
?,?,n,Question,0
The,the,s,,0
Kingdom,kingdom,s,CommonAuthorities,0
of,of,s,,0
Nauar,nauar,s,UNRECOGNIZED,0
we,we,s,,0
will,will,s,PredictedFuture,0
acknowledge,acknowledge,n,Acknowledge,0
To,to,s,,0
hold,hold,s,,0
of,of,s,,0
none,none,s,DenyDisclaim,0
but,but,s,Resistance,0
of,of,s,,0
the,the,s,SenseObject,0
King,king,s,SenseObject,1
of,of,s,,0
Kings,kings,c,PersonProperty,0
.,.,nn,,0
Three,three,s,Numbers,0
hundred,hundred,s,Numbers,1
years,years,s,TimeDuration,0
prescriptions,prescriptions,s,CommonAuthorities,0
on,on,s,Inclusive,0
our,our,s,Inclusive,1
sides,sides,c,AbstractConcepts,0
*,*,n,,0
So,so,s,SubjectiveTime,0
long,long,s,SubjectiveTime,1
thy,thy,s,DirectAddress,0
Ancestors,ancestors,s,ProjectBack,0
by,by,s,,0
^^,^^,c,UNRECOGNIZED,0
al^y,al^y,n,UNRECOGNIZED,0
Have,have,s,,0
held,held,s,ReportingEvents,0
thy,thy,s,DirectAddress,0
Kingdom,kingdom,s,CommonAuthorities,0
of,of,s,CommonAuthorities,0
the,the,s,CommonAuthorities,1
Crown,crown,s,CommonAuthorities,2
of,of,s,,0
France,france,c,,0
.,.,nn,Imperative,0
Talk,talk,s,Imperative,1
not,not,s,DenyDisclaim,0
of,of,s,,0
years,years,c,TimeDuration,0
",",",",s,,0
years,years,s,TimeDuration,0
limit,limit,s,AbstractConcepts,0
not,not,s,DenyDisclaim,0
a,a,s,DenyDisclaim,1
Crown,crown,c,SenseObject,0
",",",",n,,0
There,there,s,DenyDisclaim,0
Is,is,s,DenyDisclaim,1
no,no,s,DenyDisclaim,2
prescriptions,prescriptions,s,Insist,0
to,to,s,Insist,1
inthrall,inthrall,s,UNRECOGNIZED,0
a,a,s,SenseObject,0
King,king,c,SenseObject,1
:,:,n,,0
He,he,s,PersonPronoun,0
finds,finds,s,SubjectivePercept,0
it,it,s,SubjectivePercept,1
written,written,s,LangRef,0
in,in,s,LangRef,1
the,the,s,,0
Rowles,rowles,s,UNRECOGNIZED,0
of,of,s,SubjectiveTime,0
time,time,c,SubjectiveTime,1
",",",",n,,0
