Unmask,unmask,s,Disclosure,0
thy,thy,s,DirectAddress,0
face,face,s,SenseObject,0
thou,thou,s,DirectAddress,0
minister,minister,s,CommonAuthorities,0
of,of,s,SubjectiveTime,0
Time,time,n,SubjectiveTime,1
Look,look,s,ReportingEvents,0
forth,forth,s,ReportingEvents,1
bright,bright,s,Positivity,0
mirror,mirror,c,SenseObject,0
",",",",s,,0
let,let,s,ReportingEvents,0
thy,thy,s,DirectAddress,0
golded,golded,s,UNRECOGNIZED,0
hand,hand,c,SenseObject,0
",",",",n,,0
Ride,ride,s,,0
(,(,c,,0
with,with,s,,0
distinctlesse,distinctlesse,s,UNRECOGNIZED,0
motion,motion,c,Motions,0
),),s,,0
on,on,s,,0
the,the,s,,0
eyes,eyes,n,SenseObject,0
Of,of,s,Specifiers,0
this,this,s,Specifiers,1
fair,fair,s,StandardsPos,0
Chorus,chorus,c,PersonProperty,0
",",",",s,,0
till,till,s,Motions,0
the,the,s,Motions,1
Reign,reign,s,CommonAuthorities,0
of,of,s,CommonAuthorities,1
Peace,peace,c,StandardsPos,0
",",",",n,,0
Has,has,s,,0
propagated,propagated,s,Transformation,0
Plenty,plenty,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
increase,increase,c,Transformation,0
.,.,n,,0
Now,now,s,Immediacy,0
sit,sit,s,SenseProperty,0
we,we,s,,0
high,high,s,,0
(,(,c,,0
tryumphant,tryumphant,s,UNRECOGNIZED,0
in,in,s,Inclusive,0
our,our,s,Inclusive,1
sway,sway,c,Motions,0
",",",",c,,0
),),n,,0
Encircled,encircled,s,SpaceRelation,0
with,with,s,SpaceRelation,1
the,the,s,,0
seauen-fold,seauen-fold,s,UNRECOGNIZED,0
flower,flower,s,SenseObject,0
of,of,s,,0
Art,art,c,AbstractConcepts,0
",",",",n,,0
To,to,s,,0
tread,tread,s,Motions,0
on,on,s,Motions,1
Barbarism,barbarism,s,Negativity,0
with,with,s,,0
silver,silver,s,SenseObject,0
feet,feet,c,SenseObject,0
;,;,n,,0
These,these,c,Immediacy,0
",",",",s,Immediacy,1
these,these,s,ReportingStates,0
are,are,s,ReportingStates,1
adjuncts,adjuncts,s,Specifiers,0
fit,fit,s,ProjectAhead,0
to,to,s,ProjectAhead,1
wait,wait,s,SpaceRelation,0
on,on,s,SpaceRelation,1
Peace,peace,c,StandardsPos,0
",",",",n,,0
Who,who,s,,0
being,being,s,Positivity,0
courted,courted,s,Positivity,1
by,by,s,,0
most,most,s,Comparison,0
searching,searching,s,SpaceRelation,0
spirits,spirits,c,SubjectivePercept,0
",",",",n,,0
Have,have,s,RecurringEvents,0
always,always,s,RecurringEvents,1
borne,borne,s,ReportingEvents,0
themselves,themselves,s,PersonPronoun,0
in,in,s,,0
God-like,god-like,s,StandardsPos,0
state,state,c,,0
",",",",n,,0
With,with,s,,0
lofty,lofty,s,StandardsPos,0
foreheads,foreheads,c,SenseObject,0
",",",",s,,0
higher,higher,s,Comparison,0
then,then,s,,0
the,the,s,,0
stars,stars,c,SenseObject,0
.,.,n,MoveBody,0
Draw,draw,s,MoveBody,1
near,near,s,SpaceRelation,0
fair,fair,s,StandardsPos,0
Daughters,daughters,s,PersonProperty,0
of,of,s,,0
eternity,eternity,c,SubjectiveTime,0
",",",",n,,0
Your,your,s,DirectAddress,0
Fostresse,fostresse,s,UNRECOGNIZED,0
Peace,peace,c,StandardsPos,0
",",",",s,,0
is,is,s,ReportingStates,0
(,(,c,,0
like,like,s,Resemblances,0
the,the,s,Resemblances,1
aged,aged,s,SenseProperty,0
Nursse,nursse,c,UNRECOGNIZED,0
),),n,,0
Grown,grown,s,ReportingEvents,0
proud,proud,s,StandardsPos,0
to,to,s,ProjectAhead,0
see,see,s,ProjectAhead,1
her,her,s,PersonPronoun,0
Children,children,s,PersonProperty,0
