GRacious,gracious,s,StandardsPos,0
Spectators,spectators,c,PersonProperty,0
",",",",s,,0
not,not,s,DenyDisclaim,0
to,to,s,DenyDisclaim,1
vex,vex,s,Negativity,0
your,your,s,DirectAddress,0
ears,ears,n,SenseObject,0
With,with,s,,0
some,some,s,Uncertainty,0
old,old,s,SenseProperty,0
Negative,negative,s,Negativity,0
Prologue,prologue,c,Sequence,0
",",",",s,,0
saying,saying,c,Citations,0
",",",",s,,0
Here,here,s,Immediacy,0
Is,is,n,Immediacy,1
No,no,s,DenyDisclaim,0
Soldier,soldier,c,PersonProperty,0
",",",",s,,0
no,no,s,DenyDisclaim,0
Parasite,parasite,c,Negativity,0
",",",",s,,0
no,no,s,DenyDisclaim,0
Whore,whore,c,Negativity,0
",",",",n,,0
No,no,s,DenyDisclaim,0
Baud,baud,s,AbstractConcepts,0
(,(,c,,0
for,for,s,Specifiers,0
many,many,s,Specifiers,1
understand,understand,s,PrivateThinking,0
no,no,s,DenyDisclaim,0
more,more,n,DenyDisclaim,1
Then,then,s,,0
such,such,s,Intensity,0
cheap,cheap,s,SubjectivePercept,0
stage-ware,stage-ware,c,UNRECOGNIZED,0
),),s,,0
to,to,s,,0
unfold,unfold,s,ReportingEvents,0
our,our,s,Inclusive,0
Scene,scene,c,AbstractConcepts,0
",",",",n,,0
And,and,s,,0
without,without,s,Contingency,0
veil,veil,s,SenseObject,0
to,to,s,,0
Open,open,s,,0
what,what,s,,0
we,we,s,,0
mean,mean,n,,0
Behold,behold,c,SpaceRelation,0
.,.,n,Question,0
Has,has,s,Question,1
here,here,s,SpaceRelation,0
invited,invited,s,ReportingEvents,0
Heaven,heaven,s,Positivity,0
and,and,s,Generalization,0
All,all,s,Generalization,1
the,the,s,,0
Arts,arts,n,AbstractConcepts,0
To,to,s,,0
entertayne,entertayne,s,UNRECOGNIZED,0
His,his,s,PersonPronoun,0
Theater,theater,c,SenseObject,0
",",",",s,,0
and,and,s,,0
does,does,s,ReportingEvents,0
bring,bring,n,,0
What,what,s,,0
he,he,s,Neutral_Attribution,0
prepared,prepared,s,Neutral_Attribution,1
for,for,s,Inclusive,0
our,our,s,Inclusive,1
Platonique,platonique,s,UNRECOGNIZED,0
