NOw,now,s,Immediacy,0
stand,stand,s,AbstractConcepts,0
ye,ye,s,OralCues,0
forth,forth,s,SpaceRelation,0
my,my,s,FirstPer,0
merry,merry,s,PersonProperty,0
men,men,s,PersonProperty,1
all,all,n,,0
and,and,s,,0
hark,hark,s,Immediacy,0
what,what,s,,0
I,i,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
say,say,c,Citations,0
",",",",n,,0
Of,of,s,,0
an,an,s,,0
adventure,adventure,s,SceneShift,0
I,i,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
you,you,s,DirectAddress,0
tell,tell,n,,0
the,the,s,,0
which,which,s,,0
befell,befell,s,Negativity,0
this,this,s,,0
other,other,s,Specifiers,0
day,day,c,TimeDuration,0
.,.,n,,0
As,as,s,SelfDisclosure,0
I,i,s,SelfDisclosure,1
went,went,s,TimeDuration,0
by,by,s,TimeDuration,1
the,the,s,,0
high,high,s,,0
way,way,n,AbstractConcepts,0
with,with,s,Specifiers,0
a,a,s,Specifiers,1
stout,stout,s,SenseProperty,0
Friar,friar,s,PersonProperty,0
I,i,s,FirstPer,0
met,met,c,ReportingStates,0
.,.,n,ReportingStates,1
And,and,s,,0
a,a,s,,0
quarter,quarter,s,,0
staff,staff,s,SenseObject,0
in,in,s,Specifiers,0
his,his,s,Specifiers,1
hand,hand,c,SenseObject,0
",",",",n,,0
lightly,lightly,s,SubjectivePercept,0
to,to,s,SelfDisclosure,0
me,me,s,SelfDisclosure,1
he,he,s,PersonPronoun,0
leapt,leapt,n,ReportingEvents,0
And,and,s,Updates,0
still,still,s,Updates,1
he,he,s,Updates,2
bad,bad,s,Negativity,0
me,me,s,FirstPer,0
stand,stand,c,AbstractConcepts,0
.,.,n,,0
there,there,s,ProjectBack,0
were,were,s,ProjectBack,1
stripes,stripes,s,Motions,0
two,two,s,Numbers,0
or,or,s,Numbers,1
three,three,c,Numbers,2
",",",",n,Resistance,0
But,but,s,Resistance,1
I,i,s,Insist,0
cannot,cannot,s,Insist,1
tell,tell,s,,0
who,who,s,ProjectBack,0
had,had,s,ProjectBack,1
