WHy,why,s,Curiosity,0
is,is,s,Curiosity,1
there,there,s,DenyDisclaim,0
no,no,s,DenyDisclaim,1
curtesy^,curtesy^,s,UNRECOGNIZED,0
now,now,s,Immediacy,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
come,come,n,ReportingEvents,0
I,i,s,FirstPer,0
t^owe,t^owe,s,UNRECOGNIZED,0
that,that,s,Generalization,0
all,all,s,Generalization,1
the,the,s,PersonProperty,0
people,people,s,PersonProperty,1
be,be,s,ReportingStates,0
d^me,d^me,n,UNRECOGNIZED,0
Or,or,s,Contingency,0
else,else,s,Contingency,1
so,so,s,,0
god,god,s,CommonAuthorities,0
help,help,s,SelfDisclosure,0
me,me,s,SelfDisclosure,1
and,and,s,,0
halyd^^^,halyd^^^,n,UNRECOGNIZED,0
They,they,s,,0
were,were,s,ProjectBack,0
almost,almost,s,SubjectivePercept,0
a,a,s,,0
sleep,sleep,c,Motions,0
.,.,n,,0
No,no,s,DenyDisclaim,0
words,words,s,DenyDisclaim,1
I,i,s,FirstPer,0
hard,hard,c,,0
",",",",s,,0
no^,no^,s,UNRECOGNIZED,0
yet,yet,s,Resistance,0
no,no,s,DenyDisclaim,0
^^,^^,c,UNRECOGNIZED,0
lking,lking,n,UNRECOGNIZED,0
No,no,s,DenyDisclaim,0
instrument,instrument,s,AbstractConcepts,0
went,went,s,ReportingEvents,0
nor,nor,s,DenyDisclaim,0
ballattes,ballattes,s,UNRECOGNIZED,0
synging,synging,n,UNRECOGNIZED,0
What,what,s,,0
ails,ails,s,Negativity,0
you,you,s,DirectAddress,0
all,all,s,DirectAddress,1
thus,thus,s,ReasonForward,0
^^,^^,s,UNRECOGNIZED,0
sit,sit,s,SenseProperty,0
dreaming,dreaming,n,Positivity,0
Of,of,s,Positivity,1
whom,whom,s,PersonPronoun,0
take,take,s,ReportingEvents,0
ye,ye,s,OralCues,0
care,care,c,StandardsPos,0
?,?,n,Question,0
Of,of,s,,0
my,my,s,FirstPer,0
coming,coming,s,GenericEvents,0
ye,ye,s,OralCues,0
may,may,s,Contingency,0
be,be,s,Contingency,1
^,^,c,UNRECOGNIZED,0
l^d,l^d,n,UNRECOGNIZED,0
Therefore,therefore,s,ReasonForward,0
I,i,s,FirstPer,0
pray,pray,s,Intensity,0
you,you,s,DirectAddress,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),n,,0
For,for,s,DirectAddress,0
all,all,s,DirectAddress,1
your,your,s,DirectAddress,2
desire,desire,s,Positivity,0
shall,shall,s,ProjectAhead,0
be,be,s,ProjectAhead,1
had,had,n,Contingency,0
I,i,s,Contingency,1
can,can,s,Contingency,0
amend,amend,s,ReportingEvents,0
your,your,s,DirectAddress,0
che^^e,che^^e,n,UNRECOGNIZED,0
By,by,s,,0
God,god,s,CommonAuthorities,0
I,i,s,SelfDisclosure,0
think,think,s,SelfDisclosure,1
ye,ye,s,OralCues,0
have,have,s,Negativity,0
forgotten,forgotten,s,Negativity,1
me,me,c,FirstPer,0
.,.,n,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
wealth,wealth,s,StandardsPos,0
of,of,s,StandardsPos,1
this,this,s,,0
realm,realm,s,AbstractConcepts,0
look,look,s,SubjectivePercept,0
upon,upon,s,SubjectivePercept,1
me,me,n,FirstPer,0
For,for,s,ReasonForward,0
I,i,s,ReasonForward,1
am,am,s,ReasonForward,2
to,to,s,Inclusive,0
every,every,s,Inclusive,1
man,man,s,Inclusive,2
loving,loving,s,Positivity,0
and,and,s,,0
fre^ndly,fre^ndly,n,UNRECOGNIZED,0
For,for,s,,0
wealth,wealth,s,Positivity,0
has,has,s,,0
no,no,s,DenyDisclaim,0
pere,pere,c,UNRECOGNIZED,0
.,.,n,,0
Brother,brother,s,PersonProperty,0
wealth,wealth,s,Positivity,0
have,have,s,,0
ye,ye,s,OralCues,0
not,not,s,Updates,0
yet,yet,s,Updates,1
done,done,c,ReportingStates,0
?,?,n,Question,0
ye,ye,s,OralCues,0
praise,praise,s,StandardsPos,0
your,your,s,DirectAddress,0
self,self,s,SubjectivePercept,0
above,above,s,SpaceRelation,0
the,the,s,SpaceRelation,1
moon,moon,n,SpaceRelation,2
Every,every,s,Inclusive,0
man,man,s,Inclusive,1
may,may,s,Contingency,0
perceive,perceive,s,PrivateThinking,0
thereby,thereby,s,ReasonForward,0
soon,soon,n,ProjectAhead,0
That,that,s,DirectAddress,0
you,you,s,DirectAddress,1
lack,lack,s,Negativity,0
discresyo^,discresyo^,nn,UNRECOGNIZED,0
Wherefore,wherefore,c,ReasonForward,0
",",",",s,,0
by,by,s,,0
god,god,s,CommonAuthorities,0
I,i,s,Insist,0
cannot,cannot,s,Insist,1
say,say,s,DialogCues,0
to,to,s,DialogCues,1
much,much,n,Intensity,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
so,so,s,,0
welthy,welthy,s,UNRECOGNIZED,0
of,of,s,StandardsPos,0
substance,substance,s,StandardsPos,1
and,and,s,,0
rych,rych,n,UNRECOGNIZED,0
In,in,s,Generalization,0
all,all,s,Generalization,1
the,the,s,,0
world,world,s,AbstractConcepts,0
where,where,s,Question,0
is,is,s,Question,1
one,one,s,Numbers,0
such,such,n,Specifiers,0
As,as,s,Specifiers,1
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
of,of,s,SelfDisclosure,2
comparison,comparison,c,Comparison,0
.,.,nn,,0
Wealth,wealth,s,Positivity,0
is,is,s,Positivity,0
good,good,s,Positivity,1
I,i,s,Insist,0
cannot,cannot,s,Insist,1
den^y,den^y,n,UNRECOGNIZED,0
Yet,yet,s,Resistance,0
praise,praise,s,StandardsPos,0
your,your,s,DirectAddress,0
self,self,s,SubjectivePercept,0
so,so,s,Intensity,0
much,much,s,Intensity,1
ye,ye,s,OralCues,0
may,may,n,Contingency,0
For,for,s,,0
wealth,wealth,s,Positivity,0
oftentimes,oftentimes,s,RecurringEvents,0
does,does,s,ReportingEvents,0
decay,decay,n,Negativity,0
And,and,s,,0
wealth,wealth,s,Positivity,0
is,is,s,DenyDisclaim,0
nothing,nothing,s,DenyDisclaim,1
s^re,s^re,c,UNRECOGNIZED,0
.,.,nn,,0
Wealth,wealth,s,Positivity,0
has,has,s,ProjectBack,0
been,been,s,ProjectBack,1
ever,ever,s,Biographical_Time,0
in,in,s,,0
thi^,thi^,s,UNRECOGNIZED,0
country,country,n,AbstractConcepts,0
And,and,s,Immediacy,0
here,here,s,Immediacy,1
I,i,s,FirstPer,0
p^rpose,p^rpose,s,UNRECOGNIZED,0
still,still,s,Updates,0
for,for,s,ProjectAhead,0
to,to,s,ProjectAhead,1
be,be,n,ReportingStates,0
For,for,s,,0
this,this,s,ReportingStates,0
is,is,s,ReportingStates,1
the,the,s,SenseObject,0
land,land,s,SenseObject,1
most,most,s,Comparison,0
mete,mete,s,ReportingEvents,0
for,for,s,SelfDisclosure,0
me,me,n,SelfDisclosure,1
And,and,s,Immediacy,0
here,here,s,Immediacy,1
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
endure,endure,c,TimeDuration,0
.,.,nn,TimeDuration,1
Therein,therein,s,CommonAuthorities,0
ye,ye,s,OralCues,0
speak^full,speak^full,s,UNRECOGNIZED,0
louingle,louingle,n,UNRECOGNIZED,0
For,for,s,,0
in,in,s,,0
this,this,s,,0
realm,realm,s,AbstractConcepts,0
wealth,wealth,s,Positivity,0
should,should,s,Insist,0
be,be,n,ReportingStates,0
yeth,yeth,s,UNRECOGNIZED,0
no,no,s,DenyDisclaim,0
displeasure,displeasure,s,Negativity,0
I,i,s,FirstPer,0
pray,pray,s,Intensity,0
you,you,s,DirectAddress,0
heartily,heartily,n,Positivity,0
But,but,s,Resistance,0
in,in,s,Specifiers,0
the,the,s,Specifiers,1
way,way,s,Specifiers,2
of,of,s,Specifiers,3
communicacion,communicacion,c,UNRECOGNIZED,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
for,for,s,,0
pastyme,pastyme,s,UNRECOGNIZED,0
I,i,s,SelfDisclosure,0
would,would,s,SelfDisclosure,1
^,^,c,UNRECOGNIZED,0
peake,peake,s,UNRECOGNIZED,0
some,some,s,Uncertainty,0
ways,ways,n,Uncertainty,1
Of,of,s,,0
no,no,s,DenyDisclaim,0
comparison,comparison,c,Comparison,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
to,to,s,DirectAddress,0
you,you,s,DirectAddress,1
no,no,s,DenyDisclaim,0
dysp^yre,dysp^yre,c,UNRECOGNIZED,0
",",",",n,,0
I,i,s,FirstPer,0
do,do,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
intend,intend,s,PrivateThinking,0
that,that,s,PrivateThinking,1
manner,manner,s,AbstractConcepts,0
always,always,c,SubjectiveTime,0
",",",",n,Resistance,0
But,but,s,Resistance,1
for,for,s,,0
a,a,s,,0
recreation,recreation,c,RecurringEvents,0
",",",",nn,,0
Brother,brother,s,PersonProperty,0
wh^t,wh^t,s,UNRECOGNIZED,0
soever,soever,s,Intensity,0
ye,ye,s,OralCues,0
say,say,s,DialogCues,0
to,to,s,DialogCues,1
me,me,c,FirstPer,0
.,.,n,,0
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
hear,hear,s,SpaceRelation,0
yo^,yo^,s,UNRECOGNIZED,0
p^ci^^tly,p^ci^^tly,n,UNRECOGNIZED,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
content,content,s,AbstractConcepts,0
and,and,s,,0
I,i,s,FirstPer,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
you,you,s,DirectAddress,0
heartily,heartily,n,Positivity,0
Begin,begin,s,Sequence,0
and,and,s,,0
say,say,s,Citations,0
your,your,s,DirectAddress,0
pleasur^,pleasur^,nn,UNRECOGNIZED,0
I,i,s,Acknowledge,0
thank,thank,s,Acknowledge,1
you,you,s,Acknowledge,2
h^^^^ly,h^^^^ly,s,UNRECOGNIZED,0
th^^,th^^,s,UNRECOGNIZED,0
will,will,s,PredictedFuture,0
I,i,n,FirstPer,0
Some,some,s,Uncertainty,0
what,what,s,,0
unto,unto,s,CommonAuthorities,0
my,my,s,Metadiscourse,0
purpose,purpose,s,Metadiscourse,1
apply,apply,n,ReportingEvents,0
Though,though,s,Concessive,0
wealth,wealth,s,Positivity,0
be,be,s,ReportingStates,0
praised,praised,s,StandardsPos,0
maru^lu^ly,maru^lu^ly,n,UNRECOGNIZED,0
yet,yet,s,SubjectiveTime,0
to,to,s,SubjectiveTime,1
mine,mine,s,FirstPer,0
vnderstauding,vnderstauding,c,UNRECOGNIZED,0
.,.,n,,0
Wealth,wealth,s,Positivity,0
is,is,s,ReportingStates,0
mutable,mutable,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
that,that,s,,0
in,in,s,,0
shame,shame,n,StandardsNeg,0
And,and,s,,0
wealth,wealth,s,Positivity,0
is,is,s,ReportingStates,0
hauty,hauty,s,UNRECOGNIZED,0
and,and,s,,0
proud,proud,s,StandardsPos,0
of,of,s,StandardsPos,1
name,name,n,LangRef,0
Wealth,wealth,s,Positivity,0
t^,t^,s,UNRECOGNIZED,0
cruel,cruel,c,Anger,0
",",",",s,,0
and,and,s,,0
in,in,s,,0
great,great,s,Intensity,0
blame,blame,n,Anger,0
For,for,s,Anger,1
wealth,wealth,s,Positivity,0
is,is,s,ReportingStates,0
^^,^^,c,UNRECOGNIZED,0
er,er,s,UNRECOGNIZED,0
wauerynge,wauerynge,c,UNRECOGNIZED,0
.,.,nn,,0
To,to,s,PersonProperty,0
whom,whom,s,PersonProperty,1
have,have,s,Question,0
I,i,s,Question,1
done,done,s,ReportingStates,0
any,any,s,,0
harm,harm,s,Negativity,0
can,can,s,Contingency,0
ye,ye,s,OralCues,0
say,say,c,Citations,0
",",",",n,,0
ye,ye,s,OralCues,0
stander,stander,s,SpaceRelation,0
me,me,s,FirstPer,0
no^e,no^e,c,UNRECOGNIZED,0
",",",",s,Resistance,0
yet,yet,s,Resistance,1
I,i,s,FirstPer,0
trust,trust,s,Confidence,0
I,i,s,FirstPer,0
may,may,n,Contingency,0
Answer,answer,s,ReportingEvents,0
for,for,s,ReportingEvents,1
my,my,s,FirstPer,0
selte,selte,s,UNRECOGNIZED,0
in,in,s,,0
every,every,s,Generalization,0
manner,manner,s,AbstractConcepts,0
way,way,n,AbstractConcepts,0
ye,ye,s,OralCues,0
will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
deny,deny,s,Repair_Citation,0
that,that,c,Repair_Citation,1
?,?,nn,Question,0
God,god,s,Negativity,0
forbid,forbid,s,Negativity,1
but,but,s,Resistance,0
ye,ye,s,OralCues,0
should,should,s,Insist,0
d^,d^,s,UNRECOGNIZED,0
so,so,n,,0
And,and,s,,0
ye,ye,s,OralCues,0
may,may,s,Contingency,0
do,do,s,Contingency,1
it,it,s,,0
whether,whether,s,Contingency,0
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
or,or,s,,0
no,no,n,DenyDisclaim,0
Inlykewise,inlykewise,c,UNRECOGNIZED,0
",",",",s,,0
I,i,s,Insist,0
must,must,s,Insist,1
answer,answer,s,Specifiers,0
you,you,s,DirectAddress,0
als^,als^,n,UNRECOGNIZED,0
When,when,s,,0
ye,ye,s,OralCues,0
say,say,s,Citations,0
not,not,s,DenyDisclaim,0
true,true,c,DenyDisclaim,1
.,.,n,Concessive,0
Though,though,s,Concessive,1
I,i,s,FirstPer,0
be,be,s,ReportingStates,0
but,but,s,Resistance,0
to,to,s,Resistance,1
you,you,s,DirectAddress,0
a,a,s,PersonProperty,0
poor,poor,s,PersonProperty,1
man,man,n,PersonProperty,2
yet,yet,s,Resistance,0
health,health,s,StandardsPos,0
I,i,s,FirstPer,0
height,height,c,SenseProperty,0
",",",",s,,0
the,the,s,Comparison,0
same,same,s,Comparison,1
I,i,s,SelfDisclosure,0
am,am,n,SelfDisclosure,1
That,that,s,Specifiers,0
is,is,s,Specifiers,1
desired,desired,s,Positivity,0
universally,universally,s,Generalization,0
than,than,n,Comparison,0
Some,some,s,Uncertainty,0
calls,calls,s,ReportingEvents,0
me,me,s,FirstPer,0
as,as,s,Comparison,0
good,good,s,Comparison,1
as,as,s,Comparison,2
you,you,nn,DirectAddress,0
As,as,s,SelfDisclosure,0
I,i,c,SelfDisclosure,1
",",",",s,,0
mary,mary,s,PersonProperty,0
there,there,s,,0
in,in,s,,0
deed,deed,s,AbstractConcepts,0
ye,ye,s,OralCues,0
do,do,s,Intensity,0
compare,compare,c,Comparison,0
.,.,n,ReasonForward,0
Such,such,s,ReasonForward,1
words,words,s,LangRef,0
might,might,s,Contingency,0
bring,bring,s,DirectAddress,0
you,you,s,DirectAddress,1
soon,soon,s,ProjectAhead,0
in,in,s,,0
care,care,n,StandardsPos,0
Lewd,lewd,s,Negativity,0
parson,parson,c,PersonProperty,0
",",",",s,,0
thou,thou,s,DirectAddress,0
art,art,s,AbstractConcepts,0
not,not,s,DenyDisclaim,0
ware,ware,n,SenseObject,0
Of,of,s,Curiosity,0
what,what,s,Curiosity,1
substance,substance,s,AbstractConcepts,0
I,i,s,SelfDisclosure,0
am,am,nn,SelfDisclosure,1
Yes,yes,s,DirectAddress,0
I,i,s,Contingency,0
can,can,s,Contingency,1
tell,tell,s,,0
what,what,s,DirectAddress,0
you,you,s,DirectAddress,1
