CYNTHIAS,cynthias,s,UNRECOGNIZED,0
REVELS,revels,c,Positivity,0
",",",",s,,0
OR,or,s,,0
The,the,s,,0
Fountain,fountain,s,SenseObject,0
of,of,s,,0
Self-love,self-love,c,StandardsPos,0
.,.,s,,0
A,a,s,,0
Comicall,comicall,s,UNRECOGNIZED,0
Satyr,satyr,c,SenseObject,0
.,.,s,,0
Acted,acted,c,ReportingStates,0
",",",",s,ReportingStates,1
in,in,n,TimeDuration,0
the,the,s,TimeDuration,1
year,year,s,TimeDuration,2
1600,1600,c,UNRECOGNIZED,0
.,.,s,,0
By,by,s,,0
the,the,s,ProjectBack,0
then,then,s,ProjectBack,1
Children,children,s,PersonProperty,0
of,of,s,,0
Queen,queen,s,PersonProperty,0
ELIZABETH'S,elizabeth's,s,UNRECOGNIZED,0
CHAPEL,chapel,nn,SenseObject,0
The,the,s,CommunicatorRole,0
Author,author,s,CommunicatorRole,1
B,b,c,,0
.,.,s,,0
I,i,c,FirstPer,0
.,.,nn,,0
Nasutum,nasutum,s,UNRECOGNIZED,0
volo,volo,c,UNRECOGNIZED,0
",",",",s,,0
nolo,nolo,s,,0
polyposum,polyposum,c,UNRECOGNIZED,0
.,.,n,,0
LONDON,london,c,,0
",",",",s,,0
Printed,printed,s,ReportingEvents,0
by,by,s,,0
WILLIAM,william,s,PersonProperty,0
STANSBY,stansby,c,UNRECOGNIZED,0
.,.,nn,,0
M,m,c,AbstractConcepts,0
.,.,s,AbstractConcepts,1
DC,dc,c,UNRECOGNIZED,0
.,.,s,,0
XVI,xvi,c,AbstractConcepts,0
.,.,nn,AbstractConcepts,1
THou,thou,s,DirectAddress,0
art,art,s,AbstractConcepts,0
a,a,s,,0
bountiful,bountiful,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
brave,brave,s,StandardsPos,0
spring,spring,c,AbstractConcepts,0
:,:,s,,0
and,and,s,,0
waterest,waterest,s,UNRECOGNIZED,0
all,all,s,Generalization,0
the,the,s,Generalization,1
noble,noble,s,StandardsPos,0
plants,plants,s,SenseObject,0
of,of,n,Specifiers,0
this,this,s,Specifiers,1
Island,island,c,SenseObject,0
.,.,s,,0
In,in,s,,0
thee,thee,c,DirectAddress,0
",",",",s,,0
the,the,s,Specifiers,0
whole,whole,s,Specifiers,1
Kingdom,kingdom,s,CommonAuthorities,0
dresseth,dresseth,s,UNRECOGNIZED,0
it,it,s,,0
self,self,c,SubjectivePercept,0
",",",",s,,0
and,and,s,,0
is,is,s,ProjectAhead,0
ambitious,ambitious,s,ProjectAhead,1
to,to,n,ProjectAhead,2
use,use,s,ReportingEvents,0
thee,thee,s,DirectAddress,0
as,as,s,,0
her,her,s,PersonPronoun,0
glass,glass,c,SenseObject,0
.,.,s,,0
Beware,beware,c,Negativity,0
",",",",s,Metadiscourse,0
then,then,c,Metadiscourse,1
",",",",s,Metadiscourse,2
thou,thou,s,DirectAddress,0
render,render,s,ReportingEvents,0
men's,men's,s,PersonProperty,0
figures,figures,s,SenseObject,0
truly,truly,c,Intensity,0
",",",",s,,0
and,and,s,,0
teach,teach,n,ReportingEvents,0
them,them,s,,0
no,no,s,Comparison,0
less,less,s,Comparison,1
to,to,s,,0
bate,bate,s,Motions,0
their,their,s,PersonPronoun,0
deformities,deformities,c,StandardsNeg,0
",",",",s,,0
then,then,s,TimeShift,0
to,to,s,TimeShift,1
love,love,s,Positivity,0
their,their,s,PersonPronoun,0
forms,forms,c,AbstractConcepts,0
:,:,s,,0
For,for,c,,0
",",",",s,,0
to,to,n,,0
grace,grace,c,StandardsPos,0
",",",",s,,0
there,there,s,,0
should,should,s,Insist,0
come,come,s,ReportingEvents,0
reverence,reverence,c,StandardsPos,0
;,;,s,,0
and,and,s,,0
no,no,s,DenyDisclaim,0
man,man,s,DenyDisclaim,1
can,can,s,Contingency,0
call,call,s,ReportingEvents,0
that,that,s,,0
lovely,lovely,c,Positivity,0
",",",",s,Aside,0
which,which,s,Aside,1
is,is,n,DenyDisclaim,0
not,not,s,DenyDisclaim,1
also,also,s,,0
venerable,venerable,c,StandardsPos,0
.,.,s,Resistance,0
It,it,s,Resistance,1
is,is,s,Resistance,2
not,not,s,Resistance,3
pould'ring,pould'ring,c,UNRECOGNIZED,0
",",",",s,,0
perfuming,perfuming,c,,0
",",",",s,,0
and,and,s,,0
every,every,s,RecurringEvents,0
day,day,s,RecurringEvents,1
smelling,smelling,s,SenseProperty,0
of,of,n,SenseProperty,1
the,the,s,,0
tailor,tailor,c,PersonProperty,0
",",",",s,,0
that,that,s,,0
conuerteth,conuerteth,s,UNRECOGNIZED,0
to,to,s,,0
a,a,s,StandardsPos,0
