(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
To,to,s,,0
which,which,s,,0
limits,limits,c,AbstractConcepts,0
",",",",s,Autobio,0
when,when,s,Autobio,1
I,i,s,Autobio,2
had,had,s,ProjectBack,0
apted,apted,s,UNRECOGNIZED,0
my,my,s,FirstPer,0
invention,invention,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
being,being,s,ReportingStates,0
to,to,s,,0
bring,bring,s,,0
news,news,n,Updates,0
of,of,s,Updates,1
them,them,s,,0
from,from,s,,0
the,the,s,,0
Sea,sea,c,SenseObject,0
",",",",s,,0
I,i,s,FirstPer,0
induced,induced,s,ReportingEvents,0
Boreas,boreas,c,UNRECOGNIZED,0
",",",",s,,0
one,one,s,Specifiers,0
of,of,s,Specifiers,1
the,the,s,Specifiers,2
winds,winds,c,SenseProperty,0
",",",",s,,0
as,as,s,,0
my,my,s,FirstPer,0
fittest,fittest,n,StandardsPos,0
Messenger,messenger,c,PersonProperty,0
;,;,s,,0
presenting,presenting,s,GenericEvents,0
him,him,s,PersonPronoun,0
thus,thus,nn,ReasonForward,0
In,in,s,,0
a,a,s,,0
robe,robe,s,SenseObject,0
of,of,s,SenseObject,1
Russet,russet,s,SenseProperty,0
and,and,s,,0
White,white,s,SenseProperty,0
mixed,mixed,c,AbstractConcepts,0
",",",",s,AbstractConcepts,1
full,full,c,,0
",",",",s,,0
and,and,s,,0
bagg'd,bagg'd,c,UNRECOGNIZED,0
;,;,s,,0
his,his,s,PersonPronoun,0
hair,hair,s,SenseObject,0
and,and,s,,0
beard,beard,n,SenseObject,0
rough,rough,c,SenseProperty,0
",",",",s,,0
and,and,s,,0
horride,horride,c,UNRECOGNIZED,0
;,;,s,,0
his,his,s,PersonPronoun,0
wings,wings,s,SenseObject,0
gray,gray,c,SenseProperty,0
",",",",s,,0
and,and,s,,0
full,full,s,Specifiers,0
of,of,s,Specifiers,1
snow,snow,c,SenseObject,0
",",",",s,,0
and,and,s,,0
ycicles,ycicles,c,UNRECOGNIZED,0
:,:,s,,0
his,his,s,PersonPronoun,0
mantle,mantle,n,SenseObject,0
borne,borne,s,ReportingEvents,0
from,from,s,,0
him,him,s,PersonPronoun,0
with,with,s,,0
wyres,wyres,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
in,in,s,Specifiers,0
several,several,s,Specifiers,1
puffes,puffes,c,UNRECOGNIZED,0
;,;,s,,0
his,his,s,PersonPronoun,0
feet,feet,nn,SenseObject,0
But,but,s,Resistance,0
before,before,c,Sequence,0
",",",",s,,0
in,in,s,,0
midst,midst,s,SenseProperty,0
of,of,s,SenseProperty,1
the,the,s,SenseObject,0
Hall,hall,c,SenseObject,1
",",",",s,,0
to,to,s,TimeDuration,0
keep,keep,s,TimeDuration,1
the,the,s,Specifiers,0
state,state,s,Specifiers,1
of,of,s,Specifiers,2
the,the,s,Positivity,0
Feast,feast,c,Positivity,1
",",",",s,,0
and,and,s,,0
Season,season,c,RecurringEvents,0
",",",",n,,0
I,i,s,Autobio,0
had,had,s,Autobio,1
placed,placed,s,ReportingEvents,0
January,january,c,AbstractConcepts,0
",",",",s,,0
in,in,s,,0
a,a,s,CommonAuthorities,0
throne,throne,s,CommonAuthorities,1
of,of,s,CommonAuthorities,2
silver,silver,c,SenseObject,0
;,;,s,,0
his,his,s,PersonPronoun,0
robe,robe,s,SenseObject,0
of,of,s,SenseObject,1
ash,ash,s,SenseObject,0
color,color,c,SenseObject,1
",",",",s,,0
long,long,c,SenseProperty,0
",",",",n,,0
fringed,fringed,s,SenseProperty,0
with,with,s,SenseProperty,1
silver,silver,c,SenseObject,0
;,;,s,,0
a,a,s,,0
white,white,s,SenseProperty,0
mantle,mantle,c,SenseObject,0
;,;,s,,0
his,his,s,PersonPronoun,0
wings,wings,s,SenseObject,0
white,white,c,SenseProperty,0
",",",",s,,0
and,and,s,,0
his,his,s,PersonPronoun,0
buskins,buskins,c,SenseObject,0
;,;,s,,0
in,in,s,Specifiers,0
his,his,n,Specifiers,1
hand,hand,s,SenseObject,0
a,a,s,,0
Laurel,laurel,s,SenseObject,0
bough,bough,c,SenseObject,1
;,;,s,,0
upon,upon,s,,0
his,his,s,PersonPronoun,0
head,head,s,SenseObject,0
an,an,s,,0
Anademe,anademe,s,UNRECOGNIZED,0
of,of,s,,0
Laurel,laurel,c,StandardsPos,0
",",",",s,,0
fronted,fronted,s,ReportingEvents,0
with,with,s,Specifiers,0
the,the,n,Specifiers,1
sign,sign,s,AbstractConcepts,0
Aquarius,aquarius,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
the,the,s,,0
Character,character,c,LangRef,0
.,.,s,Question,0
Who,who,c,Question,1
",",",",s,Question,2
as,as,s,,0
Boreas,boreas,s,UNRECOGNIZED,0
bluster'd,bluster'd,s,UNRECOGNIZED,0
forth,forth,c,SpaceRelation,0
",",",",s,,0
discovered,discovered,n,Curiosity,0
himself,himself,nn,Curiosity,1
WHich,which,c,,0
",",",",s,,0
among,among,s,Specifiers,0
these,these,c,Specifiers,1
",",",",s,,0
is,is,s,ReportingStates,0
ALBION,albion,c,,0
",",",",s,,0
NEPTVNES,neptvnes,s,UNRECOGNIZED,0
son,son,c,PersonProperty,0
?,?,nnn,Question,0
WHat,what,s,,0
ignorance,ignorance,s,StandardsNeg,0
dares,dares,s,SubjectivePercept,0
make,make,s,ReportingEvents,0
that,that,s,Curiosity,0
question,question,c,Curiosity,1
