FOrtune,fortune,c,ProjectAhead,0
",",",",s,,0
that,that,s,,0
favors,favors,s,Positivity,0
Fools,fools,c,Negativity,0
",",",",s,,0
these,these,s,Immediacy,0
two,two,s,Numbers,0
short,short,s,SubjectiveTime,0
hours,hours,n,SubjectiveTime,1
We,we,s,,0
wish,wish,s,SubjectivePercept,0
away,away,c,,0
;,;,s,,0
both,both,s,,0
for,for,s,DirectAddress,0
your,your,s,DirectAddress,1
sakes,sakes,c,Positivity,0
",",",",s,,0
and,and,s,,0
ours,ours,c,Inclusive,0
",",",",n,,0
Judging,judging,s,PrivateThinking,0
Spectators,spectators,c,PersonProperty,0
:,:,s,,0
and,and,s,,0
desire,desire,s,Positivity,0
in,in,s,Motions,0
place,place,c,Motions,1
",",",",n,,0
To,to,s,,0
the,the,s,CommunicatorRole,0
Author,author,s,CommunicatorRole,1
justice,justice,c,StandardsPos,0
",",",",s,,0
to,to,s,Inclusive,0
our,our,s,Inclusive,1
selves,selves,s,SubjectivePercept,0
but,but,s,Resistance,0
grase,grase,c,UNRECOGNIZED,0
.,.,n,,0
Our,our,s,Inclusive,0
Scene,scene,s,AbstractConcepts,0
is,is,s,ReportingStates,0
LONDON,london,c,,0
",",",",s,,0
',',c,,0
cause,cause,s,Cause,0
we,we,s,,0
would,would,s,Contingency,0
make,make,s,Contingency,1
known,known,c,CommonAuthorities,0
.,.,n,,0
No,no,s,DenyDisclaim,0
Countries,countries,s,AbstractConcepts,0
mirth,mirth,s,Positivity,0
is,is,s,Positivity,0
better,better,s,Positivity,1
then,then,s,,0
our,our,s,Inclusive,0
own,own,c,Inclusive,1
.,.,n,,0
No,no,s,DenyDisclaim,0
Clime,clime,s,SenseProperty,0
breeds,breeds,s,AbstractConcepts,0
better,better,s,Comparison,0
matter,matter,c,AbstractConcepts,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
your,your,s,DirectAddress,0
Whore,whore,c,Negativity,0
",",",",n,,0
Baud,baud,c,AbstractConcepts,0
",",",",s,,0
Squire,squire,c,PersonProperty,0
",",",",s,,0
Impostor,impostor,c,StandardsNeg,0
",",",",s,,0
many,many,s,,0
Persons,persons,s,PersonProperty,0
more,more,c,Comparison,0
",",",",n,,0
Whose,whose,s,PersonPronoun,0
manners,manners,c,StandardsPos,0
",",",",s,,0
now,now,s,Immediacy,0
called,called,s,ReportingEvents,0
Humors,humors,c,Positivity,0
",",",",s,,0
feed,feed,s,SenseObject,0
the,the,s,SenseObject,0
Stage,stage,c,SenseObject,1
:,:,n,,0
And,and,s,,0
which,which,s,,0
have,have,s,Updates,0
still,still,s,Updates,1
been,been,s,ProjectBack,0
Subject,subject,c,LangRef,0
",",",",s,,0
to,to,s,,0
the,the,s,Intensity,0
rage,rage,n,Intensity,1
Or,or,s,,0
spleen,spleen,s,AbstractConcepts,0
of,of,s,,0
Comic,comic,s,Positivity,0
writers,writers,c,PersonProperty,0
.,.,s,Concessive,0
Though,though,s,Concessive,1
this,this,s,,0
Pen,pen,n,SenseObject,0
Did,did,s,ReportingEvents,0
never,never,s,DenyDisclaim,0
