THe,the,s,,0
Invention,invention,s,StandardsPos,0
was,was,c,ProjectBack,0
",",",",s,,0
to,to,s,,0
have,have,s,ReportingEvents,0
a,a,s,ReportingEvents,1
Satyr,satyr,s,SenseObject,0
lodged,lodged,s,SpaceRelation,0
in,in,s,SpaceRelation,1
a,a,s,SubjectivePercept,0
little,little,s,SubjectivePercept,1
Spinet,spinet,c,SenseObject,0
",",",",s,,0
by,by,s,Specifiers,0
which,which,s,Specifiers,1
her,her,n,PersonPronoun,0
Majesty,majesty,c,CommonAuthorities,0
",",",",s,,0
and,and,s,,0
the,the,s,,0
Prince,prince,s,PersonProperty,0
were,were,s,ProjectBack,0
to,to,s,,0
come,come,c,DirectAddress,0
",",",",s,DirectAddress,1
who,who,s,,0
(,(,c,,0
at,at,s,SpaceRelation,0
the,the,s,SpaceRelation,1
report,report,s,LangRef,0
of,of,s,AbstractConcepts,0
certain,certain,s,AbstractConcepts,1
Cornets,cornets,n,SenseObject,0
that,that,s,,0
were,were,s,ProjectBack,0
divided,divided,s,ReportingEvents,0
in,in,s,ReportingEvents,1
several,several,s,Specifiers,0
places,places,s,SpaceRelation,0
of,of,s,SpaceRelation,1
the,the,s,SenseObject,0
Park,park,c,SenseObject,1
",",",",s,,0
to,to,s,,0
signify,signify,s,ReportingEvents,0
her,her,s,PersonPronoun,0
approach,approach,c,AbstractConcepts,0
),),n,,0
advanced,advanced,s,Narrative_Verbs,0
his,his,s,Narrative_Verbs,1
head,head,s,SpaceRelation,0
above,above,s,SpaceRelation,1
the,the,s,SpaceRelation,0
top,top,s,SpaceRelation,1
of,of,s,SpaceRelation,2
the,the,s,SpaceRelation,3
wood,wood,c,SenseObject,0
",",",",s,,0
wondering,wondering,c,Curiosity,0
",",",",s,,0
and,and,s,,0
(,(,c,,0
with,with,s,,0
his,his,s,PersonPronoun,0
Pipe,pipe,s,SenseObject,0
in,in,n,Specifiers,0
his,his,s,Specifiers,1
hand,hand,c,SenseObject,0
),),s,,0
began,began,s,Sequence,0
as,as,s,Sequence,1
follows,follows,nn,,0
HEre,here,c,SpaceRelation,0
?,?,s,Question,0
there,there,c,,0
?,?,s,Question,0
and,and,s,,0
every,every,s,Generalization,0
where,where,c,Question,0
?,?,n,Question,1
Some,some,s,Uncertainty,0
solemnities,solemnities,s,CommonAuthorities,0
are,are,s,ReportingStates,0
near,near,c,SpaceRelation,0
",",",",n,,0
That,that,s,,0
these,these,s,Immediacy,0
changes,changes,s,Transformation,0
strike,strike,s,Negativity,0
mine,mine,s,FirstPer,0
ear,ear,c,SenseObject,0
.,.,n,,0
My,my,s,FirstPer,0
Pipe,pipe,s,SenseObject,0
and,and,s,,0
I,i,s,FirstPer,0
a,a,s,,0
part,part,s,,0
shall,shall,s,ProjectAhead,0
bear,bear,c,SenseObject,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
after,after,s,Sequence,0
a,a,s,Sequence,1
short,short,s,SenseProperty,0
strain,strain,s,ReportingEvents,0
with,with,s,,0
his,his,s,PersonPronoun,0
Pipe,pipe,c,SenseObject,0
;,;,s,,0
again,again,c,RecurringEvents,0
.,.,nn,DirectAddress,0
Look,look,c,DirectAddress,1
",",",",s,DirectAddress,2
see,see,c,,0
;,;,s,,0
(,(,c,,0
beshrew,beshrew,s,Negativity,0
this,this,s,,0
Tree,tree,c,SenseObject,0
",",",",c,,0
),),n,,0
What,what,s,,0
may,may,s,Contingency,0
all,all,s,Generalization,0
this,this,s,Generalization,1
wonder,wonder,s,Curiosity,0
be,be,c,ReportingStates,0
?,?,n,Question,0
Pipe,pipe,s,SenseObject,0
it,it,c,,0
",",",",s,,0
who,who,s,Curiosity,0
that,that,s,Curiosity,1
list,list,s,,0
for,for,s,SelfDisclosure,0
me,me,c,SelfDisclosure,1
:,:,n,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
fly,fly,s,PredictedFuture,1
out,out,s,,0
abroad,abroad,c,SceneShift,0
",",",",s,,0
and,and,s,,0
see,see,c,,0
.,.,n,,0
There,there,s,SpaceRelation,0
he,he,s,SpaceRelation,1
leaped,leaped,s,ReportingEvents,0
down,down,c,,0
",",",",s,,0
and,and,s,,0
gazing,gazing,s,Motions,0
the,the,s,,0
Queen,queen,s,PersonProperty,0
and,and,s,,0
Prince,prince,s,PersonProperty,0
in,in,s,SenseProperty,0
the,the,s,SenseProperty,1
face,face,c,SenseProperty,2
",",",",s,,0
went,went,n,ProjectAhead,0
forward,forward,nn,ProjectAhead,1
That,that,s,Specifiers,0
is,is,s,Specifiers,1
Cyparissus,cyparissus,s,UNRECOGNIZED,0
face,face,c,SenseObject,0
!,!,n,,0
And,and,s,,0
the,the,s,,0
Dame,dame,s,SenseObject,0
has,has,s,,0
Syrinx,syrinx,s,SpaceRelation,0
grace,grace,c,StandardsPos,0
!,!,n,,0
O,o,s,LangRef,0
that,that,s,,0
Pan,pan,s,SenseObject,0
were,were,s,ProjectBack,0
now,now,s,Updates,0
in,in,s,Updates,1
Place,place,c,SpaceRelation,0
",",",",n,,0
Sure,sure,s,Confidence,0
they,they,s,ReportingStates,0
are,are,s,ReportingStates,1
of,of,s,,0
heavenly,heavenly,s,Positivity,0
race,race,c,Motions,0
.,.,n,SpaceRelation,0
Here,here,s,SpaceRelation,1
he,he,s,Neutral_Attribution,0
ran,ran,s,Neutral_Attribution,1
into,into,s,Transformation,0
the,the,s,Transformation,1
wood,wood,s,SenseObject,0
again,again,c,RecurringEvents,0
",",",",s,,0
and,and,s,,0
hid,hid,s,ReportingEvents,0
himself,himself,s,PersonPronoun,0
whilst,whilst,s,TimeDuration,0
to,to,s,SenseProperty,0
the,the,s,SenseProperty,1
sound,sound,s,SenseProperty,2
of,of,n,,0
excellent,excellent,s,StandardsPos,0
soft,soft,s,SenseProperty,0
Music,music,s,SenseProperty,0
that,that,s,ProjectBack,0
was,was,s,ProjectBack,1
there,there,s,,0
conceald,conceald,s,UNRECOGNIZED,0
in,in,s,,0
the,the,s,,0
thicket,thicket,c,SenseObject,0
;,;,s,,0
there,there,s,,0
came,came,n,ReportingEvents,0
tripping,tripping,s,Negativity,0
up,up,s,Negativity,1
the,the,s,,0
lawne,lawne,c,UNRECOGNIZED,0
",",",",s,,0
a,a,s,,0
Beuy,beuy,s,UNRECOGNIZED,0
of,of,s,,0
Faeries,faeries,s,SubjectivePercept,0
attending,attending,s,SpaceRelation,0
on,on,s,,0
Mab,mab,s,UNRECOGNIZED,0
their,their,s,PersonPronoun,0
Queen,queen,c,PersonProperty,0
",",",",s,,0
who,who,n,,0
falling,falling,s,ReportingEvents,0
into,into,s,ReportingEvents,1
an,an,s,,0
artificial,artificial,s,SubjectivePercept,0
ring,ring,c,SenseObject,0
",",",",s,,0
that,that,s,ProjectBack,0
was,was,s,ProjectBack,1
there,there,s,,0
cut,cut,s,Negativity,0
in,in,s,Negativity,1
the,the,s,Negativity,2
pathe,pathe,c,UNRECOGNIZED,0
",",",",s,,0
began,began,s,Sequence,0
to,to,n,Sequence,1
dance,dance,s,Motions,0
a,a,s,SpaceRelation,0
round,round,c,SpaceRelation,1
",",",",s,,0
whilst,whilst,s,TimeDuration,0
their,their,s,PersonPronoun,0
Mistress,mistress,s,PersonProperty,0
spoke,spoke,s,ReportingEvents,0
as,as,s,,0
follows,follows,nnn,,0
Hail,hail,c,SenseObject,0
",",",",s,,0
and,and,s,,0
welcome,welcome,s,Positivity,0
worthiest,worthiest,s,StandardsPos,0
Queen,queen,c,PersonProperty,0
",",",",n,,0
Joy,joy,s,Positivity,0
had,had,s,ProjectBack,0
never,never,s,DenyDisclaim,0
perfect,perfect,s,StandardsPos,0
been,been,c,ProjectBack,0
",",",",n,,0
To,to,s,,0
the,the,s,,0
Nymphs,nymphs,s,SenseObject,0
that,that,s,,0
haunt,haunt,s,Negativity,0
this,this,s,,0
Green,green,c,SenseProperty,0
",",",",n,,0
Had,had,s,Contingency,0
they,they,s,Contingency,1
not,not,s,DenyDisclaim,0
this,this,s,Immediacy,0
evening,evening,s,Immediacy,1
seen,seen,c,ReportingStates,0
.,.,n,ReportingStates,1
Now,now,s,Immediacy,0
they,they,s,,0
Print,print,s,AbstractConcepts,0
it,it,s,,0
on,on,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Ground,ground,n,SpaceRelation,2
With,with,s,,0
their,their,s,PersonPronoun,0
feet,feet,s,SenseObject,0
in,in,s,,0
figures,figures,s,SenseObject,0
round,round,c,SenseProperty,0
",",",",n,,0
Marks,marks,s,AbstractConcepts,0
that,that,s,PredictedFuture,0
will,will,s,PredictedFuture,1
be,be,s,PredictedFuture,2
ever,ever,s,Biographical_Time,0
found,found,c,ReportingStates,0
