S,s,s,LangRef,0
Some,some,s,Uncertainty,0
back,back,s,,0
again,again,c,RecurringEvents,0
",",",",s,,0
this,this,s,Immediacy,0
way,way,s,Immediacy,1
my,my,s,FirstPer,0
self,self,s,SubjectivePercept,0
will,will,s,PredictedFuture,0
take,take,c,ReportingEvents,0
",",",",n,,0
And,and,s,,0
as,as,s,DirectAddress,0
you,you,s,DirectAddress,1
go,go,c,ReportingEvents,0
",",",",s,Imperative,0
call,call,s,Imperative,1
those,those,s,,0
chaster,chaster,s,StandardsPos,0
wood-men,wood-men,n,UNRECOGNIZED,0
To,to,s,DirectAddress,0
your,your,s,DirectAddress,1
aid,aid,c,Positivity,0
",",",",s,,0
who,who,s,OpenQuery,0
often,often,s,OpenQuery,1
help,help,s,Positivity,0
us,us,s,Inclusive,0
in,in,s,,0
the,the,s,SceneShift,0
chase,chase,c,SceneShift,1
",",",",n,,0
Mingle,mingle,s,SpaceRelation,0
with,with,s,SpaceRelation,1
every,every,s,Generalization,0
step,step,s,Sequence,0
a,a,s,,0
call,call,c,ReportingEvents,0
",",",",s,,0
and,and,s,,0
if,if,n,Contingency,0
An,an,s,Contingency,1
echo,echo,s,SpaceRelation,0
but,but,s,Resistance,0
resound,resound,s,SenseProperty,0
her,her,s,PersonPronoun,0
name,name,c,LangRef,0
",",",",s,,0
utter't,utter't,n,UNRECOGNIZED,0
Again,again,c,RecurringEvents,0
",",",",s,,0
until,until,s,TimeDuration,0
you,you,s,TimeDuration,1
are,are,s,TimeDuration,2
confirmed,confirmed,c,Confidence,0
.,.,n,,0
I,i,s,Sad,0
Have,have,s,Sad,1
lost,lost,s,Sad,2
a,a,s,,0
Nymph,nymph,s,SenseObject,0
in,in,s,,0
whom,whom,s,PersonPronoun,0
I,i,s,FirstPer,0
gloried,gloried,s,Positivity,0
more,more,n,Comparison,0
Then,then,s,,0
all,all,s,Generalization,0
those,those,s,Generalization,1
prouder,prouder,s,StandardsPos,0
Trophyes,trophyes,s,UNRECOGNIZED,0
to,to,s,SelfDisclosure,0
my,my,s,SelfDisclosure,1
name,name,c,LangRef,0
",",",",n,,0
She,she,s,PersonPronoun,0
excelled,excelled,s,StandardsPos,0
in,in,s,StandardsPos,1
Fame,fame,c,StandardsPos,0
",",",",s,,0
in,in,s,,0
Birth,birth,c,AbstractConcepts,0
",",",",s,,0
in,in,s,,0
Beauty,beauty,c,StandardsPos,0
",",",",n,,0
And,and,s,,0
being,being,s,ReportingStates,0
Patroness,patroness,s,PersonProperty,0
of,of,s,,0
her,her,c,PersonPronoun,0
",",",",s,OralCues,0
well,well,s,OralCues,1
I,i,s,FirstPer,0
might,might,n,Contingency,0
Be,be,s,Contingency,1
called,called,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
goddess,goddess,s,CommonAuthorities,0
of,of,s,CommonAuthorities,1
Strict,strict,s,CommonAuthorities,0
Chastity,chastity,c,CommonAuthorities,0
.,.,n,,0
She,she,s,PersonPronoun,0
was,was,s,ProjectBack,0
her,her,s,ProjectBack,1
self,self,s,SubjectivePercept,0
a,a,s,PersonProperty,0
guard,guard,s,PersonProperty,1
unto,unto,s,CommonAuthorities,0
her,her,s,SubjectivePercept,0
self,self,c,SubjectivePercept,1
",",",",n,,0
Her,her,s,PersonPronoun,0
Beauty,beauty,s,StandardsPos,0
so,so,s,,0
commanding,commanding,s,CommonAuthorities,0
good,good,c,,0
",",",",s,,0
did,did,s,ReportingEvents,0
keep,keep,n,TimeDuration,0
Her,her,s,PersonPronoun,0
chastity,chastity,c,CommonAuthorities,0
;,;,s,,0
and,and,s,,0
her,her,s,PersonPronoun,0
chastity,chastity,c,CommonAuthorities,0
",",",",s,,0
made,made,n,ReportingEvents,0
Her,her,s,PersonPronoun,0
beauty,beauty,s,StandardsPos,0
safe,safe,c,StandardsPos,0
",",",",s,,0
lust,lust,s,Intensity,0
might,might,s,Contingency,0
sooner,sooner,s,Comparison,0
gaze,gaze,s,Motions,0
to,to,n,,0
Virtue,virtue,s,StandardsPos,0
in,in,s,SpaceRelation,0
her,her,s,SpaceRelation,1
eyes,eyes,c,SpaceRelation,2
",",",",s,,0
then,then,s,Sequence,0
spy,spy,s,Sequence,1
one,one,s,Specifiers,0
of,of,s,Specifiers,1
its,its,n,,0
Known,known,s,CommonAuthorities,0
Deformities,deformities,c,StandardsNeg,0
.,.,s,,0
--,--,n,,0
And,and,s,,0
much,much,s,Intensity,0
I,i,s,Fear,0
fear,fear,c,Fear,1
",",",",s,,0
some,some,s,Uncertainty,0
Satyr,satyr,c,SenseObject,0
",",",",s,,0
or,or,s,,0
worse,worse,s,Negativity,0
power,power,n,AbstractConcepts,0
Has,has,s,,0
betrayed,betrayed,s,Anger,0
her,her,s,PersonPronoun,0
innocent,innocent,s,Disclosure,0
Stepps,stepps,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,Immediacy,0
now,now,n,Immediacy,1
Detaines,detaines,s,UNRECOGNIZED,0
her,her,c,PersonPronoun,0
",",",",s,,0
adoring,adoring,s,Positivity,0
yet,yet,s,Resistance,0
what,what,s,,0
he,he,s,PersonPronoun,0
means,means,n,ProjectAhead,0
To,to,s,ProjectAhead,1
spoil,spoil,c,Negativity,0
",",",",s,,0
or,or,s,,0
Jove,jove,s,,0
again,again,s,RecurringEvents,0
in,in,s,,0
some,some,s,Uncertainty,0
various,various,n,Contingency,0
Shape,shape,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
Love,love,c,Positivity,0
",",",",s,,0
wrongs,wrongs,s,StandardsNeg,0
both,both,s,,0
his,his,s,PersonPronoun,0
Deity,deity,c,CommonAuthorities,0
",",",",s,,0
and,and,s,,0
me,me,s,FirstPer,0
--,--,nn,,0
And,and,s,,0
why,why,s,Question,0
bright,bright,s,Positivity,0
Phoebe,phoebe,c,SenseObject,0
",",",",s,,0
may,may,s,Contingency,0
not,not,s,DenyDisclaim,0
a,a,s,DenyDisclaim,1
more,more,n,Comparison,0
Equal,equal,s,Comparison,0
Love,love,c,Positivity,0
.,.,s,,0
