DVnston,dvnston,c,UNRECOGNIZED,0
",",",",s,,0
how,how,s,,0
^,^,c,UNRECOGNIZED,0
ighlie,ighlie,s,UNRECOGNIZED,0
are,are,s,Question,0
we,we,s,Question,1
bound,bound,s,AbstractConcepts,0
to,to,s,AbstractConcepts,1
praise,praise,n,StandardsPos,0
The,the,s,CommonAuthorities,0
Eternal,eternal,s,CommonAuthorities,1
God,god,s,CommonAuthorities,0
that,that,s,,0
still,still,s,Updates,0
prouides,prouides,s,UNRECOGNIZED,0
for,for,s,Inclusive,0
us,us,c,Inclusive,1
",",",",n,,0
And,and,s,,0
gives,gives,s,ReportingEvents,0
us,us,s,ReportingEvents,1
leave,leave,s,SceneShift,0
to,to,s,SceneShift,1
rule,rule,s,AbstractConcepts,0
in,in,s,,0
this,this,s,,0
our,our,s,Inclusive,0
land,land,c,AbstractConcepts,0
",",",",n,,0
Like,like,s,SubjectivePercept,0
wise,wise,s,StandardsPos,0
Vaspasian,vaspasian,c,UNRECOGNIZED,0
",",",",s,,0
Romes,romes,s,UNRECOGNIZED,0
rich,rich,s,Positivity,0
Emperor,emperor,c,PersonProperty,0
:,:,n,,0
Suppressing,suppressing,s,Resistance,0
sinue,sinue,c,UNRECOGNIZED,0
",",",",s,,0
that,that,s,,0
daily,daily,s,RecurringEvents,0
reigns,reigns,s,CommonAuthorities,0
in,in,s,,0
us,us,c,Inclusive,0
?,?,n,Question,0
First,first,c,Sequence,0
",",",",s,Sequence,1
murder,murder,s,Negativity,0
we,we,s,,0
reward,reward,s,Positivity,0
with,with,s,,0
present,present,s,,0
death,death,c,Negativity,0
",",",",n,,0
And,and,s,,0
those,those,s,AbstractConcepts,0
that,that,s,AbstractConcepts,1
do,do,s,Intensity,0
commit,commit,s,ReportingEvents,0
fellonious,fellonious,s,UNRECOGNIZED,0
crimes,crimes,c,StandardsNeg,0
",",",",n,,0
Our,our,s,Inclusive,0
laws,laws,s,CommonAuthorities,0
of,of,s,CommonAuthorities,1
England,england,s,,0
do,do,s,Intensity,0
awarde,awarde,s,UNRECOGNIZED,0
them,them,s,,0
death,death,c,Negativity,0
:,:,n,,0
And,and,s,,0
he^,he^,s,UNRECOGNIZED,0
that,that,s,,0
does,does,s,ReportingEvents,0
dispoyle,dispoyle,s,UNRECOGNIZED,0
a,a,s,,0
Uirgins,uirgins,s,UNRECOGNIZED,0
chastity,chastity,c,CommonAuthorities,0
",",",",n,,0
Must,must,s,Insist,0
likewise,likewise,s,Specifiers,0
suffer,suffer,s,Negativity,0
death,death,s,Negativity,0
by,by,s,,0
laws,laws,s,AbstractConcepts,0
decree,decree,c,CommonAuthorities,0
",",",",n,,0
And,and,s,,0
that,that,s,,0
decree,decree,s,CommonAuthorities,0
is,is,s,ReportingStates,0
trreuocable,trreuocable,c,UNRECOGNIZED,0
.,.,n,Sequence,0
Then,then,s,Sequence,1
as,as,s,SelfDisclosure,0
I,i,s,SelfDisclosure,1
am,am,s,FirstPer,0
Gods,gods,s,CommonAuthorities,0
Uicegerent,uicegerent,s,UNRECOGNIZED,0
here,here,s,SpaceRelation,0
on,on,s,SpaceRelation,0
earth,earth,c,SpaceRelation,1
",",",",n,,0
By,by,s,,0
Gods,gods,s,CommonAuthorities,0
appointment,appointment,s,TimeDuration,0
here,here,s,SpaceRelation,0
to,to,s,SpaceRelation,1
reign,reign,s,CommonAuthorities,0
and,and,s,,0
rule,rule,c,AbstractConcepts,0
",",",",n,ReasonForward,0
So,so,s,ReasonForward,1
must,must,s,Insist,0
I,i,s,FirstPer,0
seek,seek,s,ProjectAhead,0
to,to,s,ProjectAhead,1
cut,cut,s,ReportingEvents,0
abuses,abuses,s,Negativity,0
down,down,c,,0
",",",",n,,0
That,that,s,,0
like,like,s,SubjectivePercept,0
to,to,s,SubjectivePercept,1
Hydras,hydras,s,SenseObject,0
heads,heads,c,SenseObject,0
",",",",s,,0
daily,daily,s,RecurringEvents,0
grows,grows,s,Transformation,0
up,up,s,Transformation,1
one,one,s,Numbers,0
in,in,s,,0
another,another,s,SceneShift,0
place,place,c,SceneShift,1
",",",",n,,0
And,and,s,,0
therein,therein,s,CommonAuthorities,0
makes,makes,s,ReportingEvents,0
the,the,s,SenseObject,0
land,land,s,SenseObject,1
infectious,infectious,c,StandardsNeg,0
",",",",n,Aside,0
Which,which,s,Aside,1
if,if,s,Contingency,0
with,with,s,,0
good,good,s,,0
regard,regard,s,PrivateThinking,0
we,we,s,,0
look,look,s,ReportingEvents,0
not,not,s,DenyDisclaim,0
to,to,c,DenyDisclaim,1
",",",",n,,0
We,we,s,Metadiscourse,0
shall,shall,c,Metadiscourse,1
",",",",s,,0
like,like,s,SubjectivePercept,0
Sodom,sodom,c,UNRECOGNIZED,0
",",",",s,,0
feel,feel,s,SubjectivePercept,0
that,that,s,SubjectivePercept,1
fiery,fiery,s,SenseProperty,0
doom,doom,c,Negativity,0
",",",",n,,0
That,that,s,,0
God,god,s,CommonAuthorities,0
in,in,s,StandardsPos,0
Justice,justice,s,StandardsPos,1
did,did,s,ReportingEvents,0
inflict,inflict,s,Negativity,0
on,on,s,Negativity,1
them,them,c,,0
.,.,nn,,0
Your,your,s,DirectAddress,0
Graces,graces,s,StandardsPos,0
care,care,s,StandardsPos,0
herein,herein,s,Metadiscourse,0
I,i,s,Metadiscourse,1
much,much,s,Intensity,0
cummend,cummend,c,UNRECOGNIZED,0
",",",",n,,0
And,and,s,,0
England,england,s,,0
has,has,s,Updates,0
just,just,s,Updates,1
cause,cause,s,Cause,0
to,to,s,Cause,1
praise,praise,s,CommonAuthorities,0
the,the,s,CommonAuthorities,1
Lord,lord,c,CommonAuthorities,2
",",",",n,,0
That,that,s,,0
sent,sent,s,ReportingEvents,0
so,so,s,Positivity,0
good,good,s,Positivity,1
