GEntlemen,gentlemen,c,Positivity,0
",",",",s,,0
Inductions,inductions,s,AbstractConcepts,0
are,are,s,Negativity,0
out,out,s,Negativity,1
of,of,s,Negativity,2
date,date,c,Negativity,3
",",",",s,,0
and,and,s,,0
a,a,s,Sequence,0
Prologue,prologue,s,Sequence,1
in,in,s,,0
Verse,verse,s,SenseProperty,0
is,is,s,ReportingStates,0
as,as,s,,0
stale,stale,c,Negativity,0
",",",",s,,0
as,as,n,,0
a,a,s,,0
black,black,s,SenseProperty,0
Velvet,velvet,s,SenseProperty,1
Cloak,cloak,c,SenseObject,0
",",",",s,,0
and,and,s,,0
a,a,s,,0
Bay,bay,s,SenseObject,0
Garland,garland,c,SenseObject,0
:,:,s,,0
Therefore,therefore,s,ReasonForward,0
you,you,s,Insist,0
shall,shall,s,Insist,1
have,have,s,Cause,0
it,it,s,Cause,1
plain,plain,n,SenseProperty,0
Prose,prose,s,LangRef,0
thus,thus,c,ReasonForward,0
:,:,s,,0
If,if,s,Contingency,0
there,there,s,Contingency,1
be,be,s,Contingency,2
any,any,s,,0
amongst,amongst,s,SpaceRelation,0
you,you,c,DirectAddress,0
",",",",s,,0
that,that,s,,0
come,come,s,ReportingEvents,0
to,to,s,,0
hear,hear,s,SpaceRelation,0
lascivious,lascivious,s,SubjectivePercept,0
Scenes,scenes,c,AbstractConcepts,0
",",",",n,,0
let,let,s,ReportingEvents,0
them,them,s,ReportingEvents,1
depart,depart,c,SceneShift,0
:,:,s,,0
for,for,s,,0
I,i,s,FirstPer,0
do,do,s,Intensity,0
pronounce,pronounce,s,CommonAuthorities,0
this,this,c,Immediacy,0
",",",",s,Immediacy,1
to,to,s,,0
the,the,s,Intensity,0
utter,utter,s,Intensity,1
discomfort,discomfort,s,Negative_Relation,0
of,of,s,Specifiers,0
all,all,s,Specifiers,1
two,two,n,Numbers,0
penny,penny,s,SenseObject,0
Gallerie,gallerie,s,UNRECOGNIZED,0
men,men,c,PersonProperty,0
",",",",s,,0
you,you,s,Insist,0
shall,shall,s,Insist,1
have,have,s,,0
no,no,s,DenyDisclaim,0
bawdrie,bawdrie,s,UNRECOGNIZED,0
in,in,s,,0
it,it,c,,0
:,:,s,,0
or,or,s,,0
if,if,s,Contingency,0
there,there,s,Contingency,1
be,be,s,Contingency,2
any,any,s,,0
lurking,lurking,n,Motions,0
amongst,amongst,s,SpaceRelation,0
you,you,s,DirectAddress,0
in,in,s,,0
corners,corners,c,AbstractConcepts,0
",",",",s,,0
with,with,s,,0
Table,table,s,SenseObject,0
books,books,c,SenseObject,1
",",",",s,,0
who,who,s,Question,0
have,have,s,Question,1
some,some,s,Positivity,0
hope,hope,s,Positivity,1
to,to,s,,0
find,find,s,,0
fit,fit,n,ReportingEvents,0
matter,matter,s,Disclosure,0
to,to,s,Disclosure,1
feed,feed,s,SenseObject,0
his,his,s,PersonPronoun,0
--,--,s,,0
malice,malice,s,StandardsNeg,0
on,on,c,,0
",",",",s,,0
let,let,s,ReportingEvents,0
them,them,s,ReportingEvents,1
claspe,claspe,s,UNRECOGNIZED,0
them,them,s,,0
up,up,c,,0
",",",",s,,0
and,and,s,,0
slinke,slinke,s,UNRECOGNIZED,0
away,away,c,,0
",",",",s,,0
or,or,n,,0
stay,stay,s,TimeDuration,0
and,and,s,,0
be,be,s,ReportingStates,0
converted,converted,c,Transformation,0
.,.,s,,0
For,for,s,,0
he,he,s,CommonAuthorities,0
that,that,s,CommonAuthorities,1
made,made,s,ReportingEvents,0
this,this,s,,0
Play,play,c,ReportingEvents,0
",",",",s,,0
means,means,s,ProjectAhead,0
to,to,s,ProjectAhead,1
please,please,s,Positivity,0
Auditors,auditors,n,PersonProperty,0
so,so,c,AbstractConcepts,0
",",",",s,AbstractConcepts,1
as,as,s,TimeDuration,0
he,he,s,TimeDuration,1
may,may,s,Contingency,0
be,be,s,Contingency,1
an,an,s,Contingency,2
Auditor,auditor,s,PersonProperty,0
himself,himself,s,PersonPronoun,0
hereafter,hereafter,c,Immediacy,0
",",",",s,Immediacy,1
and,and,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
purchase,purchase,s,ReportingEvents,0
them,them,s,ReportingEvents,1
with,with,n,Specifiers,0
the,the,s,Specifiers,1
dear,dear,s,Positivity,0
loss,loss,s,Sad,0
of,of,s,Sad,1
his,his,s,PersonPronoun,0
ears,ears,c,SenseObject,0
:,:,s,,0
I,i,s,FirstPer,0
dare,dare,s,SubjectivePercept,0
not,not,s,DenyDisclaim,0
call,call,s,ReportingEvents,0
it,it,s,ReportingEvents,1
Comedy,comedy,c,Positivity,0
",",",",s,,0
or,or,s,,0
Tragedy,tragedy,c,Negativity,0
;,;,s,,0
it,it,s,,0
is,is,n,ReportingStates,0
perfectly,perfectly,s,PosFeedback,0
neither,neither,c,DenyDisclaim,0
:,:,s,,0
A,a,s,,0
Play,play,s,ReportingEvents,0
it,it,s,,0
is,is,c,ReportingStates,0
",",",",s,Aside,0
which,which,s,Aside,1
was,was,s,ProjectBack,0
meant,meant,s,ProjectAhead,0
to,to,s,ProjectAhead,1
make,make,s,DirectAddress,0
you,you,s,DirectAddress,1
laugh,laugh,c,Positivity,0
",",",",s,,0
how,how,s,Question,0
it,it,s,Question,1
will,will,n,PredictedFuture,0
please,please,s,Positivity,0
you,you,c,DirectAddress,0
",",",",s,,0
is,is,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
written,written,s,LangRef,0
in,in,s,LangRef,1
my,my,s,FirstPer,0
part,part,c,,0
:,:,s,,0
For,for,s,,0
though,though,s,Concessive,0
you,you,s,Insist,0
should,should,s,Insist,1
like,like,s,SubjectivePercept,0
it,it,s,,0
to,to,s,,0
day,day,c,TimeDuration,0
",",",",n,,0
perhaps,perhaps,s,Uncertainty,0
your,your,s,DirectAddress,0
selves,selves,s,SubjectivePercept,0
know,know,s,Uncertainty,0
not,not,s,Uncertainty,1
how,how,s,Uncertainty,2
you,you,s,Insist,0
should,should,s,Insist,1
digest,digest,s,SenseObject,0
it,it,s,,0
to,to,s,,0
morrow,morrow,c,ProjectAhead,0
:,:,s,,0
Some,some,s,Uncertainty,0
things,things,n,Uncertainty,0
in,in,s,,0
it,it,s,,0
you,you,s,DirectAddress,0
may,may,s,DirectAddress,1
meet,meet,s,SpaceRelation,0
with,with,c,SpaceRelation,1
",",",",s,Aside,0
which,which,s,Aside,1
are,are,s,ReportingStates,0
out,out,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
the,the,s,AbstractConcepts,2
common,common,s,AbstractConcepts,3
Road,road,c,SenseObject,0
:,:,s,,0
a,a,s,,0
Duke,duke,s,CommonAuthorities,0
there,there,s,ReportingStates,0
is,is,c,ReportingStates,1
",",",",n,,0
and,and,s,,0
the,the,s,SpaceRelation,0
Scene,scene,s,SpaceRelation,1
lies,lies,s,ReportingEvents,0
in,in,s,ReportingEvents,1
Italy,italy,c,,0
",",",",s,,0
as,as,s,,0
those,those,s,,0
two,two,s,Numbers,0
things,things,s,Uncertainty,0
lightly,lightly,s,SubjectivePercept,0
we,we,s,Biographical_Time,0
never,never,s,Biographical_Time,1
miss,miss,c,AbstractConcepts,0
.,.,s,Resistance,0
But,but,n,Resistance,1
you,you,s,Insist,0
shall,shall,s,Insist,1
not,not,s,DenyDisclaim,0
find,find,s,,0
in,in,s,,0
it,it,s,,0
the,the,s,PriorKnowledge,0
ordinary,ordinary,s,PriorKnowledge,1
and,and,s,,0
ouer-worne,ouer-worne,s,UNRECOGNIZED,0
trade,trade,s,AbstractConcepts,0
of,of,s,,0
ieasting,ieasting,s,UNRECOGNIZED,0
at,at,n,,0
Lords,lords,s,CommonAuthorities,0
and,and,s,,0
Courtiers,courtiers,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
Citizens,citizens,c,CommonAuthorities,0
",",",",s,,0
without,without,s,Contingency,0
taxation,taxation,s,AbstractConcepts,0
of,of,s,,0
any,any,s,,0
particular,particular,s,Specifiers,0
or,or,s,,0
new,new,n,,0
vice,vice,s,AbstractConcepts,0
by,by,s,,0
them,them,s,,0
found,found,s,Confidence,0
out,out,c,Confidence,1
",",",",s,Resistance,0
but,but,s,Resistance,1
at,at,s,SpaceRelation,0
the,the,s,SpaceRelation,1
persons,persons,s,PersonProperty,0
of,of,s,PersonProperty,1
them,them,c,,0
:,:,s,,0
such,such,c,Intensity,0
",",",",s,,0
he,he,s,CommonAuthorities,0
that,that,s,CommonAuthorities,1
made,made,s,ReportingEvents,0
this,this,c,Immediacy,0
",",",",n,Immediacy,1
thinks,thinks,s,PrivateThinking,0
vile,vile,c,StandardsNeg,0
;,;,s,,0
and,and,s,,0
for,for,s,ProjectAhead,0
his,his,s,ProjectAhead,1
own,own,s,ProjectAhead,2
part,part,s,ProjectAhead,3
vows,vows,c,Intensity,0
",",",",s,,0
That,that,s,,0
he,he,s,Intensity,0
did,did,s,Intensity,1
never,never,s,DenyDisclaim,0
think,think,c,PrivateThinking,0
",",",",s,Resistance,0
but,but,s,Resistance,1
that,that,n,Resistance,2
a,a,s,,0
Lord,lord,s,CommonAuthorities,0
borne,borne,s,ReportingEvents,0
might,might,s,Contingency,0
be,be,s,Contingency,1
a,a,s,Contingency,2
wise,wise,s,StandardsPos,0
man,man,c,StandardsPos,1
",",",",s,,0
and,and,s,,0
a,a,s,,0
Courtier,courtier,s,PersonProperty,0
an,an,s,,0
honest,honest,s,StandardsPos,0
man,man,nnn,StandardsPos,1
It,it,s,Updates,0
Is,is,s,Updates,1
now,now,s,Updates,2
the,the,s,,0
sweetest,sweetest,s,Positivity,0
time,time,s,TimeDuration,0
for,for,s,TimeDuration,1
sleep,sleep,c,Motions,0
",",",",s,,0
the,the,s,TimeDuration,0
night,night,s,TimeDuration,1
is,is,s,ReportingStates,0
scarce,scarce,s,Negativity,0
spent,spent,c,ReportingStates,0
;,;,s,ReportingStates,1
Arrigo,arrigo,c,UNRECOGNIZED,0
",",",",n,Specifiers,0
what,what,s,Specifiers,1
is,is,s,Specifiers,2
a,a,s,Specifiers,3
clock,clock,nn,SenseObject,0
Past,past,s,AbstractConcepts,0
