MOst,most,s,Comparison,0
high,high,s,,0
and,and,s,StandardsPos,0
happy,happy,s,StandardsPos,1
Princess,princess,c,PersonProperty,0
",",",",s,,0
we,we,s,Insist,0
must,must,s,Insist,1
tell,tell,s,DirectAddress,0
you,you,s,DirectAddress,1
a,a,s,,0
tale,tale,s,LangRef,0
of,of,s,LangRef,1
the,the,s,PersonProperty,0
Man,man,s,PersonProperty,1
in,in,s,,0
the,the,n,SenseObject,0
Moon,moon,c,SenseObject,1
",",",",s,Aside,0
which,which,s,Aside,1
if,if,s,Contingency,0
it,it,s,Contingency,1
seem,seem,s,Uncertainty,0
ridiculous,ridiculous,s,Negativity,0
for,for,s,,0
the,the,s,CommonAuthorities,0
method,method,c,CommonAuthorities,1
",",",",s,,0
or,or,s,,0
superfluous,superfluous,s,StandardsNeg,0
for,for,s,,0
the,the,n,,0
matter,matter,c,AbstractConcepts,0
",",",",s,,0
or,or,s,,0
for,for,s,,0
the,the,s,,0
means,means,s,AbstractConcepts,0
incredible,incredible,c,Intensity,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
three,three,s,Numbers,0
faults,faults,s,StandardsNeg,0
we,we,s,Contingency,0
can,can,s,Contingency,1
make,make,s,ReportingEvents,0
but,but,s,Exceptions,0
one,one,n,Exceptions,1
excuse,excuse,c,StandardsPos,0
.,.,s,ReportingStates,0
It,it,s,ReportingStates,1
is,is,s,ReportingStates,2
a,a,s,,0
tale,tale,s,LangRef,0
of,of,s,LangRef,1
the,the,s,PersonProperty,0
Man,man,s,PersonProperty,1
in,in,s,,0
the,the,s,SenseObject,0
Moon,moon,nn,SenseObject,1
It,it,s,ProjectBack,0
was,was,s,ProjectBack,1
forbidden,forbidden,s,Resistance,0
in,in,s,,0
old,old,s,ProjectBack,0
time,time,s,ProjectBack,1
to,to,s,,0
dispute,dispute,s,Resistance,0
of,of,s,,0
Chymera,chymera,c,UNRECOGNIZED,0
",",",",s,,0
because,because,s,ReasonBackward,0
it,it,s,ProjectBack,0
was,was,s,ProjectBack,1
a,a,s,ProjectBack,2
fiction,fiction,c,LangRef,0
",",",",n,,0
we,we,s,,0
hope,hope,s,ProjectAhead,0
in,in,s,ProjectAhead,1
our,our,s,Inclusive,0
times,times,s,Inclusive,1
none,none,s,DenyDisclaim,0
will,will,s,PredictedFuture,0
apply,apply,s,ReportingEvents,0
pastimes,pastimes,c,GenericEvents,0
",",",",s,,0
because,because,s,ReasonBackward,0
they,they,s,ReportingStates,0
are,are,s,ReportingStates,1
fancies,fancies,c,PrivateThinking,0
;,;,s,,0
for,for,n,ReasonBackward,0
there,there,s,ReasonBackward,1
lives,lives,s,,0
none,none,s,DenyDisclaim,0
under,under,s,Intensity,0
the,the,s,Intensity,1
Sun,sun,c,Intensity,2
",",",",s,,0
that,that,s,,0
knows,knows,s,StandardsPos,0
what,what,s,StandardsPos,1
to,to,s,StandardsPos,2
make,make,s,Specifiers,0
of,of,s,Specifiers,1
the,the,s,PersonProperty,0
Man,man,s,PersonProperty,1
in,in,s,,0
the,the,n,,0
Moonee,moonee,c,UNRECOGNIZED,0
.,.,s,,0
We,we,s,Metadiscourse,0
present,present,s,Metadiscourse,1
neither,neither,s,DenyDisclaim,0
Comedy,comedy,c,Positivity,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
Tragedy,tragedy,c,Negativity,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
story,story,c,LangRef,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
any,any,s,Specifiers,0
thing,thing,c,Specifiers,1
",",",",n,,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
whosoever,whosoever,s,Intensity,0
hears,hears,s,SpaceRelation,0
may,may,s,ReceivedPOV,0
say,say,s,ReceivedPOV,1
this,this,c,Immediacy,0
",",",",s,Immediacy,1
Why,why,s,Question,0
here,here,s,DirectAddress,0
is,is,s,DirectAddress,1
a,a,s,DirectAddress,2
tale,tale,s,LangRef,0
of,of,s,LangRef,1
the,the,s,PersonProperty,0
Man,man,s,PersonProperty,1
in,in,s,,0
the,the,n,SenseObject,0
Moon,moon,nnn,SenseObject,1
I,i,s,Metadiscourse,0
Find,find,s,Metadiscourse,1
Eumenides,eumenides,s,UNRECOGNIZED,0
in,in,s,Generalization,0
all,all,s,Generalization,1
things,things,s,Uncertainty,0
both,both,s,,0
variety,variety,s,AbstractConcepts,0
to,to,s,,0
content,content,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
satietie,satietie,s,UNRECOGNIZED,0
to,to,n,,0
glut,glut,c,Negativity,0
",",",",s,,0
saving,saving,s,StandardsPos,0
only,only,s,SubjectivePercept,0
in,in,s,,0
my,my,s,FirstPer,0
affections,affections,c,Positivity,0
",",",",s,Aside,0
which,which,s,Aside,1
are,are,s,Intensity,0
so,so,s,Intensity,1
stayed,stayed,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
withal,withal,s,Metadiscourse,0
so,so,n,,0
stately,stately,c,StandardsPos,0
",",",",s,,0
that,that,s,,0
I,i,s,Contingency,0
can,can,s,Contingency,1
neither,neither,s,DenyDisclaim,0
satis-fie,satis-fie,s,UNRECOGNIZED,0
my,my,s,SelfDisclosure,0
heart,heart,s,SelfDisclosure,1
with,with,s,Positivity,0
love,love,c,Positivity,1
",",",",s,,0
nor,nor,s,DenyDisclaim,0
mine,mine,s,SelfDisclosure,0
eyes,eyes,s,SelfDisclosure,1
with,with,n,Curiosity,0
wonder,wonder,c,Curiosity,1
.,.,s,,0
My,my,s,SelfDisclosure,0
thoughts,thoughts,s,SelfDisclosure,1
Eumenides,eumenides,s,UNRECOGNIZED,0
are,are,s,ReportingStates,0
stitched,stitched,s,ReportingEvents,0
to,to,s,,0
the,the,s,,0
stars,stars,c,SenseObject,0
",",",",s,Aside,0
which,which,s,Aside,1
being,being,s,ReportingStates,0
as,as,s,,0
high,high,n,Resemblances,0
as,as,s,Resemblances,1
I,i,s,Contingency,0
can,can,s,Contingency,1
see,see,c,,0
;,;,s,,0
thou,thou,s,DirectAddress,0
may,may,s,Contingency,0
imagine,imagine,s,PrivateThinking,0
how,how,s,OpenQuery,0
much,much,s,OpenQuery,1
higher,higher,s,Comparison,0
they,they,s,ReportingStates,0
are,are,s,ReportingStates,1
then,then,s,Sequence,0
I,i,s,Sequence,1
can,can,s,Contingency,0
reach,reach,nnn,AbstractConcepts,0
If,if,s,Contingency,0
you,you,s,DirectAddress,0
be,be,s,DirectAddress,1
enamored,enamored,s,Positivity,0
of,of,s,Positivity,1
any,any,s,Specifiers,0
thing,thing,s,Specifiers,1
above,above,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Moon,moon,c,SpaceRelation,2
",",",",s,,0
your,your,s,DirectAddress,0
thoughts,thoughts,s,PrivateThinking,0
are,are,s,PrivateThinking,1
ridiculous,ridiculous,c,Negativity,0
",",",",n,ReasonForward,0
for,for,s,ReasonForward,1
that,that,s,,0
things,things,s,Uncertainty,0
immortal,immortal,s,StandardsPos,0
are,are,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
subject,subject,s,Contingency,0
to,to,s,Contingency,1
affections,affections,c,Positivity,0
",",",",s,,0
if,if,s,Contingency,0
allured,allured,s,Positivity,0
or,or,n,,0
enchaunted,enchaunted,s,UNRECOGNIZED,0
with,with,s,,0
these,these,s,Immediacy,0
transitory,transitory,s,AbstractConcepts,0
things,things,s,Uncertainty,0
under,under,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Moon,moon,c,SenseObject,0
",",",",s,,0
you,you,s,DirectAddress,0
show,show,s,DirectAddress,0
your,your,s,DirectAddress,1
self,self,n,SubjectivePercept,0
senseless,senseless,c,Negativity,0
",",",",s,,0
to,to,s,,0
attribute,attribute,s,ReportingEvents,0
such,such,s,Intensity,0
lofty,lofty,s,StandardsPos,0
tytles,tytles,c,UNRECOGNIZED,0
",",",",s,,0
to,to,s,,0
such,such,s,Intensity,0
love,love,s,Positivity,0
trifles,trifles,nnn,SenseObject,0
My,my,s,Positivity,0
love,love,s,Positivity,1
is,is,s,ReportingStates,0
placed,placed,s,ReportingEvents,0
neither,neither,s,DenyDisclaim,0
under,under,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Moon,moon,s,SenseObject,0
nor,nor,s,DenyDisclaim,0
above,above,c,SpaceRelation,0
.,.,nnn,,0
I,i,s,DirectAddress,0
hope,hope,s,DirectAddress,1
you,you,s,DirectAddress,2
be,be,s,ReportingStates,0
not,not,s,DenyDisclaim,0
sotted,sotted,s,Negativity,0
upon,upon,s,,0
the,the,s,PersonProperty,0
man,man,s,PersonProperty,1
in,in,s,,0
the,the,s,SenseObject,0
Moon,moon,c,SenseObject,1
.,.,nnn,,0
No,no,s,DenyDisclaim,0
but,but,s,Resistance,0
settled,settled,c,ReportingStates,0
",",",",s,ReportingStates,1
either,either,s,ReasonForward,0
to,to,s,ReasonForward,1
die,die,c,AbstractConcepts,0
",",",",s,,0
or,or,s,,0
possess,possess,s,ReportingEvents,0
the,the,s,SenseObject,0
Moon,moon,s,SenseObject,1
herself,herself,c,PersonPronoun,0
.,.,nnn,,0
Is,is,s,ReportingStates,0
Endimion,endimion,s,UNRECOGNIZED,0
mad,mad,c,Negativity,0
",",",",s,,0
or,or,s,,0
do,do,s,Question,0
I,i,s,Question,1
mistake,mistake,c,Negativity,0
?,?,s,Question,0
do,do,s,DirectAddress,0
you,you,s,DirectAddress,1
love,love,s,Positivity,0
the,the,s,Positivity,1
Moon,moon,s,SenseObject,0
Endimion,endimion,c,UNRECOGNIZED,0
?,?,nnn,Question,0
Eumenides,eumenides,s,UNRECOGNIZED,0
the,the,s,SenseObject,0
Moon,moon,c,SenseObject,1
.,.,nnn,ProjectBack,0
There,there,s,ProjectBack,1
was,was,s,ProjectBack,2
never,never,s,DenyDisclaim,0
any,any,s,,0
so,so,s,,0
peevish,peevish,s,Negativity,0
to,to,s,,0
imagine,imagine,s,DirectReasoning,0
the,the,s,DirectReasoning,1
Moon,moon,s,SenseObject,0
either,either,s,Metadiscourse,0
capable,capable,s,AbstractConcepts,0
of,of,n,AbstractConcepts,1
affection,affection,c,Positivity,0
