SHame,shame,s,StandardsNeg,0
and,and,s,,0
dishonor,dishonor,s,StandardsNeg,0
to,to,s,,0
the,the,s,,0
Roman,roman,s,AbstractConcepts,0
name,name,n,ReportingEvents,0
A,a,s,ReportingEvents,1
triumph,triumph,s,Positivity,0
held,held,s,ReportingEvents,0
at,at,s,ReportingEvents,1
Alexandria,alexandria,n,,0
Only,only,s,SubjectivePercept,0
to,to,s,SubjectivePercept,1
honor,honor,s,StandardsPos,0
Cleopatraes,cleopatraes,s,UNRECOGNIZED,0
pride,pride,c,StandardsPos,0
?,?,nn,Question,0
Ah,ah,s,OralCues,0
Marcus,marcus,c,UNRECOGNIZED,0
",",",",s,,0
this,this,s,,0
Egyptian,egyptian,s,,0
Queen,queen,s,PersonProperty,0
was,was,s,ProjectBack,0
made,made,n,ReportingEvents,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
be,be,s,ReportingStates,0
the,the,s,ReportingStates,1
ruin,ruin,s,Negativity,0
of,of,s,,0
Antonius,antonius,c,UNRECOGNIZED,0
.,.,nn,,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
be,be,s,ReportingStates,0
the,the,s,ReportingStates,1
pleasure,pleasure,s,Positivity,0
of,of,s,,0
Antonius,antonius,c,UNRECOGNIZED,0
.,.,nnn,,0
^,^,c,UNRECOGNIZED,0
ow,ow,s,Negativity,0
can,can,s,DirectAddress,0
you,you,s,DirectAddress,1
jest,jest,s,Positivity,0
Canidius,canidius,c,UNRECOGNIZED,0
",",",",s,,0
on,on,s,,0
a,a,s,,0
theme,theme,n,LangRef,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
sad,sad,c,Sad,0
?,?,nn,Question,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
Plancus,plancus,s,UNRECOGNIZED,0
can,can,s,DirectAddress,0
you,you,s,DirectAddress,1
prophecy,prophecy,n,ProjectAhead,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
sadly,sadly,s,Sad,0
on,on,s,,0
so,so,s,,0
merry,merry,s,Positivity,0
an,an,s,,0
occasion,occasion,c,AbstractConcepts,0
",",",",n,,0
As,as,s,Comparison,0
is,is,s,Comparison,1
the,the,s,,0
love,love,s,StandardsPos,0
of,of,s,StandardsPos,1
Ladies,ladies,c,PersonProperty,0
?,?,nn,Question,0
Let,let,s,ReportingEvents,0
Canidius,canidius,n,UNRECOGNIZED,0
Have,have,s,SubjectivePercept,0
his,his,s,SubjectivePercept,1
own,own,s,SubjectivePercept,2
way,way,c,SubjectivePercept,3
",",",",s,,0
Munatius,munatius,c,UNRECOGNIZED,0
",",",",s,,0
it,it,s,,0
is,is,s,ReportingStates,0
in,in,s,Negativity,0
vain,vain,n,Negativity,1
To,to,s,,0
talk,talk,s,ReportingEvents,0
to,to,s,ReportingEvents,1
him,him,c,PersonPronoun,0
.,.,nn,Request,0
Would,would,s,Request,1
you,you,s,Request,2
could,could,s,Contingency,0
let,let,s,Contingency,1
me,me,s,FirstPer,0
have,have,n,,0
Antonius,antonius,s,UNRECOGNIZED,0
his,his,s,SubjectivePercept,0
way,way,c,SubjectivePercept,1
",",",",s,,0
upon,upon,s,Contingency,0
condition,condition,n,Contingency,1
I,i,s,FirstPer,0
suffered,suffered,s,Negativity,0
you,you,s,DirectAddress,0
to,to,s,,0
censure,censure,s,,0
gravely,gravely,s,Negativity,0
of,of,s,,0
it,it,c,,0
",",",",n,,0
And,and,s,,0
prophecy,prophecy,s,ProjectAhead,0
my,my,s,FirstPer,0
ruin,ruin,c,Negativity,0
.,.,s,Resistance,0
But,but,s,Resistance,1
my,my,s,FirstPer,0
Lords,lords,c,CommonAuthorities,0
",",",",n,,0
You,you,s,DirectAddress,0
were,were,s,ProjectBack,0
as,as,s,,0
good,good,s,,0
be,be,s,Positivity,0
merry,merry,s,Positivity,1
too,too,c,Metadiscourse,0
",",",",s,Metadiscourse,1
and,and,s,,0
take,take,n,ReportingEvents,0
Your,your,s,DirectAddress,0
share,share,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
pleasure,pleasure,s,Positivity,0
in,in,s,,0
th'Aegyptian,th'aegyptian,s,UNRECOGNIZED,0
Court,court,c,AbstractConcepts,0
.,.,n,,0
You,you,s,DirectAddress,0
Will,will,s,PredictedFuture,0
do,do,s,Intensity,0
no,no,s,Negativity,0
good,good,s,Negativity,1
with,with,s,,0
these,these,s,Immediacy,0
persuasions,persuasions,c,SubjectivePercept,0
.,.,n,,0
He,he,s,PersonPronoun,0
loves,loves,s,Positivity,0
the,the,s,Positivity,1
Queen,queen,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
will,will,s,PredictedFuture,0
do,do,s,Intensity,0
so,so,s,Intensity,1
in,in,s,Negativity,0
spite,spite,c,Negativity,1
.,.,n,,0
Of,of,s,Inclusive,0
our,our,s,Inclusive,1
morality,morality,c,StandardsPos,0
.,.,nn,Resistance,0
It,it,s,Resistance,1
Is,is,s,Resistance,2
too,too,s,Resistance,3
too,too,s,,0
true,true,c,Concessive,0
",",",",n,Concessive,1
That,that,s,,0
face,face,s,SenseProperty,0
of,of,s,SenseProperty,1
hers,hers,c,PersonPronoun,0
",",",",s,,0
that,that,s,,0
beauty,beauty,s,StandardsPos,0
in,in,s,,0
the,the,s,,0
bud,bud,n,SenseObject,0
Not,not,s,DenyDisclaim,0
fully,fully,s,MatureProcess,0
blown,blown,c,ReportingStates,0
",",",",s,ReportingStates,1
in,in,s,TimeDuration,0
years,years,s,TimeDuration,1
of,of,s,,0
innocence,innocence,n,Disclosure,0
(,(,c,,0
If,if,s,Contingency,0
any,any,s,Contingency,1
years,years,s,TimeDuration,0
of,of,s,TimeDuration,1
hers,hers,s,PersonPronoun,0
were,were,s,ProjectBack,0
innocent,innocent,c,Disclosure,0
),),n,,0
Set,set,s,SpaceRelation,0
off,off,s,SpaceRelation,1
with,with,s,SpaceRelation,2
no,no,s,DenyDisclaim,0
adulterisme,adulterisme,s,UNRECOGNIZED,0
of,of,s,,0
art,art,c,AbstractConcepts,0
",",",",n,,0
Nor,nor,s,DenyDisclaim,0
clothed,clothed,s,SenseProperty,0
with,with,s,SenseProperty,1
state,state,s,,0
and,and,s,,0
pompous,pompous,s,Negativity,0
Majesty,majesty,c,CommonAuthorities,0
",",",",n,Resistance,0
But,but,s,Resistance,1
in,in,s,,0
a,a,s,Positivity,0
fortune,fortune,s,Positivity,1
clouded,clouded,s,SenseProperty,0
and,and,s,,0
distressed,distressed,n,Negativity,0
A,a,s,Negativity,0
wretched,wretched,s,Negativity,1
prisoner,prisoner,s,Negativity,0
in,in,s,Specifiers,0
her,her,s,Specifiers,1
brother's,brother's,s,PersonProperty,0
Court,court,c,AbstractConcepts,0
",",",",n,Resistance,0
Yet,yet,s,Resistance,1
then,then,s,Sequence,0
I,i,s,Sequence,1
say,say,s,Citations,0
that,that,s,Citations,1
charming,charming,s,Positivity,0
face,face,s,SenseObject,0
could,could,s,Contingency,0
move,move,n,MoveBody,0
The,the,s,MoveBody,1
manly,manly,s,PersonProperty,0
temper,temper,s,AbstractConcepts,0
of,of,s,,0
wise,wise,s,StandardsPos,0
Julius,julius,s,UNRECOGNIZED,0
Caesar,caesar,c,,0
",",",",n,,0
That,that,s,,0
Ma^^,ma^^,s,UNRECOGNIZED,0
in,in,s,Intensity,0
heat,heat,s,Intensity,1
of,of,s,Specifiers,0
all,all,s,Specifiers,1
his,his,s,PersonPronoun,0
active,active,s,,0
war,war,c,GenericEvents,0
",",",",n,,0
When,when,s,TimeShift,0
he,he,s,TimeShift,1
pursued,pursued,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
flying,flying,s,Motions,0
Pompey,pompey,s,UNRECOGNIZED,0
hither,hither,c,SpaceRelation,0
",",",",n,,0
His,his,s,PersonPronoun,0
sword,sword,s,SenseObject,0
yet,yet,s,Resistance,0
reeking,reeking,s,Negativity,0
in,in,s,,0
Pharsa^i^es,pharsa^i^es,s,UNRECOGNIZED,0
slaughter,slaughter,n,Anger,0
At,at,s,SpaceRelation,0
sight,sight,s,SpaceRelation,1
of,of,s,,0
her,her,s,PersonPronoun,0
became,became,s,Transformation,0
a,a,s,Transformation,1
dot^ng,dot^ng,s,UNRECOGNIZED,0
Lover,lover,c,Positivity,0
:,:,n,,0
And,and,s,,0
could,could,s,Contingency,0
we,we,s,,0
think,think,s,PrivateThinking,0
that,that,s,PrivateThinking,1
our,our,s,Inclusive,0
Antonius,antonius,n,UNRECOGNIZED,0
A,a,s,PersonProperty,0
man,man,s,PersonProperty,1
not,not,s,DenyDisclaim,0
master,master,s,CommonAuthorities,0
of,of,s,CommonAuthorities,1
that,that,s,,0
temperance,temperance,n,SubjectivePercept,0
That,that,s,,0
Caesar,caesar,s,,0
had,had,c,ProjectBack,0
",",",",s,ProjectBack,1
could,could,s,StandardsPos,0
find,find,s,StandardsPos,1
a,a,s,,0
strength,strength,s,AbstractConcepts,0
to,to,s,,0
guard,guard,n,Negativity,0
His,his,s,Negativity,1
soul,soul,s,Disclosure,0
against,against,s,,0
that,that,s,,0
beauty,beauty,s,StandardsPos,0
now,now,s,Immediacy,0
set,set,s,SpaceRelation,0
off,off,n,SpaceRelation,1
With,with,s,SpaceRelation,2
so,so,s,Intensity,0
much,much,s,Intensity,1
wealth,wealth,s,Positivity,0
and,and,s,,0
majesty,majesty,c,CommonAuthorities,0
?,?,nn,Question,0
No,no,s,DenyDisclaim,0
surely,surely,c,Confidence,0
.,.,n,,0
I,i,s,FirstPer,0
did,did,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
think,think,s,PrivateThinking,0
Antonius,antonius,s,UNRECOGNIZED,0
was,was,s,ProjectBack,0
an,an,s,ProjectBack,1
Eunuch,eunuch,c,PersonProperty,0
.,.,n,Metadiscourse,0
Nor,nor,s,Metadiscourse,1
could,could,s,Contingency,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
believed,believed,s,PrivateThinking,0
he,he,s,ProjectBack,0
had,had,s,ProjectBack,1
been,been,s,ProjectBack,0
worthy,worthy,n,StandardsPos,0
To,to,s,GenericEvents,0
be,be,s,GenericEvents,1
a,a,s,,0
successor,successor,s,PersonProperty,0
in,in,s,,0
Caesa^,caesa^,s,UNRECOGNIZED,0
power,power,c,AbstractConcepts,0
",",",",n,,0
Unless,unless,s,Contingency,0
he,he,s,ProjectBack,0
had,had,s,ProjectBack,1
succeeded,succeeded,s,StandardsPos,0
him,him,s,PersonPronoun,0
in,in,s,Specifiers,0
her,her,c,Specifiers,1
.,.,n,,0
Great,great,s,Intensity,0
Julius,julius,s,UNRECOGNIZED,0
noble,noble,s,StandardsPos,0
acts,acts,s,ReportingEvents,0
in,in,s,,0
war,war,s,GenericEvents,0
and,and,s,,0
state,state,n,,0
Assured,assured,s,Confidence,0
the,the,s,,0
world,world,s,AbstractConcepts,0
that,that,s,,0
he,he,s,PersonPronoun,0
was,was,s,ProjectBack,0
wise,wise,s,StandardsPos,0
and,and,s,,0
valiant,valiant,c,StandardsPos,0
:,:,n,,0
But,but,s,Resistance,0
if,if,s,Contingency,0
he,he,s,Contingency,1
had,had,s,Contingency,2
not,not,s,DenyDisclaim,0
fallen,fallen,s,Positivity,0
in,in,s,Positivity,1
love,love,s,Positivity,2
with,with,s,Positivity,3
her,her,n,PersonPronoun,0
I,i,s,Insist,0
should,should,s,Insist,1
have,have,s,Insist,2
much,much,s,Intensity,0
suspected,suspected,s,Negativity,0
his,his,s,PersonPronoun,0
good,good,s,StandardsPos,0
nature,nature,c,StandardsPos,1
.,.,nn,,0
Nay,nay,s,OralCues,0
then,then,c,TimeShift,0
",",",",s,TimeShift,1
Canidius,canidius,c,UNRECOGNIZED,0
",",",",s,,0
it,it,s,ProjectAhead,0
shall,shall,s,ProjectAhead,1
be,be,s,ProjectAhead,2
yours,yours,c,DirectAddress,0
.,.,nnn,,0
Or,or,s,,0
what,what,s,,0
indeed,indeed,s,Intensity,0
were,were,s,ProjectBack,0
greatness,greatness,s,StandardsPos,0
in,in,s,Intensity,0
the,the,s,Intensity,1
world,world,n,Intensity,2
If,if,s,Contingency,0
he,he,s,Contingency,1
that,that,s,,0
did,did,s,ReportingEvents,0
possess,possess,s,ReportingEvents,0
it,it,c,,0
",",",",s,,0
might,might,s,Contingency,0
not,not,s,DenyDisclaim,0
play,play,n,ReportingEvents,0
The,the,s,Anger,0
wanton,wanton,s,Anger,1
with,with,s,,0
^,^,c,UNRECOGNIZED,0
t,t,c,AbstractConcepts,0
?,?,s,Question,0
this,this,s,,0
Egyptian,egyptian,s,,0
Queen,queen,n,PersonProperty,0
Is,is,s,ReportingStates,0
a,a,s,ReportingStates,1
state,state,s,,0
beauty,beauty,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
ordained,ordained,s,CommonAuthorities,0
by,by,s,,0
fate,fate,n,SubjectivePercept,0
To,to,s,GenericEvents,0
be,be,s,GenericEvents,1
possessed,possessed,s,ReportingEvents,0
by,by,s,,0
them,them,s,,0
that,that,s,,0
rule,rule,s,AbstractConcepts,0
the,the,s,,0
world,world,c,AbstractConcepts,0
.,.,n,,0
Great,great,s,Intensity,0
Pompey's,pompey's,s,UNRECOGNIZED,0
son,son,s,PersonProperty,0
enjoyed,enjoyed,s,Positivity,0
her,her,s,Positivity,1
first,first,c,Sequence,0
",",",",s,Sequence,1
and,and,s,,0
plucked,plucked,n,Narrative_Verbs,0
Her,her,s,Narrative_Verbs,1
Virgin,virgin,s,PersonProperty,0
blossom,blossom,c,SenseObject,0
.,.,s,Question,0
When,when,s,Question,1
that,that,s,,0
Family,family,c,,0
",",",",n,,0
Whose,whose,s,PersonPronoun,0
ruin,ruin,s,Negativity,0
filled,filled,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
World,world,c,AbstractConcepts,0
",",",",s,,0
was,was,s,ProjectBack,0
overthrown,overthrown,c,Negativity,0
",",",",n,,0
Great,great,s,Intensity,0
Iul^us,iul^us,s,UNRECOGNIZED,0
next,next,s,Sequence,0
came,came,s,ReportingEvents,0
in,in,s,ReportingEvents,1
as,as,s,,0
conqueror,conqueror,n,PersonProperty,0
To,to,s,,0
have,have,s,,0
his,his,s,PersonPronoun,0
share,share,c,ReportingEvents,0
",",",",s,,0
and,and,s,,0
as,as,s,TimeDuration,0
he,he,s,TimeDuration,1
did,did,s,ReportingEvents,0
in,in,s,SubjectivePercept,0
power,power,c,SubjectivePercept,1
",",",",n,,0
Succeeded,succeeded,s,StandardsPos,0
him,him,s,PersonPronoun,0
in,in,s,,0
Cleopatrae,cleopatrae,c,UNRECOGNIZED,0
",",",",s,,0
love,love,c,Positivity,0
.,.,n,,0
Now,now,s,Immediacy,0
our,our,s,Inclusive,0
Antonius,antonius,s,UNRECOGNIZED,0
takes,takes,s,Responsibility,0
his,his,s,Responsibility,1
turn,turn,c,Responsibility,2
",",",",s,,0
and,and,s,,0
thinks,thinks,n,PrivateThinking,0
That,that,s,PrivateThinking,1
all,all,s,Generalization,0
the,the,s,Generalization,1
legions,legions,c,AbstractConcepts,0
*,*,s,,0
all,all,s,Generalization,0
the,the,s,Generalization,1
swords,swords,c,SenseObject,0
",",",",s,,0
that,that,s,,0
came,came,n,ReportingEvents,0
To,to,s,,0
make,make,s,ReportingEvents,0
his,his,s,PersonPronoun,0
greatness,greatness,s,StandardsPos,0
up,up,s,,0
when,when,s,,0
Julius,julius,s,UNRECOGNIZED,0
died,died,c,ReportingStates,0
",",",",n,ReportingStates,1
Could,could,s,Contingency,0
give,give,s,,0
no,no,s,DenyDisclaim,0
greater,greater,s,Comparison,0
privilege,privilege,s,StandardsPos,0
to,to,s,StandardsPos,1
him,him,n,PersonPronoun,0
Then,then,s,,0
power,power,s,StandardsPos,0
to,to,s,StandardsPos,1
be,be,s,ReportingStates,0
the,the,s,ReportingStates,1
servant,servant,s,PersonProperty,0
to,to,s,,0
this,this,s,,0
Queen,queen,c,PersonProperty,0
.,.,n,,0
Thus,thus,s,ReasonForward,0
whosoere,whosoere,s,UNRECOGNIZED,0
in,in,s,,0
Rome,rome,s,,0
be,be,s,ReportingStates,0
conqueror,conqueror,n,PersonProperty,0
His,his,s,PersonPronoun,0
laurel,laurel,s,SenseObject,0
wreath,wreath,s,SenseObject,1
is,is,s,ReportingStates,0
Cleopatraes,cleopatraes,s,UNRECOGNIZED,0
love,love,c,Positivity,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
to,to,s,,0
speak,speak,s,ReportingEvents,0
justly,justly,s,StandardsPos,0
of,of,s,,0
her,her,c,PersonPronoun,0
",",",",s,,0
Nature,nature,s,AbstractConcepts,0
teemed,teemed,n,SpaceRelation,0
To,to,s,,0
build,build,s,ReportingEvents,0
this,this,s,,0
woman,woman,s,PersonProperty,0
for,for,s,,0
no,no,s,DenyDisclaim,0
meaner,meaner,s,Negativity,0
height,height,c,SenseProperty,0
.,.,n,,0
Her,her,s,PersonPronoun,0
soul,soul,s,Disclosure,0
is,is,s,ReportingStates,0
full,full,s,Specifiers,0
of,of,s,Specifiers,1
greatness,greatness,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
her,her,s,PersonPronoun,0
wit,wit,n,StandardsPos,0
