NOctem,noctem,s,UNRECOGNIZED,0
peccatis,peccatis,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
fraudibus,fraudibus,s,UNRECOGNIZED,0
obiice,obiice,s,UNRECOGNIZED,0
nubem,nubem,c,UNRECOGNIZED,0
.,.,s,DenyDisclaim,0
There,there,s,DenyDisclaim,1
is,is,s,DenyDisclaim,2
no,no,s,DenyDisclaim,3
such,such,s,Intensity,0
fine,fine,s,Positivity,0
time,time,s,Positivity,1
to,to,n,,0
play,play,s,ReportingEvents,0
the,the,s,Negativity,0
knave,knave,s,Negativity,1
in,in,c,,0
",",",",s,,0
as,as,s,,0
the,the,s,TimeDuration,0
night,night,c,TimeDuration,1
.,.,s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
a,a,s,SelfDisclosure,2
Goose,goose,s,SenseObject,0
or,or,s,,0
a,a,s,,0
Ghost,ghost,s,SenseProperty,0
at,at,s,SubjectivePercept,0
least,least,c,SubjectivePercept,1
;,;,s,,0
for,for,s,,0
what,what,n,,0
with,with,s,,0
turmoyle,turmoyle,s,UNRECOGNIZED,0
of,of,s,,0
getting,getting,s,,0
my,my,s,FirstPer,0
fools,fools,s,Negativity,0
apparel,apparel,c,SenseObject,0
",",",",s,,0
and,and,s,,0
care,care,s,Positivity,0
of,of,s,Positivity,1
being,being,s,ReportingStates,0
perfect,perfect,c,StandardsPos,0
",",",",s,,0
I,i,s,SelfDisclosure,0
am,am,n,SelfDisclosure,1
sure,sure,s,Confidence,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
not,not,s,Updates,0
yet,yet,s,Updates,1
supt,supt,s,,0
to,to,s,,0
night,night,c,,0
.,.,s,Future_Question,0
Will,will,s,Future_Question,1
Summers,summers,s,TimeDuration,0
Ghost,ghost,s,SenseProperty,0
I,i,s,Insist,0
should,should,s,Insist,1
be,be,c,Insist,2
",",",",s,,0
come,come,s,ReportingEvents,0
to,to,n,,0
present,present,s,,0
you,you,s,DirectAddress,0
with,with,s,,0
Summers,summers,s,TimeDuration,0
last,last,s,Sequence,0
will,will,c,PredictedFuture,0
",",",",s,,0
and,and,s,,0
Testament,testament,c,CommonAuthorities,0
.,.,s,,0
Be,be,s,Insist,0
it,it,s,Insist,1
so,so,c,Insist,2
",",",",s,,0
if,if,s,Contingency,0
my,my,s,Autobio,0
cousin,cousin,s,Autobio,1
Ned,ned,n,,0
will,will,s,PredictedFuture,0
lend,lend,s,DirectAddress,0
me,me,s,DirectAddress,1
his,his,s,PersonPronoun,0
Chain,chain,s,SenseObject,0
and,and,s,,0
his,his,s,PersonPronoun,0
Fiddle,fiddle,c,SenseObject,0
.,.,s,,0
Other,other,s,Specifiers,0
stately,stately,s,StandardsPos,0
pac't,pac't,s,UNRECOGNIZED,0
Prologues,prologues,s,Sequence,0
use,use,s,ReportingEvents,0
to,to,n,,0
attire,attire,s,SenseObject,0
themselves,themselves,s,PersonPronoun,0
within,within,c,,0
:,:,s,,0
I,i,s,FirstPer,0
that,that,s,,0
have,have,s,ReportingEvents,0
a,a,s,ReportingEvents,1
toy,toy,s,SenseObject,0
in,in,s,SelfDisclosure,0
my,my,s,SelfDisclosure,1
head,head,c,SelfDisclosure,2
",",",",s,,0
more,more,s,Comparison,0
then,then,s,,0
ordinary,ordinary,c,PriorKnowledge,0
",",",",s,,0
and,and,n,,0
use,use,s,ReportingEvents,0
to,to,s,,0
go,go,s,Negativity,0
without,without,s,Negativity,1
money,money,c,AbstractConcepts,0
",",",",s,,0
without,without,s,Contingency,0
garters,garters,c,SenseObject,0
",",",",s,,0
without,without,s,Contingency,0
girdle,girdle,c,SenseObject,0
",",",",s,,0
without,without,s,Contingency,0
a,a,s,Contingency,1
hat-band,hat-band,c,UNRECOGNIZED,0
",",",",n,,0
without,without,s,Contingency,0
points,points,s,ReasonForward,0
to,to,s,ReasonForward,1
my,my,s,FirstPer,0
hose,hose,c,SenseObject,0
",",",",s,,0
without,without,s,Contingency,0
a,a,s,Contingency,1
knife,knife,s,SenseObject,0
to,to,s,SelfDisclosure,0
my,my,s,SelfDisclosure,1
dinner,dinner,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
make,make,s,ReportingEvents,0
so,so,s,Intensity,0
much,much,s,Intensity,1
use,use,n,AbstractConcepts,0
of,of,s,AbstractConcepts,1
this,this,s,,0
word,word,s,LangRef,0
without,without,c,Contingency,0
",",",",s,,0
in,in,s,,0
every,every,s,Generalization,0
thing,thing,c,Generalization,1
",",",",s,,0
will,will,s,PredictedFuture,0
here,here,s,SpaceRelation,0
dress,dress,s,SenseObject,0
me,me,s,FirstPer,0
without,without,c,Contingency,0
.,.,s,,0
Dick,dick,s,PersonProperty,0
Huntley,huntley,n,UNRECOGNIZED,0
cries,cries,c,Motions,0
",",",",s,,0
Begin,begin,c,Sequence,0
",",",",s,,0
begin,begin,c,Sequence,0
:,:,s,,0
and,and,s,Generalization,0
all,all,s,Generalization,1
the,the,s,Specifiers,0
whole,whole,s,Specifiers,1
house,house,c,SenseObject,0
",",",",s,ReasonForward,0
For,for,s,ReasonForward,1
shame,shame,s,StandardsNeg,0
come,come,s,SceneShift,0
away,away,c,SceneShift,1
;,;,s,,0
when,when,s,Autobio,0
I,i,s,Autobio,1
had,had,n,Autobio,2
my,my,s,FirstPer,0
things,things,s,Uncertainty,0
but,but,s,Immediacy,0
now,now,s,Immediacy,1
brought,brought,s,ReportingEvents,0
me,me,s,FirstPer,0
out,out,s,,0
of,of,s,,0
the,the,s,,0
Lawndry,lawndry,c,UNRECOGNIZED,0
.,.,s,,0
God,god,s,CommonAuthorities,0
forgive,forgive,s,Apology,0
me,me,c,Apology,1
",",",",s,,0
I,i,s,FirstPer,0
did,did,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
see,see,n,,0
my,my,s,DirectAddress,0
Lord,lord,s,DirectAddress,1
before,before,c,Sequence,0
.,.,s,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
set,set,s,Narrative_Verbs,0
a,a,s,Narrative_Verbs,1
