TVsh,tvsh,c,UNRECOGNIZED,0
",",",",s,,0
take,take,s,ReportingEvents,0
the,the,s,ReportingEvents,1
wench,wench,n,PersonProperty,0
I,i,s,FirstPer,0
showed,showed,s,ReportingEvents,0
thee,thee,s,DirectAddress,0
now,now,c,Updates,0
",",",",s,Updates,1
or,or,s,Contingency,0
else,else,s,Contingency,1
some,some,s,Specifiers,0
other,other,s,Specifiers,1
seek,seek,c,ProjectAhead,0
;,;,n,,0
What,what,c,Question,0
?,?,s,Question,1
can,can,s,DirectAddress,0
your,your,s,DirectAddress,1
choler,choler,s,Negativity,0
no,no,s,DenyDisclaim,0
way,way,s,DenyDisclaim,1
be,be,s,ReportingStates,0
allayed,allayed,c,Positivity,0
?,?,n,Question,0
But,but,s,Resistance,0
with,with,s,Resistance,1
Imperial,imperial,s,StandardsNeg,0
tytles,tytles,c,UNRECOGNIZED,0
?,?,n,Question,0
Will,will,s,PredictedFuture,0
you,you,s,DirectAddress,0
more,more,s,Comparison,0
tytles,tytles,s,UNRECOGNIZED,0
unto,unto,s,CommonAuthorities,0
Caesar,caesar,s,,0
give,give,c,,0
?,?,nn,Question,0
Great,great,s,Intensity,0
are,are,s,ReportingStates,0
thy,thy,s,DirectAddress,0
fortunes,fortunes,s,ProjectAhead,0
Nero,nero,c,AbstractConcepts,0
",",",",s,,0
great,great,s,Intensity,0
thy,thy,s,DirectAddress,0
power,power,n,AbstractConcepts,0
Thy,thy,s,DirectAddress,0
Empire,empire,s,CommonAuthorities,0
lymited,lymited,s,UNRECOGNIZED,0
with,with,s,,0
natures,natures,s,AbstractConcepts,0
bounds,bounds,c,Motions,0
;,;,n,,0
Upon,upon,s,,0
thy,thy,s,DirectAddress,0
ground,ground,c,SenseObject,0
",",",",s,,0
the,the,s,SenseObject,0
Sun,sun,s,SenseObject,1
does,does,s,ReportingEvents,0
set,set,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
rise,rise,c,Motions,0
;,;,n,,0
The,the,s,TimeDuration,0
day,day,c,TimeDuration,1
",",",",s,,0
and,and,s,TimeDuration,0
night,night,s,TimeDuration,1
are,are,s,ReportingStates,0
thine,thine,c,UNRECOGNIZED,0
:,:,n,,0
Nor,nor,s,DenyDisclaim,0
can,can,s,Question,0
the,the,s,Question,1
Planets,planets,c,SenseObject,0
",",",",s,,0
wander,wander,s,Motions,0
where,where,s,SpaceRelation,0
they,they,s,SpaceRelation,1
will,will,c,PredictedFuture,0
:,:,n,,0
See,see,s,Confidence,0
that,that,s,Confidence,1
proud,proud,s,StandardsPos,0
Earth,earth,c,SpaceRelation,0
",",",",s,,0
that,that,s,,0
fears,fears,s,Fear,0
not,not,s,DenyDisclaim,0
Caesar's,caesar's,s,UNRECOGNIZED,0
name,name,c,LangRef,0
",",",",n,Resistance,0
Yet,yet,s,Resistance,1
nothing,nothing,s,StandardsNeg,0
of,of,s,StandardsNeg,1
all,all,s,Generalization,0
this,this,c,Generalization,1
",",",",s,,0
I,i,s,SelfDisclosure,0
envy,envy,s,SelfDisclosure,1
thee,thee,c,DirectAddress,0
;,;,n,Resistance,0
But,but,s,Resistance,1
her,her,c,PersonPronoun,0
",",",",s,,0
to,to,s,PersonProperty,0
whom,whom,s,PersonProperty,1
the,the,s,,0
world,world,c,AbstractConcepts,0
",",",",s,,0
vnforst,vnforst,c,UNRECOGNIZED,0
",",",",s,,0
obayes,obayes,c,UNRECOGNIZED,0
",",",",n,,0
Whose,whose,s,PersonPronoun,0
eyes,eyes,s,SenseObject,0
more,more,s,Comparison,0
worth,worth,s,AbstractConcepts,0
then,then,s,,0
all,all,s,,0
it,it,s,SubjectivePercept,0
looks,looks,s,SubjectivePercept,1
upon,upon,c,,0
:,:,n,,0
In,in,s,,0
whom,whom,c,PersonPronoun,0
",",",",s,Generalization,0
all,all,s,Generalization,1
beautyes,beautyes,s,UNRECOGNIZED,0
Nature,nature,s,AbstractConcepts,0
has,has,s,ProjectBack,0
enclosed,enclosed,c,ProjectBack,1
",",",",n,,0
That,that,s,,0
through,through,s,,0
the,the,s,,0
wide,wide,s,SenseProperty,0
Earth,earth,c,SpaceRelation,0
",",",",s,,0
or,or,s,,0
Heaven,heaven,s,Positivity,0
are,are,s,ReportingStates,0
disposed,disposed,nn,SubjectivePercept,0
Indeed,indeed,s,Intensity,0
the,the,s,,0
steals,steals,c,Negativity,0
",",",",s,,0
and,and,s,,0
robs,robs,s,Negative_Relation,0
each,each,s,Specifiers,0
part,part,s,,0
