PHEBVS,phebvs,s,UNRECOGNIZED,0
and,and,s,,0
His,his,s,PersonPronoun,0
Royal,royal,s,CommonAuthorities,0
PHEBE,phebe,c,UNRECOGNIZED,0
",",",",s,,0
King,king,s,PersonProperty,0
and,and,s,,0
Queen,queen,s,CommonAuthorities,0
of,of,s,CommonAuthorities,1
Heaven,heaven,c,CommonAuthorities,2
.,.,nn,,0
Poetical,poetical,s,StandardsPos,0
Names,names,c,LangRef,0
",",",",s,,0
compounded,compounded,s,ReportingStates,0
of,of,s,ReportingStates,1
Greek,greek,s,,0
words,words,s,LangRef,0
signi^ying,signi^ying,s,UNRECOGNIZED,0
Light,light,s,SenseProperty,0
and,and,s,,0
Life,life,c,AbstractConcepts,0
;,;,s,,0
Both,both,n,,0
which,which,c,,0
",",",",s,,0
come,come,s,SceneShift,0
from,from,s,SceneShift,1
the,the,s,SceneShift,2
Sun,sun,s,SenseObject,0
and,and,s,,0
Moon,moon,nn,SenseObject,0
Most,most,s,Comparison,0
of,of,s,,0
these,these,s,Immediacy,0
Persons,persons,s,PersonProperty,0
are,are,s,ReportingStates,0
more,more,s,Comparison,0
fully,fully,s,MatureProcess,0
expre^t,expre^t,c,UNRECOGNIZED,0
",",",",s,,0
page,page,s,LangRef,0
6,6,c,LangRef,1
.,.,nn,,0
THE,the,s,CommonAuthorities,0
GENERAL,general,s,CommonAuthorities,1
SCENE,scene,c,AbstractConcepts,0
",",",",s,ReportingStates,0
is,is,s,ReportingStates,1
the,the,s,ReportingStates,2
LITTLE,little,s,SenseProperty,0
WORLD,world,c,AbstractConcepts,0
",",",",s,,0
or,or,s,,0
Isle,isle,s,SpaceRelation,0
of,of,s,,0
BRITAIN,britain,c,,0
;,;,s,,0
centred,centred,s,AbstractConcepts,0
within,within,n,,0
the,the,s,,0
Spears,spears,s,SenseObject,0
of,of,s,CommonAuthorities,0
Heaven,heaven,c,CommonAuthorities,1
.,.,s,Imperative,0
page,page,s,Imperative,1
1,1,nn,Numbers,0
The,the,s,Intensity,0
GREAT,great,s,Intensity,1
QUEEN,queen,s,PersonProperty,0
being,being,s,ReportingStates,0
seated,seated,s,SpaceRelation,0
under,under,s,SpaceRelation,0
a,a,s,SpaceRelation,1
Royal,royal,s,CommonAuthorities,0
State,state,c,,0
",",",",s,,0
a,a,s,SenseObject,0
Cloud,cloud,s,SenseObject,1
rising,rising,c,Motions,0
",",",",s,,0
brings,brings,s,Transformation,0
up,up,n,Transformation,1
the,the,s,Transformation,2
First,first,s,LangRef,0
Scene,scene,c,LangRef,1
:,:,s,,0
A,a,s,SpaceRelation,0
Scene,scene,s,SpaceRelation,1
of,of,s,,0
Darkness,darkness,c,SenseProperty,0
",",",",s,,0
Nightwork,nightwork,c,UNRECOGNIZED,0
",",",",s,,0
Thunder,thunder,c,SenseObject,0
",",",",s,,0
Lightning,lightning,c,SenseObject,0
",",",",s,,0
with,with,s,Generalization,0
all,all,n,Generalization,1
Attendants,attendants,s,PersonProperty,0
of,of,s,PersonProperty,1
Storm,storm,s,SenseObject,0
and,and,s,,0
Tempest,tempest,nn,Negativity,0
NIGHT,night,s,,0
enters,enters,s,Sequence,0
in,in,s,Sequence,1
a,a,s,,0
hideous,hideous,s,Negativity,0
shape,shape,c,AbstractConcepts,0
",",",",s,,0
holding,holding,s,,0
a,a,s,SenseObject,0
Landscape,landscape,s,SenseObject,1
of,of,s,,0
Horror,horror,c,Fear,0
",",",",s,,0
inscribed,inscribed,s,SpaceRelation,0
in,in,s,SpaceRelation,1
a,a,n,SubjectivePercept,0
strange,strange,s,SubjectivePercept,1
Dialect,dialect,s,LangRef,0
(,(,c,,0
to,to,s,,0
cause,cause,s,Cause,0
more,more,s,Comparison,0
Admiration,admiration,c,StandardsPos,0
),),s,,0
SKOTOS,skotos,s,UNRECOGNIZED,0
Brightness,brightness,c,SenseProperty,0
",",",",s,,0
rising,rising,s,Motions,0
up,up,s,Motions,1
like,like,s,Resemblances,0
a,a,n,Resemblances,1
clear,clear,s,,0
Day,day,c,TimeDuration,0
",",",",s,,0
dawning,dawning,s,Sequence,0
out,out,s,,0
of,of,s,,0
blackest,blackest,s,SenseProperty,0
Clouds,clouds,c,SenseObject,0
.,.,s,,0
p,p,c,AbstractConcepts,0
.,.,s,AbstractConcepts,1
3,3,c,Numbers,0
",",",",s,Numbers,1
4,4,nn,Numbers,2
In,in,s,,0
this,this,s,,0
Scene,scene,c,AbstractConcepts,0
",",",",s,,0
Two,two,s,Numbers,0
Celestial,celestial,s,SenseProperty,0
HEROINS,heroins,s,UNRECOGNIZED,0
page,page,s,LangRef,0
4,4,c,LangRef,1
.,.,nn,,0
These,these,s,Immediacy,0
two,two,c,Numbers,0
",",",",s,,0
re-ascending,re-ascending,s,UNRECOGNIZED,0
in,in,s,,0
a,a,s,,0
glorious,glorious,s,Positivity,0
Rainbow,rainbow,c,SenseObject,0
",",",",s,,0
Sing,sing,s,Motions,0
the,the,s,,0
first,first,s,Sequence,0
Song,song,s,SenseObject,0
to,to,s,,0
the,the,n,Intensity,0
GREAT,great,s,Intensity,1
QUEEN,queen,c,PersonProperty,0
:,:,s,Question,0
who,who,c,Question,1
",",",",s,,0
rising,rising,s,Motions,0
up,up,s,Motions,1
in,in,s,,0
a,a,s,,0
Rosy,rosy,s,Positivity,0
colored,colored,s,ReportingEvents,0
Cloud,cloud,c,SenseObject,0
",",",",s,,0
was,was,s,ProjectBack,0
presently,presently,s,TimeShift,0
seen,seen,c,ReportingStates,0
",",",",n,ReportingStates,1
Entering,entering,s,ReportingEvents,0
among,among,s,,0
the,the,s,,0
Masquers,masquers,c,PersonProperty,0
",",",",s,,0
personating,personating,s,SubjectivePercept,0
PHEBE,phebe,c,UNRECOGNIZED,0
;,;,s,,0
and,and,s,,0
at,at,s,Sequence,0
the,the,s,Sequence,1
end,end,s,Sequence,2
of,of,s,Sequence,3
the,the,s,Sequence,4
Masque,masque,c,SenseProperty,0
",",",",n,,0
was,was,s,ProjectBack,0
again,again,s,RecurringEvents,0
seen,seen,s,SpaceRelation,0
with,with,s,SpaceRelation,1
Her,her,s,PersonPronoun,0
Royal,royal,s,CommonAuthorities,0
PHOEBUS,phoebus,s,UNRECOGNIZED,0
under,under,s,SpaceRelation,0
the,the,s,SpaceRelation,1
State,state,c,,0
;,;,s,,0
while,while,s,TimeDuration,0
a,a,s,TimeDuration,1
Celestial,celestial,n,SenseProperty,0
Cho^us,cho^us,s,UNRECOGNIZED,0
enters,enters,s,ReportingEvents,0
singing,singing,c,Motions,0
",",",",s,,0
and,and,s,,0
concludes,concludes,s,Sequence,0
the,the,s,,0
Masque,masque,c,SenseProperty,0
.,.,s,Imperative,0
page,page,s,Imperative,1
19,19,nn,Numbers,0
The,the,s,,0
Plot,plot,s,LangRef,0
of,of,s,,0
the,the,s,,0
Masque,masque,s,SenseProperty,0
(,(,c,,0
presented,presented,s,ReportingEvents,0
by,by,s,,0
ASTRONOMIA,astronomia,s,UNRECOGNIZED,0
and,and,s,,0
ASTROLOGIA,astrologia,c,UNRECOGNIZED,0
),),s,,0
consists,consists,s,Specifiers,0
of,of,n,Specifiers,1
two,two,s,Numbers,0
Parts,parts,c,AbstractConcepts,0
",",",",s,,0
or,or,s,,0
Maps,maps,c,SenseObject,0
:,:,s,,0
The,the,s,Specifiers,0
one,one,s,Specifiers,1
Celestial,celestial,c,SenseProperty,0
",",",",s,,0
the,the,s,Specifiers,0
other,other,s,Specifiers,1
Terrestrial,terrestrial,nn,AbstractConcepts,0
The,the,s,,0
Celestial,celestial,s,SenseProperty,0
Map,map,nn,ReportingEvents,0
The,the,s,ReportingEvents,1
Terrestrial,terrestrial,s,AbstractConcepts,0
Map,map,c,SenseObject,0
",",",",s,,0
is,is,s,ReportingStates,0
truly,truly,s,Intensity,0
to,to,s,,0
represent,represent,c,ReportingEvents,0
",",",",s,,0
How,how,s,,0
all,all,s,Generalization,0
Those,those,s,Generalization,1
Motions,motions,s,Motions,0
were,were,n,ProjectBack,0
shadowed,shadowed,s,ReportingEvents,0
upon,upon,s,,0
Earth,earth,c,SpaceRelation,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
all,all,s,Generalization,0
That,that,s,Generalization,1
time,time,c,,0
.,.,s,Resistance,0
But,but,c,Resistance,1
",",",",s,,0
this,this,s,,0
last,last,s,Sequence,0
Map,map,s,SenseObject,0
(,(,c,,0
or,or,s,,0
History,history,c,AbstractConcepts,0
),),s,,0
is,is,s,Updates,0
not,not,n,Updates,1
yet,yet,s,Updates,2
fully,fully,s,MatureProcess,0
perfected,perfected,c,StandardsPos,0
",",",",s,,0
because,because,s,ReasonBackward,0
the,the,s,ReasonBackward,1
exact,exact,s,ReportingEvents,0
proportion,proportion,s,Comparison,0
',',c,,0
twixt,twixt,s,SpaceRelation,0
Heaven,heaven,s,CommonAuthorities,0
and,and,s,CommonAuthorities,1
Earth,earth,c,CommonAuthorities,2
",",",",s,,0
is,is,n,Updates,0
not,not,s,Updates,1
yet,yet,s,Updates,2
concluded,concluded,s,Sequence,0
on,on,c,,0
",",",",s,,0
by,by,s,,0
the,the,s,Positivity,0
best,best,s,Positivity,1
ASTRONOMERS,astronomers,nn,PersonProperty,0
PHOEBUS,phoebus,c,UNRECOGNIZED,0
",",",",s,,0
pleasing,pleasing,s,Positivity,0
to,to,s,Positivity,1
bless,bless,s,StandardsPos,0
the,the,s,StandardsPos,1
Southern,southern,s,SpaceRelation,0
World,world,s,AbstractConcepts,0
with,with,s,,0
his,his,s,PersonPronoun,0
Chiefest,chiefest,s,UNRECOGNIZED,0
Residence,residence,c,SpaceRelation,0
",",",",n,,0
deputes,deputes,s,Transformation,0
MERCURY,mercury,s,SenseObject,0
to,to,s,,0
the,the,s,,0
Northern,northern,s,SpaceRelation,0
THULE,thule,s,,0
This,this,s,,0
Quarrel,quarrel,s,Negative_Relation,0
is,is,s,ReportingStates,0
shadowed,shadowed,s,ReportingEvents,0
in,in,s,,0
the,the,n,,0
