PRoceed,proceed,s,Sequence,0
Solinus,solinus,s,UNRECOGNIZED,0
to,to,s,,0
procure,procure,s,,0
my,my,s,FirstPer,0
fall,fall,c,,0
",",",",n,,0
And,and,s,,0
by,by,s,,0
the,the,s,,0
doom,doom,s,Negativity,0
of,of,s,,0
death,death,s,Negativity,0
end,end,s,Sequence,0
woes,woes,s,Sad,0
and,and,s,Generalization,0
all,all,c,Generalization,1
.,.,nn,,0
Merchant,merchant,s,PersonProperty,0
of,of,s,,0
Siracusa,siracusa,c,UNRECOGNIZED,0
",",",",s,,0
plead,plead,s,SubjectivePercept,0
no,no,s,DenyDisclaim,0
more,more,c,DenyDisclaim,1
.,.,n,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
not,not,s,DenyDisclaim,0
partial,partial,s,SubjectivePercept,0
to,to,s,SubjectivePercept,1
infringe,infringe,s,StandardsNeg,0
our,our,s,Inclusive,0
Laws,laws,c,AbstractConcepts,0
;,;,n,,0
The,the,s,,0
enmity,enmity,s,Negative_Relation,0
and,and,s,,0
discord,discord,s,Negative_Relation,0
which,which,s,,0
of,of,s,Immediacy,0
late,late,n,Immediacy,1
Sprung,sprung,s,ReportingEvents,0
from,from,s,ReportingEvents,1
the,the,s,,0
rancorous,rancorous,s,Anger,0
outrage,outrage,s,Anger,0
of,of,s,DirectAddress,0
your,your,s,DirectAddress,1
Duke,duke,c,CommonAuthorities,0
",",",",n,,0
To,to,s,,0
Merchants,merchants,s,PersonProperty,0
our,our,s,Inclusive,0
well-dealing,well-dealing,s,MatureProcess,0
Countrymen,countrymen,c,PersonProperty,0
",",",",n,,0
Who,who,s,,0
wanting,wanting,s,PrivateThinking,0
gilders,gilders,s,SenseProperty,0
to,to,s,,0
redeem,redeem,s,StandardsPos,0
their,their,s,Biographical_Time,0
lives,lives,c,Biographical_Time,1
",",",",n,,0
Have,have,s,,0
sealed,sealed,s,Narrative_Verbs,0
his,his,s,Narrative_Verbs,1
rigorous,rigorous,s,StandardsPos,0
statutes,statutes,s,CommonAuthorities,0
with,with,s,,0
their,their,s,PersonPronoun,0
bloods,bloods,c,AbstractConcepts,0
",",",",n,,0
Excludes,excludes,s,ReportingEvents,0
all,all,s,,0
pity,pity,s,Sad,0
from,from,s,,0
our,our,s,Inclusive,0
threatening,threatening,s,Fear,0
looks,looks,c,ReportingEvents,0
:,:,n,,0
For,for,s,,0
since,since,s,,0
the,the,s,,0
mortal,mortal,s,PersonProperty,0
and,and,s,,0
intestine,intestine,s,SenseObject,0
iarres,iarres,n,UNRECOGNIZED,0
Twixt,twixt,s,SpaceRelation,0
thy,thy,s,DirectAddress,0
seditious,seditious,s,StandardsNeg,0
Countrymen,countrymen,s,PersonProperty,0
and,and,s,,0
us,us,c,Inclusive,0
",",",",n,,0
It,it,s,Updates,0
has,has,s,Updates,1
in,in,s,,0
solemn,solemn,s,Intensity,0
Synodes,synodes,s,UNRECOGNIZED,0
been,been,s,ProjectBack,0
decreed,decreed,c,CommonAuthorities,0
",",",",n,,0
Both,both,s,,0
by,by,s,,0
the,the,s,,0
Siracusians,siracusians,s,UNRECOGNIZED,0
and,and,s,,0
our,our,s,Inclusive,0
selves,selves,c,SubjectivePercept,0
",",",",n,,0
To,to,s,Resistance,0
admit,admit,s,Resistance,1
no,no,s,DenyDisclaim,0
traffic,traffic,s,SenseObject,0
to,to,s,Inclusive,0
our,our,s,Inclusive,1
adverse,adverse,s,Resistance,0
towns,towns,c,SpaceRelation,0
:,:,n,,0
