OLd,old,s,SenseProperty,0
John,john,s,PersonProperty,0
of,of,s,,0
Gaunt,gaunt,c,SenseProperty,0
",",",",s,,0
time-honoured,time-honoured,s,ReceivedPOV,0
Lancaster,lancaster,c,UNRECOGNIZED,0
",",",",n,,0
Have,have,s,,0
thou,thou,s,DirectAddress,0
according,according,s,Citations,0
to,to,s,Citations,1
thy,thy,s,DirectAddress,0
oath,oath,s,CommonAuthorities,0
and,and,s,,0
band,band,n,SenseObject,0
Brought,brought,s,ReportingEvents,0
hither,hither,s,SpaceRelation,0
Henry,henry,s,PersonProperty,0
Herford,herford,s,UNRECOGNIZED,0
thy,thy,s,DirectAddress,0
bold,bold,s,Confidence,0
son,son,c,PersonProperty,0
:,:,n,,0
Here,here,s,SpaceRelation,0
to,to,s,SpaceRelation,1
make,make,s,StandardsPos,0
good,good,s,StandardsPos,1
ye,ye,s,OralCues,0
boistrous,boistrous,s,UNRECOGNIZED,0
late,late,s,SubjectiveTime,0
appeal,appeal,c,SubjectivePercept,0
",",",",n,Aside,0
Which,which,s,Aside,1
then,then,s,,0
our,our,s,Inclusive,0
leisure,leisure,s,AbstractConcepts,0
would,would,s,Contingency,0
not,not,s,Contingency,1
let,let,s,DirectAddress,0
us,us,s,DirectAddress,1
hear,hear,c,SpaceRelation,0
",",",",n,,0
Against,against,s,Resistance,0
the,the,s,Resistance,1
Duke,duke,s,CommonAuthorities,0
of,of,s,,0
Norfolk,norfolk,c,,0
",",",",s,,0
Thomas,thomas,s,,0
Mowbray,mowbray,c,UNRECOGNIZED,0
?,?,nn,Question,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
my,my,s,DirectAddress,0
Liege,liege,c,DirectAddress,1
.,.,nnn,DirectAddress,0
Tell,tell,s,DirectAddress,1
me,me,s,DirectAddress,2
moreover,moreover,c,Metadiscourse,0
",",",",s,Metadiscourse,1
have,have,s,,0
thou,thou,s,DirectAddress,0
sounded,sounded,s,SenseProperty,0
him,him,c,PersonPronoun,0
",",",",n,,0
If,if,s,Contingency,0
he,he,s,Contingency,1
appeal,appeal,s,ReportingEvents,0
the,the,s,ReportingEvents,1
Duke,duke,s,CommonAuthorities,0
on,on,s,,0
ancient,ancient,s,SubjectiveTime,0
malice,malice,c,StandardsNeg,0
",",",",n,,0
Or,or,s,,0
worthily,worthily,s,StandardsPos,0
as,as,s,,0
a,a,s,Positivity,0
good,good,s,Positivity,1
subject,subject,s,LangRef,0
should,should,n,Insist,0
On,on,s,,0
some,some,s,Uncertainty,0
known,known,s,CommonAuthorities,0
ground,ground,s,SenseObject,0
of,of,s,SenseObject,1
treachery,treachery,s,Anger,0
in,in,s,,0
him,him,c,PersonPronoun,0
.,.,nn,,0
As,as,s,SubjectivePercept,0
near,near,s,SubjectivePercept,1
as,as,s,SubjectivePercept,2
I,i,s,Contingency,0
could,could,s,Contingency,1
sift,sift,s,ReportingEvents,0
him,him,s,PersonPronoun,0
on,on,s,,0
that,that,s,,0
argument,argument,c,LangRef,0
",",",",n,,0
On,on,s,,0
some,some,s,Uncertainty,0
apparent,apparent,s,Confidence,0
danger,danger,s,Fear,0
seen,seen,s,SpaceRelation,0
in,in,s,,0
him,him,c,PersonPronoun,0
",",",",n,,0
Aimed,aimed,s,ProjectAhead,0
at,at,s,ProjectAhead,1
your,your,s,DirectAddress,0
Highness,highness,c,CommonAuthorities,0
",",",",s,,0
no,no,s,DenyDisclaim,0
inueterate,inueterate,s,UNRECOGNIZED,0
malice,malice,c,StandardsNeg,0
.,.,nn,Sequence,0
Then,then,s,Sequence,1
call,call,s,ReportingEvents,0
them,them,s,,0
to,to,s,Inclusive,0
our,our,s,Inclusive,1
presence,presence,s,AbstractConcepts,0
face,face,s,SpaceRelation,0
to,to,s,SpaceRelation,1
face,face,c,SpaceRelation,2
",",",",n,,0
And,and,s,,0
frowning,frowning,s,Negative_Relation,0
brow,brow,s,SenseObject,0
to,to,s,,0
brow,brow,c,SenseObject,0
",",",",s,,0
our,our,s,Inclusive,0
selves,selves,s,SubjectivePercept,0
will,will,s,PredictedFuture,0
hear,hear,n,SenseProperty,0
The,the,s,SenseProperty,1
accuser,accuser,c,Negative_Relation,0
",",",",s,,0
and,and,s,,0
the,the,s,,0
accused,accused,c,ReportingStates,0
",",",",s,ReportingStates,1
freely,freely,s,Disclosure,0
speak,speak,c,ReportingEvents,0
;,;,n,,0
High,high,s,,0
stomack^d,stomack^d,s,UNRECOGNIZED,0
are,are,s,Question,0
they,they,s,Question,1
both,both,c,,0
",",",",s,,0
and,and,s,,0
full,full,s,Specifiers,0
of,of,s,Specifiers,1
ire,ire,c,Anger,0
",",",",n,,0
In,in,s,,0
rage,rage,c,Anger,0
",",",",s,,0
deaf,deaf,s,Resemblances,0
as,as,s,Resemblances,1
the,the,s,,0
sea,sea,c,SenseObject,0
;,;,s,,0
hasty,hasty,s,SubjectiveTime,0
as,as,s,,0
fire,fire,c,SenseObject,0
.,.,nn,,0
Many,many,s,TimeDuration,0
years,years,s,TimeDuration,1
of,of,s,,0
happy,happy,s,Positivity,0
days,days,s,TimeDuration,0
befall,befall,n,Negativity,0
My,my,s,FirstPer,0
gracious,gracious,s,StandardsPos,0
Sovereign,sovereign,c,CommonAuthorities,0
",",",",s,,0
my,my,s,FirstPer,0
most,most,s,Comparison,0
