OPen,open,s,,0
your,your,s,DirectAddress,0
Ears,ears,c,SenseObject,0
:,:,s,,0
For,for,s,Specifiers,0
which,which,s,Specifiers,1
of,of,s,DirectAddress,0
you,you,s,DirectAddress,1
will,will,s,PredictedFuture,0
stop,stop,n,Resistance,0
The,the,s,Resistance,1
vent,vent,s,Negativity,0
of,of,s,,0
Hearing,hearing,c,SpaceRelation,0
",",",",s,,0
when,when,s,,0
loud,loud,s,SenseProperty,0
Rumor,rumor,s,In_Media,0
speaks,speaks,c,,0
?,?,n,Question,0
I,i,c,FirstPer,0
",",",",s,,0
from,from,s,,0
the,the,s,,0
Orient,orient,c,ReportingEvents,0
",",",",s,,0
to,to,s,,0
the,the,s,,0
drooping,drooping,s,SpaceRelation,0
West,west,n,SpaceRelation,0
(,(,c,,0
Making,making,s,ReportingEvents,0
the,the,s,SpaceRelation,0
wind,wind,s,SpaceRelation,1
my,my,s,FirstPer,0
Post-horse,post-horse,c,SenseObject,0
),),s,,0
still,still,s,Updates,0
unfold,unfold,n,Motions,0
The,the,s,Motions,1
Acts,acts,s,ReportingEvents,0
commenced,commenced,s,ReportingEvents,0
on,on,s,,0
this,this,s,,0
Ball,ball,s,SenseObject,0
of,of,s,,0
Earth,earth,c,SpaceRelation,0
.,.,n,Imperative,0
Upon,upon,s,Imperative,1
my,my,s,FirstPer,0
Tongue,tongue,c,SenseObject,0
",",",",s,,0
continual,continual,s,RecurringEvents,0
Slanders,slanders,s,Negative_Relation,0
ride,ride,c,,0
",",",",n,,0
The,the,s,,0
which,which,c,,0
",",",",s,,0
in,in,s,,0
every,every,s,Generalization,0
Language,language,c,LangRef,0
",",",",s,,0
I,i,s,FirstPer,0
pronounce,pronounce,c,CommonAuthorities,0
",",",",n,,0
Stuffing,stuffing,s,Motions,0
the,the,s,Motions,1
Ears,ears,s,SenseObject,0
of,of,s,,0
them,them,s,,0
with,with,s,,0
false,false,s,StandardsNeg,0
Reports,reports,c,LangRef,0
:,:,n,,0
I,i,s,FirstPer,0
speak,speak,s,Citations,0
of,of,s,Citations,1
Peace,peace,c,StandardsPos,0
",",",",s,,0
while,while,s,TimeDuration,0
covert,covert,s,SubjectivePercept,0
Enmity,enmity,n,Negative_Relation,0
(,(,c,,0
Under,under,s,SpaceRelation,0
the,the,s,SpaceRelation,1
smile,smile,s,Positivity,0
