HEnce,hence,c,ReasonForward,0
:,:,s,,0
home,home,s,SpaceRelation,0
you,you,s,DirectAddress,0
idle,idle,s,SenseProperty,0
Creatures,creatures,c,SenseObject,0
",",",",s,,0
get,get,s,DirectAddress,0
you,you,s,DirectAddress,1
home,home,c,SpaceRelation,0
:,:,n,,0
Is,is,s,ReportingStates,0
this,this,s,,0
a,a,s,,0
Holiday,holiday,c,Positivity,0
?,?,s,Question,0
What,what,c,,0
",",",",s,,0
know,know,s,Confidence,0
you,you,s,DirectAddress,0
not,not,n,DenyDisclaim,0
(,(,c,,0
Being,being,s,ReportingStates,0
Mechanical,mechanical,c,AbstractConcepts,0
),),s,,0
you,you,s,Insist,0
ought,ought,s,Insist,1
not,not,s,DenyDisclaim,0
walk,walk,n,Motions,0
Upon,upon,s,,0
a,a,s,,0
laboring,laboring,s,Negativity,0
day,day,c,TimeDuration,0
",",",",s,,0
without,without,s,Contingency,0
the,the,s,Contingency,1
sign,sign,n,Support,0
Of,of,s,Support,1
your,your,s,DirectAddress,0
Profession,profession,c,CommonAuthorities,0
?,?,s,Question,0
Speak,speak,c,ReportingEvents,0
",",",",s,,0
what,what,s,,0
Trade,trade,s,AbstractConcepts,0
art,art,s,AbstractConcepts,0
thou,thou,c,DirectAddress,0
?,?,nn,Question,0
Why,why,s,Question,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
a,a,s,,0
Carpenter,carpenter,c,PersonProperty,0
.,.,nnn,Question,0
Where,where,s,Question,1
is,is,s,Question,2
thy,thy,s,DirectAddress,0
Leather,leather,s,SenseObject,0
Apron,apron,c,SenseObject,0
",",",",s,,0
and,and,s,,0
thy,thy,s,DirectAddress,0
Rule,rule,c,AbstractConcepts,0
?,?,n,Question,0
What,what,s,Question,0
do,do,s,Question,1
thou,thou,s,DirectAddress,0
with,with,s,,0
thy,thy,s,DirectAddress,0
best,best,s,Comparison,0
Apparel,apparel,s,SenseObject,0
on,on,c,,0
?,?,n,Question,0
You,you,s,DirectAddress,0
sir,sir,c,PersonProperty,0
",",",",s,,0
what,what,s,,0
Trade,trade,s,AbstractConcepts,0
are,are,s,DirectAddress,0
you,you,c,DirectAddress,1
?,?,nn,Question,0
Truly,truly,s,Intensity,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
in,in,s,Specifiers,0
respect,respect,s,Specifiers,1
of,of,s,Specifiers,2
a,a,s,Positivity,0
fine,fine,s,Positivity,1
Workman,workman,c,PersonProperty,0
",",",",s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
but,but,s,Resistance,0
as,as,s,Contingency,0
you,you,s,Contingency,1
would,would,s,Contingency,2
say,say,c,Citations,0
",",",",s,,0
a,a,s,,0
Cobbler,cobbler,c,SenseObject,0
.,.,nnn,Resistance,0
But,but,s,Resistance,1
what,what,s,,0
Trade,trade,s,AbstractConcepts,0
art,art,s,AbstractConcepts,0
thou,thou,c,DirectAddress,0
?,?,s,Question,0
Answer,answer,s,Specifiers,0
me,me,s,FirstPer,0
directly,directly,c,Immediacy,0
.,.,nnn,,0
A,a,s,,0
Trade,trade,s,AbstractConcepts,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
that,that,s,,0
I,i,s,SelfDisclosure,0
hope,hope,s,SelfDisclosure,1
I,i,s,FirstPer,0
may,may,s,Contingency,0
use,use,c,ReportingEvents,0
",",",",s,,0
with,with,s,Specifiers,0
a,a,s,Specifiers,1
safe,safe,s,StandardsPos,0
Conscience,conscience,c,StandardsPos,0
",",",",s,Aside,0
which,which,s,Aside,1
is,is,s,Intensity,0
indeed,indeed,n,Intensity,1
Sir,sir,c,PersonProperty,0
",",",",s,,0
a,a,s,,0
Mender,mender,s,Positivity,0
of,of,s,,0
bad,bad,s,Negativity,0
souls,souls,nnn,Disclosure,0
What,what,s,,0
Trade,trade,s,AbstractConcepts,0
thou,thou,s,DirectAddress,0
knave,knave,c,Negativity,0
?,?,s,Question,0
Thou,thou,s,DirectAddress,0
naughty,naughty,s,SubjectivePercept,0
knave,knave,c,Negativity,0
",",",",s,,0
what,what,s,,0
Trade,trade,c,AbstractConcepts,0
?,?,nnn,Question,0
Nay,nay,s,OralCues,0
I,i,s,Insist,0
beseech,beseech,s,Insist,1
you,you,s,DirectAddress,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
be,be,s,ReportingStates,0
not,not,s,DenyDisclaim,0
out,out,s,SpaceRelation,0
with,with,s,SpaceRelation,1
me,me,c,FirstPer,0
:,:,s,,0
yet,yet,s,Resistance,0
if,if,s,Contingency,0
you,you,s,DirectAddress,0
be,be,s,DirectAddress,1
out,out,s,,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
I,i,s,Contingency,0
can,can,s,Contingency,1
mend,mend,n,Positivity,0
you,you,nnn,DirectAddress,0
What,what,s,,0
mean,mean,s,,0
thou,thou,s,DirectAddress,0
by,by,s,,0
that,that,c,,0
?,?,s,Question,0
Mend,mend,s,Positivity,0
me,me,c,FirstPer,0
",",",",s,,0
thou,thou,s,DirectAddress,0
saucy,saucy,s,SenseProperty,0
Fellow,fellow,c,PersonProperty,0
?,?,nnn,Question,0
Why,why,s,Question,0
sir,sir,c,PersonProperty,0
",",",",s,,0
Cobble,cobble,s,ReportingEvents,0
you,you,c,DirectAddress,0
.,.,nnn,,0
Thou,thou,s,DirectAddress,0
art,art,s,AbstractConcepts,0
a,a,s,,0
Cobbler,cobbler,c,SenseObject,0
",",",",s,,0
art,art,s,AbstractConcepts,0
thou,thou,c,DirectAddress,0
?,?,nnn,Question,0
Truly,truly,s,Intensity,0
sir,sir,c,PersonProperty,0
",",",",s,Generalization,0
all,all,s,Generalization,1
that,that,s,,0
I,i,s,SelfDisclosure,0
live,live,s,SelfDisclosure,1
by,by,c,,0
",",",",s,,0
is,is,s,ReportingStates,0
with,with,s,Specifiers,0
the,the,s,Specifiers,1
Aule,aule,c,UNRECOGNIZED,0
:,:,s,,0
I,i,s,FirstPer,0
meddle,meddle,s,Negative_Relation,0
with,with,s,Negative_Relation,1
no,no,s,DenyDisclaim,0
Tradesmans,tradesmans,n,UNRECOGNIZED,0
matters,matters,c,Specifiers,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
women's,women's,s,PersonProperty,0
matters,matters,c,Specifiers,0
;,;,s,Resistance,0
but,but,s,Resistance,1
withal,withal,s,Metadiscourse,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
indeed,indeed,s,Intensity,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
a,a,s,,0
Surgeon,surgeon,s,SenseObject,0
to,to,s,,0
old,old,n,SenseProperty,0
shoes,shoes,c,SenseObject,0
:,:,s,,0
when,when,s,TimeShift,0
they,they,s,TimeShift,1
are,are,s,ReportingStates,0
in,in,s,Fear,0
great,great,s,Fear,1
danger,danger,c,Fear,2
",",",",s,,0
I,i,s,FirstPer,0
recover,recover,s,ReportingEvents,0
them,them,c,,0
.,.,s,,0
As,as,s,,0
proper,proper,s,StandardsPos,0
men,men,s,PersonProperty,0
as,as,s,ReceivedPOV,0
ever,ever,n,ReceivedPOV,1
trod,trod,s,ReportingEvents,0
upon,upon,s,,0
Neats,neats,s,UNRECOGNIZED,0
Leather,leather,c,SenseObject,0
",",",",s,,0
have,have,s,,0
gone,gone,s,ReportingEvents,0
upon,upon,s,,0
my,my,s,FirstPer,0
handy-worke,handy-worke,nnn,UNRECOGNIZED,0
But,but,s,Resistance,0
wherefore,wherefore,s,ReasonForward,0
art,art,s,AbstractConcepts,0
not,not,s,DenyDisclaim,0
in,in,s,,0
thy,thy,s,DirectAddress,0
Shop,shop,s,SenseObject,0
to,to,s,,0
day,day,c,TimeDuration,0
?,?,n,Question,0
Why,why,s,Curiosity,0
do,do,s,Curiosity,1
thou,thou,s,DirectAddress,0
lead,lead,s,,0
these,these,s,Immediacy,0
men,men,s,PersonProperty,0
about,about,s,,0
the,the,s,SenseObject,0
streets,streets,c,SenseObject,1
?,?,nn,Question,0
Truly,truly,s,Intensity,0
sir,sir,c,PersonProperty,0
",",",",s,,0
to,to,s,,0
wear,wear,s,Negativity,0
out,out,s,Negativity,1
their,their,s,PersonPronoun,0
shoes,shoes,c,SenseObject,0
",",",",s,,0
to,to,s,ProjectAhead,0
get,get,s,ProjectAhead,1
my,my,s,FirstPer,0
self,self,s,SubjectivePercept,0
into,into,s,,0
more,more,s,Comparison,0
work,work,c,GenericEvents,0
.,.,s,Resistance,0
But,but,n,Resistance,1
indeed,indeed,s,Intensity,0
sir,sir,c,PersonProperty,0
",",",",s,,0
we,we,s,,0
make,make,s,ReportingEvents,0
Holyday,holyday,s,UNRECOGNIZED,0
to,to,s,ProjectAhead,0
see,see,s,ProjectAhead,1
Caesar,caesar,c,,0
",",",",s,,0
and,and,s,,0
to,to,s,,0
rejoice,rejoice,s,Positivity,0
in,in,s,Positivity,1
his,his,s,PersonPronoun,0
Triumph,triumph,nnn,Positivity,0
Wherefore,wherefore,s,ReasonForward,0
rejoice,rejoice,c,Positivity,0
?,?,n,Question,0
What,what,s,,0
Conquest,conquest,s,Intensity,0
brings,brings,s,,0
he,he,s,PersonPronoun,0
home,home,c,SpaceRelation,0
?,?,n,Question,0
What,what,s,,0
Tributaries,tributaries,s,SenseObject,0
follow,follow,s,,0
him,him,s,PersonPronoun,0
to,to,s,,0
Rome,rome,c,,0
",",",",n,,0
To,to,s,,0
grace,grace,s,StandardsPos,0
in,in,s,,0
Captive,captive,s,SubjectivePercept,0
bonds,bonds,s,ReportingEvents,0
his,his,s,ReportingEvents,1
Chariot,chariot,s,SenseObject,0
Wheels,wheels,c,SenseObject,0
?,?,n,Question,0
You,you,s,DirectAddress,0
Blocks,blocks,c,Resistance,0
",",",",s,,0
you,you,s,DirectAddress,0
stones,stones,c,SenseObject,0
",",",",s,,0
you,you,s,DirectAddress,0
worse,worse,s,Negativity,0
then,then,s,,0
senseless,senseless,s,Negativity,0
things,things,c,Uncertainty,0
:,:,n,,0
O,o,s,LangRef,0
you,you,s,DirectAddress,0
hard,hard,s,Negativity,0
hearts,hearts,c,Negativity,1
",",",",s,,0
you,you,s,DirectAddress,0
cruel,cruel,s,Anger,0
men,men,s,PersonProperty,0
of,of,s,PersonProperty,1
Rome,rome,c,,0
",",",",n,,0
Knew,knew,s,Confidence,0
you,you,s,DirectAddress,0
not,not,s,DenyDisclaim,0
Pompey,pompey,s,UNRECOGNIZED,0
many,many,s,RecurringEvents,0
a,a,s,RecurringEvents,1
time,time,s,RecurringEvents,2
and,and,s,,0
often,often,c,RecurringEvents,0
?,?,n,Question,0
Have,have,s,DirectAddress,0
you,you,s,DirectAddress,1
climbed,climbed,s,Motions,0
up,up,s,,0
to,to,s,,0
Walls,walls,s,SenseObject,0
and,and,s,,0
Battlements,battlements,c,SenseObject,0
",",",",n,,0
To,to,s,,0
Towers,towers,s,SenseObject,0
and,and,s,,0
Windows,windows,c,SenseObject,0
?,?,s,Question,0
Yea,yea,c,OralCues,0
",",",",s,OralCues,1
to,to,s,,0
Chimney,chimney,s,SenseObject,0
tops,tops,c,SenseObject,0
",",",",n,,0
Your,your,s,DirectAddress,0
Infants,infants,s,PersonProperty,0
in,in,s,DirectAddress,0
your,your,s,DirectAddress,1
Arms,arms,c,SenseObject,0
",",",",s,,0
and,and,s,,0
there,there,s,,0
have,have,s,,0
sat,sat,n,Narrative_Verbs,0
The,the,s,Narrative_Verbs,1
liue-long,liue-long,s,UNRECOGNIZED,0
day,day,c,TimeDuration,0
",",",",s,,0
with,with,s,,0
patient,patient,s,PersonProperty,0
expectation,expectation,c,ProjectAhead,0
",",",",n,,0
To,to,s,ProjectAhead,0
see,see,s,ProjectAhead,1
great,great,s,Intensity,0
Pompey,pompey,s,UNRECOGNIZED,0
pass,pass,s,ReportingEvents,0
the,the,s,SenseObject,0
streets,streets,s,SenseObject,1
of,of,s,,0
Rome,rome,c,,0
:,:,n,,0
And,and,s,,0
when,when,s,DirectAddress,0
you,you,s,DirectAddress,1
saw,saw,s,,0
his,his,s,PersonPronoun,0
Chariot,chariot,s,SenseObject,0
but,but,s,Resistance,0
appear,appear,c,SubjectivePercept,0
",",",",n,,0
Have,have,s,DirectAddress,0
you,you,s,DirectAddress,1
not,not,s,DenyDisclaim,0
made,made,s,DenyDisclaim,1
an,an,s,,0
Universal,universal,s,Generalization,0
shout,shout,c,SenseProperty,0
",",",",n,,0
That,that,s,,0
Tyber,tyber,s,UNRECOGNIZED,0
trembled,trembled,s,ReportingEvents,0
underneath,underneath,s,SpaceRelation,0
her,her,s,PersonPronoun,0
banks,banks,n,SenseObject,0
To,to,s,,0
hear,hear,s,SenseProperty,0
the,the,s,SenseProperty,1
replication,replication,s,RecurringEvents,0
of,of,s,DirectAddress,0
your,your,s,DirectAddress,1
sounds,sounds,c,SenseProperty,0
",",",",n,,0
Made,made,s,ReportingEvents,0
in,in,s,Specifiers,0
her,her,s,Specifiers,1
Concaue,concaue,s,UNRECOGNIZED,0
Shores,shores,c,SenseObject,0
?,?,n,Question,0
And,and,s,,0
do,do,s,DirectAddress,0
you,you,s,DirectAddress,1
now,now,s,Immediacy,0
put,put,s,Transformation,0
on,on,s,Transformation,1
your,your,s,DirectAddress,0
best,best,s,DirectAddress,1
attire,attire,c,SenseObject,0
?,?,n,Question,0
And,and,s,,0
do,do,s,DirectAddress,0
you,you,s,DirectAddress,1
now,now,s,Immediacy,0
cull,cull,s,ReportingEvents,0
out,out,s,ReportingEvents,1
a,a,s,,0
Holyday,holyday,c,UNRECOGNIZED,0
?,?,n,Question,0
And,and,s,,0
do,do,s,DirectAddress,0
you,you,s,DirectAddress,1
now,now,s,Immediacy,0
strew,strew,s,SpaceRelation,0
Flowers,flowers,s,SenseObject,0
in,in,s,Specifiers,0
his,his,s,Specifiers,1
way,way,c,AbstractConcepts,0
",",",",n,,0
That,that,s,,0
comes,comes,s,ReportingEvents,0
in,in,s,ReportingEvents,1
Triumph,triumph,s,Positivity,0
over,over,s,Positivity,1
Pompeyes,pompeyes,s,UNRECOGNIZED,0
blood,blood,c,SenseObject,0
?,?,n,Question,0
Be,be,s,ReportingStates,0
gone,gone,c,ReportingStates,0
",",",",n,ReportingStates,1
Run,run,s,SceneShift,0
to,to,s,SceneShift,1
your,your,s,DirectAddress,0
houses,houses,c,SenseObject,0
",",",",s,,0
fall,fall,s,Contingency,0
upon,upon,s,Contingency,1
your,your,s,DirectAddress,0
knees,knees,c,SenseObject,0
",",",",n,,0
Pray,pray,s,Intensity,0
to,to,s,Intensity,1
the,the,s,,0
Gods,gods,s,CommonAuthorities,0
to,to,s,,0
intermit,intermit,s,TimeShift,0
the,the,s,,0
plague,plague,n,Negativity,0
That,that,s,,0
needs,needs,s,Insist,0
must,must,s,Insist,1
light,light,s,SpaceRelation,0
on,on,s,SpaceRelation,1
this,this,s,,0
Ingratitude,ingratitude,c,StandardsNeg,0
.,.,nn,Imperative,0
Go,go,c,Imperative,1
",",",",s,,0
go,go,c,ReportingEvents,0
",",",",s,,0
good,good,s,,0
Countrymen,countrymen,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
for,for,s,,0
this,this,s,,0
fault,fault,n,StandardsNeg,0
Assemble,assemble,s,SpaceRelation,0
all,all,s,Generalization,0
the,the,s,Generalization,1
poor,poor,s,PersonProperty,0
men,men,s,PersonProperty,1
of,of,s,DirectAddress,0
your,your,s,DirectAddress,1
sort,sort,c,AbstractConcepts,0
;,;,n,,0
Draw,draw,s,Motions,0
them,them,s,,0
to,to,s,,0
Tyber,tyber,s,UNRECOGNIZED,0
banks,banks,c,SenseObject,0
",",",",s,,0
and,and,s,,0
weep,weep,s,Sad,0
your,your,s,Confront,0
tears,tears,n,Confront,1
Into,into,s,Transformation,0
the,the,s,Transformation,1
Channel,channel,c,SenseObject,0
",",",",s,,0
till,till,s,Motions,0
the,the,s,Motions,1
lowest,lowest,s,Comparison,0
stream,stream,n,SenseObject,0
Do,do,s,Intensity,0
kiss,kiss,s,Positivity,0
the,the,s,Intensity,0
most,most,s,Intensity,1
exalted,exalted,s,StandardsPos,0
Shores,shores,s,SenseObject,0
of,of,s,Specifiers,0
all,all,c,Specifiers,1
.,.,n,Imperative,0
See,see,s,Imperative,1
where,where,s,,0
their,their,s,PersonPronoun,0
basest,basest,s,Negativity,0
mettle,mettle,s,StandardsPos,0
be,be,s,ReportingStates,0
not,not,s,DenyDisclaim,0
moved,moved,c,ReportingStates,0
",",",",n,ReportingStates,1
They,they,s,,0
vanish,vanish,s,SpaceRelation,0
tongue-tyed,tongue-tyed,s,UNRECOGNIZED,0
in,in,s,Specifiers,0
their,their,s,Specifiers,1
guiltiness,guiltiness,c,StandardsNeg,0
:,:,n,,0
Go,go,s,ReportingEvents,0
you,you,s,DirectAddress,0
down,down,s,,0
that,that,s,,0
way,way,s,SpaceRelation,0
toward,toward,s,SpaceRelation,1
the,the,s,,0
Capitol,capitol,c,SenseObject,0
",",",",n,,0
This,this,s,Immediacy,0
way,way,s,Immediacy,1
will,will,s,PredictedFuture,0
I,i,c,FirstPer,0
:,:,s,,0
Disrobe,disrobe,s,Motions,0
the,the,s,,0
Images,images,c,SenseProperty,0
",",",",n,,0
If,if,s,Contingency,0
you,you,s,DirectAddress,0
do,do,s,DirectAddress,1
find,find,s,,0
them,them,s,,0
decked,decked,s,SpaceRelation,0
with,with,s,SpaceRelation,1
Ceremonies,ceremonies,c,CommonAuthorities,0
.,.,nn,Question,0
May,may,s,Question,1
we,we,s,,0
do,do,s,Intensity,0
so,so,c,Intensity,1
?,?,n,Question,0
You,you,s,DirectAddress,0
know,know,s,DirectAddress,1
it,it,s,DirectAddress,2
is,is,s,ReportingStates,0
the,the,s,ReportingStates,1
Feast,feast,s,SenseObject,0
of,of,s,,0
Lupercall,lupercall,c,UNRECOGNIZED,0
.,.,nn,ReportingStates,0
It,it,s,ReportingStates,1
is,is,s,ReportingStates,2
no,no,s,DenyDisclaim,0
matter,matter,c,DenyDisclaim,1
",",",",s,,0
let,let,s,ReportingEvents,0
no,no,s,DenyDisclaim,0
Images,images,n,SenseProperty,0
Be,be,s,ReportingStates,0
hung,hung,s,ReportingEvents,0
with,with,s,,0
Caesar's,caesar's,s,UNRECOGNIZED,0
Trophies,trophies,c,StandardsPos,0
:,:,s,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
about,about,c,,0
",",",",n,,0
And,and,s,,0
drive,drive,s,SceneShift,0
away,away,s,SceneShift,1
the,the,s,,0
Vulgar,vulgar,s,StandardsNeg,0
from,from,s,,0
the,the,s,SenseObject,0
streets,streets,c,SenseObject,1
;,;,n,,0
So,so,s,,0
do,do,s,DirectAddress,0
you,you,s,DirectAddress,1
too,too,c,Metadiscourse,0
",",",",s,Metadiscourse,1
where,where,s,DirectAddress,0
you,you,s,DirectAddress,1
perceive,perceive,s,PrivateThinking,0
them,them,s,,0
thick,thick,c,SenseProperty,0
.,.,n,,0
These,these,s,Immediacy,0
growing,growing,s,Transformation,0
Feathers,feathers,c,SenseObject,0
",",",",s,,0
plucked,plucked,s,SenseProperty,0
from,from,s,SenseProperty,1
Caesar's,caesar's,s,UNRECOGNIZED,0
wing,wing,c,SenseObject,0
",",",",n,,0
Will,will,s,PredictedFuture,0
make,make,s,Cause,0
him,him,s,Cause,1
fly,fly,s,Motions,0
an,an,s,PriorKnowledge,0
ordinary,ordinary,s,PriorKnowledge,1
pitch,pitch,c,Motions,0
",",",",n,,0
Who,who,s,Question,0
else,else,s,Question,1
