I,i,s,SelfDisclosure,0
Thought,thought,s,SelfDisclosure,1
the,the,s,SenseObject,0
King,king,s,SenseObject,1
had,had,s,ProjectBack,0
more,more,s,Comparison,0
affected,affected,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
Duke,duke,s,CommonAuthorities,0
of,of,s,,0
Albany,albany,c,UNRECOGNIZED,0
",",",",s,,0
then,then,s,,0
Cornwall,cornwall,c,,0
.,.,nnn,,0
It,it,s,Intensity,0
did,did,s,Intensity,1
always,always,s,SubjectiveTime,0
seem,seem,s,Uncertainty,0
so,so,s,,0
to,to,s,Inclusive,0
us,us,c,Inclusive,1
:,:,s,,0
But,but,s,Immediacy,0
now,now,s,Immediacy,1
in,in,s,,0
the,the,s,,0
division,division,s,AbstractConcepts,0
of,of,s,,0
the,the,s,,0
Kingdom,kingdom,c,CommonAuthorities,0
",",",",s,,0
it,it,n,,0
appears,appears,s,SubjectivePercept,0
not,not,s,DenyDisclaim,0
which,which,s,,0
of,of,s,,0
the,the,s,,0
Dukes,dukes,s,CommonAuthorities,0
he,he,s,PersonPronoun,0
valewes,valewes,s,UNRECOGNIZED,0
most,most,c,Comparison,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
qualities,qualities,s,AbstractConcepts,0
are,are,s,Intensity,0
so,so,s,Intensity,1
weighed,weighed,c,ReportingStates,0
",",",",n,ReportingStates,1
that,that,s,,0
curiosity,curiosity,s,Curiosity,0
in,in,s,,0
neither,neither,c,DenyDisclaim,0
",",",",s,,0
can,can,s,Contingency,0
make,make,s,ReportingEvents,0
choice,choice,s,ReportingEvents,1
of,of,s,ReportingEvents,2
eithers,eithers,s,UNRECOGNIZED,0
moity,moity,nnn,UNRECOGNIZED,0
Is,is,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
this,this,s,,0
your,your,s,DirectAddress,0
Son,son,c,PersonProperty,0
",",",",s,,0
my,my,s,DirectAddress,0
Lord,lord,c,DirectAddress,1
?,?,nnn,Question,0
His,his,s,PersonPronoun,0
breeding,breeding,s,ReportingEvents,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
has,has,s,,0
bin,bin,s,SenseObject,0
at,at,s,,0
my,my,s,Responsibility,0
charge,charge,c,Responsibility,1
.,.,s,,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
so,so,s,,0
often,often,s,RecurringEvents,0
blushed,blushed,s,SenseProperty,0
to,to,n,Acknowledge,0
acknowledge,acknowledge,s,Acknowledge,1
him,him,c,PersonPronoun,0
",",",",s,,0
that,that,s,Immediacy,0
now,now,s,Immediacy,1
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
braz'd,braz'd,s,UNRECOGNIZED,0
to,to,s,,0
it,it,nnn,,0
I,i,s,Insist,0
cannot,cannot,s,Insist,1
conceive,conceive,s,PrivateThinking,0
you,you,c,DirectAddress,0
.,.,nnn,,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
this,this,s,,0
young,young,s,SenseProperty,0
Fellows,fellows,s,PersonProperty,0
mother,mother,s,PersonProperty,0
could,could,c,Contingency,0
;,;,s,,0
whereupon,whereupon,s,CommonAuthorities,0
she,she,s,PersonPronoun,0
grew,grew,s,ReportingEvents,0
round,round,s,SenseProperty,0
womb'd,womb'd,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
had,had,n,ProjectBack,0
indeed,indeed,s,Intensity,0
(,(,c,,0
Sir,sir,c,PersonProperty,0
),),s,,0
a,a,s,PersonProperty,0
Son,son,s,PersonProperty,1
for,for,s,SubjectivePercept,0
her,her,s,SubjectivePercept,1
Cradle,cradle,c,SenseObject,0
",",",",s,,0
ere,ere,s,ProjectBack,0
she,she,s,ProjectBack,0
had,had,s,ProjectBack,1
