HOw,how,s,Question,0
do,do,s,Question,1
thou,thou,s,DirectAddress,0
like,like,s,Resemblances,0
the,the,s,Resemblances,1
lovely,lovely,s,Positivity,0
Euphrata,euphrata,c,UNRECOGNIZED,0
?,?,nnn,Question,0
I,i,s,FirstPer,0
did,did,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
mark,mark,s,AbstractConcepts,0
her,her,c,PersonPronoun,0
.,.,nnn,Sequence,0
Then,then,s,Sequence,1
thou,thou,s,DirectAddress,0
did,did,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
mark,mark,n,ReportingEvents,0
The,the,s,ReportingEvents,1
fairest,fairest,s,Comparison,0
Saxon,saxon,s,AbstractConcepts,0
Lady,lady,s,PersonProperty,0
in,in,s,,0
mine,mine,s,SelfDisclosure,0
eye,eye,c,SelfDisclosure,1
",",",",n,,0
That,that,s,,0
ever,ever,s,Biographical_Time,0
breathed,breathed,s,Motions,0
a,a,s,,0
maid,maid,c,PersonProperty,0
.,.,nn,,0
Your,your,s,DirectAddress,0
mind,mind,s,DirectAddress,1
now,now,s,Updates,0
known,known,c,Updates,1
",",",",n,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
say,say,s,Citations,0
she,she,s,Updates,0
is,is,s,Updates,1
the,the,s,,0
fairest,fairest,s,Comparison,0
in,in,s,Intensity,0
the,the,s,Intensity,1
world,world,c,Intensity,2
",",",",n,Intensity,3
Were,were,s,Contingency,0
she,she,s,Contingency,1
the,the,s,,0
foulest,foulest,c,Negative_Relation,0
.,.,nn,Sequence,0
Then,then,s,Sequence,1
those,those,s,,0
can,can,s,Contingency,0
dissemble,dissemble,c,Negativity,0
.,.,nn,,0
You,you,s,DirectAddress,0
know,know,s,DirectAddress,1
I,i,s,Insist,0
cannot,cannot,c,Insist,1
",",",",s,Resistance,0
but,but,s,Resistance,1
dear,dear,s,Positivity,0
Constantine,constantine,c,UNRECOGNIZED,0
",",",",n,,0
I,i,s,FirstPer,0
prithee,prithee,s,DirectAddress,0
tell,tell,s,Citations,0
me,me,s,Citations,1
first,first,c,Sequence,0
",",",",s,Sequence,1
what,what,s,Question,0
is,is,s,Question,1
that,that,s,,0
Lady,lady,c,PersonProperty,0
?,?,n,Question,0
That,that,s,,0
wonder,wonder,s,Curiosity,0
of,of,s,Curiosity,1
her,her,s,PersonPronoun,0
sex,sex,c,AbstractConcepts,0
",",",",s,,0
called,called,s,ReportingEvents,0
Euphrata,euphrata,c,UNRECOGNIZED,0
",",",",n,,0
Whose,whose,s,PersonPronoun,0
daughter,daughter,s,PersonProperty,0
is,is,s,Question,0
she,she,c,Question,1
?,?,nn,Question,0
I,i,s,Insist,0
cannot,cannot,s,Insist,1
blame,blame,s,Anger,0
thee,thee,s,DirectAddress,0
Otho,otho,c,UNRECOGNIZED,0
.,.,n,Concessive,0
Though,though,s,Concessive,1
thou,thou,s,DirectAddress,0
be,be,s,ReportingStates,0
ignorant,ignorant,s,StandardsNeg,0
of,of,s,,0
her,her,s,PersonPronoun,0
high,high,s,,0
worth,worth,c,AbstractConcepts,0
",",",",n,ReasonForward,0
Since,since,s,ReasonForward,1
here,here,s,SpaceRelation,0
in,in,s,SpaceRelation,1
Saxon,saxon,s,AbstractConcepts,0
we,we,s,ReportingStates,0
are,are,s,ReportingStates,1
strangers,strangers,s,Uncertainty,0
both,both,c,,0
",",",",n,Resistance,0
But,but,s,Resistance,1
if,if,s,Contingency,0
thou,thou,s,DirectAddress,0
cal'st,cal'st,s,UNRECOGNIZED,0
to,to,s,,0
mind,mind,c,SubjectivePercept,0
",",",",s,,0
why,why,s,Curiosity,0
we,we,s,Curiosity,1
left,left,s,SceneShift,0
Mead,mead,c,SenseObject,0
",",",",n,,0
Read,read,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
trice,trice,s,TimeDuration,0
reason,reason,s,StandardsPos,0
in,in,s,Specifiers,0
that,that,s,Specifiers,1
Ladies,ladies,s,PersonProperty,0
eye,eye,c,SenseObject,0
",",",",n,,0
Daughter,daughter,s,PersonProperty,0
unto,unto,s,CommonAuthorities,0
the,the,s,,0
Duke,duke,s,CommonAuthorities,0
of,of,s,,0
Saxony,saxony,c,,0
",",",",n,,0
She,she,s,PersonPronoun,0
unto,unto,s,CommonAuthorities,0
whom,whom,s,PersonPronoun,0
so,so,s,Intensity,0
many,many,s,Intensity,1
worthy,worthy,s,StandardsPos,0
Lords,lords,c,CommonAuthorities,0
",",",",n,,0
Veiled,veiled,s,ReportingEvents,0
Bonnet,bonnet,c,SenseObject,0
",",",",s,,0
when,when,s,TimeShift,0
she,she,s,TimeShift,1
past,past,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Triangle,triangle,c,SpaceRelation,0
",",",",n,,0
Making,making,s,ReportingEvents,0
the,the,s,,0
pavement,pavement,s,SenseObject,0
Ivory,ivory,s,SenseObject,0
where,where,s,SpaceRelation,0
she,she,s,SpaceRelation,1
trod,trod,c,ReportingStates,0
.,.,nn,ReportingStates,1
She,she,s,CommonAuthorities,0
that,that,s,CommonAuthorities,1
so,so,s,,0
lightly,lightly,s,SubjectivePercept,0
touched,touched,s,SpaceRelation,0
the,the,s,SpaceRelation,1
marble,marble,s,SenseObject,0
path,path,c,AbstractConcepts,0
",",",",n,,0
That,that,s,,0
leads,leads,s,,0
from,from,s,,0
the,the,s,,0
Temple,temple,s,SenseObject,0
to,to,s,,0
the,the,s,,0
presence,presence,c,AbstractConcepts,0
.,.,nn,,0
The,the,s,Comparison,0
same,same,c,Comparison,1
.,.,nn,Question,0
Why,why,s,Question,1
that,that,s,ProjectBack,0
was,was,s,ProjectBack,1
white,white,s,SenseProperty,0
before,before,c,Sequence,0
",",",",n,,0
White,white,s,SenseProperty,0
Marble,marble,s,SenseProperty,1
Constantine,constantine,c,UNRECOGNIZED,0
",",",",s,,0
whiter,whiter,s,Comparison,0
by,by,s,,0
odds,odds,n,Contingency,0
Then,then,s,,0
that,that,s,Specifiers,0
which,which,s,Specifiers,1
lovers,lovers,s,Positivity,0
term,term,s,AbstractConcepts,0
the,the,s,SenseObject,0
Ivory,ivory,s,SenseObject,1
hand,hand,c,SenseObject,0
",",",",n,,0
Nay,nay,s,OralCues,0
then,then,s,,0
the,the,s,,0
Lilly,lilly,c,,0
",",",",s,,0
whiteness,whiteness,s,SenseProperty,0
of,of,s,,0
her,her,s,SenseProperty,0
face,face,c,SenseProperty,1
.,.,nn,Imperative,0
Come,come,c,Imperative,1
",",",",s,,0
thou,thou,s,DirectAddress,0
art,art,s,AbstractConcepts,0
a,a,s,,0
cavilling,cavilling,s,Negative_Relation,0
companion,companion,c,Positivity,0
",",",",n,,0
Because,because,s,ReasonBackward,0
thou,thou,s,DirectAddress,0
see,see,s,,0
my,my,s,SelfDisclosure,0
heart,heart,s,SelfDisclosure,1
is,is,s,ReportingStates,0
drowned,drowned,s,Negativity,0
in,in,s,Positivity,0
love,love,c,Positivity,1
",",",",n,,0
Thou,thou,s,DirectAddress,0
will,will,s,PredictedFuture,0
drown,drown,s,Negativity,0
me,me,s,Intensity,0
too,too,c,Intensity,1
",",",",s,,0
I,i,s,FirstPer,0
say,say,s,Citations,0
the,the,s,Citations,1
Lady's,lady's,s,PersonProperty,0
fair,fair,c,StandardsPos,0
",",",",n,,0
I,i,s,FirstPer,0
say,say,s,Citations,0
I,i,s,FirstPer,0
love,love,s,Positivity,0
her,her,c,PersonPronoun,0
",",",",s,,0
and,and,s,,0
in,in,s,Specifiers,0
that,that,s,Specifiers,1
more,more,s,Comparison,0
fair,fair,c,StandardsPos,0
",",",",n,,0
I,i,s,FirstPer,0
say,say,s,Citations,0
she,she,s,PersonPronoun,0
loves,loves,s,Positivity,0
me,me,c,FirstPer,0
",",",",s,,0
and,and,s,,0
in,in,s,Specifiers,0
that,that,s,Specifiers,1
most,most,s,Comparison,0
fair,fair,c,StandardsPos,0
",",",",n,,0
Love,love,s,Positivity,0
does,does,s,ReportingEvents,0
attribute,attribute,s,ReportingEvents,0
in,in,s,,0
Hyperbolies,hyperbolies,c,UNRECOGNIZED,0
",",",",n,,0
Unto,unto,s,CommonAuthorities,0
his,his,s,PersonPronoun,0
Mistress,mistress,s,PersonProperty,0
the,the,s,Transformation,0
creation,creation,s,Transformation,1
of,of,s,Transformation,2
every,every,s,Generalization,0
excellence,excellence,c,StandardsPos,0
",",",",n,,0
Because,because,s,ReasonBackward,0
in,in,s,Specifiers,0
her,her,s,Specifiers,1
his,his,s,PersonPronoun,0
eyes,eyes,s,SenseObject,0
do,do,s,Intensity,0
dream,dream,s,PrivateThinking,0
of,of,s,PrivateThinking,1
perfect,perfect,s,StandardsPos,0
excellence,excellence,c,StandardsPos,0
",",",",n,,0
And,and,s,Immediacy,0
here,here,s,Immediacy,1
she,she,s,PersonPronoun,0
comes,comes,c,ReportingEvents,0
.,.,n,,0
Observe,observe,s,Curiosity,0
her,her,c,Curiosity,1
",",",",s,,0
gentle,gentle,s,Positivity,0
friend,friend,c,StandardsPos,0
.,.,nn,,0
Welcome,welcome,s,Positivity,0
sweet,sweet,s,SenseProperty,0
Constantine,constantine,c,UNRECOGNIZED,0
.,.,nn,,0
My,my,s,FirstPer,0
Euphrata,euphrata,c,UNRECOGNIZED,0
.,.,nn,,0
Thy,thy,s,DirectAddress,0
Euphrata,euphrata,c,UNRECOGNIZED,0
",",",",s,,0
be,be,s,ReportingStates,0
thou,thou,s,DirectAddress,0
my,my,s,FirstPer,0
Constantine,constantine,c,UNRECOGNIZED,0
",",",",n,Resistance,0
But,but,s,Resistance,1
what,what,s,Question,0
is,is,s,Question,1
he,he,s,Question,2
a,a,s,PersonProperty,0
stranger,stranger,c,PersonProperty,1
",",",",s,,0
or,or,s,,0
thy,thy,s,DirectAddress,0
friend,friend,c,StandardsPos,0
?,?,nn,Question,0
My,my,s,FirstPer,0
second,second,s,SubjectivePercept,0
self,self,c,SubjectivePercept,1
",",",",s,,0
my,my,s,FirstPer,0
second,second,s,Sequence,0
Euphrata,euphrata,c,UNRECOGNIZED,0
",",",",n,,0
If,if,s,Contingency,0
thou,thou,s,DirectAddress,0
be,be,s,ReportingStates,0
mine,mine,c,FirstPer,0
",",",",s,,0
salute,salute,s,Positivity,0
her,her,s,Positivity,1
gentle,gentle,s,Positivity,0
Otho,otho,c,UNRECOGNIZED,0
.,.,nn,,0
An,an,s,,0
humble,humble,s,SubjectivePercept,0
and,and,s,,0
a,a,s,Confidence,0
true,true,s,Confidence,1
devoted,devoted,s,Positivity,0
heart,heart,c,SenseObject,0
",",",",n,,0
I,i,s,FirstPer,0
tender,tender,s,ReportingEvents,0
to,to,s,ReportingEvents,1
you,you,s,DirectAddress,0
in,in,s,PrivateThinking,0
a,a,s,PrivateThinking,1
minds,minds,s,PrivateThinking,2
chaste,chaste,s,StandardsPos,0
kiss,kiss,c,Positivity,0
.,.,nn,,0
Welcome,welcome,s,Positivity,0
to,to,s,Positivity,1
me,me,c,FirstPer,0
",",",",s,ReasonForward,0
since,since,s,ReasonForward,1
welcome,welcome,s,Positivity,0
to,to,s,Positivity,1
my,my,s,FirstPer,0
friend,friend,c,StandardsPos,0
.,.,nn,,0
A,a,s,StandardsPos,0
beautiful,beautiful,c,StandardsPos,1
",",",",s,,0
an,an,s,,0
admirable,admirable,s,StandardsPos,0
Lady,lady,c,PersonProperty,0
",",",",n,,0
I,i,s,SelfDisclosure,0
think,think,s,SelfDisclosure,1
it,it,s,SelfDisclosure,2
is,is,s,SelfDisclosure,3
fatal,fatal,s,Negativity,0
unto,unto,s,CommonAuthorities,0
every,every,s,Generalization,0
friend,friend,c,StandardsPos,0
",",",",n,,0
Never,never,s,Biographical_Time,0
to,to,s,Biographical_Time,1
