GEntles,gentles,s,SenseProperty,0
of,of,s,,0
both,both,s,,0
sexes,sexes,c,AbstractConcepts,0
",",",",s,,0
and,and,s,Generalization,0
all,all,s,Generalization,1
sorts,sorts,c,AbstractConcepts,0
",",",",s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
sent,sent,s,SceneShift,0
to,to,s,SceneShift,1
bid,bid,s,ReportingEvents,0
ye,ye,s,OralCues,0
welcome,welcome,c,Positivity,0
",",",",s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
but,but,n,Resistance,0
insteade,insteade,s,UNRECOGNIZED,0
of,of,s,,0
a,a,s,Sequence,0
Prologue,prologue,c,Sequence,1
:,:,s,,0
for,for,s,,0
a,a,s,,0
she,she,s,PersonPronoun,0
prologue,prologue,s,Sequence,0
is,is,s,ReportingStates,0
as,as,s,,0
rare,rare,s,Exceptions,0
as,as,s,,0
an,an,s,,0
Usurers,usurers,s,StandardsNeg,0
Alms,alms,c,Specifiers,0
:,:,s,,0
non,non,n,AbstractConcepts,0
reperitur,reperitur,s,UNRECOGNIZED,0
in,in,s,,0
vsu,vsu,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
the,the,s,Specifiers,0
rather,rather,s,Specifiers,1
I,i,s,Metadiscourse,0
come,come,s,Metadiscourse,1
woman,woman,c,PersonProperty,0
",",",",s,,0
because,because,s,ReasonBackward,0
men,men,s,PersonProperty,0
are,are,s,ProjectAhead,0
apt,apt,s,ProjectAhead,1
to,to,s,ProjectAhead,2
take,take,n,ReportingEvents,0
kindelye,kindelye,s,UNRECOGNIZED,0
any,any,s,,0
kind,kind,s,Positivity,0
thing,thing,s,Uncertainty,0
at,at,s,SpaceRelation,0
a,a,s,SpaceRelation,1
woman's,woman's,s,PersonProperty,0
hand,hand,c,SenseObject,0
;,;,s,,0
and,and,s,,0
we,we,s,,0
poor,poor,s,Negativity,0
souls,souls,s,Disclosure,0
are,are,s,Exceptions,0
but,but,s,Exceptions,1
too,too,n,,0
kind,kind,c,Positivity,0
",",",",s,,0
if,if,s,Contingency,0
we,we,s,,0
be,be,s,ReportingStates,0
kindly,kindly,s,StandardsPos,0
entreated,entreated,c,Request,0
",",",",s,,0
marry,marry,s,Positivity,0
otherwise,otherwise,c,Contingency,0
",",",",s,Contingency,1
there,there,s,,0
I,i,s,FirstPer,0
make,make,s,SelfDisclosure,0
my,my,n,SelfDisclosure,1
Aposiopesis,aposiopesis,c,SenseProperty,0
:,:,s,,0
the,the,s,CommunicatorRole,0
Author,author,s,CommunicatorRole,1
has,has,s,,0
indeed,indeed,s,Intensity,0
made,made,s,SelfDisclosure,0
me,me,s,SelfDisclosure,1
an,an,s,,0
honest,honest,s,StandardsPos,0
merrye,merrye,s,UNRECOGNIZED,0
wench,wench,c,PersonProperty,0
",",",",s,,0
one,one,s,Specifiers,0
of,of,s,Specifiers,1
his,his,n,Specifiers,2
humorists,humorists,c,PersonProperty,0
",",",",s,Resistance,0
yet,yet,s,Resistance,1
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
so,so,s,Intensity,0
much,much,s,Intensity,1
beholding,beholding,s,SpaceRelation,0
to,to,s,PersonPronoun,0
him,him,c,PersonPronoun,1
",",",",s,,0
I,i,s,Insist,0
cannot,cannot,s,Insist,1
get,get,s,ReportingEvents,0
me,me,s,ReportingEvents,1
a,a,s,ReportingEvents,2
husband,husband,s,PersonProperty,0
in,in,s,Specifiers,0
his,his,n,Specifiers,1
play,play,s,ReportingEvents,0
that,that,s,Specifiers,0
is,is,s,Specifiers,1
worth,worth,s,StandardsPos,0
the,the,s,StandardsPos,1
having,having,c,ReportingEvents,0
",",",",s,,0
unless,unless,s,Contingency,0
I,i,s,FirstPer,0
be,be,s,ReportingStates,0
better,better,s,Comparison,0
half,half,s,Comparison,1
of,of,s,,0
the,the,s,,0
suitor,suitor,s,PersonProperty,0
my,my,s,FirstPer,0
self,self,c,SubjectivePercept,0
:,:,n,,0
and,and,s,,0
having,having,s,ReportingEvents,0
imposed,imposed,s,Resistance,0
this,this,s,,0
audacity,audacity,s,Intensity,0
on,on,s,,0
me,me,c,FirstPer,0
",",",",s,,0
