NO,no,s,DenyDisclaim,0
fleet,fleet,s,SenseObject,0
of,of,s,SenseObject,1
foet,foet,c,UNRECOGNIZED,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
swift,swift,s,SenseProperty,0
of,of,s,,0
wyng,wyng,c,UNRECOGNIZED,0
",",",",n,,0
nor,nor,s,DenyDisclaim,0
skarce,skarce,s,UNRECOGNIZED,0
the,the,s,PrivateThinking,0
thought,thought,s,PrivateThinking,1
in,in,s,,0
breast,breast,c,PersonProperty,0
:,:,n,,0
Nor,nor,s,SubjectiveTime,0
yet,yet,s,SubjectiveTime,1
the,the,s,,0
Arrowe,arrowe,s,UNRECOGNIZED,0
out,out,s,,0
of,of,s,,0
Be,be,c,ReportingStates,0
",",",",n,,0
nor,nor,s,DenyDisclaim,0
Wind,wind,s,SenseProperty,0
that,that,s,,0
s^ld,s^ld,s,UNRECOGNIZED,0
does,does,s,ReportingEvents,0
rest,rest,c,,0
.,.,n,,0
Compaers,compaers,s,UNRECOGNIZED,0
with,with,s,,0
me,me,s,FirstPer,0
quick,quick,s,SubjectiveTime,0
worlds,worlds,s,AbstractConcepts,0
report,report,c,LangRef,0
",",",",n,,0
that,that,s,,0
some,some,s,Uncertainty,0
calls,calls,s,ReportingEvents,0
Flying,flying,s,Motions,0
Faem,faem,c,UNRECOGNIZED,0
:,:,n,,0
A,a,s,,0
bruet,bruet,s,UNRECOGNIZED,0
of,of,s,,0
prays,prays,c,Intensity,0
",",",",s,,0
a,a,s,SenseProperty,0
blast,blast,s,SenseProperty,1
of,of,s,SenseProperty,2
pomp,pomp,c,SenseProperty,0
",",",",n,,0
a,a,s,,0
blazer,blazer,s,SenseObject,0
of,of,s,,0
good,good,s,,0
naem,naem,c,UNRECOGNIZED,0
.,.,n,,0
The,the,s,Exceptions,0
only,only,s,Exceptions,1
lawd,lawd,s,UNRECOGNIZED,0
that,that,s,,0
kings,kings,s,PersonProperty,0
do,do,s,Intensity,0
seek,seek,c,ProjectAhead,0
",",",",n,,0
a,a,s,,0
Joy,joy,s,Positivity,0
to,to,s,,0
^,^,c,UNRECOGNIZED,0
atch,atch,s,UNRECOGNIZED,0
estaet,estaet,c,UNRECOGNIZED,0
:,:,n,,0
A,a,s,,0
welcome,welcome,s,Positivity,0
friend,friend,s,StandardsPos,0
that,that,s,Generalization,0
all,all,s,Generalization,1
men,men,s,PersonProperty,0
loves,loves,c,Positivity,0
",",",",n,,0
and,and,s,,0
noen,noen,s,UNRECOGNIZED,0
a,a,s,Updates,0
live,live,s,Updates,1
does,does,s,ReportingEvents,0
haet,haet,c,UNRECOGNIZED,0
.,.,n,,0
Saluets,saluets,s,UNRECOGNIZED,0
the,the,s,,0
Queen,queen,s,PersonProperty,0
of,of,s,,0
raer,raer,s,UNRECOGNIZED,0
renown,renown,c,StandardsPos,0
",",",",n,,0
whose,whose,s,PersonPronoun,0
goodly,goodly,s,StandardsPos,0
gifts,gifts,s,Positivity,0
deuien,deuien,c,UNRECOGNIZED,0
:,:,n,,0
Throw,throw,s,Motions,0
Earth,earth,s,SpaceRelation,0
and,and,s,,0
Air,air,s,ReportingEvents,0
with,with,s,,0
glory,glory,s,StandardsPos,0
great,great,c,Intensity,0
",",",",n,,0
shall,shall,s,ProjectAhead,0
pass,pass,s,ReportingEvents,0
this,this,s,,0
tromp,tromp,s,Motions,0
of,of,s,,0
mien,mien,c,SubjectivePercept,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
knowing,knowing,s,PrivateThinking,0
of,of,s,PrivateThinking,1
thy,thy,s,DirectAddress,0
coming,coming,s,SceneShift,0
here,here,c,SceneShift,1
",",",",n,,0
my,my,s,FirstPer,0
duetty,duetty,s,UNRECOGNIZED,0
had,had,s,ProjectBack,0
me,me,s,FirstPer,0
go,go,c,ReportingEvents,0
:,:,n,,0
Before,before,s,Sequence,0
unto,unto,s,CommonAuthorities,0
this,this,s,,0
present,present,s,,0
place,place,c,SpaceRelation,0
",",",",n,,0
the,the,s,,0
nues,nues,s,,0
thereof,thereof,s,CommonAuthorities,0
to,to,s,,0
shoe,shoe,c,SenseObject,0
.,.,n,,0
No,no,s,DenyDisclaim,0
soenner,soenner,s,UNRECOGNIZED,0
was,was,s,ProjectBack,0
pronownst,pronownst,s,UNRECOGNIZED,0
the,the,s,,0
name,name,c,LangRef,0
",",",",n,Resistance,0
but,but,s,Resistance,1
Baebs,baebs,s,UNRECOGNIZED,0
in,in,s,,0
street,street,s,SenseObject,0
began,began,s,Sequence,0
leap,leap,c,Motions,0
:,:,n,,0
The,the,s,,0
youth,youth,c,AbstractConcepts,0
",",",",s,,0
the,the,s,,0
age,age,c,Specifiers,0
",",",",s,,0
the,the,s,,0
rich,rich,c,Positivity,0
",",",",s,,0
the,the,s,,0
poer,poer,c,UNRECOGNIZED,0
",",",",n,,0
came,came,s,ReportingEvents,0
runnyng,runnyng,s,UNRECOGNIZED,0
all,all,s,Intensity,0
on,on,s,Intensity,1
heap,heap,c,SenseObject,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
clappyng,clappyng,s,UNRECOGNIZED,0
hands,hands,c,SenseObject,0
",",",",s,,0
cried,cried,s,ReportingEvents,0
maynly,maynly,s,UNRECOGNIZED,0
out,out,c,,0
",",",",n,,0
O,o,s,LangRef,0
blessed,blessed,s,StandardsPos,0
be,be,s,ReportingStates,0
the,the,s,ReportingStates,1
owre,owre,c,UNRECOGNIZED,0
:,:,n,,0
Our,our,s,Inclusive,0
queen,queen,s,PersonProperty,0
is,is,s,ReportingStates,0
coming,coming,s,SceneShift,0
to,to,s,SceneShift,1
the,the,s,SceneShift,2
town,town,c,SceneShift,3
",",",",n,,0
with,with,s,,0
princely,princely,s,StandardsPos,0
trayn,trayn,s,UNRECOGNIZED,0
and,and,s,,0
power,power,c,AbstractConcepts,0
.,.,n,,0
Than,than,s,Comparison,0
collors,collors,s,UNRECOGNIZED,0
cast,cast,s,ReportingEvents,0
they,they,s,,0
oer,oer,s,UNRECOGNIZED,0
the,the,s,,0
wawls,wawls,c,UNRECOGNIZED,0
",",",",n,,0
and,and,s,,0
decked,decked,s,ReportingEvents,0
old,old,s,SenseProperty,0
howsis,howsis,s,UNRECOGNIZED,0
gaye,gaye,c,UNRECOGNIZED,0
:,:,n,,0
Out,out,s,,0
flue,flue,s,SenseObject,0
the,the,s,SenseObject,0
bags,bags,s,SenseObject,1
a,a,s,,0
bout,bout,s,Resistance,0
afayrs,afayrs,n,UNRECOGNIZED,0
that,that,s,,0
long,long,s,SenseProperty,0
a,a,s,,0
hording,hording,s,UNRECOGNIZED,0
lay,lay,c,ReportingStates,0
.,.,n,ReportingStates,1
A,a,s,,0
sid,sid,s,UNRECOGNIZED,0
they,they,s,Neutral_Attribution,0
set,set,s,Neutral_Attribution,1
thear,thear,s,UNRECOGNIZED,0
