After,after,s,Sequence,0
the,the,s,Sequence,1
waste,waste,s,StandardsNeg,0
of,of,s,StandardsNeg,1
many,many,s,,0
thousand,thousand,s,Numbers,0
wounds,wounds,n,Negativity,0
Given,given,s,ReportingStates,0
and,and,s,,0
received,received,s,ReportingEvents,0
alike,alike,c,Inclusive,0
",",",",s,,0
in,in,s,,0
seven,seven,s,Numbers,0
set,set,s,ReportingEvents,0
battaile^s,battaile^s,c,UNRECOGNIZED,0
",",",",n,,0
Lydia's,lydia's,s,UNRECOGNIZED,0
old,old,s,SenseProperty,0
King,king,s,PersonProperty,0
upon,upon,s,,0
conditions,conditions,s,AbstractConcepts,0
signed,signed,n,ReportingEvents,0
For,for,s,ReportingEvents,1
Peace,peace,s,StandardsPos,0
and,and,s,,0
truce,truce,c,StandardsPos,0
",",",",s,,0
entered,entered,s,ReportingEvents,0
onfeigned,onfeigned,s,UNRECOGNIZED,0
league,league,n,Inclusive,0
With,with,s,Inclusive,1
his,his,s,PersonPronoun,0
fierce,fierce,s,Resistance,0
enemy,enemy,s,Negativity,0
the,the,s,,0
Lycian,lycian,s,UNRECOGNIZED,0
King,king,n,PersonProperty,0
Gave,gave,s,Narrative_Verbs,0
him,him,s,Narrative_Verbs,1
in,in,s,,0
Hostage,hostage,s,Negative_Relation,0
as,as,s,,0
his,his,s,Promise,0
pledge,pledge,s,Promise,1
of,of,s,,0
faith,faith,c,StandardsPos,0
",",",",n,,0
His,his,s,PersonPronoun,0
Nephew,nephew,c,PersonProperty,0
",",",",s,,0
Lord,lord,s,CommonAuthorities,0
Lapyrus,lapyrus,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
received,received,n,ReportingEvents,0
Noble,noble,s,StandardsPos,0
Zantippus,zantippus,s,UNRECOGNIZED,0
from,from,s,,0
the,the,s,,0
Lycian,lycian,c,UNRECOGNIZED,0
;,;,n,,0
To,to,s,,0
make,make,s,ReportingEvents,0
the,the,s,,0
contract,contract,s,ReportingEvents,0
full,full,s,,0
and,and,s,,0
honorable,honorable,c,StandardsPos,0
",",",",n,,0
This,this,s,,0
Lord,lord,s,CommonAuthorities,0
Lapyrus,lapyrus,s,UNRECOGNIZED,0
entertained,entertained,s,Positivity,0
and,and,s,,0
wellcom'd,wellcom'd,n,UNRECOGNIZED,0
But,but,s,Resistance,0
chiefly,chiefly,s,Intensity,0
by,by,s,,0
the,the,s,Positivity,0
fair,fair,s,Positivity,1
Eurymone,eurymone,n,UNRECOGNIZED,0
The,the,s,SenseObject,0
Kings,kings,s,SenseObject,1
sole,sole,s,SenseObject,0
daughter,daughter,c,PersonProperty,0
",",",",s,,0
who,who,s,,0
unto,unto,s,CommonAuthorities,0
Lapyrus,lapyrus,n,UNRECOGNIZED,0
Offers,offers,s,ReportingEvents,0
her,her,s,ReportingEvents,1
as,as,s,,0
his,his,s,PersonPronoun,0
Bride,bride,c,PersonProperty,0
",",",",s,ReasonForward,0
so,so,s,ReasonForward,1
he,he,s,Biographical_Time,0
would,would,s,Biographical_Time,1
turn,turn,n,,0
A,a,s,,0
Traitor,traitor,s,StandardsNeg,0
to,to,s,,0
his,his,s,PersonPronoun,0
Country,country,s,AbstractConcepts,0
and,and,s,,0
his,his,s,PersonPronoun,0
King,king,c,PersonProperty,0
:,:,n,,0
Lapyrus,lapyrus,c,UNRECOGNIZED,0
",",",",s,,0
to,to,s,,0
obtain,obtain,s,ReportingEvents,0
the,the,s,ReportingEvents,1
beauteous,beauteous,s,StandardsPos,0
maid,maid,n,PersonProperty,0
Turns,turns,s,Negativity,0
Traitor,traitor,s,Negativity,1
to,to,s,,0
his,his,s,PersonPronoun,0
King,king,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
joins,joins,s,ReportingEvents,0
his,his,s,ReportingEvents,1
force^,force^,n,UNRECOGNIZED,0
Unto,unto,s,CommonAuthorities,0
his,his,s,PersonPronoun,0
fair,fair,s,StandardsPos,0
loves,loves,s,Positivity,0
Fathers,fathers,c,PersonProperty,0
",",",",s,,0
Lycia's,lycia's,s,UNRECOGNIZED,0
King,king,c,PersonProperty,0
*,*,n,,0
The,the,s,,0
old,old,s,SenseProperty,0
King,king,s,PersonProperty,0
of,of,s,,0
Lydia,lydia,s,UNRECOGNIZED,0
being,being,s,ReportingStates,0
so,so,s,,0
beset,beset,n,Negativity,0
By,by,s,Negativity,1
his,his,s,SubjectivePercept,0
own,own,s,SubjectivePercept,1
Nephews,nephews,s,PersonProperty,0
unexpected,unexpected,s,SubjectivePercept,0
treche^ries,treche^ries,c,UNRECOGNIZED,0
",",",",n,,0
Sent,sent,s,SceneShift,0
forth,forth,s,SceneShift,1
his,his,s,PersonPronoun,0
son,son,s,PersonProperty,0
Tymethes,tymethes,s,UNRECOGNIZED,0
to,to,s,,0
crave,crave,s,Intensity,0
aid,aid,n,Positivity,0
From,from,s,,0
Armatrites,armatrites,s,UNRECOGNIZED,0
King,king,s,PersonProperty,0
of,of,s,,0
great,great,s,Intensity,0
Cilicia,cilicia,c,UNRECOGNIZED,0
",",",",n,Aside,0
Which,which,s,Aside,1
he,he,s,Aside,2
obtained,obtained,s,ReportingEvents,0
in,in,s,,0
a,a,s,,0
disastrous,disastrous,s,Negativity,0
hour,hour,n,TimeDuration,0
As,as,s,,0
the,the,s,,0
event,event,s,GenericEvents,0
will,will,s,PredictedFuture,0
witness,witness,c,PersonProperty,0
;,;,s,,0
In,in,s,,0
this,this,s,,0
trouble,trouble,n,Negativity,0
The,the,s,,0
frighted,frighted,s,UNRECOGNIZED,0
Queen,queen,s,PersonProperty,0
with,with,s,,0
her,her,s,PersonPronoun,0
two,two,s,Numbers,0
Infants,infants,s,PersonProperty,0
fled,fled,n,ReportingEvents,0
Into,into,s,Transformation,0
a,a,s,Transformation,1
Forest,forest,c,SenseObject,0
",",",",s,,0
fearing,fearing,s,Fear,0
the,the,s,Sad,0
sad,sad,s,Sad,1
ruin,ruin,n,Negativity,0
Hourly,hourly,s,RecurringEvents,0
expected,expected,c,ProjectAhead,0
",",",",s,,0
until,until,s,TimeDuration,0
Armatrites,armatrites,n,UNRECOGNIZED,0
With,with,s,Specifiers,0
a,a,s,Specifiers,1
fresh,fresh,s,SenseProperty,0
Army,army,s,CommonAuthorities,0
forced,forced,s,ReportingEvents,0
Lapyrus,lapyrus,s,UNRECOGNIZED,0
fly,fly,n,Motions,0
And,and,s,,0
saved,saved,s,StandardsPos,0
the,the,s,StandardsPos,1
King,king,c,PersonProperty,0
",",",",s,,0
doomed,doomed,s,Negativity,0
for,for,s,,0
worse,worse,s,Negativity,0
treachery,treachery,c,Anger,0
.,.,n,Question,0
What,what,s,Question,1
follows,follows,s,,0
shows,shows,s,ReportingEvents,0
it,it,s,,0
self,self,c,SubjectivePercept,0
;,;,s,,0
it,it,s,,0
is,is,s,ReportingStates,0
our,our,s,Inclusive,0
full,full,s,,0
due,due,c,AbstractConcepts,0
",",",",n,,0
If,if,s,Contingency,0
we,we,s,,0
with,with,s,,0
labor,labor,s,AbstractConcepts,0
give,give,s,,0
content,content,s,Positivity,0
to,to,s,Positivity,1
you,you,c,DirectAddress,0
.,.,n,,0
Speranza,speranza,c,UNRECOGNIZED,0
.,.,nn,,0
Long,long,s,StandardsPos,0
live,live,s,StandardsPos,1
Armatrites,armatrites,s,UNRECOGNIZED,0
King,king,s,PersonProperty,0
of,of,s,,0
Lydia,lydia,c,UNRECOGNIZED,0
.,.,nn,Question,0
How,how,c,Question,1
?,?,nn,Question,0
Art,art,s,AbstractConcepts,0
thou,thou,s,DirectAddress,0
amazed,amazed,s,Intensity,0
old,old,s,SenseProperty,0
King,king,c,PersonProperty,0
",",",",s,,0
and,and,s,Generalization,0
all,all,s,Generalization,1
thy,thy,s,DirectAddress,0
people,people,n,PersonProperty,0
Mutually,mutually,s,Inclusive,0
laboring,laboring,s,Negativity,0
in,in,s,,0
a,a,s,Intensity,0
fit,fit,s,Intensity,1
of,of,s,,0
wonder,wonder,c,Curiosity,0
?,?,n,Question,0
Start,start,s,Sequence,0
from,from,s,Sequence,1
those,those,s,,0
pale^,pale^,s,UNRECOGNIZED,0
dreams,dreams,c,SubjectivePercept,0
",",",",s,,0
we,we,s,Metadiscourse,0
will,will,s,Metadiscourse,1
prove,prove,s,Metadiscourse,2
all,all,s,,0
true,true,c,Concessive,0
",",",",n,Concessive,1
Who,who,s,,0
wins,wins,s,Positivity,0
the,the,s,Positivity,1
day,day,s,Positivity,2
the,the,s,,0
brightness,brightness,s,SenseProperty,0
is,is,s,ReportingStates,0
his,his,s,ReportingStates,1
due,due,c,AbstractConcepts,0
.,.,nn,,0
King,king,s,PersonProperty,0
of,of,s,,0
Cilicia,cilicia,c,UNRECOGNIZED,0
.,.,nn,,0
I,i,s,FirstPer,0
and,and,s,,0
Lydia,lydia,s,UNRECOGNIZED,0
now,now,c,Updates,0
",",",",n,Updates,1
Bate,bate,s,Motions,0
us,us,s,Inclusive,0
not,not,s,DenyDisclaim,0
our,our,s,Inclusive,0
Titles,titles,c,LangRef,0
",",",",s,,0
we,we,s,,0
and,and,s,,0
ours,ours,n,Inclusive,0
Have,have,s,,0
sweat,sweat,s,SenseObject,0
and,and,s,,0
dearly,dearly,s,Intensity,0
earned,earned,s,StandardsPos,0
them,them,s,,0
in,in,s,Inclusive,0
our,our,s,Inclusive,1
flesh,flesh,c,SenseObject,0
.,.,nn,,0
It,it,s,,0
savors,savors,s,Positivity,0
