OBonny,obonny,s,UNRECOGNIZED,0
Jove,jove,c,,0
",",",",s,,0
and,and,s,Sequence,0
the,the,s,Sequence,1
rest,rest,s,Sequence,2
of,of,s,Sequence,3
the,the,s,,0
b^on,b^on,s,UNRECOGNIZED,0
gods,gods,s,CommonAuthorities,0
that,that,s,,0
dwell,dwell,s,ReportingEvents,0
in,in,s,ReportingEvents,1
the,the,s,,0
Tipling-house,tipling-house,s,UNRECOGNIZED,0
of,of,n,,0
Olympus,olympus,c,UNRECOGNIZED,0
!,!,s,,0
There,there,s,,0
be,be,s,ReportingStates,0
metals,metals,s,SenseObject,0
and,and,s,,0
hard,hard,s,,0
things,things,s,Uncertainty,0
in,in,s,Intensity,0
the,the,s,Intensity,1
world,world,c,Intensity,2
",",",",s,Intensity,3
but,but,s,Resistance,0
nothing,nothing,s,DenyDisclaim,0
so,so,s,Intensity,0
hard,hard,s,Intensity,1
as,as,n,Specifiers,0
to,to,s,Specifiers,1
be,be,s,ReportingStates,0
bound,bound,s,ReportingEvents,0
Prentise,prentise,s,UNRECOGNIZED,0
in,in,s,,0
Bedlam,bedlam,c,Negativity,0
",",",",s,,0
and,and,s,,0
have,have,s,ReportingEvents,0
a,a,s,ReportingEvents,1
Fool,fool,s,Negativity,0
to,to,s,,0
ones,ones,s,Numbers,0
Master,master,c,PersonProperty,0
:,:,s,,0
my,my,s,FirstPer,0
very,very,s,Intensity,0
Livery,livery,n,SenseProperty,0
is,is,s,Negativity,0
faced,faced,s,Negativity,1
with,with,s,Negativity,2
his,his,s,PersonPronoun,0
Worships,worships,s,Positivity,0
foolery,foolery,c,Negativity,0
.,.,s,,0
Our,our,s,Inclusive,0
condition,condition,s,AbstractConcepts,0
is,is,s,ReportingStates,0
miserable,miserable,c,StandardsNeg,0
;,;,s,,0
for,for,s,Contingency,0
if,if,s,Contingency,1
our,our,n,Inclusive,0
Masters,masters,s,StandardsPos,0
but,but,s,Resistance,0
dine,dine,s,SpaceRelation,0
at,at,s,SpaceRelation,1
the,the,s,PriorKnowledge,0
Ordinary,ordinary,s,PriorKnowledge,1
of,of,s,,0
mischief,mischief,c,StandardsNeg,0
",",",",s,,0
the,the,s,StandardsNeg,0
poor,poor,s,StandardsNeg,1
Serving-man,serving-man,s,UNRECOGNIZED,0
is,is,s,Confidence,0
sure,sure,s,Confidence,1
to,to,n,Confidence,2
be,be,s,ReportingStates,0
fed,fed,s,ReportingEvents,0
with,with,s,Specifiers,0
the,the,s,Specifiers,1
scraps,scraps,s,SenseObject,0
of,of,s,,0
misfortune,misfortune,c,StandardsNeg,0
:,:,s,,0
We,we,s,Insist,0
must,must,s,Insist,1
share,share,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
our,our,s,Inclusive,0
Masters,masters,s,StandardsPos,0
misery,misery,c,StandardsNeg,0
",",",",s,,0
we,we,n,ReportingStates,0
are,are,s,ReportingStates,1
but,but,s,Resistance,0
Tenants,tenants,c,PersonProperty,0
",",",",s,,0
they,they,s,,0
will,will,s,Resistance,0
not,not,s,Resistance,1
let,let,s,Resistance,2
us,us,s,Inclusive,0
be,be,s,ReportingStates,0
Freeholders,freeholders,s,PersonProperty,0
to,to,s,,0
the,the,s,,0
petty,petty,s,Negativity,0
Lordships,lordships,s,CommonAuthorities,0
of,of,n,SubjectivePercept,0
our,our,s,SubjectivePercept,1
own,own,s,SubjectivePercept,2
corpusculous,corpusculous,s,UNRECOGNIZED,0
Fortune,fortune,c,ProjectAhead,0
;,;,s,,0
damnable,damnable,s,Anger,0
Fortune,fortune,c,ProjectAhead,0
!,!,s,,0
how,how,s,,0
fatally,fatally,s,Negativity,0
have,have,s,,0
thou,thou,s,DirectAddress,0
sold,sold,s,Narrative_Verbs,0
the,the,n,Narrative_Verbs,1
tenure,tenure,s,CommonAuthorities,0
of,of,s,CommonAuthorities,1
us,us,c,Inclusive,0
",",",",s,,0
to,to,s,PersonPronoun,0
him,him,s,PersonPronoun,1
that,that,s,PredictedFuture,0
will,will,s,PredictedFuture,1
pay,pay,s,ReportingEvents,0
us,us,s,Inclusive,0
our,our,s,Inclusive,0
wages,wages,c,AbstractConcepts,0
!,!,s,,0
It,it,s,Intensity,0
Is,is,s,Intensity,1
very,very,s,Intensity,2
true,true,s,StandardsPos,0
that,that,s,,0
I,i,s,FirstPer,0
tell,tell,n,DirectAddress,0
you,you,c,DirectAddress,1
:,:,s,,0
And,and,s,Immediacy,0
now,now,s,Immediacy,1
see,see,s,,0
the,the,s,,0
perverse,perverse,s,StandardsNeg,0
effects,effects,s,Consequence,0
of,of,s,Consequence,1
all,all,c,Inclusive,0
.,.,s,Inclusive,1
O,o,s,LangRef,0
how,how,s,SelfDisclosure,0
I,i,s,SelfDisclosure,1
could,could,s,Contingency,0
cuff,cuff,s,SenseObject,0
Apollo,apollo,c,UNRECOGNIZED,0
!,!,s,,0
I,i,s,SelfDisclosure,0
have,have,n,SelfDisclosure,1
a,a,s,,0
quarrel,quarrel,s,Negative_Relation,0
to,to,s,,0
Apollo,apollo,c,UNRECOGNIZED,0
",",",",s,,0
that,that,s,,0
wryleg'd,wryleg'd,c,UNRECOGNIZED,0
",",",",s,,0
ridling,ridling,c,UNRECOGNIZED,0
",",",",s,,0
fidling,fidling,s,UNRECOGNIZED,0
god,god,c,CommonAuthorities,0
",",",",s,,0
that,that,s,,0
snorts,snorts,s,Motions,0
out,out,n,,0
Oracles,oracles,s,ProjectAhead,0
from,from,s,,0
his,his,s,PersonPronoun,0
gilded,gilded,s,SenseProperty,0
brundlet,brundlet,c,UNRECOGNIZED,0
.,.,s,,0
They,they,s,Citations,0
say,say,c,Citations,1
",",",",s,,0
this,this,s,,0
same,same,s,Comparison,0
Gaffer,gaffer,s,PersonProperty,0
Phoebus,phoebus,s,UNRECOGNIZED,0
is,is,s,ReportingStates,0
a,a,s,ReportingStates,1
good,good,n,,0
Mountebanck,mountebanck,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
an,an,s,,0
