SHamount,shamount,c,UNRECOGNIZED,0
",",",",s,,0
welcome,welcome,c,Positivity,0
;,;,s,,0
we,we,s,Inclusive,0
have,have,s,Inclusive,1
mist,mist,s,SenseObject,0
thee,thee,s,DirectAddress,0
long,long,c,SenseProperty,0
",",",",n,Concessive,0
Though,though,s,Concessive,1
absent,absent,s,Negativity,0
but,but,s,Resistance,0
two,two,s,Numbers,0
days,days,c,TimeDuration,0
:,:,s,,0
I,i,s,DirectAddress,0
hope,hope,s,DirectAddress,1
your,your,s,DirectAddress,2
sports,sports,n,SenseProperty,0
Answer,answer,s,Specifiers,0
your,your,s,SubjectiveTime,0
time,time,s,SubjectiveTime,1
and,and,s,,0
wishes,wishes,c,SubjectivePercept,0
.,.,nn,,0
Very,very,s,Intensity,0
nobly,nobly,s,StandardsPos,0
sir,sir,c,PersonProperty,0
:,:,n,,0
We,we,s,,0
found,found,s,ReportingEvents,0
game,game,s,AbstractConcepts,0
worthy,worthy,s,StandardsPos,0
your,your,s,DirectAddress,0
delight,delight,s,Positivity,0
my,my,s,DirectAddress,0
Lord,lord,c,DirectAddress,1
",",",",n,,0
It,it,s,ProjectBack,0
was,was,s,ProjectBack,1
so,so,s,,0
royal,royal,c,CommonAuthorities,0
.,.,nn,,0
I,i,s,SelfDisclosure,0
Have,have,s,SelfDisclosure,1
enough,enough,s,SubjectivePercept,0
to,to,s,SubjectivePercept,1
hear,hear,s,SpaceRelation,0
on,on,s,SpaceRelation,0
it,it,c,SpaceRelation,1
",",",",n,,0
Prithee,prithee,s,DirectAddress,0
bestow't,bestow't,s,UNRECOGNIZED,0
upon,upon,s,Immediacy,0
me,me,s,Immediacy,1
in,in,s,,0
discourse,discourse,c,AbstractConcepts,0
.,.,nn,Question,0
What,what,s,Question,1
is,is,s,Question,2
this,this,s,,0
Gentleman,gentleman,s,Positivity,0
Coz,coz,c,PersonProperty,0
?,?,s,Question,0
you,you,s,DirectAddress,0
are,are,s,DirectAddress,1
a,a,s,DirectAddress,2
Courtier,courtier,c,PersonProperty,0
",",",",n,,0
Therefore,therefore,s,ReasonForward,0
know,know,s,Confidence,0
all,all,s,Generalization,0
their,their,s,Generalization,1
insides,insides,c,SpaceRelation,0
.,.,nn,,0
No,no,s,DenyDisclaim,0
farther,farther,s,SpaceRelation,0
then,then,s,,0
the,the,s,,0
Taffitie,taffitie,s,UNRECOGNIZED,0
goes,goes,s,ReportingEvents,0
good,good,s,,0
Coz,coz,c,PersonProperty,0
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
the,the,s,Intensity,0
most,most,s,Intensity,1
part,part,c,,0
",",",",s,Aside,0
which,which,s,Aside,1
is,is,s,Intensity,0
indeed,indeed,s,Intensity,1
the,the,s,Positivity,0
best,best,s,Positivity,1
part,part,n,Specifiers,0
Of,of,s,Specifiers,1
the,the,s,Specifiers,2
most,most,s,Comparison,0
general,general,s,AbstractConcepts,0
inside,inside,c,SpaceRelation,0
:,:,s,,0
marry,marry,s,Positivity,0
thus,thus,s,Updates,0
far,far,n,Updates,1
I,i,s,Contingency,0
can,can,s,Contingency,1
with,with,s,,0
boldness,boldness,s,Confidence,0
speak,speak,s,ReportingEvents,0
this,this,s,,0
ones,ones,s,Numbers,0
man's,man's,s,PersonProperty,0
Character,character,c,LangRef,0
",",",",n,,0
And,and,s,,0
upon,upon,s,,0
honor,honor,s,StandardsPos,0
pass,pass,s,ReportingEvents,0
it,it,s,,0
for,for,s,,0
a,a,s,Confidence,0
true,true,s,Confidence,1
one,one,c,Numbers,0
;,;,n,,0
He,he,s,Neutral_Attribution,0
has,has,s,Neutral_Attribution,1
that,that,s,,0
strength,strength,s,StandardsPos,0
of,of,s,StandardsPos,1
many,many,s,,0
merit,merit,s,StandardsPos,0
in,in,s,,0
him,him,c,PersonPronoun,0
",",",",n,,0
That,that,s,,0
it,it,s,,0
exceeds,exceeds,s,Intensity,0
his,his,s,PersonPronoun,0
Sovereigns,sovereigns,s,CommonAuthorities,0
power,power,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
gracing,gracing,c,StandardsPos,0
;,;,n,,0
He,he,s,Updates,0
Is,is,s,Updates,1
faithfully,faithfully,s,StandardsPos,0
true,true,s,Confidence,0
to,to,s,Confidence,1
valor,valor,c,StandardsPos,0
",",",",s,,0
that,that,s,,0
he,he,s,PersonPronoun,0
hates,hates,n,Negativity,0
The,the,s,PersonProperty,0
man,man,s,PersonProperty,1
from,from,s,,0
Casars,casars,s,UNRECOGNIZED,0
time,time,c,,0
",",",",s,,0
or,or,s,,0
farther,farther,s,Comparison,0
off,off,c,Comparison,1
",",",",n,,0
That,that,s,,0
ever,ever,s,Biographical_Time,0
took,took,s,ReportingEvents,0
disgrace,disgrace,s,StandardsNeg,0
unrevenged,unrevenged,c,UNRECOGNIZED,0
:,:,n,,0
And,and,s,,0
if,if,s,Contingency,0
he,he,s,Contingency,1
chance,chance,s,Contingency,0
to,to,s,,0
read,read,s,Narrative_Verbs,0
his,his,s,Narrative_Verbs,1
abject,abject,s,Negativity,0
story,story,c,LangRef,0
",",",",n,,0
He,he,s,Neutral_Attribution,0
tears,tears,s,Neutral_Attribution,1
his,his,s,PrivateThinking,0
memory,memory,s,PrivateThinking,1
out,out,c,,0
",",",",s,,0
and,and,s,,0
holds,holds,s,ReportingEvents,0
it,it,s,ReportingEvents,1
virtuous,virtuous,c,StandardsPos,0
",",",",n,,0
Not,not,s,DenyDisclaim,0
