DEar,dear,s,Positivity,0
Alonzo,alonzo,c,UNRECOGNIZED,0
!,!,s,,0
I,i,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
love,love,s,Positivity,0
a,a,s,Positivity,1
Church,church,s,Positivity,0
the,the,s,Positivity,1
better,better,s,Comparison,0
this,this,s,Immediacy,0
month,month,s,Immediacy,1
for,for,s,,0
giving,giving,s,ReportingEvents,0
me,me,s,ReportingEvents,1
a,a,s,ReportingEvents,2
sight,sight,n,SenseProperty,0
of,of,s,,0
thee,thee,c,DirectAddress,0
",",",",s,,0
whom,whom,s,PersonPronoun,0
I,i,s,FirstPer,0
so,so,s,,0
little,little,s,SenseProperty,0
expected,expected,s,ProjectAhead,0
in,in,s,Citations,0
this,this,s,Citations,1
part,part,s,Citations,2
of,of,s,,0
the,the,s,,0
World,world,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
less,less,s,Comparison,0
in,in,s,Comparison,1
so,so,n,,0
sanctified,sanctified,s,StandardsPos,0
a,a,s,SpaceRelation,0
place,place,c,SpaceRelation,1
.,.,s,Question,0
What,what,s,Question,1
affair,affair,s,GenericEvents,0
could,could,s,Contingency,0
be,be,s,Contingency,1
powerful,powerful,s,Positivity,0
enough,enough,s,SubjectivePercept,0
to,to,s,SubjectivePercept,1
draw,draw,s,Motions,0
thee,thee,s,DirectAddress,0
from,from,s,,0
the,the,n,,0
kind,kind,s,Positivity,0
obliging,obliging,s,CommonAuthorities,0
Ladies,ladies,s,PersonProperty,0
of,of,s,,0
B^abant,b^abant,nnn,UNRECOGNIZED,0
First,first,s,Sequence,0
the,the,s,SubjectiveTime,0
sudden,sudden,s,SubjectiveTime,1
orders,orders,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
my,my,s,FirstPer,0
Prince,prince,s,PersonProperty,0
Don,don,s,PersonProperty,0
John,john,c,PersonProperty,0
",",",",s,,0
and,and,s,Sequence,0
next,next,s,Sequence,1
a,a,s,Positivity,0
fair,fair,s,Positivity,1
Lady,lady,c,PersonProperty,0
.,.,nnn,,0
A,a,s,PersonProperty,0
Lady,lady,c,PersonProperty,1
!,!,s,,0
can,can,s,Contingency,0
any,any,s,Specifiers,0
of,of,s,Specifiers,1
this,this,s,,0
Country,country,s,AbstractConcepts,0
relish,relish,s,Positivity,0
with,with,s,Specifiers,0
a,a,s,Specifiers,1
man,man,s,PersonProperty,0
that,that,s,ProjectBack,0
has,has,s,ProjectBack,1
been,been,s,ProjectBack,2
used,used,s,ProjectBack,0
to,to,s,ProjectBack,1
the,the,n,,0
freedom,freedom,s,StandardsPos,0
of,of,s,StandardsPos,1
those,those,s,,0
of,of,s,,0
Bruxels,bruxels,c,UNRECOGNIZED,0
",",",",s,,0
from,from,s,OpenQuery,0
whence,whence,s,OpenQuery,1
I,i,s,FirstPer,0
suppose,suppose,s,DirectReasoning,0
you,you,s,DirectReasoning,1
are,are,s,Immediacy,0
now,now,s,Immediacy,1
arrived,arrived,nnn,ReportingEvents,0
This,this,s,Immediacy,0
morning,morning,s,Immediacy,1
landed,landed,c,ReportingEvents,0
",",",",s,,0
from,from,s,,0
such,such,s,Specifiers,0
a,a,s,Specifiers,1
storm,storm,c,SenseObject,0
",",",",s,,0
as,as,s,,0
set,set,s,ReportingEvents,0
us,us,s,Inclusive,0
all,all,s,Inclusive,1
to,to,s,,0
making,making,s,ReportingEvents,0
vows,vows,s,Intensity,0
of,of,n,,0
conversion,conversion,c,Transformation,0
",",",",s,,0
(,(,c,,0
upon,upon,s,,0
good,good,s,,0
conditions,conditions,c,AbstractConcepts,0
),),s,,0
and,and,s,,0
that,that,s,,0
indeed,indeed,s,Intensity,0
brought,brought,s,ReportingEvents,0
me,me,s,FirstPer,0
to,to,s,,0
Church,church,nnn,SenseObject,0
In,in,s,Specifiers,0
that,that,s,Specifiers,1
very,very,s,Intensity,0
storm,storm,s,SenseObject,0
I,i,s,FirstPer,0
landed,landed,s,ReportingEvents,0
too,too,c,Metadiscourse,0
",",",",s,Metadiscourse,1
but,but,s,Resistance,0
with,with,s,Resistance,1
less,less,s,Comparison,0
sen^e,sen^e,s,UNRECOGNIZED,0
of,of,s,,0
danger,danger,s,Fear,0
than,than,s,Comparison,0
you,you,c,DirectAddress,0
",",",",s,,0
being,being,n,ReportingStates,0
diverted,diverted,s,ReportingEvents,0
with,with,s,Specifiers,0
a,a,s,Specifiers,1
pleasant,pleasant,s,Positivity,0
fellow,fellow,s,PersonProperty,0
that,that,s,,0
came,came,s,ReportingEvents,0
along,along,s,ReportingEvents,1
with,with,s,ReportingEvents,2
me,me,c,FirstPer,0
",",",",s,,0
and,and,s,,0
who,who,s,Question,0
is,is,s,Question,1
defign'd,defign'd,s,UNRECOGNIZED,0
to,to,n,,0
marry,marry,s,Positivity,0
a,a,s,PersonProperty,0
sister,sister,s,PersonProperty,1
of,of,s,PersonProperty,2
mine,mine,s,FirstPer,0
against,against,s,SelfReluctance,0
my,my,s,SelfReluctance,1
will,will,s,SelfReluctance,2
--,--,s,,0
And,and,s,Immediacy,0
now,now,s,Immediacy,1
I,i,s,SelfDisclosure,0
think,think,s,SelfDisclosure,1
of,of,s,SelfDisclosure,2
him,him,c,PersonPronoun,0
",",",",s,,0
Gload,gload,c,UNRECOGNIZED,0
",",",",s,SpaceRelation,0
where,where,n,SpaceRelation,1
have,have,s,,0
thou,thou,s,DirectAddress,0
left,left,s,SceneShift,0
this,this,s,,0
Master,master,s,CommonAuthorities,0
of,of,s,CommonAuthorities,1
thine,thine,nnn,UNRECOGNIZED,0
At,at,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Inn,inn,c,SpaceRelation,2
",",",",s,,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
in,in,s,,0
as,as,s,,0
lamentable,lamentable,s,Sad,0
a,a,s,SenseObject,0
pickle,pickle,c,SenseObject,1
",",",",s,,0
as,as,s,Resemblances,0
if,if,s,Resemblances,1
he,he,s,PersonPronoun,0
were,were,s,ProjectBack,0
still,still,s,Updates,0
in,in,s,Updates,1
the,the,s,Updates,2
storm,storm,c,SenseObject,0
;,;,n,,0
recruiting,recruiting,s,ReportingEvents,0
his,his,s,PersonPronoun,0
emptyed,emptyed,s,UNRECOGNIZED,0
stomach,stomach,s,SenseObject,0
with,with,s,SenseProperty,0
Brandy,brandy,c,SenseProperty,1
",",",",s,,0
and,and,s,,0
railing,railing,s,Negative_Relation,0
against,against,s,Negative_Relation,1
all,all,s,,0
women-kind,women-kind,n,UNRECOGNIZED,0
for,for,s,DirectAddress,0
your,your,s,DirectAddress,1
sisters,sisters,s,PersonProperty,0
sake,sake,c,SenseObject,0
",",",",s,,0
who,who,s,Question,0
has,has,s,Question,1
made,made,s,Cause,0
him,him,s,Cause,1
undertake,undertake,s,ProjectAhead,0
this,this,s,,0
voyage,voyage,nnn,Motions,0
Well,well,c,OralCues,0
",",",",s,OralCues,1
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
come,come,s,PredictedFuture,1
to,to,s,PredictedFuture,2
him,him,c,PersonPronoun,0
",",",",s,,0
go,go,s,SceneShift,0
home,home,s,SceneShift,1
before,before,c,Sequence,0
.,.,nnn,,0
Prithee,prithee,s,DirectAddress,0
what,what,s,,0
thing,thing,s,Uncertainty,0
is,is,s,ReportingStates,0
this,this,c,,0
?,?,nnn,Question,0
Why,why,c,Question,0
",",",",s,,0
it,it,s,,0
is,is,s,ReportingStates,0
the,the,s,ReportingStates,1
Cashier,cashier,s,PersonProperty,0
to,to,s,,0
this,this,s,,0
Squire,squire,s,PersonProperty,0
I,i,s,FirstPer,0
spoke,spoke,s,ReportingStates,0
of,of,c,ReportingStates,1
",",",",s,,0
a,a,s,PersonProperty,0
man,man,s,PersonProperty,1
of,of,s,,0
business,business,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
as,as,n,,0
wise,wise,s,Resemblances,0
as,as,s,Resemblances,1
