Heaven,heaven,s,Positivity,0
save,save,s,StandardsPos,0
ye,ye,s,OralCues,0
Gallants,gallants,c,SubjectivePercept,0
:,:,s,,0
and,and,s,,0
this,this,s,,0
hopeful,hopeful,s,Positivity,0
Age,age,c,Specifiers,0
",",",",n,,0
Y,y,c,LangRef,0
',',s,,0
are,are,s,ReportingStates,0
welcome,welcome,s,Positivity,0
to,to,s,Positivity,1
the,the,s,,0
downfall,downfall,s,Negativity,0
of,of,s,,0
the,the,s,SenseObject,0
Stage,stage,c,SenseObject,1
:,:,n,,0
The,the,s,,0
Fools,fools,s,Negativity,0
have,have,s,,0
labored,labored,s,ReportingEvents,0
long,long,s,SenseProperty,0
in,in,s,SenseProperty,1
their,their,s,PersonPronoun,0
Vocation,vocation,c,AbstractConcepts,0
;,;,n,,0
And,and,s,,0
Vice,vice,c,AbstractConcepts,0
",",",",s,,0
(,(,c,,0
the,the,s,,0
Manufacture,manufacture,s,ReportingEvents,0
of,of,s,,0
the,the,s,Inclusive,0
Nation,nation,c,Inclusive,1
),),n,,0
O're-stocks,o're-stocks,s,UNRECOGNIZED,0
the,the,s,,0
Town,town,s,SpaceRelation,0
so,so,s,Intensity,0
much,much,c,Intensity,1
",",",",s,,0
and,and,s,,0
thrives,thrives,s,StandardsPos,0
so,so,s,Intensity,0
well,well,c,Intensity,1
",",",",n,,0
That,that,s,,0
Fopps,fopps,s,UNRECOGNIZED,0
and,and,s,,0
Knaves,knaves,s,Negativity,0
grow,grow,s,ReportingEvents,0
Druggs,druggs,s,UNRECOGNIZED,0
and,and,s,,0
will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
sell,sell,c,GenericEvents,0
*,*,n,,0
In,in,s,Negativity,0
vain,vain,s,Negativity,1
our,our,s,Inclusive,0
Wares,wares,s,SenseObject,0
on,on,s,,0
Theaters,theaters,s,SenseObject,0
are,are,s,ReportingStates,0
shown,shown,c,ReportingStates,0
",",",",n,ReportingStates,1
When,when,s,,0
each,each,s,Specifiers,0
has,has,s,ReportingEvents,0
a,a,s,ReportingEvents,1
Plantation,plantation,s,SenseObject,0
of,of,s,SubjectivePercept,0
his,his,s,SubjectivePercept,1
own,own,c,SubjectivePercept,2
.,.,n,,0
His,his,s,PersonPronoun,0
Cause,cause,s,Cause,0
never,never,s,DenyDisclaim,0
fails,fails,c,StandardsNeg,0
;,;,s,,0
for,for,s,,0
whatsoever,whatsoever,s,Intensity,0
he,he,s,Neutral_Attribution,0
spends,spends,c,Neutral_Attribution,1
",",",",n,,0
There,there,s,Updates,0
Is,is,s,Updates,1
still,still,s,Updates,2
Gods,gods,s,CommonAuthorities,0
plenty,plenty,s,StandardsPos,0
for,for,s,SubjectivePercept,0
himself,himself,s,SubjectivePercept,1
and,and,s,,0
Friends,friends,c,StandardsPos,0
.,.,n,,0
Should,should,s,Insist,0
Men,men,s,PersonProperty,0
be,be,s,ReportingStates,0
rated,rated,s,ReportingEvents,0
by,by,s,,0
Poetic,poetic,s,LangRef,0
Rules,rules,c,CommonAuthorities,0
",",",",n,,0
Lord,lord,s,CommonAuthorities,0
what,what,s,,0
a,a,s,SenseObject,0
Pole,pole,s,SenseObject,1
would,would,s,Future_Question,0
there,there,s,Future_Question,1
be,be,s,Future_Question,2
raised,raised,s,Motions,0
from,from,s,Motions,1
Fools,fools,c,Negativity,0
!,!,n,,0
Mean,mean,s,AbstractConcepts,0
time,time,s,AbstractConcepts,1
poor,poor,s,Negativity,0
Wit,wit,s,StandardsPos,0
prohibited,prohibited,s,Resistance,0
must,must,s,Insist,0
lie,lie,c,Motions,0
",",",",n,,0
As,as,s,,0
if'twere,if'twere,s,UNRECOGNIZED,0
made,made,s,ReportingEvents,0
some,some,s,Uncertainty,0
French,french,s,AbstractConcepts,0
Commodity,commodity,c,AbstractConcepts,0
.,.,n,,0
Fools,fools,s,Negativity,0
you,you,s,DirectAddress,0
will,will,s,PredictedFuture,0
have,have,c,PredictedFuture,1
",",",",s,,0
and,and,s,,0
raised,raised,s,ReportingEvents,0
at,at,s,,0
vast,vast,s,Intensity,0
expense,expense,c,AbstractConcepts,0
",",",",n,,0
And,and,s,Resistance,0
yet,yet,s,Resistance,1
as,as,s,TimeShift,0
soon,soon,s,TimeShift,1
as,as,s,TimeShift,2
seen,seen,c,ReportingStates,0
",",",",s,ReportingStates,1
they,they,s,,0
give,give,s,Negativity,0
offense,offense,c,Negativity,1
.,.,n,,0
Time,time,s,ProjectBack,0
was,was,c,ProjectBack,1
",",",",s,,0
when,when,s,,0
none,none,s,Contingency,0
would,would,s,Contingency,1
cry,cry,s,Motions,0
that,that,s,,0
Oaf,oaf,s,Negativity,0
was,was,s,ProjectBack,0
m^,m^,c,UNRECOGNIZED,0
",",",",n,Resistance,0
But,but,s,Resistance,1
now,now,s,Immediacy,0
you,you,s,DirectAddress,0
strive,strive,s,ProjectAhead,0
about,about,s,ProjectAhead,1
your,your,s,DirectAddress,0
Pedigree,pedigree,c,StandardsPos,0
:,:,n,,0
Bawble,bawble,s,UNRECOGNIZED,0
and,and,s,,0
Cap,cap,s,SenseObject,0
no,no,s,SubjectiveTime,0
sooner,sooner,s,SubjectiveTime,1
are,are,s,ReportingStates,0
thrown,thrown,s,ReportingEvents,0
down,down,c,,0
",",",",n,Resistance,0
But,but,s,Resistance,1
there,there,s,ReportingStates,0
is,is,s,ReportingStates,1
a,a,s,ReportingStates,2
Muss,muss,s,Motions,0
of,of,s,,0
more,more,s,Comparison,0
then,then,s,,0
half,half,s,SenseObject,0
the,the,s,SenseObject,1
Town,town,c,SpaceRelation,0
.,.,n,,0
Each,each,s,Generalization,0
one,one,s,Generalization,1
will,will,s,PredictedFuture,0
challenge,challenge,s,Resistance,0
a,a,s,Resistance,1
Child's,child's,s,PersonProperty,0
part,part,s,,0
at,at,s,SubjectivePercept,0
least,least,c,SubjectivePercept,1
",",",",n,,0
A,a,s,,0
sign,sign,s,AbstractConcepts,0
^,^,c,UNRECOGNIZED,0
e,e,s,LangRef,0
Family,family,s,,0
is,is,s,Positive_Attribution,0
well,well,s,Positive_Attribution,1
increased,increased,n,Transformation,0
Of,of,s,,0
Foreign,foreign,s,AbstractConcepts,0
Cattle,cattle,c,SenseObject,0
!,!,s,,0
there,there,s,DenyDisclaim,0
is,is,s,DenyDisclaim,1
no,no,s,DenyDisclaim,2
longer,longer,s,Comparison,0
need,need,c,Insist,0
",",",",n,,0
When,when,s,,0
we,we,s,ReportingStates,0
are,are,s,ReportingStates,1
supplied,supplied,s,StandardsPos,0
so,so,s,SubjectiveTime,0
fast,fast,s,SubjectiveTime,1
with,with,s,,0
English,english,s,AbstractConcepts,0
Breed,breed,c,AbstractConcepts,0
.,.,n,,0
W^ll,w^ll,c,UNRECOGNIZED,0
!,!,s,,0
Flourish,flourish,c,Positivity,0
",",",",s,,0
Countrymen,countrymen,c,PersonProperty,0
:,:,s,,0
drink,drink,s,Motions,0
swear,swear,s,Intensity,0
and,and,s,,0
roar,roar,c,Motions,0
",",",",n,,0
Let,let,s,ReportingEvents,0
every,every,s,Generalization,0
freeborn,freeborn,s,AbstractConcepts,0
Subject,subject,s,LangRef,0
keep,keep,s,TimeDuration,0
his,his,s,PersonPronoun,0
Whore,whore,c,Negativity,0
;,;,n,,0
And,and,s,,0
wandering,wandering,s,Motions,0
in,in,s,,0
the,the,s,,0
Wilderness,wilderness,s,SenseProperty,0
about,about,c,,0
",",",",n,,0
At,at,s,,0
end,end,s,TimeShift,0
of,of,s,TimeShift,1
40,40,s,TimeDuration,0
years,years,s,TimeDuration,1
not,not,s,DenyDisclaim,0
wear,wear,s,Negativity,0
her,her,s,Negativity,1
out,out,c,Negativity,2
.,.,n,Resistance,0
But,but,s,Resistance,1
when,when,s,DirectAddress,0
you,you,s,DirectAddress,1
see,see,s,,0
these,these,s,Immediacy,0
Pictures,pictures,s,SenseObject,0
let,let,s,ReportingEvents,0
none,none,s,DenyDisclaim,0
dare,dare,n,SubjectivePercept,0
To,to,s,SubjectivePercept,1
own,own,s,ReportingEvents,0
beyond,beyond,s,SpaceRelation,0
a,a,s,SpaceRelation,1
Limb,limb,s,SenseObject,0
or,or,s,,0
single,single,s,AbstractConcepts,0
share,share,c,ReportingEvents,0
:,:,n,,0
F^,f^,s,UNRECOGNIZED,0
^,^,c,UNRECOGNIZED,0
here,here,s,SpaceRelation,0
the,the,s,,0
Punk,punk,s,Negativity,0
is,is,s,ReportingStates,0
common,common,c,AbstractConcepts,0
!,!,s,,0
he,he,s,Neutral_Attribution,0
is,is,s,Neutral_Attribution,1
a,a,s,Neutral_Attribution,2
Sot,sot,c,PersonProperty,0
",",",",n,,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
needs,needs,s,Insist,0
will,will,s,PredictedFuture,0
Father,father,s,PersonProperty,0
what,what,s,,0
the,the,s,,0
Parish,parish,s,CommonAuthorities,0
go^,go^,c,UNRECOGNIZED,0
.,.,nn,Question,0
WHat,what,s,Question,1
Town's,town's,s,AbstractConcepts,0
this,this,s,,0
Boy,boy,c,PersonProperty,0
?,?,nnn,Question,0
James-Town,james-town,c,UNRECOGNIZED,0
",",",",s,,0
Master,master,c,PersonProperty,0
",",",",nnn,,0
Take,take,s,Responsibility,0
care,care,s,Responsibility,1
my,my,s,FirstPer,0
Trunk,trunk,s,SenseObject,0
be,be,s,ReportingStates,0
brought,brought,s,ReportingEvents,0
ashore,ashore,s,SpaceRelation,0
to,to,s,,0
Night,night,c,,0
",",",",s,,0
and,and,s,,0
there,there,s,ReportingStates,0
is,is,s,ReportingStates,1
for,for,s,DirectAddress,0
your,your,s,DirectAddress,1
Pains,pains,c,SenseProperty,0
.,.,nnn,,0
God,god,s,CommonAuthorities,0
bless,bless,s,StandardsPos,0
you,you,s,DirectAddress,0
Master,master,c,PersonProperty,0
.,.,nnn,Question,0
What,what,s,Question,1
do,do,s,Question,2
you,you,s,DirectAddress,0
call,call,s,DirectAddress,1
this,this,s,,0
House,house,c,SenseObject,0
?,?,nnn,Question,0
Mrs,mrs,s,AbstractConcepts,0
Flirts,flirts,c,SubjectivePercept,0
",",",",s,,0
Master,master,c,PersonProperty,0
",",",",s,,0
the,the,s,Positivity,0
best,best,s,Positivity,1
House,house,s,SenseObject,0
for,for,s,,0
Commendation,commendation,s,StandardsPos,0
in,in,s,Generalization,0
all,all,s,Generalization,1
Virginia,virginia,c,,0
.,.,nnn,,0
