BEfore,before,s,Sequence,0
I,i,s,FirstPer,0
speak,speak,c,ReportingEvents,0
",",",",s,,0
me,me,s,FirstPer,0
thinks,thinks,c,PrivateThinking,0
",",",",s,,0
I,i,s,FirstPer,0
hear,hear,s,SpaceRelation,0
some,some,s,Uncertainty,0
say,say,c,Citations,0
",",",",n,,0
What,what,s,,0
can,can,s,Contingency,0
there,there,s,,0
be,be,c,ReportingStates,0
",",",",s,,0
to,to,s,,0
furnish,furnish,s,ReportingEvents,0
out,out,s,Negativity,0
a,a,s,Negativity,1
Play,play,c,ReportingEvents,0
",",",",n,,0
In,in,s,Specifiers,0
such,such,s,Specifiers,1
a,a,s,Specifiers,2
Homespun,homespun,s,StandardsPos,0
Title,title,c,LangRef,0
?,?,s,Question,0
--,--,s,,0
In,in,s,,0
a,a,s,SenseProperty,0
Plain,plain,n,SenseProperty,1
Poor,poor,s,Negativity,0
Country,country,s,AbstractConcepts,0
Girl,girl,c,PersonProperty,0
?,?,s,Question,0
Such,such,c,Intensity,0
",",",",s,,0
yields,yields,s,ReportingEvents,0
no,no,s,DenyDisclaim,0
lofty,lofty,s,StandardsPos,0
strain,strain,c,ReportingEvents,0
;,;,n,,0
No,no,s,DenyDisclaim,0
sinewie,sinewie,s,UNRECOGNIZED,0
stuff,stuff,c,Uncertainty,0
",",",",s,,0
extracted,extracted,s,ReportingEvents,0
from,from,s,ReportingEvents,1
a,a,s,SenseObject,0
Mine,mine,c,SenseObject,1
*,*,n,,0
Of,of,s,,0
deep,deep,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
Abstruse,abstruse,s,Negativity,0
reading,reading,c,GenericEvents,0
;,;,s,,0
no,no,s,DenyDisclaim,0
strong,strong,s,Intensity,0
line,line,c,SpaceRelation,0
",",",",n,,0
No,no,s,DenyDisclaim,0
such,such,s,Specifiers,0
a,a,s,Specifiers,1
strain,strain,c,ReportingEvents,0
",",",",s,,0
and,and,s,,0
this,this,s,,0
poor,poor,s,Negativity,0
Title,title,c,LangRef,0
",",",",s,,0
suite,suite,n,SenseObject,0
Like,like,s,SubjectivePercept,0
old,old,s,SenseProperty,0
Pan's,pan's,s,UNRECOGNIZED,0
Bagpipe,bagpipe,c,SenseObject,0
",",",",s,,0
and,and,s,,0
Apollo's,apollo's,s,UNRECOGNIZED,0
Lute,lute,c,SenseObject,0
.,.,n,Question,0
What,what,s,Question,1
must,must,s,Question,2
we,we,s,,0
look,look,s,ReportingEvents,0
for,for,s,ReportingEvents,1
then,then,c,,0
?,?,s,Question,0
A,a,s,,0
desperate,desperate,s,Negativity,0
wit,wit,c,StandardsPos,0
?,?,n,Question,0
Scoenes,scoenes,c,UNRECOGNIZED,0
",",",",s,,0
full,full,s,Specifiers,0
of,of,s,Specifiers,1
veins,veins,c,SenseObject,0
",",",",s,SpaceRelation,0
where,where,c,SpaceRelation,1
",",",",s,,0
without,without,s,Contingency,0
a,a,s,Contingency,1
Hit,hit,n,ReportingEvents,0
No,no,s,DenyDisclaim,0
man,man,s,DenyDisclaim,1
escapes,escapes,c,SceneShift,0
",",",",s,,0
comes,comes,s,SpaceRelation,0
near,near,s,SpaceRelation,1
it,it,c,,0
?,?,s,Question,0
This,this,s,,0
indeed,indeed,n,Intensity,0
Were,were,s,ProjectBack,0
to,to,s,Uncertainty,0
some,some,s,Uncertainty,1
purpose,purpose,c,Uncertainty,2
;,;,s,,0
and,and,s,,0
the,the,s,SpaceRelation,0
way,way,s,SpaceRelation,1
to,to,s,SpaceRelation,2
speed,speed,c,AbstractConcepts,0
.,.,n,Resistance,0
But,but,s,Resistance,1
this,this,s,,0
too's,too's,s,UNRECOGNIZED,0
from,from,s,,0
this,this,s,,0
Title,title,c,LangRef,0
.,.,s,,0
--,--,s,,0
None,none,s,DenyDisclaim,0
of,of,s,DenyDisclaim,1
these,these,c,Immediacy,0
?,?,n,Question,0
Alas,alas,s,Negativity,0
poor,poor,s,Negativity,0
Girl,girl,c,PersonProperty,0
",",",",s,SpaceRelation,0
where,where,s,SpaceRelation,1
is,is,s,ReportingStates,0
then,then,c,TimeShift,0
",",",",s,TimeShift,1
thy,thy,s,DirectAddress,0
hope,hope,s,ProjectAhead,0
to,to,s,ProjectAhead,1
please,please,c,Positivity,0
?,?,n,Question,0
What,what,s,,0
can,can,s,Contingency,0
she,she,s,PersonPronoun,0
sing,sing,c,Motions,0
?,?,s,Question,0
and,and,c,,0
",",",",s,,0
like,like,s,Resemblances,0
the,the,s,Resemblances,1
Northern,northern,s,SpaceRelation,0
Less,less,c,Comparison,0
*,*,n,,0
(,(,c,,0
That,that,s,,0
brave,brave,s,StandardsPos,0
blithe,blithe,s,Positivity,0
Girl,girl,c,PersonProperty,0
),),s,,0
hope,hope,s,ProjectAhead,0
to,to,s,ProjectAhead,1
procure,procure,s,,0
a,a,s,,0
pass,pass,c,ReportingEvents,0
?,?,n,Question,0
Or,or,c,,0
",",",",s,,0
can,can,s,Contingency,0
she,she,s,PersonPronoun,0
fight,fight,c,Resistance,0
?,?,s,Question,0
--,--,s,,0
If,if,s,ReasonForward,0
so,so,s,ReasonForward,1
so,so,s,,0
stout,stout,c,SenseProperty,0
",",",",s,ReasonForward,0
so,so,s,ReasonForward,1
bold,bold,n,SenseProperty,0
A,a,s,SenseProperty,1
brave,brave,s,StandardsPos,0
Virago,virago,c,PersonProperty,0
",",",",s,,0
like,like,s,Resemblances,0
the,the,s,Resemblances,1
Girl,girl,c,PersonProperty,0
",",",",s,,0
worth,worth,s,AbstractConcepts,0
Gold,gold,c,SenseObject,0
.,.,n,,0
Or,or,s,,0
is,is,s,Question,0
she,she,s,Question,1
one,one,c,Numbers,0
;,;,s,,0
that,that,s,TimeShift,0
once,once,s,TimeShift,1
a,a,s,,0
Country,country,s,AbstractConcepts,0
Maid,maid,c,PersonProperty,0
",",",",n,,0
Cracked,cracked,s,SenseProperty,0
in,in,s,,0
the,the,s,,0
carriage,carriage,c,SenseObject,0
",",",",s,,0
is,is,s,ReportingStates,0
come,come,s,ReportingEvents,0
to,to,s,,0
