SInce,since,s,,0
Novelties,novelties,s,SenseObject,0
your,your,s,DirectAddress,0
Palates,palates,s,PersonProperty,0
still,still,s,Updates,0
pursue,pursue,c,ProjectAhead,0
",",",",n,,0
You,you,s,Insist,0
have,have,s,Insist,1
to,to,s,Insist,2
Night,night,c,,0
",",",",s,,0
both,both,s,,0
Play,play,s,ReportingEvents,0
and,and,s,,0
Poet,poet,s,PersonProperty,0
new,new,c,,0
:,:,n,,0
From,from,s,OpenQuery,0
whence,whence,s,OpenQuery,1
alone,alone,s,SpaceRelation,0
his,his,s,PersonPronoun,0
hopes,hopes,s,ProjectAhead,0
of,of,s,ProjectAhead,1
pleasing,pleasing,s,Positivity,0
grew,grew,c,ReportingStates,0
.,.,n,ReportingStates,1
For,for,s,,0
so,so,s,Intensity,0
much,much,s,Intensity,1
this,this,s,,0
prevailing,prevailing,s,CommonAuthorities,0
Passion,passion,s,SubjectivePercept,0
thrives,thrives,c,StandardsPos,0
",",",",n,,0
Each,each,s,Specifiers,0
for,for,s,ProjectAhead,0
his,his,s,ProjectAhead,1
future,future,s,ProjectAhead,2
Appetite,appetite,s,SubjectivePercept,0
contrives,contrives,c,SubjectivePercept,0
",",",",n,,0
New,new,s,SenseObject,0
Friends,friends,c,SenseObject,1
",",",",s,,0
new,new,s,,0
Favorites,favorites,c,Positivity,0
",",",",s,,0
and,and,s,,0
of,of,s,Immediacy,0
late,late,s,Immediacy,1
--,--,s,,0
new,new,s,,0
Wives,wives,c,PersonProperty,0
.,.,n,,0
You,you,s,DirectAddress,0
Critics,critics,s,PersonProperty,0
only,only,s,SubjectivePercept,0
keep,keep,s,DirectAddress,0
your,your,s,DirectAddress,1
Old,old,s,SenseProperty,0
disease,disease,c,StandardsNeg,0
",",",",n,,0
When,when,s,,0
Authors,authors,s,CommunicatorRole,0
please,please,s,Positivity,0
you,you,s,DirectAddress,0
least,least,c,Comparison,0
",",",",s,,0
you're,you're,s,DirectAddress,0
most,most,s,Comparison,0
at,at,s,Positivity,0
ease,ease,c,Positivity,1
.,.,n,,0
Our,our,s,Inclusive,0
Poet's,poet's,s,CommunicatorRole,0
therefore,therefore,s,ReasonForward,0
glad,glad,s,Positivity,0
of,of,s,,0
a,a,s,,0
pretense,pretense,c,SubjectivePercept,0
",",",",n,,0
To,to,s,GenericEvents,0
be,be,s,GenericEvents,1
insipid,insipid,c,StandardsNeg,0
",",",",s,,0
in,in,s,SubjectivePercept,0
his,his,s,SubjectivePercept,1
own,own,s,SubjectivePercept,2
defense,defense,c,AbstractConcepts,0
",",",",n,,0
And,and,s,,0
if,if,s,Contingency,0
you,you,s,DirectAddress,0
hiss,hiss,c,SenseProperty,0
",",",",s,,0
it,it,s,,0
is,is,s,Updates,0
still,still,s,Updates,1
at,at,s,SpaceRelation,0
your,your,s,SpaceRelation,1
Expense,expense,c,AbstractConcepts,0
.,.,n,,0
Often,often,s,RecurringEvents,0
for,for,s,Contingency,0
change,change,s,Contingency,1
the,the,s,,0
meanest,meanest,s,Negativity,0
things,things,s,Uncertainty,0
are,are,s,Positivity,0
good,good,c,Positivity,1
",",",",n,,0
Thus,thus,s,ReasonForward,0
though,though,s,Concessive,0
the,the,s,,0
Town,town,s,SpaceRelation,0
all,all,s,,0
delicates,delicates,s,SubjectivePercept,0
afford,afford,c,Positivity,0
",",",",n,,0
A,a,s,,0
Kit-cat,kit-cat,s,SenseObject,0
is,is,s,ReportingStates,0
a,a,s,ReportingStates,1
Supper,supper,s,TimeDuration,0
for,for,s,,0
a,a,s,,0
Lord,lord,c,CommonAuthorities,0
.,.,n,Resistance,0
But,but,s,Resistance,1
if,if,s,Contingency,0
your,your,s,DirectAddress,0
Nicer,nicer,s,Comparison,0
taste,taste,s,SenseProperty,0
resolves,resolves,s,Promise,0
to,to,s,Promise,1
Day,day,c,TimeDuration,0
",",",",n,,0
To,to,s,,0
have,have,s,,0
no,no,s,DenyDisclaim,0
relish,relish,s,DenyDisclaim,1
for,for,s,DenyDisclaim,2
our,our,s,Inclusive,0
Author's,author's,s,CommunicatorRole,0
Play,play,c,ReportingEvents,0
.,.,n,Imperative,0
Place,place,s,Imperative,1
some,some,s,Uncertainty,0
diverting,diverting,s,SubjectivePercept,0
Scene,scene,s,AbstractConcepts,0
before,before,s,Sequence,0
your,your,s,DirectAddress,0
Mind,mind,c,DirectAddress,1
",",",",n,,0
And,and,s,,0
think,think,s,PrivateThinking,0
of,of,s,PrivateThinking,1
that,that,c,,0
",",",",s,,0
to,to,s,,0
which,which,s,,0
you,you,s,Confidence,0
will,will,s,Confidence,1
be,be,s,Confidence,2
kind,kind,c,Positivity,0
.,.,n,ReasonForward,0
So,so,s,ReasonForward,1
thus,thus,s,ReasonForward,0
when,when,s,,0
heavily,heavily,s,Intensity,0
the,the,s,,0
moments,moments,s,,0
pass,pass,c,ReportingEvents,0
",",",",n,,0
Toaster's,toaster's,s,UNRECOGNIZED,0
to,to,s,,0
Circulate,circulate,s,SpaceRelation,0
the,the,s,,0
lazy,lazy,s,Negativity,0
Glass,glass,n,SenseObject,0
By,by,s,,0
nameing,nameing,s,UNRECOGNIZED,0
some,some,s,Uncertainty,0
bright,bright,s,Positivity,0
Nymph,nymph,s,SenseObject,0
their,their,s,PersonPronoun,0
draughts,draughts,s,AbstractConcepts,0
refine,refine,c,ReportingEvents,0
",",",",n,,0
And,and,s,,0
taste,taste,s,SenseProperty,0
at,at,s,Immediacy,0
once,once,s,Immediacy,1
the,the,s,Positivity,0
joys,joys,s,Positivity,1
of,of,s,Positivity,2
Love,love,s,Positivity,0
and,and,s,,0
Wine,wine,c,SenseObject,0
.,.,nn,,0
YOU,you,s,DirectAddress,0
manage,manage,s,ReportingEvents,0
this,this,s,,0
Husband,husband,s,PersonProperty,0
of,of,s,DirectAddress,0
yours,yours,s,DirectAddress,1
very,very,s,Intensity,0
dexterously,dexterously,c,StandardsPos,0
.,.,nnn,,0
While,while,s,TimeDuration,0
you,you,s,DirectAddress,0
live,live,s,,0
observe,observe,s,ReportingEvents,0
this,this,c,Immediacy,0
;,;,s,Immediacy,1
that,that,s,,0
the,the,s,Exceptions,0
only,only,s,Exceptions,1
way,way,s,Exceptions,2
to,to,s,,0
rule,rule,s,AbstractConcepts,0
a,a,s,,0
conceited,conceited,s,Negativity,0
Fool,fool,c,Negativity,0
",",",",s,,0
is,is,s,ProjectAhead,0
to,to,n,ProjectAhead,1
seem,seem,s,PrivateThinking,0
to,to,s,PrivateThinking,1
be,be,s,PrivateThinking,2
ruled,ruled,s,ReportingEvents,0
by,by,s,,0
him,him,nnn,PersonPronoun,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
convinced,convinced,c,Confidence,0
",",",",s,Resistance,0
but,but,s,Resistance,1
still,still,s,Updates,0
admire,admire,s,StandardsPos,0
by,by,s,Uncertainty,0
what,what,s,Uncertainty,1
strange,strange,s,SubjectivePercept,0
Art,art,s,AbstractConcepts,0
you,you,s,DirectAddress,0
keep,keep,s,TimeDuration,0
him,him,s,PersonPronoun,0
at,at,s,Immediacy,0
this,this,n,Immediacy,1
distance,distance,c,AbstractConcepts,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
I,i,s,ReasonForward,2
have,have,s,,0
heard,heard,s,PrivateThinking,0
that,that,s,PrivateThinking,1
your,your,s,DirectAddress,0
Old,old,s,DirectAddress,1
Men,men,c,PersonProperty,0
",",",",s,,0
like,like,s,SubjectivePercept,0
those,those,s,AbstractConcepts,0
that,that,s,AbstractConcepts,1
have,have,s,,0
stinking,stinking,n,Negativity,0
Breaths,breaths,c,Motions,0
",",",",s,,0
will,will,s,Generalization,0
always,always,s,Generalization,1
be,be,s,Generalization,2
drawing,drawing,s,Motions,0
closer,closer,s,Comparison,0
than,than,s,Comparison,0
other,other,s,Comparison,1
Folks,folks,nnn,PersonProperty,0
Why,why,c,Question,0
",",",",s,,0
by,by,s,,0
a,a,s,,0
pretended,pretended,s,PrivateThinking,0
distaste,distaste,s,Negativity,0
of,of,s,Specifiers,0
all,all,s,Specifiers,1
Men,men,c,PersonProperty,0
",",",",s,,0
I,i,s,SelfDisclosure,0
