O^^,o^^,s,UNRECOGNIZED,0
Author,author,s,CommunicatorRole,0
thinks,thinks,s,PrivateThinking,0
it,it,s,PrivateThinking,1
is,is,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
in,in,s,,0
the,the,s,,0
power,power,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
Wit,wit,c,StandardsPos,0
",",",",n,,0
Invention,invention,c,StandardsPos,0
",",",",s,,0
Art,art,c,AbstractConcepts,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
Industry,industry,c,CommonAuthorities,0
",",",",s,,0
to,to,s,,0
fit,fit,n,ReportingEvents,0
The,the,s,ReportingEvents,1
several,several,s,Specifiers,0
fantasies,fantasies,s,SubjectivePercept,0
which,which,s,,0
in,in,s,,0
this,this,s,,0
age,age,n,Specifiers,0
With,with,s,Specifiers,0
a,a,s,Specifiers,1
predominant,predominant,s,Intensity,0
humor,humor,s,Positivity,0
rule,rule,s,AbstractConcepts,0
the,the,s,SenseObject,0
Stage,stage,c,SenseObject,1
.,.,n,,0
Some,some,s,Uncertainty,0
men,men,s,PersonProperty,0
cry,cry,s,Intensity,0
out,out,s,Intensity,1
for,for,s,Intensity,2
Satyr,satyr,c,SenseObject,0
",",",",s,,0
others,others,s,Uncertainty,0
choose,choose,n,ReportingEvents,0
Merely,merely,s,Intensity,0
to,to,s,Intensity,1
story,story,s,LangRef,0
to,to,s,,0
confine,confine,s,StandardsNeg,0
each,each,s,Specifiers,0
Muse,muse,c,PrivateThinking,0
;,;,n,,0
Most,most,s,Comparison,0
like,like,s,SubjectivePercept,0
no,no,s,DenyDisclaim,0
Play,play,c,ReportingEvents,0
",",",",s,Resistance,0
but,but,s,Resistance,1
such,such,s,Specifiers,0
as,as,s,Specifiers,1
gives,gives,s,,0
large,large,s,SenseProperty,0
birth,birth,n,AbstractConcepts,0
To,to,s,,0
that,that,s,Specifiers,0
which,which,s,Specifiers,1
they,they,s,,0
judiciously,judiciously,s,StandardsPos,0
term,term,s,AbstractConcepts,0
mirth,mirth,c,Positivity,0
.,.,n,Metadiscourse,0
Nor,nor,s,Metadiscourse,1
will,will,s,PredictedFuture,0
the,the,s,Positivity,0
best,best,s,Positivity,1
works,works,s,Inclusive,0
with,with,s,Inclusive,1
their,their,s,PersonPronoun,0
liking,liking,s,Positivity,0
crown,crown,c,SenseObject,0
",",",",n,,0
Except,except,s,Exceptions,0
',',c,,0
t,t,s,AbstractConcepts,0
be,be,s,ReportingStates,0
graced,graced,s,Positive_Attribution,0
with,with,s,Positive_Attribution,1
part,part,s,,0
of,of,s,,0
fool,fool,s,Negativity,0
or,or,s,,0
clown,clown,c,PersonProperty,0
.,.,n,,0
Hard,hard,s,,0
and,and,s,,0
severe,severe,s,Negativity,0
the,the,s,,0
task,task,s,AbstractConcepts,0
is,is,s,ReportingStates,0
then,then,s,TimeShift,0
to,to,s,TimeShift,1
write,write,c,ReportingEvents,0
",",",",n,ReasonForward,0
So,so,s,ReasonForward,1
as,as,s,,0
may,may,s,Contingency,0
please,please,s,Positivity,0
each,each,s,Specifiers,0
various,various,s,Contingency,0
appetite,appetite,c,SubjectivePercept,0
.,.,n,,0
Our,our,s,Inclusive,0
Author,author,s,CommunicatorRole,0
hopes,hopes,s,Positivity,0
well,well,s,SenseObject,0
though,though,c,Concessive,0
",",",",s,,0
that,that,s,,0
in,in,s,,0
this,this,s,,0
Play,play,c,ReportingEvents,0
",",",",n,,0
He,he,s,Neutral_Attribution,0
has,has,s,Neutral_Attribution,1
endeavored,endeavored,s,ProjectAhead,0
so,so,c,AbstractConcepts,0
",",",",s,AbstractConcepts,1
he,he,s,PersonPronoun,0
justly,justly,s,StandardsPos,0
may,may,n,Contingency,0
Gain,gain,s,,0
liking,liking,s,Positivity,0
from,from,s,DirectAddress,0
you,you,s,DirectAddress,1
all,all,c,,0
",",",",s,,0
unless,unless,s,Contingency,0
those,those,s,,0
few,few,n,SubjectivePercept,0
Who,who,s,Future_Question,0
will,will,s,Future_Question,1
dislike,dislike,c,Negative_Relation,0
",",",",s,,0
be,be,s,ReportingStates,0
it,it,s,DenyDisclaim,0
never,never,s,DenyDisclaim,1
so,so,s,Positivity,0
good,good,c,Positivity,1
",",",",s,ReasonForward,0
so,so,s,ReasonForward,1
new,new,c,,0
;,;,n,,0
The,the,s,Specifiers,0
rather,rather,s,Specifiers,1
Gentlemen,gentlemen,c,Positivity,0
",",",",s,,0
he,he,s,Neutral_Attribution,0
hopes,hopes,c,Neutral_Attribution,1
",",",",s,,0
cause,cause,s,Cause,0
I,i,n,SelfDisclosure,0
Am,am,s,SelfDisclosure,1
a,a,s,SelfDisclosure,2
main,main,s,Specifiers,0
Actor,actor,s,PersonProperty,0
in,in,s,,0
this,this,s,Sad,0
Tragedy,tragedy,c,Sad,1
:,:,n,,0
You,you,s,DirectAddress,0
Have,have,s,DirectAddress,1
graced,graced,s,Positive_Attribution,0
me,me,s,FirstPer,0
sometimes,sometimes,s,Contingency,0
in,in,s,,0
another,another,s,Specifiers,0
Sphere,sphere,c,SenseObject,0
",",",",n,,0
And,and,s,,0
I,i,s,FirstPer,0
do,do,s,Intensity,0
hope,hope,s,Positivity,0
you,you,s,DirectAddress,0
will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
dislike,dislike,s,Negative_Relation,0
me,me,s,Negative_Relation,1
here,here,c,SpaceRelation,0
.,.,nn,,0
NO,no,s,DenyDisclaim,0
murmurings,murmurings,c,SenseProperty,0
",",",",s,,0
Noble,noble,s,StandardsPos,0
Captains,captains,c,PersonProperty,0
.,.,nnn,,0
Murmurings,murmurings,c,SenseProperty,0
",",",",s,,0
Cosen,cosen,c,UNRECOGNIZED,0
?,?,s,Question,0
this,this,s,,0
Peace,peace,s,StandardsPos,0
is,is,s,ReportingStates,0
worse,worse,s,Negativity,0
to,to,s,,0
men,men,s,PersonProperty,0
of,of,s,PersonProperty,1
war,war,s,GenericEvents,0
and,and,s,,0
action,action,s,GenericEvents,0
then,then,s,,0
fasting,fasting,n,ReportingEvents,0
in,in,s,Resistance,0
the,the,s,Resistance,1
face,face,s,Resistance,2
of,of,s,Resistance,3
the,the,s,,0
fo,fo,c,,0
",",",",s,,0
or,or,s,,0
lodging,lodging,s,Motions,0
on,on,s,,0
the,the,s,SenseProperty,0
cold,cold,s,SenseProperty,1
earth,earth,c,SpaceRelation,0
.,.,s,Imperative,0
Give,give,s,Imperative,1
me,me,s,FirstPer,0
the,the,s,,0
Camp,camp,c,SenseObject,0
",",",",s,,0
say,say,s,Citations,0
I,i,c,FirstPer,0
",",",",n,SpaceRelation,0
where,where,s,SpaceRelation,1
in,in,s,,0
the,the,s,,0
Sutlers,sutlers,s,PersonProperty,0
palace,palace,s,SenseObject,0
on,on,s,,0
pay-day,pay-day,s,AbstractConcepts,0
we,we,s,,0
may,may,s,Contingency,0
the,the,s,,0
precious,precious,s,StandardsPos,0
liquor,liquor,s,SenseObject,0
quaff,quaff,c,Motions,0
",",",",s,,0
and,and,n,,0
kiss,kiss,s,Positivity,0
his,his,s,PersonPronoun,0
buxome,buxome,s,UNRECOGNIZED,0
wife,wife,c,PersonProperty,0
;,;,s,,0
who,who,s,,0
though,though,s,Concessive,0
she,she,s,PersonPronoun,0
be,be,s,ReportingStates,0
not,not,s,DenyDisclaim,0
clad,clad,s,SenseProperty,0
in,in,s,SenseProperty,1
Persian,persian,s,PersonProperty,0
Silks,silks,c,SenseObject,0
",",",",s,,0
or,or,s,,0
costly,costly,n,StandardsNeg,0
Tyrian,tyrian,s,AbstractConcepts,0
Purples,purples,c,SenseProperty,0
",",",",s,,0
has,has,s,ReportingEvents,0
a,a,s,ReportingEvents,1
clean,clean,s,,0
skin,skin,c,Motions,0
",",",",s,,0
soft,soft,s,SenseProperty,0
thighs,thighs,c,SenseObject,0
",",",",s,,0
and,and,s,,0
wholesome,wholesome,s,StandardsPos,0
corpse,corpse,c,SenseObject,0
",",",",s,,0
fit,fit,s,StandardsPos,0
for,for,s,StandardsPos,1
the,the,n,StandardsPos,2
trayler,trayler,s,UNRECOGNIZED,0
of,of,s,,0
the,the,s,,0
puissant,puissant,s,StandardsPos,0
Pike,pike,c,SenseObject,0
",",",",s,,0
to,to,s,,0
sollace,sollace,s,UNRECOGNIZED,0
in,in,s,,0
delight,delight,s,Positivity,0
with,with,nnn,,0
Here,here,s,SpaceRelation,0
in,in,s,SpaceRelation,1
your,your,s,DirectAddress,0
lewd,lewd,s,Negativity,0
City,city,c,CommonAuthorities,0
",",",",s,,0
the,the,s,,0
Harlots,harlots,s,PersonProperty,0
do,do,s,Intensity,0
avoid,avoid,s,Resistance,0
us,us,s,Inclusive,0
sons,sons,s,PersonProperty,0
of,of,s,,0
the,the,s,SenseObject,0
Sword,sword,c,SenseObject,1
",",",",s,Negativity,0
worse,worse,s,Negativity,1
then,then,n,,0
a,a,s,,0
severe,severe,s,Negativity,0
Officer,officer,c,PersonProperty,0
.,.,s,Metadiscourse,0
Besides,besides,c,Metadiscourse,1
",",",",s,Metadiscourse,2
here,here,s,SpaceRelation,0
men,men,s,PersonProperty,0
of,of,s,PersonProperty,1
the,the,s,SenseObject,0
Shop,shop,s,SenseObject,1
can,can,s,Contingency,0
gorge,gorge,s,Negativity,0
their,their,s,Negativity,1
mustie,mustie,s,UNRECOGNIZED,0
maws,maws,s,SenseObject,0
with,with,n,Specifiers,0
the,the,s,Specifiers,1
delicious,delicious,s,Positivity,0
Capon,capon,c,SenseObject,0
",",",",s,,0
and,and,s,,0
fat,fat,s,SenseProperty,0
limbs,limbs,s,SenseObject,0
of,of,s,,0
Mutton,mutton,s,SenseObject,0
large,large,s,SenseProperty,0
enough,enough,s,SubjectivePercept,0
to,to,s,SubjectivePercept,1
be,be,s,ReportingStates,0
held,held,s,ReportingEvents,0
shoulders,shoulders,n,SenseObject,0
of,of,s,,0
the,the,s,SenseObject,0
Ram,ram,s,SenseObject,1
anco^ge,anco^ge,s,UNRECOGNIZED,0
the,the,s,,0
1^,1^,s,UNRECOGNIZED,0
Signs,signs,c,AbstractConcepts,0
",",",",s,,0
while,while,s,TimeDuration,0
for,for,s,,0
pure,pure,s,StandardsPos,0
want,want,s,ProjectAhead,0
your,your,s,DirectAddress,0
soldier,soldier,s,PersonProperty,0
often,often,s,RecurringEvents,0
dines,dines,s,SpaceRelation,0
at,at,n,SpaceRelation,1
the,the,s,,0
charge,charge,s,AbstractConcepts,0
of,of,s,,0
the,the,s,Negativity,0
dead,dead,c,Negativity,1
",",",",s,,0
among,among,s,,0
tombs,tombs,s,SenseObject,0
in,in,s,StandardsPos,0
the,the,s,StandardsPos,1
great,great,s,StandardsPos,2
Mo^que,mo^que,nnn,UNRECOGNIZED,0
It,it,s,CommonAuthorities,0
Is,is,s,CommonAuthorities,1
believed,believed,s,CommonAuthorities,2
Coz,coz,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
by,by,s,,0
the,the,s,,0
wisest,wisest,s,StandardsPos,0
few,few,s,SubjectivePercept,0
too,too,c,Metadiscourse,0
",",",",s,Metadiscourse,1
that,that,s,,0
in,in,s,,0
the,the,s,,0
Camp,camp,s,SenseObject,0
you,you,s,DirectAddress,0
do,do,s,DirectAddress,1
not,not,s,DirectAddress,2
feed,feed,n,GenericEvents,0
on,on,s,GenericEvents,1
pleasant,pleasant,c,Positivity,0
:,:,s,,0
po^lts,po^lts,c,UNRECOGNIZED,0
;,;,s,,0
a,a,s,,0
^,^,c,UNRECOGNIZED,0
allad,allad,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
without,without,s,Contingency,0
oil,oil,s,SenseObject,0
or,or,s,,0
vinegar,vinegar,c,SenseObject,0
",",",",s,,0
appeases,appeases,s,Negative_Relation,0
sometimes,sometimes,n,Contingency,0
your,your,s,DirectAddress,0
guts,guts,c,Disclosure,0
",",",",s,,0
although,although,s,Concessive,0
they,they,s,,0
keep,keep,s,TimeDuration,0
more,more,s,Comparison,0
noise,noise,s,SenseProperty,0
then,then,s,,0
a,a,s,,0
large,large,s,SenseObject,0
pool,pool,s,SenseObject,1
full,full,s,Specifiers,0
of,of,s,Specifiers,1
ingendring,ingendring,n,UNRECOGNIZED,0
frogs,frogs,c,SenseObject,0
.,.,s,Sequence,0
Then,then,s,Sequence,1
for,for,s,,0
accoutrements,accoutrements,c,CommonAuthorities,0
",",",",s,,0
you,you,s,DirectAddress,0
wear,wear,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Buff,buff,c,Motions,0
",",",",s,,0
as,as,s,DirectAddress,0
you,you,s,DirectAddress,1
believed,believed,s,PrivateThinking,0
it,it,s,,0
heresy,heresy,s,Negative_Relation,0
to,to,n,,0
change,change,s,Transformation,0
for,for,s,Transformation,1
linen,linen,c,SenseObject,0
:,:,s,,0
Surely,surely,s,Confidence,0
most,most,s,Comparison,0
of,of,s,DirectAddress,0
yours,yours,s,DirectAddress,1
is,is,s,ReportingStates,0
spent,spent,s,ReportingEvents,0
in,in,s,,0
