BOy,boy,c,PersonProperty,0
",",",",s,,0
give,give,s,ReportingEvents,0
me,me,s,ReportingEvents,1
the,the,s,ReportingEvents,2
Master,master,s,SenseObject,0
Key,key,s,SenseObject,1
of,of,s,Specifiers,0
all,all,s,Specifiers,1
the,the,s,Specifiers,2
doors,doors,c,SenseObject,0
.,.,n,,0
To,to,s,,0
Bed,bed,s,SenseObject,0
again,again,c,RecurringEvents,0
",",",",s,,0
and,and,s,,0
leave,leave,s,,0
me,me,s,FirstPer,0
to,to,s,SelfDisclosure,0
my,my,s,SelfDisclosure,1
self,self,c,SubjectivePercept,0
.,.,n,,0
Is,is,s,ReportingStates,0
Richard,richard,s,,0
come,come,c,ReportingEvents,0
?,?,s,Question,0
have,have,s,,0
four,four,s,Numbers,0
Electors,electors,s,PersonProperty,0
sworn,sworn,n,CommonAuthorities,0
To,to,s,CommonAuthorities,1
make,make,s,Cause,0
him,him,s,Cause,1
Keisar,keisar,s,UNRECOGNIZED,0
in,in,s,Resistance,0
despite,despite,s,Resistance,1
of,of,s,Resistance,2
me,me,c,FirstPer,0
?,?,n,Question,0
Why,why,s,Curiosity,0
then,then,s,Curiosity,1
Alphonsus,alphonsus,s,UNRECOGNIZED,0
it,it,s,Insist,0
is,is,s,Insist,1
time,time,s,Insist,2
to,to,s,Insist,3
wake,wake,c,ReportingEvents,0
.,.,n,,0
No,no,s,DenyDisclaim,0
Englishman,englishman,c,UNRECOGNIZED,0
",",",",s,,0
thou,thou,s,DirectAddress,0
art,art,s,AbstractConcepts,0
too,too,s,Negativity,0
hot,hot,s,Negativity,1
at,at,s,Immediacy,0
hand,hand,c,Immediacy,1
",",",",n,Specifiers,0
Too,too,s,Specifiers,1
shallow,shallow,s,SenseProperty,0
braind,braind,s,UNRECOGNIZED,0
to,to,s,,0
undermine,undermine,s,Negativity,0
my,my,s,FirstPer,0
throne,throne,c,SenseObject,0
;,;,n,,0
The,the,s,,0
Spanish,spanish,s,PersonProperty,0
Sun,sun,s,SenseObject,0
has,has,s,,0
purified,purified,s,StandardsPos,0
my,my,s,FirstPer,0
wit,wit,c,StandardsPos,0
",",",",n,,0
And,and,s,,0
dried,dried,s,SenseProperty,0
up,up,s,SenseProperty,1
all,all,s,,0
gross,gross,s,AbstractConcepts,0
humors,humors,s,Positivity,0
in,in,s,SelfDisclosure,0
my,my,s,SelfDisclosure,1
head,head,c,SelfDisclosure,2
",",",",n,,0
That,that,s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
sighted,sighted,s,ReportingEvents,0
as,as,s,,0
the,the,s,SenseObject,0
King,king,s,SenseObject,1
of,of,s,,0
Birds,birds,c,SenseObject,0
",",",",n,,0
And,and,s,,0
can,can,s,Contingency,0
discern,discern,s,PrivateThinking,0
thy,thy,s,DirectAddress,0
deepest,deepest,s,Comparison,0
Strat^,strat^,s,UNRECOGNIZED,0
gems,gems,c,SenseObject,0
.,.,n,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
the,the,s,SelfDisclosure,2
lawful,lawful,s,StandardsPos,0
German,german,s,,0
Emperor,emperor,c,PersonProperty,0
",",",",n,,0
Chosen,chosen,c,ReportingStates,0
",",",",s,ReportingStates,1
enstall'd,enstall'd,c,UNRECOGNIZED,0
",",",",s,,0
by,by,s,CommonAuthorities,0
general,general,s,CommonAuthorities,1
consent,consent,c,CommonAuthorities,2
;,;,n,,0
And,and,s,,0
they,they,s,,0
may,may,s,Contingency,0
term,term,s,AbstractConcepts,0
me,me,s,FirstPer,0
Tyrant,tyrant,s,Negative_Relation,0
as,as,s,TimeDuration,0
they,they,s,TimeDuration,1
please,please,c,Request,0
",",",",n,Request,1
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
be,be,s,PredictedFuture,1
King,king,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
Tyrant,tyrant,s,Negative_Relation,0
if,if,s,Contingency,0
I,i,s,Contingency,1
please,please,c,Contingency,2
;,;,n,,0
For,for,s,DirectAddress,0
what,what,s,DirectAddress,1
is,is,s,DirectAddress,2
Empire,empire,s,CommonAuthorities,0
but,but,s,Resistance,0
a,a,s,,0
Tyranny,tyranny,c,Negative_Relation,0
?,?,n,Question,0
And,and,s,,0
none,none,s,DenyDisclaim,0
but,but,s,Resistance,0
children,children,s,PersonProperty,0
use,use,s,ReportingEvents,0
it,it,s,,0
otherwise,otherwise,c,Contingency,0
.,.,n,,0
Of,of,s,,0
seven,seven,s,Numbers,0
Electors,electors,c,PersonProperty,0
",",",",s,,0
four,four,s,Numbers,0
are,are,s,ReportingStates,0
falln,falln,s,UNRECOGNIZED,0
away,away,c,,0
",",",",n,,0
The,the,s,Specifiers,0
other,other,s,Specifiers,1
three,three,s,Numbers,0
I,i,s,FirstPer,0
dare,dare,s,SubjectivePercept,0
not,not,s,DenyDisclaim,0
greatly,greatly,s,Intensity,0
trust,trust,c,Confidence,0
;,;,n,,0
My,my,s,FirstPer,0
Wife,wife,s,PersonProperty,0
is,is,s,ReportingStates,0
Sister,sister,s,PersonProperty,0
to,to,s,,0
mine,mine,s,Negativity,0
enemy,enemy,c,Negativity,1
",",",",n,,0
And,and,s,,0
therefore,therefore,s,ReasonForward,0
wisely,wisely,s,StandardsPos,0
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
dealt,dealt,s,ReportingEvents,0
withal,withal,c,Metadiscourse,0
;,;,n,Resistance,0
But,but,s,Resistance,1
why,why,s,Curiosity,0
do,do,s,Curiosity,1
I,i,s,Curiosity,2
except,except,s,Exceptions,0
in,in,s,Exceptions,1
special,special,c,Exceptions,0
",",",",n,,0
When,when,s,Curiosity,0
this,this,s,Curiosity,1
position,position,s,AbstractConcepts,0
must,must,s,Insist,0
be,be,s,ReportingStates,0
general,general,c,AbstractConcepts,0
",",",",n,,0
That,that,s,DenyDisclaim,0
no,no,s,DenyDisclaim,1
man,man,s,PersonProperty,0
living,living,s,,0
must,must,s,Insist,0
be,be,s,ReportingStates,0
credited,credited,c,StandardsPos,0
",",",",n,,0
Further,further,s,Comparison,0
than,than,s,Comparison,1
tends,tends,s,ReportingEvents,0
unto,unto,s,CommonAuthorities,0
thy,thy,s,DirectAddress,0
proper,proper,s,StandardsPos,0
good,good,c,,0
.,.,n,Resistance,0
But,but,s,Resistance,1
to,to,s,ProjectAhead,0
the,the,s,ProjectAhead,1
purpose,purpose,s,ProjectAhead,2
of,of,s,ProjectAhead,3
my,my,s,FirstPer,0
silent,silent,s,SenseProperty,0
walk,walk,c,Motions,0
;,;,n,,0
Within,within,s,Specifiers,0
this,this,s,Specifiers,1
Chamber,chamber,s,SenseObject,0
lies,lies,s,,0
my,my,s,FirstPer,0
Secretary,secretary,c,PersonProperty,0
",",",",n,,0
Lorenzo,lorenzo,s,UNRECOGNIZED,0
de,de,s,AbstractConcepts,0
Cipres,cipres,c,UNRECOGNIZED,0
",",",",s,,0
in,in,s,PersonProperty,0
whose,whose,s,PersonProperty,1
learned,learned,s,ReportingEvents,0
brain,brain,n,SenseObject,0
Is,is,s,Generalization,0
all,all,s,Generalization,1
the,the,s,Generalization,2
compass,compass,s,SenseObject,0
of,of,s,,0
the,the,s,,0
world,world,s,AbstractConcepts,0
containd,containd,c,UNRECOGNIZED,0
;,;,n,,0
And,and,s,,0
as,as,s,,0
the,the,s,,0
ignorant,ignorant,s,StandardsNeg,0
and,and,s,,0
simple,simple,s,SubjectivePercept,0
age,age,n,TimeDuration,0
Of,of,s,TimeDuration,1
our,our,s,Inclusive,0
forefathers,forefathers,c,ProjectBack,0
",",",",s,,0
blinded,blinded,s,Negativity,0
in,in,s,Specifiers,0
their,their,s,Specifiers,1
zeal,zeal,c,StandardsPos,0
",",",",n,,0
Received,received,s,ReportingEvents,0
dark,dark,s,SenseProperty,0
answers,answers,s,Specifiers,0
from,from,s,,0
Appollo's,appollo's,s,UNRECOGNIZED,0
shrine,shrine,c,SenseObject,0
",",",",n,,0
And,and,s,,0
honored,honored,s,StandardsPos,0
him,him,s,PersonPronoun,0
as,as,s,,0
Patron,patron,s,PersonProperty,0
of,of,s,,0
