Spoken,spoken,s,Citations,0
by,by,s,Citations,1
Mr,mr,c,PersonProperty,0
.,.,s,PersonProperty,1
Betterton,betterton,c,UNRECOGNIZED,0
.,.,nn,,0
OF,of,s,,0
those,those,s,,0
few,few,s,SubjectivePercept,0
Fools,fools,c,Negativity,0
",",",",s,,0
who,who,s,,0
with,with,s,,0
ill,ill,s,Negativity,0
Stars,stars,s,SenseObject,0
are,are,s,ReportingStates,0
cursed,cursed,c,ReportingStates,0
",",",",n,ReportingStates,1
Sure,sure,s,Confidence,0
scribbling,scribbling,s,Motions,0
Fools,fools,c,Negativity,0
",",",",s,,0
called,called,s,ReportingEvents,0
Poets,poets,c,PersonProperty,0
",",",",s,,0
fare,fare,s,SubjectivePercept,0
the,the,s,Negativity,0
worst,worst,c,Negativity,1
.,.,n,,0
For,for,s,,0
they,they,s,ReportingStates,0
are,are,s,ReportingStates,1
a,a,s,Specifiers,0
sort,sort,s,Specifiers,1
of,of,s,Specifiers,2
Fools,fools,s,Negativity,0
which,which,s,,0
Fortune,fortune,s,ProjectAhead,0
makes,makes,c,ReportingEvents,0
",",",",n,,0
And,and,s,,0
after,after,s,Sequence,0
she,she,s,Sequence,1
has,has,s,,0
made,made,s,ReportingEvents,0
',',c,,0
em,em,s,SpaceRelation,0
Fools,fools,c,Negativity,0
",",",",s,,0
forsakes,forsakes,c,Resistance,0
.,.,n,,0
With,with,s,,0
Nature's,nature's,s,CommonAuthorities,0
Oafs,oafs,s,Negativity,0
it,it,s,,0
is,is,s,ReportingStates,0
quite,quite,s,Intensity,0
a,a,s,Intensity,1
different,different,s,Comparison,0
Case,case,c,AbstractConcepts,0
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
Fortune,fortune,s,ProjectAhead,0
favors,favors,s,Positivity,0
all,all,s,Generalization,0
her,her,s,Generalization,1
Idiot-Race,idiot-race,c,UNRECOGNIZED,0
:,:,n,,0
In,in,s,SubjectivePercept,0
her,her,s,SubjectivePercept,1
own,own,s,SubjectivePercept,2
Nest,nest,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Cuckow-Eggs,cuckow-eggs,s,UNRECOGNIZED,0
we,we,s,Metadiscourse,0
find,find,c,Metadiscourse,1
",",",",n,,0
Over,over,s,,0
which,which,s,,0
she,she,s,PersonPronoun,0
broods,broods,s,PrivateThinking,0
to,to,s,,0
hatch,hatch,s,ReportingEvents,0
the,the,s,ReportingEvents,1
Changling-Kind,changling-kind,c,UNRECOGNIZED,0
.,.,n,,0
No,no,s,DenyDisclaim,0
Portion,portion,s,SenseObject,0
for,for,s,Exceptions,0
her,her,s,Exceptions,1
own,own,s,Exceptions,2
she,she,s,Neutral_Attribution,0
has,has,s,Neutral_Attribution,1
to,to,s,ProjectAhead,0
spare,spare,c,ProjectAhead,1
",",",",n,ReasonForward,0
So,so,s,ReasonForward,1
much,much,s,Intensity,0
she,she,s,PersonPronoun,0
doats,doats,s,UNRECOGNIZED,0
on,on,s,,0
her,her,s,PersonPronoun,0
adopted,adopted,s,ReportingEvents,0
Care,care,c,StandardsPos,0
.,.,n,,0
Poets,poets,s,PersonProperty,0
are,are,s,ReportingStates,0
Bubbles,bubbles,c,SenseObject,0
",",",",s,,0
by,by,s,,0
the,the,s,,0
Town,town,s,SpaceRelation,0
drawn,drawn,s,ReportingEvents,0
in,in,c,ReportingEvents,1
",",",",n,,0
Suffered,suffered,s,Negativity,0
at,at,s,Sequence,0
first,first,s,Sequence,1
some,some,s,Uncertainty,0
tristing,tristing,s,UNRECOGNIZED,0
Stakes,stakes,s,SenseObject,0
to,to,s,,0
win,win,c,ReportingEvents,0
:,:,n,,0
But,but,s,Resistance,0
what,what,s,Resistance,1
unequal,unequal,s,Comparison,0
Hazards,hazards,s,Negativity,0
do,do,s,Question,0
they,they,s,Question,1
run,run,c,ReportingEvents,0
!,!,n,,0
Each,each,s,RecurringEvents,0
time,time,s,RecurringEvents,1
they,they,s,,0
write,write,c,ReportingEvents,0
",",",",s,,0
they,they,s,,0
venture,venture,s,Contingency,0
all,all,s,SubjectivePercept,0
they,they,s,SubjectivePercept,1
have,have,s,,0
won,won,c,Positivity,0
:,:,n,,0
The,the,s,,0
',',c,,0
Squire,squire,s,PersonProperty,0
that,that,s,Specifiers,0
is,is,s,Specifiers,1
buttered,buttered,s,Motions,0
still,still,c,Updates,0
",",",",s,,0
is,is,s,Confidence,0
sure,sure,s,Confidence,1
to,to,s,Confidence,2
be,be,s,ReportingStates,0
undone,undone,c,Negativity,0
.,.,n,,0
This,this,s,,0
Author,author,c,CommunicatorRole,0
",",",",s,,0
heretofore,heretofore,c,ProjectBack,0
",",",",s,,0
has,has,s,,0
found,found,s,DirectAddress,0
your,your,s,DirectAddress,1
Favor,favor,c,Positivity,0
",",",",n,Resistance,0
But,but,s,Resistance,1
pleads,pleads,s,Intensity,0
no,no,s,DenyDisclaim,0
Merit,merit,s,StandardsPos,0
from,from,s,ProjectBack,0
his,his,s,ProjectBack,1
past,past,s,ProjectBack,2
Behavior,behavior,c,GenericEvents,0
.,.,n,,0
To,to,s,StandardsPos,0
build,build,s,StandardsPos,1
on,on,s,StandardsPos,2
that,that,s,Uncertainty,0
might,might,s,Uncertainty,1
prove,prove,s,Confidence,0
a,a,s,,0
vain,vain,s,Negativity,0
Presumption,presumption,c,ReasonForward,0
",",",",n,Future_Question,0
Should,should,s,Future_Question,1
Grants,grants,s,CommonAuthorities,0
to,to,s,,0
Poets,poets,s,PersonProperty,0
made,made,c,ReportingStates,0
",",",",s,ReportingStates,1
admit,admit,s,Resistance,0
Resumption,resumption,c,TimeShift,0
:,:,n,,0
And,and,s,,0
in,in,s,,0
Parnassus,parnassus,s,AbstractConcepts,0
he,he,s,Insist,0
must,must,s,Insist,1
lose,lose,s,Negativity,0
his,his,s,Negativity,1
Seat,seat,c,SenseObject,0
",",",",n,,0
If,if,s,Contingency,0
that,that,s,Contingency,1
be,be,s,ReportingStates,0
found,found,s,Narrative_Verbs,0
a,a,s,Narrative_Verbs,1
forfeited,forfeited,s,Reluctance,0
Estate,estate,c,AbstractConcepts,0
.,.,n,,0
He,he,s,Neutral_Attribution,0
owns,owns,c,Neutral_Attribution,1
",",",",s,,0
with,with,s,,0
Toil,toil,c,Negativity,0
",",",",s,,0
he,he,s,PersonPronoun,0
wrought,wrought,s,ReportingEvents,0
the,the,s,PersonProperty,0
following,following,s,PersonProperty,1
Scenes,scenes,c,AbstractConcepts,0
",",",",n,Resistance,0
But,but,s,Resistance,1
if,if,s,Contingency,0
they,they,s,Contingency,1
are,are,s,Contingency,2
naught,naught,s,Negativity,0
never,never,s,DenyDisclaim,0
spare,spare,s,Positivity,0
him,him,s,Positivity,1
for,for,s,,0
his,his,s,PersonPronoun,0
Pains,pains,c,SenseProperty,0
:,:,n,,0
Damn,damn,s,Anger,0
him,him,s,Anger,1
the,the,s,Comparison,0
more,more,c,Comparison,1
;,;,s,,0
have,have,s,,0
no,no,s,DenyDisclaim,0
Commiseration,commiseration,n,Inclusive,0
For,for,s,,0
Dullness,dullness,s,Negativity,0
on,on,s,,0
mature,mature,s,StandardsPos,0
Deliberation,deliberation,c,ProjectAhead,0
.,.,n,,0
He,he,s,Neutral_Attribution,0
swears,swears,s,Neutral_Attribution,1
he,he,s,PersonPronoun,0
will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
resent,resent,s,Anger,0
one,one,s,Numbers,0
hiss'd-off,hiss'd-off,s,UNRECOGNIZED,0
Scene,scene,c,AbstractConcepts,0
",",",",n,,0
Nor,nor,c,DenyDisclaim,0
",",",",s,,0
like,like,s,SubjectivePercept,0
those,those,s,,0
peevish,peevish,s,Negativity,0
Wits,wits,c,StandardsPos,0
",",",",s,,0
his,his,s,PersonPronoun,0
Play,play,s,ReportingEvents,0
maintain,maintain,c,TimeDuration,0
",",",",n,,0
Who,who,c,,0
",",",",s,,0
to,to,s,,0
assert,assert,s,Citations,0
their,their,s,PersonPronoun,0
Sense,sense,c,AbstractConcepts,0
",",",",s,,0
your,your,s,DirectAddress,0
Taste,taste,s,SenseProperty,0
arraign,arraign,c,ReportingEvents,0
.,.,n,,0
Some,some,s,Uncertainty,0
Plot,plot,s,LangRef,0
we,we,s,,0
think,think,s,PrivateThinking,0
he,he,s,Neutral_Attribution,0
has,has,c,Neutral_Attribution,1
",",",",s,,0
and,and,s,,0
some,some,s,Uncertainty,0
new,new,s,AbstractConcepts,0
Thought,thought,c,AbstractConcepts,1
;,;,n,,0
Some,some,s,Uncertainty,0
Humor,humor,s,Positivity,0
