LOrd,lord,c,CommonAuthorities,0
",",",",s,,0
how,how,s,,0
reformed,reformed,s,ReportingEvents,0
and,and,s,,0
quiet,quiet,s,SenseProperty,0
we,we,s,ReportingStates,0
are,are,s,ReportingStates,1
grown,grown,c,ReportingStates,0
",",",",n,ReportingStates,1
Since,since,s,,0
all,all,s,Inclusive,0
our,our,s,Inclusive,1
Braves,braves,s,StandardsPos,0
and,and,s,Generalization,0
all,all,s,Generalization,1
our,our,s,Inclusive,0
Wits,wits,s,StandardsPos,0
are,are,s,ReportingStates,0
gone,gone,c,ReportingEvents,0
:,:,n,,0
Fop-corner,fop-corner,s,UNRECOGNIZED,0
now,now,s,Updates,0
is,is,s,Updates,1
free,free,s,AbstractConcepts,0
from,from,s,AbstractConcepts,1
Civil,civil,s,CommonAuthorities,0
War,war,c,CommonAuthorities,1
:,:,n,,0
White-Wig,white-wig,s,SenseProperty,0
and,and,s,,0
Vizard,vizard,s,SenseObject,0
make,make,s,ReportingEvents,0
no,no,s,Updates,0
longer,longer,s,Updates,1
jar,jar,c,SenseObject,0
.,.,n,,0
France,france,c,,0
",",",",s,,0
and,and,s,,0
the,the,s,SenseObject,0
Fleet,fleet,c,SenseObject,1
",",",",s,,0
have,have,s,,0
swept,swept,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
Town,town,s,SpaceRelation,0
so,so,s,Confidence,0
clear,clear,c,Confidence,1
",",",",n,,0
That,that,s,Inclusive,0
we,we,s,Inclusive,1
can,can,s,Contingency,0
Act,act,s,,0
in,in,s,StandardsPos,0
peace,peace,c,StandardsPos,1
",",",",s,,0
and,and,s,,0
you,you,s,DirectAddress,0
can,can,s,Contingency,0
hear,hear,c,SpaceRelation,0
.,.,n,,0
',',c,,0
Twas,twas,s,ProjectBack,0
a,a,s,,0
sad,sad,s,Sad,0
sight,sight,c,Sad,1
",",",",s,,0
before,before,s,Sequence,0
they,they,s,Sequence,1
marched,marched,s,ReportingEvents,0
from,from,s,SpaceRelation,0
home,home,c,SpaceRelation,1
",",",",n,,0
To,to,s,ProjectAhead,0
see,see,s,ProjectAhead,1
our,our,s,Inclusive,0
Warriors,warriors,c,PersonProperty,0
",",",",s,,0
in,in,s,,0
Red,red,s,SenseProperty,0
Wastecoats,wastecoats,c,UNRECOGNIZED,0
",",",",s,,0
come,come,c,DirectAddress,0
",",",",n,DirectAddress,1
With,with,s,SenseProperty,0
hair,hair,s,SenseProperty,1
tucked,tucked,s,ReportingEvents,0
up,up,c,,0
",",",",s,,0
into,into,s,,0
our,our,s,Inclusive,0
Tireing-room,tireing-room,c,UNRECOGNIZED,0
.,.,n,Resistance,0
But,but,s,Resistance,1
',',c,,0
twas,twas,s,ProjectBack,0
more,more,s,Comparison,0
sad,sad,s,Sad,0
to,to,s,Sad,1
hear,hear,s,SenseProperty,0
their,their,s,SenseProperty,1
last,last,s,Sequence,0
Adieu,adieu,c,SceneShift,0
",",",",n,,0
The,the,s,PersonProperty,0
Women,women,s,PersonProperty,1
sob'd,sob'd,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
swore,swore,s,ReportingEvents,0
they,they,s,ProjectAhead,0
would,would,s,ProjectAhead,1
be,be,s,ProjectAhead,2
true,true,c,StandardsPos,0
;,;,n,,0
And,and,s,ReasonForward,0
so,so,s,ReasonForward,1
they,they,s,ReasonForward,2
were,were,c,ProjectBack,0
",",",",s,,0
as,as,s,TimeDuration,0
long,long,s,TimeDuration,1
as,as,s,TimeDuration,2
e're,e're,s,SubjectivePercept,0
they,they,s,Contingency,0
could,could,c,Contingency,1
:,:,n,,0
But,but,s,Resistance,0
powerful,powerful,s,Positivity,0
Guinnee,guinnee,s,UNRECOGNIZED,0
cannot,cannot,s,DenyDisclaim,0
be,be,s,DenyDisclaim,1
withstood,withstood,c,Resistance,0
",",",",n,,0
And,and,s,,0
they,they,s,,0
were,were,s,ProjectBack,0
made,made,s,Specifiers,0
of,of,s,Specifiers,1
Play,play,s,ReportingEvents,0
house,house,s,SenseObject,0
flesh,flesh,s,AbstractConcepts,0
and,and,s,AbstractConcepts,1
blood,blood,c,AbstractConcepts,2
.,.,n,,0
Fate,fate,s,SubjectivePercept,0
did,did,s,Narrative_Verbs,0
their,their,s,Narrative_Verbs,1
Friends,friends,s,StandardsPos,0
for,for,s,,0
double,double,s,,0
use,use,s,ReportingEvents,0
ordain,ordain,c,CommonAuthorities,0
",",",",n,,0
In,in,s,,0
Wars,wars,s,GenericEvents,0
abroad,abroad,c,SceneShift,0
",",",",s,,0
they,they,s,,0
grinning,grinning,s,Positivity,0
Honor,honor,s,StandardsPos,0
gain,gain,c,,0
",",",",n,,0
And,and,s,,0
Mistresses,mistresses,c,PersonProperty,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
all,all,s,Generalization,0
that,that,s,Generalization,1
stay,stay,c,TimeDuration,0
",",",",s,,0
maintain,maintain,c,TimeDuration,0
.,.,n,,0
Now,now,s,Updates,0
they,they,s,Updates,1
are,are,s,Updates,2
gone,gone,c,ReportingStates,0
",",",",s,ReportingStates,1
it,it,s,,0
is,is,s,ReportingStates,0
dead,dead,s,Negativity,0
Vacation,vacation,s,Positivity,0
here,here,c,SpaceRelation,0
",",",",n,SpaceRelation,1
For,for,s,,0
neither,neither,s,DenyDisclaim,0
Friends,friends,s,StandardsPos,0
nor,nor,s,DenyDisclaim,0
Enemies,enemies,s,Negativity,0
appear,appear,c,SubjectivePercept,0
.,.,n,,0
Poor,poor,s,Negativity,0
pensive,pensive,s,PrivateThinking,0
Punk,punk,s,Negativity,0
now,now,s,Immediacy,0
peeps,peeps,s,Motions,0
ere,ere,s,ProjectBack,0
Plays,plays,s,ReportingEvents,0
begin,begin,c,Sequence,0
",",",",n,,0
Sees,sees,s,,0
