SInce,since,s,ReasonForward,0
there,there,s,ReasonForward,1
is,is,s,ReportingStates,0
a,a,s,ReportingStates,1
Dearth,dearth,s,Negativity,0
of,of,s,Negativity,1
Wit,wit,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
that,that,s,ProjectAhead,0
to,to,s,ProjectAhead,1
Play,play,c,ReportingEvents,0
",",",",n,,0
Is,is,s,ReportingStates,0
hardly,hardly,s,DenyDisclaim,0
worth,worth,s,AbstractConcepts,0
one,one,s,AbstractConcepts,1
poor,poor,s,Negativity,0
Brown,brown,s,SenseObject,0
George,george,s,SenseObject,1
a,a,s,TimeDuration,0
Day,day,c,TimeDuration,1
;,;,n,,0
I,i,s,FirstPer,0
from,from,s,,0
the,the,s,,0
Poet,poet,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
our,our,s,Inclusive,0
Friends,friends,s,StandardsPos,0
within,within,c,,0
",",",",n,,0
Am,am,s,FirstPer,0
sent,sent,s,ReportingEvents,0
t'intreat,t'intreat,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
your,your,s,DirectAddress,0
last,last,s,Sequence,0
Favors,favors,s,Positivity,0
win,win,c,ReportingEvents,0
",",",",n,,0
E're,e're,s,SubjectivePercept,0
we,we,s,,0
go,go,s,ReportingEvents,0
hence,hence,s,ReasonForward,0
and,and,s,,0
shall,shall,s,ProjectAhead,0
no,no,s,DenyDisclaim,0
more,more,s,DenyDisclaim,1
be,be,s,SpaceRelation,0
seen,seen,c,SpaceRelation,1
.,.,n,,0
For,for,s,SelfDisclosure,0
my,my,s,SelfDisclosure,1
part,part,c,SelfDisclosure,2
",",",",s,,0
--,--,n,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
to,to,s,PredictedFuture,1
the,the,s,,0
French,french,s,AbstractConcepts,0
Campaigne,campaigne,c,UNRECOGNIZED,0
",",",",s,SpaceRelation,0
where,where,s,SpaceRelation,1
one,one,s,Metadiscourse,0
may,may,s,Metadiscourse,1
get,get,n,,0
A,a,s,,0
certain,certain,s,Confidence,0
Wholesome,wholesome,s,StandardsPos,0
though,though,s,Concessive,0
a,a,s,,0
Homely,homely,s,Negativity,0
Treat,treat,c,ReportingEvents,0
;,;,n,,0
Good,good,s,StandardsPos,0
Oil,oil,s,StandardsPos,1
and,and,s,,0
Cooling,cooling,s,SenseProperty,0
Sallads,sallads,c,UNRECOGNIZED,0
",",",",s,Concessive,0
though,though,s,Concessive,1
no,no,s,DenyDisclaim,0
meat,meat,c,SenseObject,0
:,:,n,,0
Good,good,s,,0
Campany,campany,c,UNRECOGNIZED,0
",",",",s,,0
good,good,s,,0
honest,honest,s,StandardsPos,0
Lowste,lowste,s,UNRECOGNIZED,0
Currs,currs,c,UNRECOGNIZED,0
.,.,n,ReportingStates,0
There,there,s,ReportingStates,1
Is,is,s,ReportingStates,2
Honor,honor,s,StandardsPos,0
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
got,got,s,Negativity,0
too,too,s,Negativity,1
--,--,s,,0
Honor,honor,c,StandardsPos,0
",",",",s,,0
Sirs,sirs,c,PersonProperty,0
;,;,n,,0
Honor,honor,s,StandardsPos,0
that,that,s,,0
makes,makes,s,ReportingEvents,0
the,the,s,,0
General's,general's,s,UNRECOGNIZED,0
Voice,voice,s,,0
sound,sound,s,SenseProperty,0
loud,loud,c,SenseProperty,0
",",",",n,,0
And,and,s,,0
serves,serves,s,ReportingEvents,0
instead,instead,s,Substitution,0
of,of,s,Substitution,1
Brandy,brandy,s,SenseObject,0
to,to,s,,0
the,the,s,PersonProperty,0
Crowd,crowd,c,PersonProperty,1
.,.,n,,0
My,my,s,FirstPer,0
Spirits,spirits,s,SubjectivePercept,0
are,are,s,ReportingStates,0
revived,revived,c,ReportingStates,0
;,;,s,ReportingStates,1
Methinks,methinks,s,SelfDisclosure,0
I,i,s,FirstPer,0
hear,hear,n,SenseProperty,0
A,a,s,SenseProperty,1
Crew,crew,s,PersonProperty,0
of,of,s,,0
Fire-fac'd,fire-fac'd,s,UNRECOGNIZED,0
Rogues,rogues,s,Negativity,0
embattled,embattled,s,Negative_Relation,0
there,there,c,SpaceRelation,0
",",",",n,SpaceRelation,1
Whose,whose,s,PersonPronoun,0
Motly,motly,s,UNRECOGNIZED,0
Noses,noses,s,SenseObject,0
carry,carry,s,Positivity,0
Hope,hope,s,Positivity,1
and,and,s,,0
Fear,fear,c,Fear,0
:,:,n,,0
Cry,cry,s,Intensity,0
out,out,c,Intensity,1
",",",",s,,0
Fall,fall,s,Motions,0
on,on,c,Motions,1
",",",",s,,0
we,we,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
be,be,s,ReportingStates,0
Kings,kings,c,PersonProperty,0
",",",",s,,0
Great,great,s,Intensity,0
Men,men,c,PersonProperty,0
",",",",n,,0
Nay,nay,s,OralCues,0
Emperors,emperors,c,PersonProperty,0
",",",",s,,0
the,the,s,StandardsNeg,0
Devil,devil,s,StandardsNeg,1
knows,knows,s,Confidence,0
how,how,c,Confidence,1
",",",",s,TimeDuration,0
and,and,s,TimeDuration,1
when,when,c,TimeDuration,2
.,.,n,Sequence,0
Then,then,s,Sequence,1
Shouting,shouting,s,Motions,0
all,all,c,,0
",",",",s,,0
advance,advance,s,ReportingEvents,0
they,they,s,,0
to,to,s,,0
the,the,s,,0
Siege,siege,c,Negativity,0
",",",",n,,0
And,and,s,,0
to,to,s,,0
the,the,s,,0
Plunder,plunder,s,Negativity,0
fall,fall,s,,0
with,with,s,,0
Privilege,privilege,c,SubjectivePercept,0
