WHo,who,s,,0
could,could,s,Contingency,0
expect,expect,s,ProjectAhead,0
such,such,s,Intensity,0
crowding,crowding,s,SpaceRelation,0
here,here,s,SpaceRelation,0
to,to,s,SpaceRelation,1
day,day,c,TimeDuration,0
",",",",n,,0
Merely,merely,s,SubjectivePercept,0
on,on,s,,0
the,the,s,,0
report,report,s,LangRef,0
of,of,s,,0
a,a,s,Updates,0
new,new,s,Updates,1
Play,play,c,ReportingEvents,0
?,?,n,Question,0
A,a,s,PersonProperty,0
man,man,s,PersonProperty,1
would,would,s,ReceivedPOV,0
think,think,s,ReceivedPOV,1
you,you,s,DirectAddress,0
have,have,s,DirectAddress,1
been,been,s,ProjectBack,0
so,so,s,,0
often,often,s,RecurringEvents,0
bit,bit,n,Motions,0
By,by,s,,0
us,us,s,Inclusive,0
of,of,s,Immediacy,0
late,late,c,Immediacy,1
",",",",s,,0
you,you,s,Insist,0
should,should,s,Insist,1
have,have,s,,0
learned,learned,s,ReportingEvents,0
more,more,s,Comparison,0
wit,wit,c,StandardsPos,0
",",",",n,,0
And,and,s,,0
first,first,s,Sequence,0
have,have,s,,0
sent,sent,s,Narrative_Verbs,0
a,a,s,Narrative_Verbs,1
Forlorne-hope,forlorne-hope,s,UNRECOGNIZED,0
to,to,s,,0
spy,spy,n,Negativity,0
The,the,s,,0
Plot,plot,s,LangRef,0
and,and,s,,0
Language,language,s,LangRef,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
Comedy,comedy,c,Positivity,0
",",",",n,,0
Expecting,expecting,s,ProjectAhead,0
till,till,s,AbstractConcepts,0
some,some,s,Uncertainty,0
desperate,desperate,s,Negativity,0
Critticks,critticks,s,UNRECOGNIZED,0
had,had,n,ProjectBack,0
Resolved,resolved,s,ReportingEvents,0
you,you,s,DirectAddress,0
whether,whether,s,Contingency,0
it,it,s,,0
were,were,s,ProjectBack,0
good,good,s,Uncertainty,0
or,or,s,Uncertainty,1
bad,bad,c,Uncertainty,2
:,:,n,,0
But,but,s,Resistance,0
yet,yet,s,Resistance,0
we,we,s,DirectAddress,0
hope,hope,s,DirectAddress,1
you,you,s,DirectAddress,2
will,will,s,PredictedFuture,0
never,never,s,PredictedFuture,1
grow,grow,s,ReportingEvents,0
so,so,s,StandardsPos,0
wise,wise,c,StandardsPos,1
;,;,n,,0
For,for,s,Contingency,0
if,if,s,Contingency,1
you,you,s,Insist,0
should,should,c,Insist,1
",",",",s,,0
we,we,s,Inclusive,0
and,and,s,Inclusive,1
our,our,s,Inclusive,2
Comedies,comedies,n,Positivity,0
Must,must,s,Insist,0
trip,trip,s,SceneShift,0
to,to,s,SceneShift,1
Norwich,norwich,c,UNRECOGNIZED,0
",",",",s,,0
or,or,s,,0
for,for,s,,0
Ireland,ireland,s,,0
go,go,c,ReportingEvents,0
",",",",n,,0
And,and,s,,0
never,never,s,DenyDisclaim,0
fix,fix,c,ReportingEvents,0
",",",",s,Resistance,0
but,but,c,Resistance,1
",",",",s,,0
like,like,s,Resemblances,0
a,a,s,Resemblances,1
Puppit-show,puppit-show,c,UNRECOGNIZED,0
",",",",n,,0
Remove,remove,s,SceneShift,0
from,from,s,SceneShift,1
Town,town,s,SpaceRelation,0
to,to,s,,0
Town,town,c,SpaceRelation,0
",",",",s,,0
from,from,s,,0
Fair,fair,s,StandardsPos,0
to,to,s,,0
Fair,fair,c,StandardsPos,0
",",",",n,,0
Seeking,seeking,s,ProjectAhead,0
fit,fit,s,ReportingEvents,0
Chapmen,chapmen,s,PersonProperty,0
to,to,s,,0
put,put,s,SubjectivePercept,0
off,off,s,SubjectivePercept,1
our,our,s,Inclusive,0
Ware,ware,c,SenseObject,0
.,.,n,,0
For,for,s,Specifiers,0
such,such,s,Specifiers,1
our,our,s,Inclusive,0
Fortune,fortune,s,ProjectAhead,0
is,is,s,ReportingStates,0
this,this,s,,0
barren,barren,s,Negativity,0
Age,age,c,Specifiers,0
",",",",n,,0
That,that,s,,0
Faction,faction,s,StandardsNeg,0
now,now,c,Updates,0
",",",",s,Updates,1
not,not,s,DenyDisclaim,0
Wit,wit,c,StandardsPos,0
",",",",s,,0
supports,supports,s,AbstractConcepts,0
the,the,s,SenseObject,0
Stage,stage,c,SenseObject,1
:,:,n,,0
Wit,wit,s,StandardsPos,0
has,has,c,,0
",",",",s,,0
like,like,s,SubjectivePercept,0
Painting,painting,c,SenseObject,0
",",",",s,,0
had,had,s,ProjectBack,0
her,her,s,PersonPronoun,0
happy,happy,s,Positivity,0
flights,flights,c,AbstractConcepts,0
",",",",n,,0
And,and,s,,0
in,in,s,,0
peculiar,peculiar,s,Exceptions,0
Ages,ages,s,TimeDuration,0
reached,reached,s,Narrative_Verbs,0
her,her,s,Narrative_Verbs,1
heights,heights,c,AbstractConcepts,0
",",",",n,Concessive,0
Though,though,s,Concessive,1
now,now,s,Immediacy,0
declined,declined,c,ReportingStates,0
;,;,s,ReportingStates,1
yet,yet,s,Resistance,0
could,could,s,Contingency,0
some,some,s,Uncertainty,0
able,able,s,StandardsPos,0
Pen,pen,n,SenseObject,0
Match,match,s,SenseObject,0
Fletcher's,fletcher's,s,UNRECOGNIZED,0
Nature,nature,c,AbstractConcepts,0
",",",",s,,0
or,or,s,,0
the,the,s,StandardsPos,0
Art,art,s,StandardsPos,1
of,of,s,StandardsPos,2
Ben,ben,c,PersonProperty,0
",",",",n,,0
The,the,s,,0
Old,old,s,SenseProperty,0
and,and,s,,0
Graver,graver,s,Negativity,0
sort,sort,s,AbstractConcepts,0
would,would,s,ProjectBack,0
scarce,scarce,s,Negativity,0
allow,allow,n,ReportingEvents,0
Those,those,s,,0
Plays,plays,s,ReportingEvents,0
were,were,s,ProjectBack,0
good,good,c,,0
",",",",s,,0
because,because,s,ReasonBackward,0
we,we,s,,0
writ,writ,s,CommonAuthorities,0
them,them,s,,0
now,now,c,Immediacy,0
.,.,n,,0
Our,our,s,Inclusive,0
Author,author,s,CommunicatorRole,0
therefore,therefore,s,ReasonForward,0
begs,begs,s,Intensity,0
you,you,s,DirectAddress,0
would,would,s,DirectAddress,1
forget,forget,c,Negativity,0
",",",",n,,0
Most,most,s,Immediacy,0
Reverend,reverend,s,Immediacy,1
Judges,judges,c,PrivateThinking,0
",",",",s,,0
the,the,s,SenseObject,0
Records,records,s,SenseObject,1
of,of,s,,0
Wit,wit,c,StandardsPos,0
",",",",n,,0
And,and,s,,0
only,only,s,SubjectivePercept,0
think,think,s,PrivateThinking,0
upon,upon,s,,0
the,the,s,,0
