BElieve't,believe't,c,UNRECOGNIZED,0
",",",",s,,0
my,my,s,FirstPer,0
Lords,lords,c,CommonAuthorities,0
",",",",s,,0
they,they,s,Citations,0
say,say,s,Citations,1
the,the,s,,0
Prince,prince,s,PersonProperty,0
does,does,s,Positivity,0
wonders,wonders,c,Positivity,1
.,.,nn,,0
They,they,s,Citations,0
say,say,s,Citations,1
he,he,s,Neutral_Attribution,0
kills,kills,s,Neutral_Attribution,1
a,a,s,SubjectivePercept,0
world,world,s,SubjectivePercept,1
of,of,s,SubjectivePercept,2
men,men,s,PersonProperty,0
indeed,indeed,c,Intensity,0
.,.,n,Resistance,0
But,but,s,Resistance,1
',',c,,0
faith,faith,c,StandardsPos,0
",",",",s,,0
I,i,s,SelfDisclosure,0
think,think,s,SelfDisclosure,1
the,the,s,,0
wondered,wondered,s,ReportingEvents,0
greater,greater,s,Comparison,0
been,been,c,ProjectBack,0
",",",",n,,0
Had,had,s,Contingency,0
he,he,s,Contingency,1
made,made,s,ReportingEvents,0
but,but,s,Resistance,0
half,half,s,Numbers,0
so,so,s,Intensity,0
many,many,s,Intensity,1
live,live,c,,0
.,.,nn,,0
Perchance,perchance,s,Contingency,0
my,my,s,DirectAddress,0
Lord,lord,c,DirectAddress,1
",",",",s,,0
you,you,s,DirectAddress,0
would,would,s,DirectAddress,1
have,have,s,Cause,0
him,him,s,Cause,1
turn,turn,s,,0
Physician,physician,c,PersonProperty,0
.,.,nn,,0
Rather,rather,s,Resistance,0
then,then,s,Sequence,0
Butcher,butcher,c,Sequence,1
;,;,s,,0
it,it,s,,0
is,is,s,ReportingStates,0
the,the,s,ReportingStates,1
nobler,nobler,s,Comparison,0
Trade,trade,c,AbstractConcepts,0
.,.,nn,Question,0
Why,why,c,Question,1
?,?,s,Question,0
but,but,s,Resistance,0
they,they,s,ReportingStates,0
are,are,s,ReportingStates,1
his,his,s,Negative_Relation,0
enemies,enemies,s,Negative_Relation,1
he,he,s,Neutral_Attribution,0
kills,kills,c,Neutral_Attribution,1
",",",",n,,0
Men,men,s,PersonProperty,0
that,that,s,,0
offend,offend,c,Anger,0
",",",",s,,0
and,and,s,,0
do,do,s,Intensity,0
deserve,deserve,s,StandardsPos,0
to,to,s,ProjectAhead,0
die,die,c,ProjectAhead,1
.,.,nn,,0
Oh,oh,c,OralCues,0
!,!,s,,0
then,then,s,Sequence,0
I,i,s,Sequence,1
think,think,s,PrivateThinking,0
you,you,s,DirectAddress,0
will,will,s,PredictedFuture,0
praise,praise,s,StandardsPos,0
the,the,s,,0
Hangman,hangman,s,Negativity,0
