POssible,possible,c,Contingency,0
?,?,s,Question,0
--,--,s,,0
Dessandro,dessandro,s,UNRECOGNIZED,0
quit,quit,s,ReportingEvents,0
from,from,s,,0
his,his,s,PersonPronoun,0
Command,command,s,CommonAuthorities,0
oth,oth,c,UNRECOGNIZED,0
',',s,,0
Citadel,citadel,c,SenseObject,0
?,?,s,Question,0
so,so,s,,0
sharply,sharply,s,SenseProperty,0
too,too,c,,0
?,?,n,Question,0
Brushing,brushing,s,Motions,0
times,times,c,AbstractConcepts,0
",",",",s,,0
my,my,s,DirectAddress,0
Lord,lord,c,DirectAddress,1
:,:,s,,0
Pray,pray,c,Intensity,0
",",",",s,,0
by,by,s,Specifiers,0
virtue,virtue,s,Specifiers,1
of,of,s,Specifiers,2
what,what,s,,0
offense,offense,nnn,SubjectivePercept,0
It,it,s,Contingency,0
may,may,s,Contingency,1
be,be,s,Contingency,2
treason,treason,s,StandardsNeg,0
to,to,s,,0
ask,ask,s,Request,0
their,their,s,PersonPronoun,0
wisdoms,wisdoms,s,StandardsPos,0
that,that,c,,0
;,;,s,Resistance,0
But,but,s,Resistance,1
the,the,s,,0
huge,huge,s,Intensity,0
Mountebank,mountebank,c,Negativity,0
",",",",s,,0
the,the,n,,0
vulgar,vulgar,s,StandardsNeg,0
Rout,rout,s,Negative_Relation,0
quarreled,quarreled,s,Negative_Relation,0
with,with,s,Negative_Relation,1
his,his,s,PersonPronoun,0
Religion,religion,c,AbstractConcepts,0
",",",",s,,0
',',c,,0
cause,cause,s,Cause,0
it,it,s,DenyDisclaim,0
is,is,s,DenyDisclaim,1
not,not,s,DenyDisclaim,2
in,in,s,,0
the,the,s,,0
smallest,smallest,s,Comparison,0
Print,print,c,AbstractConcepts,0
:,:,n,,0
And,and,s,,0
the,the,s,SenseObject,0
King,king,s,SenseObject,1
was,was,s,ProjectBack,0
to,to,s,,0
say,say,s,DenyDisclaim,0
nothing,nothing,nnn,DenyDisclaim,1
Good,good,s,,0
King,king,c,PersonProperty,0
:,:,s,,0
I,i,s,Contingency,0
could,could,s,Contingency,1
wish,wish,s,SubjectivePercept,0
something,something,c,Uncertainty,0
",",",",s,,0
and,and,s,,0
heartily,heartily,s,Positivity,0
if,if,s,Contingency,0
I,i,s,FirstPer,0
durst,durst,c,SubjectivePercept,0
:,:,s,,0
Well,well,c,OralCues,0
",",",",s,OralCues,1
from,from,s,,0
grave,grave,n,Negativity,0
hypocrisy,hypocrisy,s,StandardsNeg,0
and,and,s,,0
beardlesse,beardlesse,s,UNRECOGNIZED,0
wisdom,wisdom,c,StandardsPos,0
",",",",s,,0
good,good,s,,0
heaven,heaven,s,Positivity,0
deliver,deliver,s,ReportingEvents,0
us,us,c,Inclusive,0
:,:,s,,0
Nothing,nothing,s,OralCues,0
in,in,s,OralCues,1
his,his,s,PersonPronoun,0
great,great,n,Intensity,0
Fathers,fathers,s,PersonProperty,0
Memory,memory,c,PrivateThinking,0
",",",",s,,0
to,to,s,,0
hold,hold,s,,0
him,him,s,PersonPronoun,0
worthy,worthy,s,StandardsPos,0
of,of,s,StandardsPos,1
his,his,s,PersonPronoun,0
place,place,nnn,SpaceRelation,0
That,that,s,,0
makes,makes,s,Cause,0
him,him,s,Cause,1
taste,taste,s,SenseProperty,0
it,it,s,,0
to,to,s,,0
the,the,s,,0
extremity,extremity,s,SenseObject,0
of,of,s,,0
Sense,sense,s,AbstractConcepts,0
and,and,s,,0
Anger,anger,c,Anger,0
.,.,nnn,DirectAddress,0
Let,let,s,DirectAddress,1
us,us,s,DirectAddress,2
but,but,s,Resistance,0
slight,slight,s,SenseProperty,0
some,some,s,Uncertainty,0
Gull,gull,c,Negative_Relation,0
",",",",s,,0
or,or,s,,0
his,his,s,PersonPronoun,0
gay,gay,s,PersonProperty,0
dress,dress,s,SenseObject,0
(,(,c,,0
whose,whose,s,PersonPronoun,0
Clothes,clothes,c,SenseObject,0
*,*,s,,0
and,and,s,,0
Folly,folly,c,StandardsNeg,0
",",",",s,,0
are,are,n,ReportingStates,0
his,his,s,ReportingStates,1
sense,sense,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
honor,honor,c,StandardsPos,0
),),s,,0
how,how,s,Question,0
it,it,s,Question,1
will,will,s,PredictedFuture,0
conjure,conjure,s,PrivateThinking,0
up,up,s,PrivateThinking,1
his,his,s,PersonPronoun,0
blood,blood,c,SenseObject,0
",",",",s,,0
and,and,s,,0
bend,bend,s,Motions,0
his,his,s,Motions,1
Brow,brow,c,SenseObject,0
?,?,s,Question,0
And,and,n,,0
can,can,s,Contingency,0
Dessandro,dessandro,s,UNRECOGNIZED,0
want,want,s,ProjectAhead,0
a,a,s,StandardsPos,0
just,just,s,StandardsPos,1
and,and,s,,0
valiant,valiant,s,StandardsPos,0
anger,anger,s,Anger,0
to,to,s,,0
feel,feel,s,PrivateThinking,0
the,the,s,PrivateThinking,1
merits,merits,s,StandardsPos,0
of,of,s,,0
so,so,s,StandardsPos,0
brave,brave,s,StandardsPos,1
a,a,n,PersonProperty,0
Father,father,c,PersonProperty,1
",",",",s,,0
and,and,s,,0
his,his,s,SubjectivePercept,0
own,own,s,SubjectivePercept,1
(,(,c,,0
kept,kept,s,TimeDuration,0
at,at,s,TimeDuration,1
a,a,s,CommonAuthorities,0
noble,noble,s,CommonAuthorities,1
height,height,c,SenseProperty,0
),),s,,0
rendered,rendered,s,ReportingEvents,0
disgraced,disgraced,s,StandardsNeg,0
and,and,s,,0
fullied,fullied,c,UNRECOGNIZED,0
?,?,s,Question,0
he,he,n,PersonPronoun,0
may,may,s,Contingency,0
believe,believe,s,PrivateThinking,0
a,a,c,,0
',',s,,0
has,has,s,,0
deserved,deserved,s,Anger,0
better,better,c,Anger,1
",",",",s,,0
both,both,s,,0
in,in,s,Specifiers,0
his,his,s,Specifiers,1
father,father,s,PersonProperty,0
and,and,s,,0
himself,himself,c,PersonPronoun,0
:,:,s,,0
But,but,s,Resistance,0
how,how,n,Resistance,1
does,does,s,ReportingEvents,0
his,his,s,PersonPronoun,0
Resolution,resolution,s,StandardsPos,0
take,take,s,Responsibility,0
it,it,nnn,Responsibility,1
As,as,s,,0
Fire,fire,s,SenseObject,0
and,and,s,,0
Air,air,s,ReportingEvents,0
comprest,comprest,c,UNRECOGNIZED,0
",",",",s,,0
when,when,s,,0
struggling,struggling,s,Resistance,0
they,they,s,,0
break,break,s,Transformation,0
forth,forth,s,Transformation,1
in,in,s,,0
Thunders,thunders,c,SenseProperty,0
;,;,s,,0
or,or,s,,0
the,the,n,,0
vexed,vexed,s,Negativity,0
wind,wind,s,SenseProperty,0
amongst,amongst,s,SpaceRelation,0
a,a,s,SenseObject,0
Grove,grove,s,SenseObject,1
of,of,s,SenseObject,2
Trees,trees,c,SenseObject,0
",",",",s,,0
spending,spending,s,ReportingEvents,0
his,his,s,ReportingEvents,1
Scorn,scorn,s,Negative_Relation,0
and,and,s,,0
Rage,rage,nnn,Anger,0
Men,men,s,PersonProperty,0
of,of,s,PersonProperty,1
his,his,s,PersonPronoun,0
Soul,soul,s,Disclosure,0
and,and,s,,0
Constitution,constitution,s,CommonAuthorities,0
cannot,cannot,s,DenyDisclaim,0
play,play,s,SpaceRelation,0
with,with,s,SpaceRelation,1
their,their,s,PersonPronoun,0
Passions,passions,c,SubjectivePercept,0
;,;,s,,0
and,and,s,,0
stroke,stroke,c,Motions,0
',',n,,0
um,um,s,OralCues,0
tame,tame,c,AbstractConcepts,0
",",",",s,ReasonForward,0
so,so,s,ReasonForward,1
provoked,provoked,nn,Narrative_Verbs,0
The,the,s,Narrative_Verbs,1
Duke,duke,c,CommonAuthorities,0
.,.,nnn,DirectAddress,0
Let,let,s,DirectAddress,1
him,him,s,DirectAddress,2
be,be,s,DirectAddress,3
confident,confident,s,StandardsPos,0
of,of,s,,0
me,me,c,FirstPer,0
",",",",s,,0
in,in,s,Uncertainty,0
something,something,s,Uncertainty,1
more,more,s,Comparison,0
worthy,worthy,s,StandardsPos,0
of,of,s,StandardsPos,1
himself,himself,c,PersonPronoun,0
",",",",s,,0
then,then,s,,0
the,the,n,,0
Command,command,s,CommonAuthorities,0
he,he,s,Neutral_Attribution,0
has,has,s,Neutral_Attribution,1
lost,lost,c,ReportingStates,0
;,;,s,ReportingStates,1
and,and,s,,0
bid,bid,s,ReportingEvents,0
him,him,s,ReportingEvents,1
use,use,s,ReportingEvents,0
my,my,s,Self_Promise,0
Promise,promise,nnn,Self_Promise,1
We,we,s,ReportingStates,0
are,are,s,ReportingStates,1
the,the,s,,0
Creatures,creatures,s,SenseObject,0
of,of,s,DirectAddress,0
your,your,s,DirectAddress,1
Favor,favor,c,Positivity,0
",",",",s,,0
and,and,s,,0
but,but,s,Resistance,0
own,own,s,ReportingEvents,0
our,our,s,Biographical_Time,0
lives,lives,s,Biographical_Time,1
to,to,s,Acknowledge,0
acknowledge,acknowledge,s,Acknowledge,1
it,it,c,,0
.,.,n,,0
--,--,nnn,,0
Here,here,s,Immediacy,0
Is,is,s,Immediacy,1
State,state,s,,0
embroidery,embroidery,c,SenseObject,0
:,:,s,,0
--,--,s,,0
