THough,though,s,Concessive,0
Johnson,johnson,c,,0
",",",",s,,0
Shakespeare,shakespeare,c,UNRECOGNIZED,0
",",",",s,,0
Goffe,goffe,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
Devenant,devenant,c,UNRECOGNIZED,0
",",",",n,,0
Brave,brave,s,StandardsPos,0
Sucklin,sucklin,c,UNRECOGNIZED,0
",",",",s,,0
Beaumont,beaumont,c,,0
",",",",s,,0
Fletcher,fletcher,c,PersonProperty,0
",",",",s,,0
Shurley,shurley,s,UNRECOGNIZED,0
want,want,n,ProjectAhead,0
The,the,s,SubjectivePercept,0
life,life,s,SubjectivePercept,1
of,of,s,SubjectivePercept,2
action,action,c,GenericEvents,0
",",",",s,,0
and,and,s,,0
their,their,s,PersonPronoun,0
learned,learned,s,ReportingEvents,0
lines,lines,n,SpaceRelation,0
Are,are,s,ReportingStates,0
loathed,loathed,c,Negative_Relation,0
",",",",s,,0
by,by,s,,0
the,the,s,,0
Monsters,monsters,s,Negativity,0
of,of,s,SubjectiveTime,0
the,the,s,SubjectiveTime,1
times,times,c,SubjectiveTime,2
;,;,n,Resistance,0
Yet,yet,s,Resistance,1
your,your,s,DirectAddress,0
refined,refined,s,ReportingEvents,0
Souls,souls,c,Disclosure,0
",",",",s,,0
can,can,s,Contingency,0
penetrate,penetrate,n,ReportingEvents,0
Their,their,s,ReportingEvents,1
depth,depth,s,AbstractConcepts,0
of,of,s,,0
merit,merit,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
excuse,excuse,s,StandardsPos,0
their,their,s,PersonPronoun,0
Fate,fate,c,SubjectivePercept,0
:,:,n,,0
With,with,s,Specifiers,0
this,this,s,Specifiers,1
position,position,s,AbstractConcepts,0
those,those,s,,0
rude,rude,s,Negative_Relation,0
Elves,elves,s,PersonProperty,0
that,that,s,,0
dare,dare,n,SubjectivePercept,0
Against,against,s,,0
all,all,s,,0
Divine,divine,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
humane,humane,s,StandardsPos,0
Laws,laws,c,AbstractConcepts,0
",",",",s,,0
make,make,s,Negativity,0
War,war,c,Negativity,1
;,;,n,,0
Who,who,s,,0
count,count,s,AbstractConcepts,0
it,it,s,,0
treble,treble,s,SenseProperty,0
glory,glory,c,StandardsPos,0
",",",",s,,0
to,to,s,,0
transgress,transgress,n,StandardsNeg,0
Perfect,perfect,s,StandardsPos,0
in,in,s,,0
nothing,nothing,c,DenyDisclaim,0
",",",",s,Resistance,0
but,but,s,Resistance,1
imperfectnesse,imperfectnesse,c,UNRECOGNIZED,0
.,.,n,,0
Can,can,s,StandardsPos,0
find,find,s,StandardsPos,1
no,no,s,DenyDisclaim,0
better,better,s,DenyDisclaim,1
engine,engine,s,SenseObject,0
to,to,s,,0
advance,advance,n,ReportingEvents,0
Their,their,s,ReportingEvents,1
Thrones,thrones,c,SenseObject,0
",",",",s,,0
then,then,s,,0
vile,vile,c,StandardsNeg,0
",",",",s,,0
and,and,s,,0
beastly,beastly,s,Intensity,0
Ignorance,ignorance,c,StandardsNeg,0
:,:,n,,0
Their,their,s,PersonPronoun,0
bloody,bloody,s,Negativity,0
Myrmidons,myrmidons,c,PersonProperty,0
",",",",s,,0
of,of,s,,0
the,the,s,SenseObject,0
Table,table,s,SenseObject,1
round,round,n,SenseProperty,0
Project,project,c,GenericEvents,0
",",",",s,,0
to,to,s,,0
raze,raze,c,Motions,0
",",",",s,,0
our,our,s,Inclusive,0
Theaters,theaters,s,SenseObject,0
to,to,s,SpaceRelation,0
the,the,s,SpaceRelation,1
ground,ground,c,SpaceRelation,2
:,:,n,,0
No,no,s,DenyDisclaim,0
marvel,marvel,s,Positivity,0
they,they,s,,0
lap,lap,s,SenseObject,0
blood,blood,s,SenseObject,0
as,as,s,,0
milk,milk,s,SenseObject,0
and,and,s,,0
glory,glory,n,StandardsPos,0
To,to,s,GenericEvents,0
be,be,s,GenericEvents,1
recorded,recorded,c,ReportingStates,0
",",",",s,ReportingStates,1
villains,villains,c,Negativity,0
",",",",s,,0
upon,upon,s,,0
Story,story,c,LangRef,0
.,.,n,,0
"""","""",c,,0
For,for,s,,0
having,having,s,ReportingEvents,0
killed,killed,s,Narrative_Verbs,0
their,their,s,Narrative_Verbs,1
KING,king,c,PersonProperty,0
",",",",s,Future_Question,0
where,where,s,Future_Question,1
will,will,s,Future_Question,2
they,they,s,,0
stay,stay,n,TimeDuration,0
"""","""",c,,0
That,that,s,,0
through,through,s,,0
GOD,god,c,CommonAuthorities,0
",",",",s,,0
and,and,s,,0
MAJESTY,majesty,c,CommonAuthorities,0
",",",",s,,0
make,make,s,ReportingEvents,0
way,way,c,ReportingEvents,1
",",",",n,DialogCues,0
"""","""",c,DialogCues,1
Throwing,throwing,s,Motions,0
the,the,s,,0
Nobles,nobles,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
the,the,s,,0
Gentry,gentry,s,PersonProperty,0
down,down,n,,0
"""","""",c,,0
Levelling,levelling,c,,0
",",",",s,Generalization,0
all,all,s,Generalization,1
distinctions,distinctions,c,AbstractConcepts,0
",",",",s,,0
to,to,s,,0
the,the,s,SenseObject,0
Crown,crown,c,SenseObject,1
.,.,n,ReasonForward,0
So,so,s,ReasonForward,1
that,that,s,,0
(,(,c,,0
which,which,s,,0
Heaven,heaven,s,Positivity,0
forbid,forbid,c,Resistance,0
),),s,,0
should,should,s,Contingency,0
they,they,s,Contingency,1
reduce,reduce,n,Transformation,0
Our,our,s,Inclusive,0
English,english,s,AbstractConcepts,0
world,world,c,AbstractConcepts,0
",",",",s,,0
to,to,s,,0
their,their,s,PersonPronoun,0
confused,confused,s,Uncertainty,0
use,use,c,ReportingEvents,0
",",",",n,,0
',',c,,0
Twill,twill,s,SenseObject,0
be,be,s,ReportingStates,0
admired,admired,c,StandardsPos,0
",",",",s,,0
more,more,s,Comparison,0
then,then,s,,0
a,a,s,,0
prodegie,prodegie,n,UNRECOGNIZED,0
To,to,s,,0
hear,hear,s,SenseProperty,0
an,an,s,SenseProperty,1
Herald,herald,c,ReportingEvents,0
",",",",s,,0
state,state,s,,0
a,a,s,,0
prodigee,prodigee,c,UNRECOGNIZED,0
;,;,n,,0
An,an,s,,0
',',c,,0
twill,twill,s,SenseObject,0
be,be,s,ReportingStates,0
thought,thought,c,PrivateThinking,0
",",",",s,,0
a,a,s,,0
sharp,sharp,c,SenseProperty,0
",",",",s,,0
and,and,s,,0
bitter,bitter,s,Negativity,0
blur,blur,n,SenseProperty,0
To,to,s,,0
salute,salute,s,Positivity,0
any,any,c,,0
",",",",s,,0
by,by,s,,0
the,the,s,,0
title,title,s,LangRef,0
(,(,c,,0
Sir,sir,c,PersonProperty,0
.,.,c,,0
),),n,,0
We,we,s,,0
here,here,s,SpaceRelation,0
present,present,s,,0
you,you,c,DirectAddress,0
",",",",s,,0
his,his,s,PersonPronoun,0
deplored,deplored,s,Negativity,0
fall,fall,n,,0
Whose,whose,s,PersonPronoun,0
Death,death,s,Negativity,0
will,will,s,PredictedFuture,0
prove,prove,s,Confidence,0
a,a,s,,0
ruin,ruin,s,Negativity,0
general,general,c,AbstractConcepts,0
",",",",n,,0
(,(,c,,0
If,if,s,Contingency,0
Fates,fates,s,SubjectivePercept,0
forbid,forbid,s,Resistance,0
not,not,c,DenyDisclaim,0
),),s,,0
and,and,s,,0
we,we,s,,0
hold,hold,s,ReportingEvents,0
to,to,s,ReportingEvents,1
view,view,n,SenseProperty,0
What,what,s,,0
the,the,s,,0
world,world,s,AbstractConcepts,0
knows,knows,c,Confidence,0
",",",",s,,0
is,is,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
more,more,s,Comparison,0
strange,strange,s,SubjectivePercept,0
then,then,s,,0
true,true,c,StandardsPos,0
:,:,n,,0
Anotomizing,anotomizing,s,UNRECOGNIZED,0
Treason,treason,c,StandardsNeg,0
",",",",s,,0
damning,damning,s,Negative_Relation,0
them,them,n,Negative_Relation,1
Who,who,s,,0
Murdered,murdered,s,Negativity,0
Charles,charles,c,UNRECOGNIZED,0
",",",",s,,0
to,to,s,,0
share,share,s,ReportingEvents,0
His,his,s,PersonPronoun,0
Diadem,diadem,c,SenseObject,0
",",",",n,,0
And,and,s,,0
to,to,s,ProjectAhead,0
preserve,preserve,s,ProjectAhead,1
their,their,s,PersonPronoun,0
Souls,souls,s,Disclosure,0
in,in,s,,0
flesh,flesh,c,SenseObject,0
",",",",s,,0
whose,whose,s,PersonPronoun,0
ends,ends,n,Sequence,0
Unto,unto,s,CommonAuthorities,0
the,the,s,,0
ruin,ruin,c,Negativity,0
",",",",s,,0
of,of,s,Specifiers,0
all,all,s,Specifiers,1
Europe,europe,s,,0
tends,tends,c,ReportingEvents,0
:,:,n,,0
But,but,s,Resistance,0
Joves,joves,s,,0
all,all,s,,0
potent,potent,s,StandardsPos,0
thunder,thunder,s,SenseObject,0
shall,shall,s,ProjectAhead,0
divide,divide,n,ReportingEvents,0
Their,their,s,ReportingEvents,1
plots,plots,c,LangRef,0
",",",",s,,0
and,and,s,,0
sink,sink,s,Motions,0
them,them,c,,0
",",",",s,,0
in,in,s,Specifiers,0
their,their,s,Specifiers,1
height,height,s,SenseProperty,0
of,of,s,,0
pride,pride,c,StandardsPos,0
.,.,nn,,0
MY,my,s,FirstPer,0
fine,fine,s,Positivity,0
facetious,facetious,s,SubjectivePercept,0
Devil,devil,c,AbstractConcepts,0
",",",",s,,0
who,who,s,,0
wear'st,wear'st,s,UNRECOGNIZED,0
the,the,s,,0
Liverie,liverie,s,UNRECOGNIZED,0
of,of,s,,0
the,the,s,,0
Stygian,stygian,s,AbstractConcepts,0
God,god,c,CommonAuthorities,0
",",",",s,,0
as,as,s,,0
the,the,n,,0
white,white,s,SenseProperty,0
Emblem,emblem,s,Example,0
of,of,s,Example,1
thy,thy,s,DirectAddress,0
innocence,innocence,c,Disclosure,0
;,;,s,,0
Have,have,s,,0
thou,thou,s,DirectAddress,0
prepared,prepared,s,Narrative_Verbs,0
a,a,s,Narrative_Verbs,1
pithie,pithie,s,UNRECOGNIZED,0
formal,formal,s,AbstractConcepts,0
Speech,speech,n,AbstractConcepts,1
against,against,s,Resistance,0
the,the,s,Resistance,1
essence,essence,s,AbstractConcepts,0
and,and,s,,0
the,the,s,,0
Power,power,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
KINGS,kings,c,PersonProperty,0
?,?,s,Question,0
that,that,s,TimeShift,0
when,when,s,TimeShift,1
to,to,s,,0
morrow,morrow,s,ProjectAhead,0
all,all,s,Generalization,0
my,my,n,Generalization,1
Myrmidons,myrmidons,s,PersonProperty,0
do,do,s,Intensity,0
meet,meet,s,ReportingEvents,0
on,on,s,,0
Onslow-heath,onslow-heath,c,UNRECOGNIZED,0
",",",",s,,0
like,like,s,Resemblances,0
the,the,s,Resemblances,1
Greek,greek,s,,0
Exorcist,exorcist,c,PersonProperty,0
",",",",s,,0
renowned,renowned,s,StandardsPos,0
Calchas,calchas,c,UNRECOGNIZED,0
",",",",n,,0
when,when,s,TimeShift,0
with,with,s,TimeShift,1
his,his,s,PersonPronoun,0
Magic,magic,s,AbstractConcepts,0
numbers,numbers,s,AbstractConcepts,1
he,he,s,PersonPronoun,0
encouraged,encouraged,s,Positivity,0
great,great,s,Intensity,0
Alreus,alreus,s,UNRECOGNIZED,0
Son,son,s,PersonProperty,0
and,and,s,,0
martial,martial,n,AbstractConcepts,0
Diomed,diomed,s,UNRECOGNIZED,0
to,to,s,,0
prosecute,prosecute,s,Negativity,0
their,their,s,Negativity,1
Siege,siege,s,Negativity,0
against,against,s,,0
Priam's,priam's,s,UNRECOGNIZED,0
Town,town,c,SpaceRelation,0
",",",",s,,0
by,by,s,,0
thy,thy,s,DirectAddress,0
insinuating,insinuating,n,StandardsNeg,0
persuasive,persuasive,s,StandardsPos,0
art,art,c,AbstractConcepts,0
",",",",s,,0
their,their,s,PersonPronoun,0
hearts,hearts,s,SenseObject,0
may,may,s,Contingency,0
move,move,c,Motions,0
",",",",s,,0
like,like,s,SubjectivePercept,0
Reeds,reeds,c,SenseObject,0
",",",",s,,0
when,when,s,,0
Boreas,boreas,s,UNRECOGNIZED,0
breath,breath,s,SenseObject,0
smites,smites,n,ReportingEvents,0
the,the,s,,0
huge,huge,s,Intensity,0
Oaks,oaks,c,SenseObject,0
",",",",s,,0
that,that,s,,0
on,on,s,,0
Mount,mount,s,Motions,0
Pelion,pelion,s,AbstractConcepts,0
grow,grow,c,ReportingEvents,0
",",",",s,,0
I,i,s,FirstPer,0
know,know,s,Confidence,0
that,that,s,Confidence,1
Nectar,nectar,s,SenseObject,0
hangs,hangs,s,SpaceRelation,0
upon,upon,s,SpaceRelation,1
thy,thy,n,DirectAddress,0
lips,lips,c,SenseObject,0
",",",",s,,0
and,and,s,,0
that,that,s,,0
the,the,s,Intensity,0
most,most,s,Intensity,1
absurd,absurd,s,Negativity,0
Syllogism,syllogism,c,AbstractConcepts,0
",",",",s,,0
or,or,s,,0
care-deceiving,care-deceiving,s,UNRECOGNIZED,0
paradox,paradox,c,LangRef,0
",",",",n,,0
maintained,maintained,s,,0
by,by,s,,0
thee,thee,c,DirectAddress,0
",",",",s,,0
shall,shall,s,ProjectAhead,0
seem,seem,s,Uncertainty,0
oraculous,oraculous,c,UNRECOGNIZED,0
",",",",s,,0
more,more,s,Comparison,0
dangerous,dangerous,s,Fear,0
to,to,s,Fear,1
question,question,s,AbstractConcepts,0
than,than,s,Comparison,0
the,the,n,Comparison,1
Sacred,sacred,s,StandardsPos,0
Writ,writ,nn,CommonAuthorities,0
Sing,sing,s,Motions,0
then,then,s,,0
(,(,c,,0
my,my,s,FirstPer,0
Hugh,hugh,c,UNRECOGNIZED,0
),),s,,0
and,and,s,ReasonForward,0
so,so,s,ReasonForward,1
thy,thy,s,DirectAddress,0
Numbers,numbers,s,AbstractConcepts,0
sing,sing,c,Motions,0
",",",",n,Generalization,0
All,all,s,Generalization,1
those,those,s,AbstractConcepts,0
that,that,s,AbstractConcepts,1
hear,hear,c,SpaceRelation,0
",",",",s,,0
may,may,s,Contingency,0
jointly,jointly,s,Inclusive,0
curse,curse,s,Negativity,0
their,their,s,Negativity,1
King,king,c,PersonProperty,0
.,.,nn,,0
Most,most,s,Comparison,0
valiant,valiant,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
