CLARICILLA,claricilla,c,UNRECOGNIZED,0
",",",",s,,0
A,a,s,,0
TRAGI-COMEDY,tragi-comedy,c,SubjectivePercept,0
",",",",s,,0
The,the,s,SpaceRelation,0
Scene,scene,s,SpaceRelation,1
SICILY,sicily,c,UNRECOGNIZED,0
.,.,nn,,0
Written,written,s,Citations,0
by,by,s,Citations,1
THOMAS,thomas,s,,0
KILLIGREW,killigrew,c,UNRECOGNIZED,0
",",",",s,,0
IN,in,s,,0
ROME,rome,c,,0
.,.,nn,,0
DEDICATED,dedicated,s,StandardsPos,0
To,to,s,StandardsPos,1
His,his,s,PersonPronoun,0
Dear,dear,s,Positivity,0
SISTER,sister,s,PersonProperty,0
THE,the,s,PersonProperty,0
Lady,lady,s,PersonProperty,1
SHANNON,shannon,c,UNRECOGNIZED,0
.,.,nn,,0
LONDON,london,c,,0
:,:,s,,0
Printed,printed,s,ReportingEvents,0
by,by,s,,0
J,j,c,LangRef,0
.,.,s,,0
M,m,c,AbstractConcepts,0
.,.,s,AbstractConcepts,1
for,for,s,,0
Andrew,andrew,s,,0
Crook,crook,c,StandardsNeg,0
",",",",s,,0
at,at,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Sign,sign,s,Support,0
of,of,s,Support,1
the,the,s,,0
Green,green,s,SenseObject,0
Dragon,dragon,s,SenseObject,1
in,in,n,,0
St,st,s,,0
Paul's,paul's,s,,0
Churchyard,churchyard,c,SpaceRelation,0
.,.,s,,0
1663,1663,nn,UNRECOGNIZED,0
SEleucus,seleucus,c,UNRECOGNIZED,0
",",",",s,,0
you,you,s,DirectAddress,0
know,know,s,DirectAddress,1
the,the,s,CommonAuthorities,0
soul,soul,s,CommonAuthorities,1
of,of,s,CommonAuthorities,2
our,our,s,Inclusive,0
Design,design,s,AbstractConcepts,0
lies,lies,s,ReportingEvents,0
in,in,s,ReportingEvents,1
the,the,s,,0
speedy,speedy,s,SenseProperty,0
and,and,s,,0
silent,silent,n,SenseProperty,0
execution,execution,s,Negative_Relation,0
of,of,s,,0
the,the,s,,0
Plot,plot,c,LangRef,0
;,;,s,,0
let,let,s,DirectAddress,0
us,us,s,DirectAddress,1
not,not,s,DenyDisclaim,0
then,then,s,,0
presume,presume,s,ReasonForward,0
in,in,s,Specifiers,0
their,their,s,Specifiers,1
security,security,s,StandardsPos,0
till,till,s,TimeShift,0
we,we,s,TimeShift,1
fall,fall,n,Motions,0
in,in,s,Motions,1
our,our,s,Inclusive,0
own,own,c,Inclusive,1
;,;,s,Resistance,0
but,but,s,Resistance,1
go,go,c,ReportingEvents,0
",",",",s,TimeDuration,0
and,and,s,TimeDuration,1
when,when,s,TimeDuration,2
they,they,s,,0
have,have,s,,0
begirt,begirt,s,SpaceRelation,0
the,the,s,SpaceRelation,1
place,place,s,SpaceRelation,0
give,give,s,ReportingEvents,0
