GAllants,gallants,s,SubjectivePercept,0
you're,you're,s,DirectAddress,0
so,so,s,,0
unconstant,unconstant,s,UNRECOGNIZED,0
grown,grown,s,ReportingStates,0
of,of,s,ReportingStates,1
late,late,c,SubjectiveTime,0
",",",",n,,0
That,that,s,,0
Plays,plays,s,ReportingEvents,0
and,and,s,,0
Mistrisses,mistrisses,s,UNRECOGNIZED,0
have,have,s,ReportingEvents,0
the,the,s,ReportingEvents,1
same,same,s,Comparison,0
fate,fate,c,SubjectivePercept,0
;,;,n,,0
For,for,s,,0
both,both,s,,0
with,with,s,DirectAddress,0
you,you,s,DirectAddress,1
grow,grow,s,ReportingEvents,0
quickly,quickly,s,SubjectiveTime,0
out,out,s,StandardsNeg,0
of,of,s,StandardsNeg,1
date,date,c,StandardsNeg,2
.,.,n,,0
Each,each,s,Specifiers,0
with,with,s,Specifiers,1
variety,variety,s,AbstractConcepts,0
so,so,s,,0
taken,taken,s,ProjectBack,0
is,is,c,ReportingStates,0
",",",",n,,0
You,you,s,ConfirmExperience,0
Will,will,s,ConfirmExperience,1
see,see,s,ConfirmExperience,2
but,but,s,Resistance,0
once,once,s,TimeShift,0
or,or,s,,0
the,the,s,Comparison,0
same,same,s,Comparison,1
Play,play,s,ReportingEvents,0
or,or,s,,0
Miss,miss,c,AbstractConcepts,0
.,.,n,Imperative,0
Go,go,s,Imperative,1
on,on,c,,0
",",",",s,,0
we,we,s,,0
will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
your,your,s,DirectAddress,0
liberty,liberty,s,StandardsPos,0
retrench,retrench,c,Negativity,0
",",",",n,,0
Like,like,s,Resemblances,0
this,this,s,Resemblances,1
for,for,s,Contingency,0
change,change,c,Contingency,1
*,*,s,,0
as,as,s,Contingency,0
you,you,s,Contingency,1
would,would,s,Contingency,2
do,do,s,Intensity,0
a,a,s,,0
wench,wench,c,PersonProperty,0
:,:,n,,0
But,but,s,Resistance,0
know,know,c,Confidence,0
",",",",s,,0
when,when,s,,0
the,the,s,,0
translating,translating,s,ReportingEvents,0
vein,vein,s,SenseObject,0
is,is,s,ReportingStates,0
past,past,c,AbstractConcepts,0
",",",",n,,0
That,that,s,DirectAddress,0
you,you,s,DirectAddress,1
must,must,s,Insist,0
not,not,s,Insist,1
expect,expect,s,ProjectAhead,0
new,new,s,,0
Plays,plays,s,ReportingEvents,0
so,so,s,SubjectiveTime,0
fast,fast,c,SubjectiveTime,1
.,.,n,Sequence,0
Then,then,s,Sequence,1
Wit,wit,s,StandardsPos,0
and,and,s,,0
sense,sense,s,AbstractConcepts,0
will,will,s,PredictedFuture,0
come,come,s,PredictedFuture,1
into,into,s,,0
request,request,c,Request,0
",",",",n,,0
And,and,s,,0
something,something,s,Comparison,0
more,more,s,Comparison,1
than,than,s,Comparison,2
a,a,s,,0
vain,vain,s,Negativity,0
Fopp,fopp,s,UNRECOGNIZED,0
well,well,s,SenseObject,0
dressed,dressed,c,SenseProperty,0
.,.,n,,0
The,the,s,,0
Tailor,tailor,s,PersonProperty,0
now,now,s,Updates,0
in,in,s,Updates,1
Plays,plays,s,ReportingEvents,0
makes,makes,s,ReportingEvents,0
the,the,s,Positivity,0
best,best,s,Positivity,1
jest,jest,c,Positivity,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
',',c,,0
twill,twill,s,SenseObject,0
be,be,s,ReportingStates,0
time,time,s,SubjectiveTime,0
to,to,s,SubjectiveTime,1
check,check,s,ReportingEvents,0
this,this,s,,0
full,full,s,,0
carreer,carreer,n,UNRECOGNIZED,0
Of,of,s,,0
Plays,plays,c,ReportingEvents,0
",",",",s,,0
and,and,s,,0
Act,act,s,,0
but,but,s,Resistance,0
two,two,s,Numbers,0
or,or,s,Numbers,1
three,three,s,Numbers,2
a,a,s,TimeDuration,0
year,year,c,TimeDuration,1
.,.,n,,0
With,with,s,,0
plenty,plenty,s,StandardsPos,0
you,you,s,DirectAddress,0
are,are,s,DirectAddress,1
cloyed,cloyed,c,Negative_Relation,0
",",",",s,Resistance,0
but,but,s,Resistance,1
when,when,s,,0
grown,grown,s,ReportingEvents,0
scarce,scarce,n,Negativity,0
You,you,s,DirectAddress,0
will,will,s,PredictedFuture,0
esteem,esteem,s,StandardsPos,0
',',c,,0
em,em,s,SpaceRelation,0
more,more,c,Comparison,0
;,;,s,,0
and,and,s,Sequence,0
then,then,s,Sequence,1
a,a,s,,0
Farce,farce,n,SubjectivePercept,0
Will,will,s,PredictedFuture,0
entertain,entertain,s,Positivity,0
you,you,s,DirectAddress,0
for,for,s,DirectAddress,1
a,a,s,TimeDuration,0
Month,month,s,TimeDuration,1
at,at,s,SubjectivePercept,0
least,least,c,SubjectivePercept,1
;,;,n,,0
Not,not,s,DenyDisclaim,0
what,what,s,DenyDisclaim,1
is,is,s,Positivity,0
good,good,c,Positivity,1
",",",",s,Resistance,0
but,but,s,Resistance,1
scarce,scarce,s,Negativity,0
does,does,s,Intensity,0
make,make,s,Intensity,1
a,a,s,Positivity,0
feast,feast,c,Positivity,1
.,.,n,Sequence,0
Then,then,s,Sequence,1
shall,shall,s,ProjectAhead,0
the,the,s,,0
Knight,knight,s,PersonProperty,0
that,that,s,ProjectBack,0
had,had,s,ProjectBack,1
a,a,s,,0
knock,knock,s,Motions,0
in's,in's,s,UNRECOGNIZED,0
Cradle,cradle,c,SenseObject,0
",",",",n,,0
Such,such,s,Specifiers,0
as,as,s,Specifiers,1
Sir,sir,s,PersonProperty,0
Martin,martin,c,SenseObject,0
",",",",s,,0
or,or,s,,0
Sir,sir,s,PersonProperty,0
Arthu^,arthu^,s,UNRECOGNIZED,0
Addle,addle,c,Negativity,0
",",",",n,,0
Be,be,s,ReportingStates,0
flocked,flocked,s,Motions,0
unto,unto,c,CommonAuthorities,0
",",",",s,,0
as,as,s,,0
the,the,s,Intensity,0
great,great,s,Intensity,1
Heroes,heroes,s,StandardsPos,0
now,now,n,Updates,0
In,in,s,Updates,1
Plays,plays,s,ReportingEvents,0
of,of,s,,0
Rhyme,rhyme,s,LangRef,0
and,and,s,,0
Noise,noise,s,SenseProperty,0
with,with,s,,0
wondrous,wondrous,s,Curiosity,0
show,show,c,ReportingEvents,0
.,.,n,Sequence,0
Then,then,s,Sequence,1
shall,shall,s,ProjectAhead,0
the,the,s,SenseObject,0
House,house,s,SenseObject,1
(,(,c,,0
to,to,s,ProjectAhead,0
see,see,s,ProjectAhead,1
these,these,s,Immediacy,0
Hectors,hectors,s,Negativity,0
kill,kill,s,Negativity,0
and,and,s,,0
slay,slay,c,Negativity,0
",",",",n,,0
That,that,s,,0
bravely,bravely,s,StandardsPos,0
fight,fight,s,Resistance,0
out,out,s,Negativity,0
the,the,s,Negativity,1
whole,whole,s,,0
plot,plot,s,LangRef,0
of,of,s,LangRef,0
the,the,s,LangRef,1
Play,play,c,LangRef,2
",",",",c,,0
),),n,,0
Be,be,s,ReportingStates,0
for,for,s,Intensity,0
at,at,s,Intensity,1
least,least,s,Intensity,2
six,six,s,Intensity,3
months,months,s,Intensity,4
full,full,s,,0
every,every,s,RecurringEvents,0
day,day,c,RecurringEvents,1
.,.,n,,0
If,if,s,Contingency,0
beauty,beauty,s,StandardsPos,0
grows,grows,s,ReportingEvents,0
so,so,s,,0
scarce,scarce,c,Negativity,0
",",",",s,,0
your,your,s,DirectAddress,0
Misses,misses,s,StandardsNeg,0
too,too,n,Intensity,0
Will,will,s,Intensity,1
find,find,s,Confidence,0
that,that,s,Confidence,1
