Great,great,s,Intensity,0
Fame,fame,s,StandardsPos,0
my,my,s,FirstPer,0
Prayers,prayers,s,CommonAuthorities,0
I,i,s,FirstPer,0
direct,direct,s,Immediacy,0
to,to,s,Immediacy,1
thee,thee,c,DirectAddress,0
",",",",n,,0
That,that,s,,0
thou,thou,s,DirectAddress,0
will,will,s,PredictedFuture,0
keep,keep,s,TimeDuration,0
me,me,s,FirstPer,0
in,in,s,,0
thy,thy,s,DirectAddress,0
memory,memory,c,PrivateThinking,0
;,;,n,,0
And,and,s,,0
place,place,s,SpaceRelation,0
my,my,s,Autobio,0
Name,name,s,Autobio,1
in,in,s,Specifiers,0
the,the,s,Specifiers,1
large,large,s,Specifiers,2
brazen,brazen,s,StandardsNeg,0
Tower,tower,c,SenseObject,0
",",",",n,,0
That,that,s,,0
neither,neither,s,DenyDisclaim,0
Spite,spite,c,Negative_Relation,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
Time,time,s,,0
may,may,s,Question,0
it,it,s,Question,1
devour,devour,c,Motions,0
;,;,n,,0
And,and,s,,0
write,write,s,ReportingEvents,0
it,it,s,,0
plain,plain,c,SenseProperty,0
",",",",s,,0
that,that,s,,0
every,every,s,Generalization,0
age,age,s,Specifiers,0
may,may,s,Contingency,0
see,see,c,,0
",",",",n,,0
My,my,s,FirstPer,0
Names,names,s,LangRef,0
inscribed,inscribed,s,ReportingEvents,0
to,to,s,,0
live,live,s,,0
eternally,eternally,c,RecurringEvents,0
:,:,n,,0
Let,let,s,ReportingEvents,0
not,not,s,DenyDisclaim,0
Malice,malice,s,StandardsNeg,0
obstruct,obstruct,s,Negativity,0
my,my,s,FirstPer,0
Wit,wit,s,StandardsPos,0
with,with,s,Anger,0
spite,spite,c,Anger,1
",",",",n,Resistance,0
But,but,s,Resistance,1
let,let,s,ReportingEvents,0
it,it,s,,0
shine,shine,s,SpaceRelation,0
in,in,s,SpaceRelation,1
its,its,s,,0
own,own,s,ReportingEvents,0
clear,clear,s,,0
light,light,c,SenseProperty,0
.,.,n,,0
Noble,noble,s,StandardsPos,0
and,and,s,,0
Right,right,s,,0
Honorable,honorable,c,StandardsPos,0
",",",",nn,,0
I,i,s,FirstPer,0
divide,divide,s,ReportingEvents,0
my,my,s,FirstPer,0
discourse,discourse,s,AbstractConcepts,0
into,into,s,,0
three,three,s,Numbers,0
parts,parts,c,Numbers,1
",",",",s,,0
as,as,s,,0
namely,namely,s,Specifiers,0
Vanity,vanity,c,Negative_Relation,0
",",",",s,,0
Vice,vice,c,AbstractConcepts,0
",",",",s,,0
and,and,n,,0
Wickedness,wickedness,c,Negativity,0
;,;,s,,0
Vanity,vanity,s,Negative_Relation,0
lives,lives,s,Biographical_Time,0
in,in,s,Biographical_Time,1
the,the,s,Biographical_Time,2
Customs,customs,s,CommonAuthorities,0
and,and,s,,0
Manners,manners,s,SubjectivePercept,0
of,of,s,SubjectivePercept,1
men,men,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
Wickedness,wickedness,s,Negativity,0
in,in,n,,0
the,the,s,SubjectivePercept,0
Souls,souls,s,SubjectivePercept,1
of,of,s,,0
men,men,c,PersonProperty,0
",",",",s,,0
Vices,vices,s,Negativity,0
in,in,s,Specifiers,0
the,the,s,Specifiers,1
Senses,senses,s,Specifiers,2
of,of,s,Specifiers,3
men,men,c,PersonProperty,0
",",",",s,,0
as,as,s,,0
vain,vain,s,Negativity,0
habits,habits,c,AbstractConcepts,0
",",",",s,,0
evil,evil,s,StandardsNeg,0
appetites,appetites,c,SubjectivePercept,0
",",",",n,,0
and,and,s,,0
wicked,wicked,s,Negativity,0
passions,passions,c,SubjectivePercept,0
;,;,s,,0
as,as,s,Specifiers,0
for,for,s,Specifiers,1
Vanity,vanity,s,Negative_Relation,0
and,and,s,,0
Vice,vice,c,AbstractConcepts,0
",",",",s,,0
they,they,s,ReportingStates,0
are,are,s,ReportingStates,1
commodities,commodities,s,AbstractConcepts,0
that,that,s,Specifiers,0
are,are,s,Specifiers,1
sold,sold,n,ReportingEvents,0
out,out,s,ReportingEvents,1
of,of,s,,0
the,the,s,SenseObject,0
Shops,shops,s,SenseObject,1
of,of,s,,0
Idleness,idleness,c,Negativity,0
;,;,s,,0
Vice,vice,s,AbstractConcepts,0
is,is,s,ReportingStates,0
sold,sold,s,ReportingEvents,0
by,by,s,Specifiers,0
wholesale,wholesale,c,Specifiers,1
",",",",s,Resistance,0
but,but,s,Resistance,1
Vanities,vanities,s,Negative_Relation,0
are,are,s,ReportingStates,0
sold,sold,n,ReportingEvents,0
by,by,s,Specifiers,0
retail,retail,c,Specifiers,1
;,;,s,,0
the,the,s,,0
Buyers,buyers,s,PersonProperty,0
of,of,s,PersonProperty,1
these,these,s,Immediacy,0
Commodities,commodities,s,AbstractConcepts,0
are,are,s,ReportingStates,0
Youth,youth,c,AbstractConcepts,0
",",",",s,,0
the,the,s,,0
Merchants,merchants,c,PersonProperty,0
",",",",s,,0
are,are,s,Negative_Attribution,0
evil,evil,n,Negative_Attribution,1
Customs,customs,c,CommonAuthorities,0
",",",",s,,0
and,and,s,,0
ill,ill,s,Negativity,0
examples,examples,c,AbstractConcepts,0
;,;,s,,0
the,the,s,,0
Masculine,masculine,s,SenseProperty,0
youth,youth,s,AbstractConcepts,0
buys,buys,s,AbstractConcepts,0
more,more,s,Comparison,0
Vice,vice,s,AbstractConcepts,0
than,than,s,Comparison,0
Vanity,vanity,c,Negative_Relation,0
",",",",s,,0
and,and,n,,0
the,the,s,,0
Effeminate,effeminate,s,Negativity,0
youth,youth,s,AbstractConcepts,0
buys,buys,s,AbstractConcepts,0
more,more,s,Comparison,0
Vanity,vanity,s,Negative_Relation,0
than,than,s,Comparison,0
Vice,vice,c,AbstractConcepts,0
;,;,s,Resistance,0
but,but,s,Resistance,1
they,they,s,Inclusive,0
all,all,s,Inclusive,1
buy,buy,c,ReportingEvents,0
",",",",s,,0
as,as,s,,0
salt,salt,s,SenseObject,0
as,as,n,Contingency,0
they,they,s,Contingency,1
can,can,s,Contingency,2
be,be,s,ReportingStates,0
sold,sold,c,ReportingStates,0
;,;,s,ReportingStates,1
they,they,s,,0
will,will,s,PredictedFuture,0
spare,spare,s,SenseProperty,0
for,for,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
cost,cost,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
will,will,s,PredictedFuture,0
give,give,s,,0
any,any,s,,0
prices,prices,c,AbstractConcepts,0
",",",",n,,0
although,although,s,Concessive,0
it,it,s,Contingency,0
be,be,s,Contingency,1
their,their,s,PersonPronoun,0
Healths,healths,c,,0
",",",",s,,0
Lives,lives,c,,0
",",",",s,,0
Fortunes,fortunes,c,ProjectAhead,0
",",",",s,,0
or,or,s,,0
Reputations,reputations,c,CommonAuthorities,0
;,;,s,,0
as,as,s,Specifiers,0
for,for,n,Specifiers,1
Wickedness,wickedness,c,Negativity,0
",",",",s,,0
it,it,s,,0
is,is,s,ReportingStates,0
inlayed,inlayed,s,SpaceRelation,0
into,into,s,Transformation,0
the,the,s,Transformation,1
soul,soul,s,Disclosure,0
like,like,s,SubjectivePercept,0
as,as,s,,0
Mosaic,mosaic,s,SenseProperty,0
work,work,c,SenseProperty,1
",",",",s,ReasonForward,0
and,and,s,ReasonForward,1
so,so,s,ReasonForward,2
close,close,s,Motions,0
it,it,n,,0
is,is,s,ReportingStates,0
wrought,wrought,s,ReportingEvents,0
therein,therein,c,CommonAuthorities,0
",",",",s,,0
as,as,s,Specifiers,0
it,it,s,Specifiers,1
makes,makes,s,Cause,0
it,it,s,Cause,1
appear,appear,s,Cause,2
to,to,s,Cause,3
be,be,s,Cause,4
the,the,s,SubjectivePercept,0
soul,soul,s,SubjectivePercept,1
it,it,s,,0
self,self,c,SubjectivePercept,0
;,;,s,Resistance,0
but,but,s,Resistance,1
evil,evil,n,StandardsNeg,0
Education,education,s,StandardsPos,0
and,and,s,,0
Custom,custom,c,CommonAuthorities,0
",",",",s,ReportingStates,0
are,are,s,ReportingStates,1
the,the,s,ReportingStates,2
Artificers,artificers,s,PersonProperty,0
of,of,s,Specifiers,0
this,this,s,Specifiers,1
work,work,c,GenericEvents,0
",",",",s,,0
and,and,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
natural,natural,n,AbstractConcepts,0
Creation,creation,c,Transformation,0
",",",",s,,0
or,or,s,,0
divine,divine,s,StandardsPos,0
infusion,infusion,c,Motions,0
",",",",s,,0
or,or,s,,0
inspiration,inspiration,c,StandardsPos,0
",",",",s,,0
from,from,s,OpenQuery,0
whence,whence,s,OpenQuery,1
the,the,s,SubjectivePercept,0
Soul,soul,s,SubjectivePercept,1
proceeds,proceeds,c,Sequence,0
",",",",s,,0
or,or,n,,0
is,is,s,ReportingStates,0
produced,produced,c,ReportingStates,0
",",",",s,ReportingStates,1
for,for,s,,0
neither,neither,s,Specifiers,0
the,the,s,Specifiers,1
Gods,gods,c,CommonAuthorities,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
Nature,nature,c,AbstractConcepts,0
",",",",s,ReportingStates,0
is,is,s,ReportingStates,1
the,the,s,ReportingStates,2
Author,author,s,CommunicatorRole,0
of,of,s,,0
Wickedness,wickedness,c,Negativity,0
;,;,s,Resistance,0
but,but,n,Resistance,1
Vanity,vanity,c,Negative_Relation,0
",",",",s,,0
Vice,vice,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
Wickedness,wickedness,c,Negativity,0
",",",",s,,0
are,are,s,ProjectAhead,0
soon,soon,s,ProjectAhead,1
caught,caught,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
like,like,s,Resemblances,0
the,the,s,Resemblances,1
Plague,plague,c,Negativity,0
",",",",s,,0
they,they,s,,0
infect,infect,n,StandardsNeg,0
all,all,s,SubjectivePercept,0
they,they,s,SubjectivePercept,1
come,come,s,SpaceRelation,0
near,near,c,SpaceRelation,1
",",",",s,,0
and,and,s,,0
Vanity,vanity,c,Negative_Relation,0
",",",",s,,0
Vice,vice,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
Wickedness,wickedness,s,Negativity,0
is,is,s,ProjectAhead,0
soon,soon,s,ProjectAhead,1
learned,learned,c,ReportingEvents,0
",",",",s,,0
when,when,n,,0
Virtue,virtue,c,StandardsPos,0
",",",",s,,0
Goodness,goodness,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
Piety,piety,c,StandardsPos,0
",",",",s,,0
are,are,s,ReportingStates,0
hard,hard,s,,0
Lessons,lessons,c,CommonAuthorities,0
;,;,s,,0
for,for,s,,0
though,though,s,Concessive,0
Divines,divines,s,ProjectAhead,0
and,and,s,,0
natural,natural,n,PersonProperty,0
Philosophers,philosophers,c,PersonProperty,1
",",",",s,,0
Preaches,preaches,c,Intensity,0
",",",",s,ReasonForward,0
and,and,s,ReasonForward,1
so,so,s,ReasonForward,2
teaches,teaches,s,ReportingEvents,0
them,them,c,,0
