NOble,noble,s,StandardsPos,0
Spectators,spectators,c,PersonProperty,0
",",",",s,,0
this,this,s,,0
play,play,s,ReportingEvents,0
that,that,s,DirectAddress,0
you,you,s,DirectAddress,1
will,will,s,PredictedFuture,0
see,see,c,,0
",",",",n,,0
Is,is,s,ReportingStates,0
taken,taken,s,ProjectBack,0
out,out,s,,0
of,of,s,,0
Britains,britains,s,UNRECOGNIZED,0
History,history,c,AbstractConcepts,0
;,;,n,,0
It,it,s,DenyDisclaim,0
is,is,s,DenyDisclaim,1
not,not,s,DenyDisclaim,2
pleasant,pleasant,c,Positivity,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
yields,yields,s,ReportingEvents,0
much,much,s,Intensity,0
delight,delight,c,Positivity,0
",",",",n,Resistance,0
But,but,s,Resistance,1
it,it,s,Intensity,0
did,did,s,Intensity,1
serve,serve,s,ReportingEvents,0
the,the,s,,0
Poetress,poetress,s,UNRECOGNIZED,0
to,to,s,,0
write,write,c,ReportingEvents,0
;,;,n,,0
She,she,s,PersonPronoun,0
bids,bids,s,ReportingEvents,0
me,me,s,FirstPer,0
tell,tell,s,DirectAddress,0
you,you,c,DirectAddress,1
",",",",s,,0
she,she,s,PersonPronoun,0
was,was,s,ProjectBack,0
glad,glad,s,Positivity,0
to,to,s,Positivity,1
take,take,n,ReportingEvents,0
Any,any,s,,0
dull,dull,s,SenseProperty,0
plot,plot,c,LangRef,0
",",",",s,ReasonForward,0
so,so,s,ReasonForward,1
she,she,s,PersonPronoun,0
a,a,s,,0
play,play,s,ReportingEvents,0
could,could,s,Contingency,0
make,make,c,ReportingEvents,0
",",",",n,,0
Her,her,s,PersonPronoun,0
vacant,vacant,s,SenseProperty,0
idle,idle,s,SubjectiveTime,0
time,time,s,SubjectiveTime,1
for,for,s,ProjectAhead,0
to,to,s,ProjectAhead,1
employ,employ,c,ReportingEvents,0
;,;,n,,0
For,for,s,,0
she,she,s,PersonPronoun,0
loves,loves,s,Positivity,0
writing,writing,s,GenericEvents,0
more,more,s,Comparison,0
than,than,s,Comparison,1
Company,company,c,AbstractConcepts,0
;,;,n,Resistance,0
But,but,s,Resistance,1
if,if,s,Contingency,0
it,it,s,Contingency,1
