Two,two,s,Numbers,0
New,new,s,,0
TRAGEDIES,tragedies,c,SubjectivePercept,0
:,:,s,,0
THE,the,s,,0
Black,black,s,PersonProperty,0
Prince,prince,c,PersonProperty,1
",",",",s,,0
AND,and,s,,0
TRYPHON,tryphon,c,UNRECOGNIZED,0
:,:,s,,0
The,the,s,,0
first,first,s,Sequence,0
Acted,acted,s,ReportingEvents,0
at,at,s,SpaceRelation,0
the,the,n,SpaceRelation,1
THEATER,theater,s,SpaceRelation,2
ROYAL,royal,c,CommonAuthorities,0
",",",",s,,0
BY,by,s,,0
HIS,his,s,PersonPronoun,0
MAIESTIE's,maiestie's,s,UNRECOGNIZED,0
SERVANTS,servants,c,PersonProperty,0
;,;,s,,0
The,the,s,Specifiers,0
Other,other,s,Specifiers,1
By,by,s,,0
his,his,s,PersonPronoun,0
Highness,highness,s,CommonAuthorities,0
the,the,s,,0
Duke,duke,n,CommonAuthorities,0
of,of,s,,0
York,york,s,AbstractConcepts,0
',',c,,0
s,s,s,LangRef,0
Servants,servants,nn,PersonProperty,0
Both,both,s,,0
Written,written,s,Citations,0
by,by,s,Citations,1
the,the,s,CommonAuthorities,0
RIGHT,right,s,CommonAuthorities,1
HONORABLE,honorable,s,CommonAuthorities,2
THE,the,s,,0
Earl,earl,s,PersonProperty,0
of,of,s,,0
Orrery,orrery,c,SenseObject,0
.,.,nn,,0
LONDON,london,s,,0
Printed,printed,s,ReportingEvents,0
by,by,s,,0
T,t,c,AbstractConcepts,0
.,.,s,,0
N,n,c,AbstractConcepts,0
.,.,s,AbstractConcepts,1
for,for,s,,0
H,h,c,AbstractConcepts,0
.,.,s,AbstractConcepts,1
Herringman,herringman,c,UNRECOGNIZED,0
",",",",s,,0
at,at,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Sign,sign,s,Support,0
of,of,s,Support,1
the,the,s,,0
Blew,blew,s,ReportingEvents,0
Anchor,anchor,c,SenseObject,0
",",",",s,,0
in,in,n,,0
the,the,s,Comparison,0
lower,lower,s,Comparison,1
walk,walk,s,SpaceRelation,0
of,of,s,SpaceRelation,1
the,the,s,Updates,0
New,new,s,Updates,1
Exchange,exchange,c,Substitution,0
.,.,s,,0
1669,1669,nn,UNRECOGNIZED,0
IS,is,s,ReportingStates,0
England's,england's,s,UNRECOGNIZED,0
Genius,genius,c,StandardsPos,0
",",",",s,,0
that,that,s,,0
Victorious,victorious,s,Positivity,0
Name,name,c,LangRef,0
",",",",n,Aside,0
Which,which,s,Aside,1
shakes,shakes,s,Motions,0
the,the,s,,0
World,world,s,AbstractConcepts,0
and,and,s,,0
fills,fills,s,,0
the,the,s,,0
mouth,mouth,s,SenseObject,0
of,of,s,,0
Fame,fame,c,StandardsPos,0
",",",",n,ReasonForward,0
So,so,s,ReasonForward,1
much,much,s,Intensity,0
forgot,forgot,c,Negativity,0
",",",",s,,0
as,as,s,DirectAddress,0
you,you,s,DirectAddress,1
mispend,mispend,s,UNRECOGNIZED,0
your,your,s,DirectAddress,0
Wit,wit,n,StandardsPos,0
(,(,c,,0
which,which,s,,0
my,my,s,FirstPer,0
Great,great,s,Intensity,0
Deeds,deeds,s,AbstractConcepts,0
as,as,s,,0
Greatly,greatly,s,Intensity,0
might,might,s,Contingency,0
have,have,s,Contingency,1
Writ,writ,c,CommonAuthorities,0
),),n,,0
To,to,s,,0
court,court,s,Positivity,0
a,a,s,Positivity,1
Fancy,fancy,c,SubjectivePercept,0
",",",",s,,0
or,or,s,,0
improve,improve,s,StandardsPos,0
a,a,s,PrivateThinking,0
Dream,dream,c,PrivateThinking,1
",",",",n,,0
And,and,s,,0
seek,seek,s,ProjectAhead,0
new,new,s,,0
Worlds,worlds,s,AbstractConcepts,0
for,for,s,,0
a,a,s,Comparison,0
less,less,s,Comparison,1
noble,noble,s,StandardsPos,0
Theme,theme,c,LangRef,0
?,?,n,Question,0
Can,can,s,DirectAddress,0
you,you,s,DirectAddress,1
in,in,s,SpaceRelation,0
Arms,arms,s,SpaceRelation,1
conspiring,conspiring,s,Resistance,0
Nations,nations,s,CommonAuthorities,0
see,see,c,,0
",",",",n,,0
And,and,s,,0
think,think,s,PrivateThinking,0
on,on,s,,0
any,any,s,Specifiers,0
thing,thing,s,Specifiers,1
but,but,s,Resistance,0
Fame,fame,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
