Deceived,deceived,s,Anger,0
Deceiver,deceiver,c,Anger,0
",",",",s,,0
and,and,s,,0
Impostor,impostor,s,StandardsNeg,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),c,,0
!,!,n,,0
An,an,s,,0
Audience,audience,s,CommunicatorRole,0
and,and,s,,0
the,the,s,,0
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),c,,0
!,!,n,,0
All,all,s,,0
trick,trick,s,SubjectivePercept,0
and,and,s,,0
cheat,cheat,c,Negative_Relation,0
!,!,s,,0
Pshaw,pshaw,c,Negativity,0
",",",",s,,0
it,it,s,,0
is,is,s,ReportingStates,0
the,the,s,ReportingStates,1
D^vil,d^vil,s,UNRECOGNIZED,0
and,and,s,Generalization,0
all,all,c,Generalization,1
",",",",n,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
warr'nt,warr'nt,s,UNRECOGNIZED,0
ye,ye,s,OralCues,0
we,we,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
now,now,s,Updates,0
have,have,s,Updates,1
Cups,cups,s,SenseObject,0
and,and,s,,0
Ball,ball,c,SenseObject,0
;,;,n,,0
No,no,c,OralCues,0
",",",",s,OralCues,1
Gallants,gallants,c,SubjectivePercept,0
",",",",s,,0
we,we,s,,0
those,those,s,,0
tricks,tricks,s,SubjectivePercept,0
don't,don't,s,Uncertainty,0
understand,understand,c,Uncertainty,1
;,;,n,,0
It,it,s,,0
Is,is,s,ReportingStates,0
the,the,s,ReportingStates,1
other,other,s,Specifiers,0
House,house,s,SenseObject,0
best,best,s,Comparison,0
shows,shows,s,ReportingEvents,0
the,the,s,SenseProperty,0
slight,slight,s,SenseProperty,1
of,of,s,,0
hand,hand,c,SenseObject,0
:,:,n,,0
Hey,hey,s,OralCues,0
Iingo,iingo,c,UNRECOGNIZED,0
",",",",s,,0
Sirs,sirs,c,PersonProperty,0
",",",",s,Specifiers,0
what,what,s,Specifiers,1
is,is,s,Specifiers,2
this,this,c,,0
!,!,s,,0
their,their,s,PersonPronoun,0
Come^y,come^y,c,UNRECOGNIZED,0
?,?,n,Question,0
Presto,presto,s,Immediacy,0
be,be,s,ReportingStates,0
gone,gone,c,ReportingStates,0
",",",",s,ReportingStates,1
it,it,s,Updates,0
is,is,s,Updates,1
now,now,s,Updates,2
our,our,s,Inclusive,0
Farce,farce,s,SubjectivePercept,0
you,you,s,DirectAddress,0
see,see,c,DirectAddress,1
.,.,n,,0
By,by,s,,0
neat,neat,s,Positivity,0
conveyance,conveyance,s,GenericEvents,0
you,you,s,DirectAddress,0
have,have,s,DirectAddress,1
seen,seen,s,SpaceRelation,0
and,and,s,,0
know,know,s,Confidence,0
it,it,n,,0
They,they,s,Contingency,0
can,can,s,Contingency,1
transform,transform,s,Transformation,0
an,an,s,,0
Actor,actor,s,PersonProperty,0
to,to,s,,0
a,a,s,,0
Poet,poet,c,LangRef,0
.,.,n,LangRef,1
With,with,s,,0
empty,empty,s,SenseProperty,0
Dishes,dishes,s,SenseObject,0
tho^,tho^,c,UNRECOGNIZED,0
',',c,,0
ll,ll,s,,0
set,set,s,Sequence,0
out,out,s,Sequence,1
a,a,s,,0
Treat,treat,c,ReportingEvents,0
",",",",n,,0
Whole,whole,s,,0
Seas,seas,s,SenseObject,0
of,of,s,,0
Broth,broth,c,SenseObject,0
",",",",s,Resistance,0
but,but,s,Resistance,1
a,a,s,,0
small,small,s,SenseProperty,0
Isle,isle,s,SpaceRelation,0
of,of,s,,0
Meat,meat,c,SenseObject,0
:,:,n,,0
With,with,s,,0
Powderle-Pimp,powderle-pimp,s,UNRECOGNIZED,0
of,of,s,,0
Dance,dance,c,Motions,0
",",",",s,,0
