NEW,new,s,,0
Plays,plays,s,ReportingEvents,0
is,is,s,TimeDuration,0
still,still,s,TimeDuration,1
the,the,s,TimeDuration,2
Cry,cry,s,Motions,0
of,of,s,,0
the,the,s,Specifiers,0
whole,whole,s,Specifiers,1
Town,town,c,SpaceRelation,0
",",",",n,,0
Therefore,therefore,s,ReasonForward,0
to,to,s,ReasonForward,1
day,day,c,TimeDuration,0
",",",",s,,0
young,young,s,SenseProperty,0
Powell,powell,s,UNRECOGNIZED,0
gives,gives,s,DirectAddress,0
you,you,s,DirectAddress,1
one,one,c,Numbers,0
;,;,n,,0
The,the,s,PersonProperty,0
fellow,fellow,s,PersonProperty,1
never,never,s,DenyDisclaim,0
writ,writ,s,CommonAuthorities,0
before,before,s,Sequence,0
this,this,s,Sequence,1
time,time,c,,0
",",",",n,,0
And,and,s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
come,come,s,ReportingEvents,0
to,to,s,,0
plead,plead,s,SubjectivePercept,0
his,his,s,PersonPronoun,0
Cause,cause,s,Cause,0
in,in,s,,0
Rhyme,rhyme,c,LangRef,0
;,;,n,,0
You,you,s,DirectAddress,0
may,may,s,DirectAddress,1
be,be,s,Confidence,0
sure,sure,s,Confidence,1
that,that,s,,0
writing,writing,s,GenericEvents,0
is,is,s,ReportingStates,0
grown,grown,s,ReportingEvents,0
scarce,scarce,c,Negativity,0
",",",",n,,0
When,when,s,TimeShift,0
he,he,s,TimeShift,1
sets,sets,s,Sequence,0
up,up,s,Sequence,1
for,for,s,Sequence,2
Prose,prose,c,LangRef,0
",",",",s,,0
and,and,s,,0
I,i,s,FirstPer,0
for,for,s,,0
Verse,verse,c,SenseProperty,0
;,;,n,,0
Variety,variety,s,AbstractConcepts,0
of,of,s,,0
Plays,plays,c,ReportingEvents,0
",",",",s,,0
like,like,s,SubjectivePercept,0
Women,women,c,PersonProperty,0
",",",",s,Generalization,0
all,all,n,Generalization,1
Desire,desire,c,Positivity,0
",",",",s,,0
and,and,s,,0
both,both,c,,0
",",",",s,,0
when,when,s,ProjectBack,0
had,had,c,ProjectBack,1
",",",",s,,0
grow,grow,s,ReportingEvents,0
dull,dull,c,SenseProperty,0
:,:,n,,0
Women,women,s,PersonProperty,0
and,and,s,,0
Plays,plays,s,ReportingEvents,0
are,are,s,ReportingStates,0
both,both,s,,0
uncertain,uncertain,s,Uncertainty,0
too,too,c,Metadiscourse,0
",",",",n,Metadiscourse,1
We,we,s,Insist,0
cannot,cannot,s,Insist,1
swear,swear,s,Intensity,0
they,they,s,ReportingStates,0
are,are,s,ReportingStates,1
sound,sound,c,SenseProperty,0
",",",",s,,0
till,till,s,AbstractConcepts,0
tried,tried,s,,0
by,by,s,DirectAddress,0
you,you,c,DirectAddress,1
;,;,n,,0
If,if,s,Contingency,0
a,a,s,Contingency,1
Play's,play's,s,LangRef,0
bad,bad,c,Negativity,0
",",",",s,,0
it,it,s,,0
is,is,s,Exceptions,0
but,but,s,Exceptions,1
three,three,s,TimeDuration,0
hours,hours,s,TimeDuration,1
enduring,enduring,c,TimeDuration,0
",",",",n,Resistance,0
But,but,s,Resistance,1
Women,women,s,PersonProperty,0
often,often,s,RecurringEvents,0
cost,cost,s,AbstractConcepts,0
you,you,s,DirectAddress,0
three,three,s,TimeDuration,0
months,months,s,TimeDuration,1
curing,curing,c,Positivity,0
;,;,n,,0
From,from,s,,0
an,an,s,Negativity,0
ill,ill,s,Negativity,1
Play,play,c,ReportingEvents,0
",",",",s,,0
each,each,s,Specifiers,0
to,to,s,,0
the,the,s,,0
Tavern,tavern,s,SenseObject,0
runs,runs,c,ReportingEvents,0
",",",",n,,0
Cursing,cursing,s,Negativity,0
the,the,s,Negativity,1
Poet,poet,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
his,his,s,PrivateThinking,0
memory,memory,s,PrivateThinking,1
drowns,drowns,c,Negativity,0
",",",",n,,0
Drinking,drinking,s,Motions,0
Damnation,damnation,s,Anger,0
to,to,s,PersonPronoun,0
him,him,s,PersonPronoun,1
in,in,s,,0
six,six,s,Numbers,0
go,go,s,ReportingEvents,0
