PLays,plays,s,ReportingEvents,0
are,are,s,ReportingStates,0
the,the,s,ReportingStates,1
Pictures,pictures,s,SenseProperty,0
of,of,s,SenseProperty,1
the,the,s,,0
former,former,s,ProjectBack,0
Times,times,c,ProjectBack,1
",",",",n,Aside,0
Which,which,s,Aside,1
represent,represent,s,ReportingEvents,0
both,both,s,,0
Virtue,virtue,c,StandardsPos,0
",",",",s,,0
Vice,vice,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
Crimes,crimes,c,StandardsNeg,0
:,:,n,,0
They,they,s,ReportingStates,0
are,are,s,ReportingStates,1
the,the,s,SenseProperty,0
Breath,breath,s,SenseProperty,1
of,of,s,,0
History,history,c,AbstractConcepts,0
;,;,s,,0
for,for,s,,0
they,they,n,,0
Restore,restore,s,StandardsPos,0
to,to,s,StandardsPos,1
Life,life,s,AbstractConcepts,0
what,what,s,Question,0
is,is,s,Question,1
ready,ready,s,ProjectAhead,0
to,to,s,ProjectAhead,1
decay,decay,c,Negativity,0
:,:,n,,0
True,true,s,StandardsPos,0
Emblems,emblems,s,Example,0
of,of,s,Negativity,0
Contempt,contempt,c,Negativity,1
",",",",s,,0
Love,love,c,Positivity,0
",",",",s,,0
and,and,s,,0
Disdain,disdain,c,Negative_Relation,0
",",",",n,Aside,0
Which,which,s,Aside,1
famous,famous,s,Positivity,0
Acts,acts,s,ReportingEvents,0
do,do,s,Intensity,0
bring,bring,s,Transformation,0
to,to,s,Transformation,1
life,life,s,Transformation,2
again,again,c,RecurringEvents,0
.,.,n,,0
This,this,s,,0
present,present,s,,0
Play,play,s,ReportingEvents,0
does,does,s,ReportingEvents,0
set,set,s,DirectAddress,0
before,before,s,DirectAddress,1
your,your,s,DirectAddress,2
eye,eye,n,SpaceRelation,0
The,the,s,SpaceRelation,1
eclipsed,eclipsed,s,ReportingEvents,0
Map,map,s,SenseObject,0
of,of,s,SenseObject,1
Royal,royal,s,CommonAuthorities,0
Majesty,majesty,c,CommonAuthorities,0
;,;,n,,0
A,a,s,SenseProperty,0
Dark,dark,s,SenseProperty,1
Eclipse,eclipse,c,SenseObject,0
",",",",s,,0
that,that,s,Generalization,0
all,all,s,Generalization,1
the,the,s,,0
World,world,s,AbstractConcepts,0
confounds,confounds,c,Negativity,0
",",",",n,,0
And,and,s,,0
Europe,europe,s,,0
stains,stains,s,SenseObject,0
with,with,s,,0
cruel,cruel,s,Anger,0
Blood,blood,s,SenseObject,0
and,and,s,,0
Wounds,wounds,c,Negativity,0
:,:,n,,0
It,it,s,,0
bred,bred,s,ReportingEvents,0
a,a,s,,0
Basilisk,basilisk,c,SenseObject,0
",",",",s,,0
whose,whose,s,PersonPronoun,0
killing,killing,s,Negativity,0
Eyes,eyes,n,SenseObject,0
Does,does,s,ReportingEvents,0
tann,tann,s,UNRECOGNIZED,0
the,the,s,SpaceRelation,0
Earth,earth,c,SpaceRelation,1
",",",",s,,0
and,and,s,,0
spot,spot,s,SpaceRelation,0
the,the,s,SpaceRelation,1
very,very,s,Intensity,0
Skies,skies,c,SenseObject,0
.,.,n,,0
Religion,religion,s,AbstractConcepts,0
is,is,s,ReportingStates,0
his,his,s,ReportingStates,1
Bane,bane,c,Negativity,0
",",",",s,,0
Bloodshed,bloodshed,s,Negative_Relation,0
his,his,s,PersonPronoun,0
Love,love,c,Positivity,0
",",",",n,,0
Abhorrs,abhorrs,s,UNRECOGNIZED,0
all,all,s,,0
Mankind,mankind,c,AbstractConcepts,0
",",",",s,,0
slights,slights,s,Negativity,0
the,the,s,Negativity,1
Powers,powers,s,AbstractConcepts,0
above,above,c,SpaceRelation,0
.,.,n,,0
The,the,s,PersonProperty,0
Widows,widows,s,PersonProperty,1
Tears,tears,c,Sad,0
",",",",s,,0
and,and,s,,0
bleeding,bleeding,s,SenseProperty,0
Orphans,orphans,s,PersonProperty,0
Cries,cries,c,Motions,0
",",",",n,,0
Ascend,ascend,s,ReportingEvents,0
to,to,s,ReportingEvents,1
Heaven,heaven,s,Positivity,0
against,against,s,,0
his,his,s,PersonPronoun,0
Villainies,villainies,c,StandardsNeg,0
.,.,n,TimeDuration,0
When,when,s,TimeDuration,1
he,he,s,TimeDuration,2
was,was,s,ProjectBack,0
proved,proved,s,Confidence,0
base,base,s,AbstractConcepts,0
born,born,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
was,was,s,ProjectBack,0
put,put,s,ReportingStates,0
by,by,n,ReportingStates,1
The,the,s,SenseObject,0
Throne,throne,c,SenseObject,1
",",",",s,,0
the,the,s,SenseObject,0
Crown,crown,c,SenseObject,1
",",",",s,,0
and,and,s,Generalization,0
all,all,s,Generalization,1
his,his,s,PersonPronoun,0
Royalty,royalty,c,AbstractConcepts,0
;,;,n,,0
His,his,s,PersonPronoun,0
Heretics,heretics,s,Negativity,0
(,(,c,,0
for,for,s,,0
so,so,s,,0
he,he,s,PersonPronoun,0
terms,terms,s,AbstractConcepts,0
them,them,s,,0
now,now,c,Immediacy,0
),),n,,0
Opposed,opposed,s,Resistance,0
his,his,s,PersonPronoun,0
Foes,foes,s,Negative_Relation,0
gave,gave,s,Narrative_Verbs,0
him,him,s,Narrative_Verbs,1
the,the,s,,0
Kingdom,kingdom,s,CommonAuthorities,0
too,too,c,,0
:,:,n,,0
But,but,s,Resistance,0
he,he,c,PersonPronoun,0
",",",",s,,0
with,with,s,,0
Mah'met,mah'met,s,UNRECOGNIZED,0
soon,soon,s,ProjectAhead,0
a,a,s,,0
League,league,s,AbstractConcepts,0
did,did,s,Intensity,0
make,make,c,Intensity,1
",",",",n,,0
And,and,s,Sequence,0
then,then,s,Sequence,1
