YOu're,you're,s,DirectAddress,0
not,not,s,DenyDisclaim,0
t'expect,t'expect,s,UNRECOGNIZED,0
to,to,s,,0
day,day,s,TimeDuration,0
the,the,s,,0
modists,modists,s,UNRECOGNIZED,0
sport,sport,c,AbstractConcepts,0
",",",",n,,0
Affronting,affronting,s,Negative_Relation,0
either,either,s,Metadiscourse,0
City,city,c,CommonAuthorities,0
",",",",s,,0
or,or,s,,0
the,the,s,CommonAuthorities,0
Court,court,c,CommonAuthorities,1
.,.,n,,0
Our,our,s,Inclusive,0
Poet's,poet's,s,CommunicatorRole,0
mannerly,mannerly,s,StandardsPos,0
and,and,s,,0
cautious,cautious,s,Negativity,0
too,too,c,Metadiscourse,0
",",",",n,Metadiscourse,1
And,and,s,,0
neither,neither,s,DenyDisclaim,0
will,will,s,PredictedFuture,0
abuse,abuse,s,Negativity,0
himself,himself,s,PersonPronoun,0
or,or,s,,0
you,you,c,DirectAddress,0
.,.,n,,0
Faith,faith,s,StandardsPos,0
both,both,s,,0
are,are,s,ReportingStates,0
needless,needless,c,Anger,0
;,;,s,,0
since,since,s,TimeShift,0
they,they,s,TimeShift,1
are,are,s,Updates,0
done,done,s,Updates,1
each,each,s,RecurringEvents,0
day,day,c,RecurringEvents,1
",",",",n,,0
By,by,s,DirectAddress,0
you,you,s,DirectAddress,1
who,who,s,,0
judge,judge,c,PrivateThinking,0
",",",",s,,0
and,and,s,,0
he,he,s,CommonAuthorities,0
who,who,s,CommonAuthorities,1
writes,writes,s,ReportingEvents,0
a,a,s,ReportingEvents,1
Play,play,c,ReportingEvents,0
.,.,n,,0
The,the,s,CommonAuthorities,0
sacred,sacred,s,CommonAuthorities,1
thirst,thirst,s,Intensity,0
for,for,s,Intensity,1
Bays,bays,s,SenseObject,0
and,and,s,,0
Fame,fame,s,StandardsPos,0
is,is,s,ReportingStates,0
gone,gone,c,ReportingStates,0
",",",",n,ReportingStates,1
And,and,s,,0
Poetry,poetry,s,LangRef,0
now,now,s,Immediacy,0
turns,turns,s,,0
Extortion,extortion,c,StandardsNeg,0
.,.,n,,0
Nay,nay,s,OralCues,0
worse,worse,c,Negativity,0
",",",",s,,0
Stage-Poetry,stage-poetry,s,UNRECOGNIZED,0
seduces,seduces,s,SubjectivePercept,0
more,more,n,Comparison,0
Than,than,s,Comparison,1
Wine,wine,c,SenseObject,0
",",",",s,,0
or,or,s,,0
Women,women,s,PersonProperty,0
ever,ever,s,Biographical_Time,0
did,did,s,Biographical_Time,1
before,before,c,Sequence,0
.,.,n,,0
Gained,gained,s,StandardsPos,0
by,by,s,StandardsPos,1
its,its,s,,0
Charms,charms,c,Positivity,0
",",",",s,,0
hither,hither,s,SpaceRelation,0
the,the,s,,0
Wits,wits,s,StandardsPos,0
resort,resort,c,SenseObject,0
;,;,n,,0
The,the,s,SenseObject,0
Stage,stage,s,SenseObject,1
robs,robs,s,Negative_Relation,0
both,both,s,Metadiscourse,0
the,the,s,Metadiscourse,1
Pulpit,pulpit,s,SenseObject,0
and,and,s,,0
the,the,s,CommonAuthorities,0
Court,court,c,CommonAuthorities,1
.,.,n,,0
The,the,s,Specifiers,0
other,other,s,Specifiers,1
Sex,sex,s,AbstractConcepts,0
too,too,s,,0
are,are,s,ReportingStates,0
stark,stark,s,Negativity,0
rhiming,rhiming,s,UNRECOGNIZED,0
mad,mad,c,Negativity,0
",",",",n,,0
Even,even,s,SubjectivePercept,0
from,from,s,SubjectivePercept,1
the,the,s,PersonProperty,0
Lady,lady,s,PersonProperty,1
to,to,s,,0
the,the,s,,0
Chamber,chamber,s,SenseObject,0
Maid,maid,c,PersonProperty,0
.,.,n,Metadiscourse,0
Nor,nor,s,Metadiscourse,1
do,do,s,Intensity,0
these,these,s,Immediacy,0
Charms,charms,s,Positivity,0
in,in,s,SpaceRelation,0
the,the,s,SpaceRelation,1
North,north,s,SpaceRelation,2
Country,country,s,AbstractConcepts,0
fail,fail,c,StandardsNeg,0
",",",",n,Resistance,0
But,but,s,Resistance,1
took,took,s,ReportingEvents,0
our,our,s,Inclusive,0
Poet,poet,s,PersonProperty,0
both,both,s,,0
from,from,s,,0
Hounds,hounds,s,Negative_Relation,0
and,and,s,,0
Ale,ale,c,SenseObject,0
.,.,n,,0
His,his,s,PersonPronoun,0
Scenes,scenes,c,AbstractConcepts,0
",",",",s,,0
such,such,s,Specifiers,0
as,as,s,Specifiers,1
they,they,s,ReportingStates,0
are,are,c,ReportingStates,1
",",",",s,,0
in,in,s,,0
France,france,s,,0
are,are,s,ReportingStates,0
laid,laid,c,ReportingStates,0
;,;,n,ReportingStates,1
Where,where,s,DirectAddress,0
you,you,s,DirectAddress,1
may,may,s,Contingency,0
see,see,s,,0
the,the,s,ProjectBack,0
ancient,ancient,s,ProjectBack,1
English,english,s,AbstractConcepts,0
Trade,trade,c,AbstractConcepts,0
;,;,n,,0
Either,either,s,Metadiscourse,0
in,in,s,,0
beating,beating,s,Motions,0
France,france,c,,0
",",",",s,,0
or,or,s,,0
giving,giving,s,Positivity,0
aid,aid,c,Positivity,1
.,.,n,ReasonForward,0
Such,such,s,ReasonForward,1
virtue,virtue,s,StandardsPos,0
reigned,reigned,s,ReportingEvents,0
then,then,s,,0
in,in,s,Inclusive,0
our,our,s,Inclusive,1
Smiles,smiles,s,Positivity,0
or,or,s,,0
frowns,frowns,c,Negative_Relation,0
",",",",n,,0
Those,those,s,,0
did,did,s,Intensity,0
defend,defend,c,Intensity,1
",",",",s,,0
as,as,s,,0
these,these,s,Contingency,0
could,could,s,Contingency,1
conquer,conquer,s,ReportingEvents,0
Crowns,crowns,c,SenseObject,0
.,.,n,,0
These,these,s,Immediacy,0
Miracles,miracles,s,Positivity,0
were,were,s,ProjectBack,0
in,in,s,,0
Eliza's,eliza's,s,UNRECOGNIZED,0
reign,reign,n,CommonAuthorities,0
Whose,whose,s,PersonPronoun,0
left,left,s,SenseObject,0
hand,hand,s,SenseObject,1
France,france,s,,0
and,and,s,,0
Holland,holland,s,UNRECOGNIZED,0
did,did,s,ReportingEvents,0
sustain,sustain,c,TimeDuration,0
",",",",n,,0
And,and,s,,0
whose,whose,s,PersonPronoun,0
right,right,s,AbstractConcepts,0
hand,hand,s,AbstractConcepts,1
both,both,s,,0
baffled,baffled,s,Uncertainty,0
Rome,rome,s,,0
and,and,s,,0
Spain,spain,c,,0
.,.,n,,0
Whilst,whilst,s,TimeDuration,0
England,england,s,,0
only,only,s,Negativity,0
could,could,s,Negativity,1
the,the,s,,0
World,world,s,AbstractConcepts,0
subdue,subdue,c,,0
;,;,n,,0
Nay,nay,s,OralCues,0
found,found,s,Updates,0
a,a,s,Updates,1
new,new,s,Updates,2
one,one,s,Numbers,0
out,out,c,,0
",",",",s,,0
and,and,s,,0
reigned,reigned,s,ReportingEvents,0
there,there,s,,0
too,too,c,Metadiscourse,0
;,;,n,Metadiscourse,1
Judge,judge,s,PrivateThinking,0
then,then,s,ReasonForward,0
what,what,s,ReasonForward,1
now,now,s,Immediacy,0
Great,great,s,Intensity,0
Britanny,britanny,s,UNRECOGNIZED,0
may,may,s,Contingency,0
do,do,c,Contingency,1
!,!,n,,0
Since,since,s,,0
now,now,s,Immediacy,0
her,her,s,PersonPronoun,0
Helm,helm,s,ReportingEvents,0
a,a,s,ReportingEvents,1
greater,greater,s,Comparison,0
Prince,prince,s,PersonProperty,0
