SIR,sir,c,PersonProperty,0
",",",",s,,0
by,by,s,,0
the,the,s,,0
humble,humble,s,SubjectivePercept,0
Writer,writer,s,PersonProperty,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
sent,sent,n,SceneShift,0
To,to,s,SceneShift,1
move,move,s,MoveBody,0
you,you,s,MoveBody,1
in,in,s,,0
a,a,s,,0
Suit,suit,s,SenseObject,0
by,by,s,,0
President,president,c,CommonAuthorities,0
",",",",n,,0
That,that,s,DirectAddress,0
you,you,s,DirectAddress,1
will,will,s,PredictedFuture,0
please,please,c,Request,0
",",",",s,Request,1
like,like,s,SubjectivePercept,0
Charles,charles,s,UNRECOGNIZED,0
the,the,s,,0
5,5,s,Numbers,0
th,th,c,UNRECOGNIZED,0
",",",",s,,0
to,to,s,,0
lay,lay,n,ReportingEvents,0
Aside,aside,s,SpaceRelation,0
(,(,c,,0
this,this,s,Immediacy,0
Night,night,c,Immediacy,1
),),s,,0
the,the,s,,0
Business,business,s,AbstractConcepts,0
of,of,s,TimeDuration,0
the,the,s,TimeDuration,1
Day,day,c,TimeDuration,2
",",",",n,,0
And,and,s,,0
look,look,s,SubjectivePercept,0
upon,upon,s,SubjectivePercept,1
slight,slight,s,SenseProperty,0
Images,images,c,SenseProperty,0
",",",",s,,0
far,far,s,SpaceRelation,0
short,short,n,Negativity,0
Of,of,s,Negativity,1
those,those,s,,0
presented,presented,s,ReportingEvents,0
in,in,s,Specifiers,0
that,that,s,Specifiers,1
Emp'rour's,emp'rour's,s,UNRECOGNIZED,0
Court,court,c,AbstractConcepts,0
;,;,n,,0
For,for,c,,0
",",",",s,,0
Art,art,s,AbstractConcepts,0
does,does,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
our,our,s,StandardsPos,0
Power,power,s,StandardsPos,1
so,so,s,Updates,0
far,far,s,Updates,1
enlarge,enlarge,c,Transformation,0
",",",",n,,0
That,that,s,Inclusive,0
we,we,s,Inclusive,1
can,can,s,Contingency,0
make,make,s,ReportingEvents,0
two,two,s,Numbers,0
wooden,wooden,s,SenseProperty,0
armies,armies,s,PersonProperty,0
charge,charge,c,AbstractConcepts,0
",",",",n,,0
Or,or,s,,0
a,a,s,,0
carved,carved,s,ReportingEvents,0
Sparrow,sparrow,s,SenseObject,0
fly,fly,c,Motions,0
:,:,s,,0
but,but,s,Resistance,0
we,we,s,,0
do,do,s,Intensity,0
bring,bring,n,,0
A,a,s,,0
Nightingale,nightingale,c,SenseObject,0
",",",",s,,0
sweet,sweet,s,SenseProperty,0
Philomel,philomel,s,SenseObject,0
to,to,s,,0
sing,sing,c,Motions,0
:,:,n,,0
