HA,ha,c,OralCues,0
!,!,s,,0
what,what,s,,0
divine,divine,s,StandardsPos,0
shapes,shapes,s,AbstractConcepts,0
strike,strike,s,Negativity,0
mine,mine,s,SelfDisclosure,0
eyes,eyes,c,SelfDisclosure,1
",",",",s,,0
and,and,s,,0
make,make,n,SelfDisclosure,0
My,my,s,SelfDisclosure,1
tongue,tongue,s,SenseObject,0
to,to,s,,0
faulter,faulter,c,,0
",",",",s,,0
and,and,s,,0
my,my,s,FirstPer,0
limbs,limbs,s,SenseObject,0
to,to,s,,0
shake,shake,c,Motions,0
",",",",n,,0
Through,through,s,,0
a,a,s,,0
respestfull,respestfull,s,UNRECOGNIZED,0
awe,awe,s,Intensity,0
and,and,s,,0
reverence,reverence,c,StandardsPos,0
",",",",n,Aside,0
Which,which,s,Aside,1
thus,thus,s,ReasonForward,0
so,so,s,Intensity,0
strongly,strongly,s,Intensity,1
seyseth,seyseth,s,UNRECOGNIZED,0
on,on,s,SelfDisclosure,0
my,my,s,SelfDisclosure,1
sense,sense,c,AbstractConcepts,0
?,?,n,Question,0
These,these,s,ReportingStates,0
are,are,s,ReportingStates,1
no,no,s,DenyDisclaim,0
Fantasmes,fantasmes,c,UNRECOGNIZED,0
",",",",s,,0
such,such,s,Specifiers,0
as,as,s,Specifiers,1
we,we,s,Metadiscourse,0
present,present,c,Metadiscourse,1
",",",",n,Resistance,0
But,but,s,Resistance,1
true,true,s,StandardsPos,0
Divinities,divinities,s,CommonAuthorities,0
from,from,s,,0
Heaven,heaven,s,StandardsPos,0
sent,sent,n,StandardsPos,1
To,to,s,,0
grace,grace,s,StandardsPos,0
our,our,s,Inclusive,0
Earthly,earthly,s,Intensity,0
Theater,theater,c,SenseObject,0
;,;,s,,0
then,then,s,Sequence,0
I,i,c,Sequence,1
",",",",n,,0
Who,who,s,,0
cannot,cannot,s,Negativity,0
stand,stand,s,Negativity,1
before,before,s,Sequence,0
such,such,s,Intensity,0
Majesty,majesty,c,CommonAuthorities,0
",",",",n,,0
Fall,fall,s,Motions,0
on,on,s,Motions,1
my,my,s,FirstPer,0
knee,knee,c,SenseObject,0
",",",",s,,0
and,and,s,,0
in,in,s,,0
this,this,s,,0
posture,posture,s,SenseProperty,0
pray,pray,n,Intensity,0
I,i,s,FirstPer,0
may,may,s,Contingency,0
be,be,s,Contingency,1
heard,heard,s,SubjectivePercept,0
to,to,s,SubjectivePercept,1
speak,speak,s,ReportingEvents,0
before,before,s,Sequence,0
the,the,s,LangRef,0
Play,play,c,LangRef,1
:,:,n,,0
Madam,madam,c,PersonProperty,0
",",",",s,,0
to,to,s,DirectAddress,0
you,you,s,DirectAddress,1
then,then,c,TimeShift,0
",",",",s,TimeShift,1
from,from,s,,0
whose,whose,s,PersonPronoun,0
beauteous,beauteous,s,StandardsPos,0
sight,sight,n,SenseProperty,0
Those,those,s,,0
lesser,lesser,s,Comparison,0
Stars,stars,s,SenseObject,0
derive,derive,s,ReportingEvents,0
their,their,s,ReportingEvents,1
borrowed,borrowed,s,ReportingEvents,0
light,light,c,SenseProperty,0
",",",",n,,0
First,first,s,Sequence,0
I,i,s,Metadiscourse,0
address,address,s,Metadiscourse,1
me,me,c,FirstPer,0
;,;,s,,0
and,and,s,,0
although,although,s,Concessive,0
I,i,s,SelfDisclosure,0
Am,am,s,SelfDisclosure,1
sent,sent,n,ReportingEvents,0
From,from,s,,0
the,the,s,StandardsPos,0
proud,proud,s,StandardsPos,1
Poet,poet,s,PersonProperty,0
with,with,s,Specifiers,0
a,a,s,Specifiers,1
complement,complement,n,AbstractConcepts,0
To,to,s,ProjectAhead,0
let,let,s,ProjectAhead,1
you,you,s,DirectAddress,0
know,know,s,DirectAddress,1
that,that,s,DirectAddress,2
he,he,s,Neutral_Attribution,0
protests,protests,s,Neutral_Attribution,1
and,and,s,,0
says,says,n,Citations,0
His,his,s,PersonPronoun,0
Scenes,scenes,s,AbstractConcepts,0
will,will,s,PredictedFuture,0
please,please,c,Request,0
",",",",s,Request,1
I,i,s,Insist,0
cannot,cannot,s,Insist,1
have,have,s,,0
that,that,s,,0
faith,faith,c,StandardsPos,0
:,:,n,,0
He,he,s,Neutral_Attribution,0
swears,swears,s,Neutral_Attribution,1
that,that,s,,0
he,he,s,Neutral_Attribution,0
prepares,prepares,s,Neutral_Attribution,1
a,a,s,,0
Piece,piece,s,AbstractConcepts,0
so,so,s,,0
rich,rich,n,StandardsPos,0
In,in,s,StandardsPos,1
high,high,s,,0
conceptions,conceptions,c,PrivateThinking,0
",",",",s,,0
that,that,s,PredictedFuture,0
it,it,s,PredictedFuture,1
will,will,s,PredictedFuture,2
bewitch,bewitch,n,SubjectivePercept,0
Your,your,s,DirectAddress,0
eyes,eyes,s,SenseObject,0
and,and,s,,0
ears,ears,c,SenseObject,0
",",",",s,,0
a,a,s,,0
Banquet,banquet,s,Positivity,0
that,that,s,Uncertainty,0
may,may,s,Uncertainty,1
please,please,n,Positivity,0
The,the,s,,0
Danity,danity,s,UNRECOGNIZED,0
Pallats,pallats,s,UNRECOGNIZED,0
of,of,s,,0
the,the,s,CommonAuthorities,0
Deities,deities,c,CommonAuthorities,1
:,:,n,,0
Unheard,unheard,s,Curiosity,0
of,of,s,Curiosity,1
vanity,vanity,c,Negative_Relation,0
!,!,s,,0
I,i,s,Insist,0
cannot,cannot,s,Insist,1
choose,choose,n,ReportingEvents,0
But,but,s,Resistance,0
undeceive,undeceive,s,StandardsPos,0
you,you,c,DirectAddress,0
",",",",s,,0
know,know,s,Confidence,0
it,it,s,Confidence,1
is,is,s,Confidence,2
an,an,s,Confidence,3
abuse,abuse,c,Negativity,0
",",",",n,,0
You,you,s,DirectAddress,0
Will,will,s,PredictedFuture,0
meet,meet,s,PredictedFuture,1
with,with,s,DenyDisclaim,0
no,no,s,DenyDisclaim,1
feast,feast,s,SenseObject,0
here,here,c,SpaceRelation,0
",",",",s,SpaceRelation,1
since,since,s,,0
the,the,s,,0
chief,chief,s,CommonAuthorities,0
dish,dish,n,SenseObject,0
Which,which,s,,0
he,he,s,Citations,0
presents,presents,c,Citations,1
",",",",s,,0
is,is,s,ReportingStates,0
neither,neither,s,DenyDisclaim,0
flesh,flesh,s,SenseObject,0
nor,nor,s,DenyDisclaim,0
fish,fish,c,SenseObject,0
",",",",n,Resistance,0
But,but,s,Resistance,1
a,a,s,Negativity,0
mere,mere,s,Negativity,1
Fantasme,fantasme,c,UNRECOGNIZED,0
",",",",s,,0
garnished,garnished,s,Motions,0
like,like,s,Resemblances,0
a,a,s,Resemblances,1
coarse,coarse,c,SenseProperty,0
",",",",n,,0
Larded,larded,c,Negativity,0
",",",",s,,0
and,and,s,,0
served,served,s,Motions,0
up,up,s,Motions,1
with,with,s,,0
some,some,s,Uncertainty,0
love,love,s,Positivity,0
discourse,discourse,c,AbstractConcepts,0
",",",",n,,0
Vnsolid,vnsolid,s,UNRECOGNIZED,0
matter,matter,s,AbstractConcepts,0
flourishes,flourishes,s,SenseProperty,0
