INstruct,instruct,s,ReportingEvents,0
me,me,s,FirstPer,0
some,some,s,Uncertainty,0
kind,kind,s,Positivity,0
Power,power,c,AbstractConcepts,0
",",",",n,,0
To,to,s,,0
which,which,s,,0
I,i,s,FirstPer,0
may,may,s,Contingency,0
most,most,s,Comparison,0
Lawfully,lawfully,s,StandardsPos,0
prove,prove,s,StandardsNeg,0
false,false,c,StandardsNeg,1
;,;,n,,0
My,my,s,FirstPer,0
friend,friend,c,StandardsPos,0
",",",",s,,0
or,or,s,,0
Mistress,mistress,c,PersonProperty,0
.,.,n,Resistance,0
But,but,s,Resistance,1
what,what,s,,0
talk,talk,s,ReportingEvents,0
I,i,s,FirstPer,0
of,of,s,,0
Law,law,c,AbstractConcepts,0
?,?,s,Question,0
as,as,s,Resemblances,0
if,if,s,Resemblances,1
that,that,s,,0
faith,faith,n,StandardsPos,0
Could,could,s,Contingency,0
ere,ere,s,ProjectBack,0
be,be,s,ReportingStates,0
broke,broke,s,Transformation,0
with,with,s,Transformation,1
Justice,justice,c,StandardsPos,0
!,!,n,,0
Rather,rather,c,Resistance,0
",",",",s,Resistance,1
which,which,n,Contingency,0
Can,can,s,Contingency,1
my,my,s,SelfDisclosure,0
heart,heart,s,SelfDisclosure,1
suffer,suffer,s,Negativity,0
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
torn,torn,s,SenseProperty,0
away,away,c,SenseProperty,1
",",",",n,,0
And,and,s,,0
snatched,snatched,s,SceneShift,0
from,from,s,SceneShift,1
its,its,s,,0
own,own,s,ReportingEvents,0
sinews,sinews,c,SenseObject,0
?,?,n,Question,0
Which,which,s,,0
of,of,s,,0
them,them,s,,0
can,can,s,Contingency,0
my,my,s,SelfDisclosure,0
soul,soul,s,SelfDisclosure,1
part,part,s,SceneShift,0
with,with,s,SceneShift,1
upon,upon,s,,0
easiest,easiest,s,Positivity,0
terms,terms,c,AbstractConcepts,0
?,?,n,Question,0
For,for,s,,0
thus,thus,s,ReasonForward,0
stands,stands,s,,0
my,my,s,FirstPer,0
ambiguous,ambiguous,s,Uncertainty,0
fate,fate,c,SubjectivePercept,0
",",",",s,,0
that,that,s,Specifiers,0
one,one,n,Specifiers,1
Side,side,s,SpaceRelation,0
of,of,s,SpaceRelation,1
my,my,s,SelfDisclosure,0
heart,heart,s,SelfDisclosure,1
must,must,s,Insist,0
needs,needs,s,Insist,0
be,be,s,Insist,1
ripped,ripped,s,Motions,0
from,from,s,Motions,1
the,the,s,Specifiers,0
other,other,c,Specifiers,1
",",",",n,Specifiers,2
For,for,s,,0
so,so,s,,0
these,these,s,Immediacy,0
two,two,s,Numbers,0
had,had,s,ProjectBack,0
filled,filled,s,ReportingEvents,0
it,it,c,,0
;,;,s,,0
one,one,s,Numbers,0
side,side,s,,0
each,each,c,Specifiers,0
:,:,n,,0
My,my,s,FirstPer,0
share,share,s,ReportingEvents,0
was,was,s,ProjectBack,0
almost,almost,s,SubjectivePercept,0
nothing,nothing,c,DenyDisclaim,0
;,;,s,,0
only,only,s,SubjectivePercept,0
that,that,n,Specifiers,0
Which,which,s,Specifiers,1
knit,knit,s,Motions,0
the,the,s,Specifiers,0
other,other,s,Specifiers,1
two,two,c,Numbers,0
",",",",s,,0
I,i,s,FirstPer,0
called,called,s,ReportingEvents,0
my,my,s,SelfDisclosure,0
own,own,c,SelfDisclosure,1
.,.,n,,0
Friendship,friendship,c,Positivity,0
",",",",s,,0
thou,thou,s,DirectAddress,0
art,art,s,AbstractConcepts,0
a,a,s,,0
name,name,c,LangRef,0
",",",",s,,0
and,and,s,,0
nothing,nothing,s,DenyDisclaim,0
real,real,c,Intensity,0
",",",",n,,0
A,a,s,Negativity,0
mere,mere,s,Negativity,1
and,and,s,,0
empty,empty,s,Negativity,0
word,word,c,Negativity,1
",",",",s,,0
and,and,n,Immediacy,0
Here,here,s,Immediacy,1
I,i,s,FirstPer,0
quit,quit,s,ReportingEvents,0
thee,thee,c,DirectAddress,0
",",",",n,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
be,be,s,PredictedFuture,2
fettered,fettered,s,Negativity,0
in,in,s,,0
fantastic,fantastic,s,Intensity,0
chains,chains,c,SenseObject,0
",",",",n,,0
To,to,s,,0
court,court,s,AbstractConcepts,0
Ideas,ideas,c,AbstractConcepts,0
",",",",s,,0
nothings,nothings,c,DenyDisclaim,0
",",",",s,,0
and,and,s,,0
adore,adore,n,Positivity,0
A,a,s,SubjectivePercept,0
strange,strange,s,SubjectivePercept,1
Platonic,platonic,s,SubjectivePercept,0
Cupid,cupid,c,Positivity,0
.,.,s,Imperative,0
Give,give,s,Imperative,1
me,me,s,FirstPer,0
Love,love,c,Positivity,0
",",",",n,,0
That,that,s,,0
has,has,s,ReportingEvents,0
some,some,s,ReportingEvents,1
Life,life,s,AbstractConcepts,0
and,and,s,,0
vigor,vigor,s,StandardsPos,0
in,in,s,,0
